Open,High,Low,Close,Volume
112.92,112.92,112.92,112.92,300.0
113.16,113.2,112.97,113.13,9062.0
113.03,113.16,112.97,113.15,3961.0
113.02,113.07,112.88,113.03,217802.0
112.99,113.0792,112.96,113.05,24457.0
113.01,113.02,112.93,112.96,11328.0
112.99,113.03,112.955,113.03,17186.0
113.0,113.05,112.955,112.99,28173.0
112.98,113.06,112.97,112.99,32297.0
113.02,113.06,112.98,112.99,33810.0
113.06,113.113,112.99,112.99,14592.0
113.2,113.2,113.04,113.07,18108.0
113.23,113.23,113.11,113.21,16758.0
113.28,113.31,113.21,113.23,23380.0
113.41,113.43,113.26,113.27,12438.0
113.45,113.5,113.4,113.41,42744.0
113.5,113.51,113.42,113.45,26055.0
113.55,113.5899,113.5,113.5,24420.0
113.53,113.57,113.48,113.55,23141.0
113.5,113.56,113.46,113.55,21655.0
113.39,113.52,113.37,113.5,24679.0
113.34,113.42,113.32,113.39,23078.0
113.31,113.39,113.3,113.35,11252.0
113.29,113.33,113.27,113.3,15658.0
113.28,113.32,113.265,113.27,11872.0
113.2,113.29,113.19,113.28,23716.0
113.21,113.23,113.15,113.195,34835.0
113.19,113.21,113.16,113.21,17837.0
113.14,113.19,113.08,113.19,33570.0
113.13,113.15,113.09,113.14,21150.0
113.23,113.23,113.1,113.15,28755.0
113.15,113.22,113.11,113.19,20803.0
113.06,113.15,113.03,113.15,14792.0
113.04,113.06,113.0,113.05,17790.0
113.06,113.11,113.03,113.04,7739.0
113.09,113.1,113.05,113.06,12440.0
113.1,113.12,113.06,113.09,10333.0
113.16,113.19,113.1,113.1,9076.0
113.21,113.23,113.16,113.175,9563.0
113.163,113.22,113.14,113.2,12172.0
113.17,113.2,113.15,113.15,10583.0
113.21,113.215,113.14,113.16,9594.0
113.21,113.23,113.2,113.2132,9205.0
113.16,113.2,113.16,113.2,5536.0
113.0901,113.18,113.09,113.17,9513.0
113.11,113.11,113.04,113.09,11272.0
113.18,113.188,113.085,113.09,13914.0
113.15,113.22,113.12,113.18,15715.0
113.0899,113.14,113.08,113.14,7338.0
113.09,113.14,113.065,113.07,6812.0
113.1257,113.13,113.08,113.09,5443.0
113.16,113.18,113.12,113.14,13032.0
113.21,113.23,113.15,113.1563,4726.0
113.2,113.233,113.18,113.233,8227.0
113.215,113.23,113.194,113.1957,4391.0
113.17,113.21,113.17,113.21,6746.0
113.115,113.17,113.115,113.165,6394.0
113.1627,113.19,113.1002,113.13,20942.0
113.1632,113.2,113.145,113.16,10879.0
113.1314,113.19,113.12,113.16,6640.0
113.14,113.17,113.08,113.14,7730.0
113.1601,113.17,113.13,113.15,7222.0
113.27,113.27,113.17,113.17,18302.0
113.3885,113.3885,113.26,113.28,19666.0
113.43,113.44,113.37,113.3871,7752.0
113.46,113.51,113.43,113.43,25053.0
113.3875,113.47,113.35,113.46,9387.0
113.39,113.41,113.375,113.39,5657.0
113.3942,113.41,113.37,113.39,7067.0
113.32,113.4,113.32,113.399,8589.0
113.29,113.33,113.28,113.32,8044.0
113.2,113.3,113.17,113.3,10615.0
113.22,113.26,113.1947,113.1947,9223.0
113.22,113.24,113.22,113.23,3843.0
113.26,113.27,113.19,113.225,11209.0
113.25,113.3,113.25,113.26,6572.0
113.27,113.27,113.24,113.25,2300.0
113.31,113.31,113.27,113.2803,4048.0
113.34,113.34,113.3,113.31,6919.0
113.45,113.47,113.33,113.34,20738.0
113.49,113.5,113.411,113.46,18416.0
113.47,113.49,113.45,113.48,7790.0
113.51,113.51,113.448,113.48,6156.0
113.54,113.54,113.48,113.4901,14465.0
113.44,113.55,113.44,113.53,9312.0
113.42,113.4956,113.4001,113.4383,9561.0
113.5,113.5,113.4178,113.4178,9111.0
113.5349,113.54,113.48,113.49,5173.0
113.495,113.54,113.48,113.53,19111.0
113.525,113.6,113.495,113.495,23581.0
113.575,113.5767,113.45,113.51,28564.0
113.58,113.58,113.54,113.57,7200.0
113.625,113.635,113.59,113.59,15157.0
113.635,113.64,113.59,113.625,23914.0
113.65,113.66,113.62,113.635,18127.0
113.55,113.66,113.55,113.66,19248.0
113.526,113.555,113.51,113.55,7254.0
113.48,113.53,113.46,113.53,16048.0
113.48,113.52,113.46,113.47,12478.0
113.555,113.57,113.48,113.48,12006.0
113.56,113.58,113.51,113.55,37953.0
113.45,113.56,113.45,113.555,15830.0
113.5,113.51,113.43,113.44,9284.0
113.49,113.52,113.468,113.495,21418.0
113.42,113.5,113.41,113.49,22942.0
113.39,113.42,113.36,113.42,21236.0
113.4,113.43,113.37,113.39,23394.0
113.38,113.44,113.38,113.41,7544.0
113.45,113.45,113.375,113.375,12482.0
113.495,113.52,113.41,113.44,14937.0
113.54,113.56,113.49,113.4933,11067.0
113.585,113.6,113.55,113.55,11193.0
113.569,113.63,113.5603,113.59,8912.0
113.56,113.58,113.54,113.56,8316.0
113.56,113.6,113.4937,113.555,14622.0
113.52,113.57,113.505,113.55,7098.0
113.5101,113.55,113.495,113.5,10679.0
113.57,113.57,113.49,113.52,11956.0
113.59,113.59,113.512,113.565,9688.0
113.67,113.69,113.58,113.59,13050.0
113.73,113.75,113.66,113.67,17575.0
113.73,113.75,113.71,113.73,12749.0
113.7247,113.75,113.71,113.72,18160.0
113.7792,113.81,113.73,113.73,10773.0
113.782,113.83,113.77,113.82,8113.0
113.789,113.81,113.75,113.767,7999.0
113.81,113.83,113.75,113.79,9898.0
113.78,113.8,113.74,113.79,12630.0
113.73,113.77,113.711,113.77,20644.0
113.79,113.79,113.73,113.73,6525.0
113.75,113.78,113.71,113.78,5522.0
113.78,113.805,113.755,113.76,5589.0
113.78,113.79,113.75,113.76,8036.0
113.81,113.81,113.7475,113.78,12220.0
113.7703,113.79,113.76,113.77,4957.0
113.69,113.78,113.68,113.77,7191.0
113.68,113.7,113.66,113.7,4352.0
113.66,113.69,113.63,113.69,10165.0
113.714,113.73,113.67,113.67,20098.0
113.715,113.7451,113.71,113.72,5525.0
113.68,113.709,113.66,113.701,5882.0
113.78,113.8,113.69,113.69,19415.0
113.862,113.87,113.79,113.79,14321.0
113.8,113.865,113.8,113.859,7977.0
113.813,113.83,113.8,113.805,7779.0
113.79,113.815,113.79,113.8,6245.0
113.781,113.79,113.75,113.79,5473.0
113.79,113.8,113.77,113.78,5272.0
113.79,113.8,113.762,113.79,12026.0
113.78,113.81,113.7664,113.77,16601.0
113.83,113.83,113.76,113.77,30388.0
113.76,113.85,113.76,113.83,19482.0
113.78,113.82,113.765,113.765,15773.0
113.79,113.82,113.77,113.79,12197.0
113.8,113.81,113.77,113.81,5538.0
113.8678,113.88,113.79,113.8,11221.0
113.99,113.99,113.87,113.87,26128.0
113.9201,113.99,113.87,113.99,10864.0
113.89,113.9339,113.88,113.9339,7756.0
113.89,113.93,113.87,113.88,12162.0
113.82,113.94,113.82,113.885,11609.0
113.86,113.86,113.81,113.82,8653.0
113.94,113.95,113.86,113.86,5773.0
113.9768,113.995,113.94,113.94,7903.0
113.98,113.995,113.968,113.98,7846.0
114.06,114.1,113.99,113.99,93963.0
114.11,114.11,114.07,114.08,8257.0
114.01,114.11,113.99,114.11,23567.0
114.005,114.09,113.99,114.01,19200.0
114.02,114.03,113.99,114.0,5408.0
114.06,114.075,114.02,114.02,16326.0
114.07,114.09,114.05,114.065,7534.0
114.09,114.0923,114.0552,114.0748,4940.0
114.03,114.13,113.995,114.09,19836.0
114.12,114.13,114.01,114.05,58069.0
114.12,114.16,114.06,114.12,34500.0
114.19,114.2,114.13,114.13,9759.0
114.21,114.2246,114.16,114.17,11356.0
114.255,114.28,114.19,114.2,19723.0
114.22,114.24,114.2,114.24,7402.0
114.16,114.22,114.1586,114.22,3353.0
114.17,114.18,114.14,114.16,10345.0
114.15,114.16,114.13,114.16,7844.0
114.13,114.15,114.115,114.15,10000.0
114.14,114.155,114.13,114.135,5301.0
114.11,114.16,114.1,114.13,16754.0
114.07,114.13,114.065,114.12,18826.0
114.1053,114.11,114.06,114.0773,11011.0
114.16,114.17,114.1,114.1,7803.0
114.079,114.165,114.07,114.165,17220.0
114.07,114.08,114.04,114.08,6711.0
114.075,114.075,114.02,114.07,10414.0
114.03,114.08,114.03,114.08,4800.0
114.0801,114.09,114.03,114.04,6636.0
114.09,114.12,114.07,114.09,7101.0
114.09,114.09,114.06,114.09,6101.0
114.095,114.1,114.07,114.09,10355.0
114.11,114.145,114.08,114.095,11327.0
114.09,114.13,114.09,114.115,4272.0
114.08,114.09,114.06,114.09,6825.0
114.06,114.0789,114.045,114.07,3616.0
114.075,114.08,114.04,114.0539,8231.0
114.06,114.08,114.05,114.07,5645.0
114.0501,114.085,114.05,114.0668,8850.0
114.02,114.06,114.01,114.06,6423.0
114.01,114.015,114.0,114.01,8245.0
114.0542,114.065,114.019,114.019,7296.0
114.06,114.1,114.0532,114.0626,5288.0
