Open,High,Low,Close,Volume
248.43,248.44,248.35,248.35,400.0
248.5547,249.1,248.34,248.35,42342.0
248.56,248.96,248.531,248.63,13680.0
248.635,248.65,248.465,248.58,2700.0
248.61,248.88,248.61,248.6479,6726.0
248.41,248.65,248.1628,248.65,8232.0
248.16,248.53,248.16,248.39,6756.0
248.0,248.34,247.95,248.23,10049.0
248.05,248.21,247.9471,247.9893,10951.0
248.215,248.25,247.88,248.04,8555.0
248.2,248.53,248.155,248.155,10371.0
248.165,248.29,247.89,248.1,4625.0
248.29,248.29,248.01,248.06,10144.0
248.435,248.53,248.22,248.23,6364.0
248.3,248.416,248.3,248.39,5471.0
248.28,248.47,248.28,248.29,4800.0
248.18,248.25,248.05,248.23,4230.0
248.06,248.19,248.05,248.09,1870.0
248.1872,248.2699,248.07,248.12,4511.0
248.115,248.25,247.97,248.05,4358.0
248.09,248.25,247.92,248.0,5028.0
248.27,248.32,248.155,248.19,1600.0
248.2,248.2999,248.15,248.26,2571.0
248.11,248.24,248.1,248.2,1400.0
248.27,248.34,248.23,248.23,2400.0
248.41,248.43,248.3,248.3,2295.0
248.38,248.439,248.33,248.396,14226.0
248.292,248.42,248.29,248.37,3136.0
248.4255,248.4255,248.33,248.34,3003.0
248.6,248.6,248.41,248.41,1250.0
248.47,248.56,248.4,248.53,3501.0
248.65,248.7,248.4047,248.4047,3581.0
248.54,248.65,248.5,248.58,4153.0
248.53,248.64,248.5,248.59,3962.0
248.51,248.6,248.51,248.6,2100.0
248.4435,248.5,248.4,248.45,1876.0
248.49,248.51,248.49,248.5,300.0
248.29,248.47,248.29,248.45,3418.0
248.35,248.37,248.32,248.32,1900.0
248.42,248.47,248.33,248.38,8930.0
248.55,248.6,248.46,248.46,3107.0
248.74,248.74,248.511,248.511,3768.0
248.85,248.85,248.71,248.7477,5940.0
248.78,248.8,248.78,248.8,1201.0
248.765,248.81,248.72,248.79,2257.0
248.82,248.89,248.74,248.76,9946.0
248.651,248.88,248.651,248.8356,7649.0
248.66,248.77,248.65,248.705,2738.0
