Open,High,Low,Close,Volume
189.25,189.25,189.25,189.25,39818.0
189.36,189.51,189.17,189.17,5164.0
189.6,189.65,189.31,189.31,2526.0
189.62,189.72,189.62,189.71,650.0
189.61,189.63,189.5,189.63,1778.0
189.69,189.81,189.66,189.66,2392.0
189.56,189.74,189.56,189.61,7635.0
189.56,189.57,189.56,189.56,840.0
189.57,189.69,189.51,189.51,3000.0
189.5,189.68,189.5,189.55,2061.0
189.57,189.71,189.57,189.59,1780.0
189.69,189.69,189.5468,189.59,4800.0
189.808,189.83,189.69,189.69,2000.0
189.85,189.9,189.78,189.8,2045.0
189.87,189.95,189.84,189.9,2565.0
189.735,189.92,189.735,189.88,1573.0
189.9,189.9,189.75,189.79,3139.0
189.92,189.92,189.78,189.83,1500.0
189.9,189.93,189.89,189.89,6690.0
189.81,189.96,189.81,189.95,2748.0
189.77,189.82,189.77,189.78,1000.0
189.78,189.78,189.71,189.752,2736.0
189.79,189.79,189.77,189.77,800.0
189.81,189.9,189.73,189.73,3252.0
189.75,189.82,189.75,189.82,800.0
189.83,189.83,189.8,189.8,1306.0
189.81,189.82,189.785,189.785,900.0
189.84,189.92,189.82,189.85,4001.0
189.81,189.94,189.81,189.9,1700.0
189.91,189.91,189.78,189.78,5375.0
189.92,189.92,189.87,189.8827,2100.0
189.92,189.93,189.88,189.88,1200.0
189.82,189.91,189.8,189.91,1500.0
189.88,189.89,189.81,189.85,2000.0
189.89,189.89,189.85,189.87,1100.0
189.96,189.96,189.91,189.91,1600.0
189.9,190.0,189.9,189.98,4306.0
189.89,189.89,189.88,189.89,1500.0
189.94,189.94,189.9,189.9,801.0
189.95,190.0,189.94,189.94,1400.0
189.9301,189.99,189.93,189.97,1900.0
190.17,190.17,189.98,190.0,6534.0
190.1572,190.18,190.13,190.17,2768.0
190.3,190.3,190.17,190.18,3169.0
190.33,190.33,190.28,190.3,3223.0
190.2229,190.34,190.2229,190.28,4147.0
190.2,190.2,190.158,190.18,800.0
190.2,190.24,190.1101,190.13,2450.0
190.2,190.25,190.2,190.22,1100.0
190.24,190.25,190.2,190.2,500.0
190.22,190.2899,190.22,190.28,1535.0
190.18,190.24,190.15,190.24,3942.0
190.17,190.21,190.17,190.21,804.0
190.19,190.19,190.14,190.17,800.0
190.2799,190.29,190.21,190.25,3123.0
190.389,190.3899,190.26,190.26,4204.0
190.325,190.38,190.295,190.38,1694.0
190.35,190.37,190.29,190.3001,2200.0
190.26,190.33,190.26,190.33,900.0
190.2,190.22,190.17,190.22,2049.0
190.23,190.23,190.14,190.19,2184.0
190.15,190.2,190.1301,190.2,1400.0
190.21,190.22,190.15,190.15,2886.0
190.29,190.31,190.21,190.21,1000.0
190.266,190.32,190.23,190.32,1007.0
190.2438,190.26,190.1901,190.26,4329.0
190.26,190.3,190.25,190.25,600.0
190.13,190.28,190.13,190.28,1300.0
190.15,190.18,190.03,190.11,5096.0
190.12,190.13,190.11,190.13,1200.0
190.19,190.19,190.11,190.11,838.0
190.19,190.21,190.15,190.19,1000.0
190.17,190.17,190.11,190.1341,1426.0
190.19,190.19,190.09,190.14,2353.0
190.14,190.17,190.13,190.1591,901.0
190.11,190.18,190.1001,190.1001,1432.0
190.11,190.11,190.04,190.1,2906.0
190.13,190.15,190.11,190.14,3685.0
190.09,190.16,190.09,190.09,2074.0
190.08,190.15,190.08,190.09,1137.0
190.1235,190.14,190.07,190.1,1137.0
190.14,190.16,190.12,190.1387,1997.0
190.07,190.16,190.07,190.15,2195.0
190.113,190.13,190.06,190.06,2346.0
190.12,190.14,190.05,190.14,3871.0
190.2,190.22,190.12,190.12,3182.0
190.1301,190.21,190.1301,190.21,1954.0
190.12,190.13,190.08,190.13,2200.0
190.11,190.1503,190.08,190.08,3020.0
190.22,190.22,190.12,190.12,1267.0
190.15,190.23,190.15,190.23,1811.0
190.19,190.22,190.15,190.18,2625.0
190.2573,190.28,190.2,190.2,3137.0
190.28,190.31,190.245,190.27,5102.0
190.29,190.32,190.29,190.3199,1041.0
190.2972,190.3,190.26,190.27,2163.0
190.28,190.32,190.28,190.2991,1750.0
190.28,190.33,190.26,190.285,7309.0
190.28,190.31,190.28,190.28,2621.0
190.3,190.3,190.26,190.27,3200.0
190.31,190.32,190.3,190.3,1500.0
190.25,190.29,190.25,190.29,600.0
190.2401,190.2401,190.2401,190.2401,100.0
190.15,190.25,190.15,190.24,2200.0
190.22,190.27,190.2,190.2,2543.0
190.17,190.2,190.15,190.2,1300.0
190.185,190.185,190.16,190.17,600.0
190.12,190.17,190.12,190.16,1100.0
190.17,190.17,190.14,190.14,1204.0
190.08,190.12,190.08,190.12,1774.0
190.08,190.09,190.05,190.08,2302.0
189.98,190.05,189.93,190.05,2400.0
189.96,189.9794,189.95,189.9794,2328.0
189.92,189.99,189.92,189.97,1493.0
190.01,190.07,189.95,189.95,2070.0
190.01,190.01,189.96,189.99,2400.0
189.98,190.01,189.98,190.01,1000.0
190.0501,190.08,190.0,190.01,1810.0
190.04,190.06,190.03,190.05,1627.0
190.01,190.0647,190.01,190.06,2000.0
190.02,190.03,190.01,190.01,1512.0
190.01,190.05,189.98,190.0173,1730.0
190.02,190.02,189.99,190.01,1220.0
189.97,189.995,189.93,189.995,1801.0
189.99,190.0299,189.99,190.0,1637.0
190.07,190.07,190.01,190.01,502.0
190.07,190.085,190.0478,190.07,1728.0
190.05,190.06,190.04,190.06,600.0
190.01,190.06,190.0,190.06,741.0
189.9765,190.03,189.9765,190.0105,2600.0
189.97,190.0,189.97,189.98,5899.0
189.98,189.989,189.965,189.989,5500.0
189.97,189.97,189.95,189.96,400.0
189.98,190.01,189.95,189.95,2400.0
190.0001,190.01,189.9701,189.9701,1500.0
190.05,190.05,190.0,190.03,13020.0
190.03,190.03,190.01,190.01,709.0
190.01,190.05,190.01,190.04,1436.0
189.9701,190.02,189.9701,190.02,500.0
190.0,190.02,189.99,190.0,1392.0
190.01,190.01,190.01,190.01,100.0
190.0,190.0,189.99,190.0,643.0
190.05,190.05,189.96,190.0,2500.0
190.0,190.05,190.0,190.05,1100.0
189.99,189.99,189.96,189.98,1200.0
189.92,189.98,189.88,189.98,3200.0
189.9368,189.9368,189.9368,189.9368,100.0
189.94,189.96,189.93,189.96,900.0
190.0,190.0,189.94,189.94,1000.0
189.96,189.9906,189.93,189.99,2100.0
189.93,189.95,189.93,189.95,500.0
189.94,189.97,189.94,189.94,2008.0
189.941,189.941,189.92,189.9301,2300.0
189.96,189.96,189.91,189.92,1200.0
190.0,190.01,189.96,189.96,1400.0
189.9,189.9847,189.9,189.9847,1297.0
189.9,189.92,189.9,189.91,600.0
189.926,189.926,189.8501,189.89,1512.0
189.93,189.93,189.93,189.93,100.0
189.88,189.93,189.86,189.93,1000.0
189.9,189.9,189.87,189.87,400.0
189.91,189.91,189.87,189.887,1494.0
189.87,189.92,189.87,189.91,1500.0
189.87,189.9118,189.87,189.9118,300.0
189.89,189.89,189.88,189.88,900.0
189.89,189.9,189.85,189.87,7432.0
189.87,189.91,189.87,189.91,3885.0
189.9,189.9,189.88,189.88,900.0
189.8915,189.8915,189.89,189.89,200.0
189.8801,189.91,189.8801,189.91,364.0
189.8965,189.8971,189.8965,189.8971,240.0
189.9,189.92,189.87,189.89,2400.0
189.892,189.892,189.892,189.892,100.0
189.895,189.92,189.895,189.91,2383.0
189.9764,189.9764,189.9,189.9,1800.0
189.95,189.98,189.94,189.98,1861.0
189.95,189.97,189.95,189.95,1100.0
189.97,189.97,189.9512,189.9512,455.0
189.94,189.985,189.94,189.97,1938.0
190.0,190.0,189.93,189.94,1600.0
189.96,190.025,189.96,190.01,3422.0
189.98,189.98,189.95,189.96,2593.0
189.96,189.99,189.95,189.99,1600.0
189.97,189.97,189.95,189.95,800.0
190.035,190.035,189.97,189.97,5533.0
190.03,190.09,190.02,190.03,3601.0
189.96,190.01,189.96,189.99,1589.0
189.97,189.97,189.93,189.96,2495.0
189.9715,189.98,189.94,189.96,1085.0
189.94,189.95,189.94,189.95,200.0
189.92,189.95,189.92,189.95,620.0
189.928,189.95,189.9,189.94,1300.0
189.8825,189.925,189.88,189.91,3180.0
189.9,189.92,189.87,189.92,1435.0
189.89,189.895,189.88,189.88,800.0
189.9,189.9,189.87,189.88,3218.0
189.86,189.91,189.86,189.91,1400.0
189.85,189.87,189.84,189.87,500.0
189.91,189.91,189.85,189.86,2002.0
189.91,189.9351,189.9,189.91,1197.0
189.88,189.91,189.88,189.89,1328.0
189.83,189.9,189.83,189.89,2607.0
189.86,189.89,189.85,189.85,1396.0
189.91,189.91,189.87,189.87,1403.0
189.9,189.91,189.9,189.91,1100.0
189.89,189.89,189.89,189.89,400.0
189.8301,189.87,189.83,189.87,900.0
189.83,189.83,189.83,189.83,100.0
189.8406,189.8406,189.82,189.82,1200.0
189.75,189.84,189.75,189.84,3122.0
189.725,189.75,189.72,189.75,1391.0
189.73,189.75,189.73,189.74,5349.0
189.7312,189.7312,189.71,189.71,1300.0
189.72,189.72,189.71,189.71,1100.0
189.7007,189.72,189.68,189.72,2086.0
189.67,189.68,189.65,189.679,1744.0
189.65,189.6566,189.6,189.6566,8847.0
189.602,189.66,189.6,189.65,2900.0
189.6,189.63,189.6,189.61,1650.0
189.65,189.67,189.6,189.61,4100.0
189.67,189.67,189.65,189.65,1250.0
189.624,189.64,189.624,189.64,700.0
189.65,189.67,189.64,189.64,3523.0
189.6466,189.65,189.63,189.63,600.0
189.65,189.65,189.64,189.645,1000.0
189.65,189.66,189.64,189.64,3543.0
189.64,189.65,189.63,189.65,1030.0
189.6271,189.67,189.61,189.65,2600.0
189.6,189.61,189.6,189.61,1078.0
189.64,189.64,189.63,189.63,1050.0
189.6228,189.65,189.61,189.64,2774.0
189.63,189.63,189.61,189.6188,1648.0
189.69,189.69,189.64,189.64,2985.0
189.66,189.69,189.6401,189.69,1801.0
189.67,189.67,189.67,189.67,500.0
189.66,189.66,189.62,189.64,2133.0
189.65,189.65,189.65,189.65,100.0
189.64,189.64,189.64,189.64,300.0
189.62,189.635,189.62,189.63,850.0
189.54,189.605,189.52,189.605,6374.0
189.49,189.53,189.47,189.53,3657.0
189.49,189.53,189.49,189.5,2500.0
189.5,189.5,189.456,189.47,1300.0
189.47,189.53,189.47,189.51,3290.0
189.45,189.52,189.45,189.48,3153.0
189.49,189.49,189.41,189.41,900.0
189.5325,189.56,189.519,189.519,2621.0
189.5372,189.54,189.52,189.54,850.0
189.59,189.59,189.5101,189.5101,600.0
189.6,189.62,189.574,189.61,2200.0
189.58,189.61,189.56,189.58,800.0
189.56,189.5975,189.56,189.5975,1599.0
189.58,189.58,189.54,189.54,410.0
189.56,189.6,189.56,189.6,450.0
189.56,189.56,189.56,189.56,100.0
189.52,189.56,189.52,189.56,1001.0
189.56,189.56,189.5314,189.5314,1234.0
189.56,189.5686,189.56,189.5686,750.0
189.537,189.537,189.537,189.537,165.0
189.59,189.59,189.56,189.56,700.0
189.59,189.61,189.574,189.574,812.0
189.56,189.58,189.55,189.57,2100.0
189.5001,189.56,189.5,189.56,300.0
189.52,189.55,189.52,189.54,600.0
189.5282,189.5282,189.5282,189.5282,1000.0
189.54,189.54,189.51,189.51,1688.0
189.52,189.55,189.52,189.55,736.0
189.47,189.52,189.47,189.51,1254.0
189.5101,189.55,189.461,189.48,1200.0
189.55,189.58,189.55,189.56,1400.0
189.5,189.54,189.5,189.54,500.0
189.47,189.5,189.47,189.49,1367.0
189.5067,189.5067,189.47,189.47,2605.0
189.32,189.46,189.32,189.46,5060.0
189.39,189.39,189.31,189.32,1200.0
189.39,189.41,189.3382,189.41,1405.0
189.4,189.4313,189.3801,189.409,816.0
189.39,189.41,189.37,189.39,1505.0
189.49,189.49,189.389,189.389,1789.0
189.51,189.51,189.43,189.48,1405.0
189.56,189.56,189.51,189.51,3811.0
189.49,189.53,189.45,189.53,2400.0
189.51,189.5499,189.4572,189.4572,1700.0
189.48,189.49,189.46,189.49,736.0
189.455,189.48,189.43,189.4725,1858.0
189.39,189.47,189.32,189.4699,4501.0
189.4184,189.44,189.39,189.39,4540.0
189.4184,189.42,189.32,189.37,4414.0
189.42,189.43,189.38,189.4,1900.0
189.37,189.41,189.37,189.3915,1750.0
189.46,189.51,189.36,189.36,5864.0
189.499,189.54,189.47,189.47,900.0
189.56,189.57,189.471,189.5,1300.0
189.57,189.57,189.51,189.54,2200.0
189.56,189.59,189.52,189.53,1740.0
189.52,189.59,189.52,189.56,2518.0
189.6,189.6,189.53,189.56,1800.0
189.62,189.62,189.54,189.56,3006.0
189.55,189.62,189.54,189.62,1800.0
189.57,189.58,189.5201,189.55,3200.0
189.52,189.56,189.52,189.55,2700.0
189.48,189.51,189.48,189.51,1037.0
189.48,189.5,189.4651,189.5,1707.0
189.4586,189.48,189.4501,189.48,1884.0
189.4266,189.47,189.4266,189.47,1181.0
189.5,189.5,189.44,189.46,3201.0
189.43,189.47,189.43,189.47,2851.0
189.46,189.49,189.44,189.45,2350.0
189.4525,189.48,189.44,189.465,6600.0
189.45,189.49,189.395,189.4466,9523.0
189.4225,189.5,189.42,189.4306,4315.0
189.525,189.55,189.42,189.42,3900.0
189.59,189.61,189.51,189.54,3396.0
189.555,189.585,189.52,189.57,4735.0
189.54,189.55,189.485,189.545,5266.0
189.5481,189.5999,189.5481,189.5532,3526.0
189.556,189.59,189.54,189.57,2085.0
189.56,189.62,189.52,189.57,3080.0
189.59,189.59,189.53,189.53,2200.0
189.61,189.61,189.54,189.57,2591.0
189.61,189.63,189.58,189.6,3300.0
189.61,189.72,189.6,189.6,7042.0
189.6899,189.7,189.63,189.65,1700.0
189.71,189.71,189.68,189.69,1800.0
189.75,189.77,189.69,189.72,3482.0
189.73,189.78,189.71,189.77,3700.0
189.7,189.73,189.7,189.71,1300.0
189.8,189.8,189.73,189.73,2700.0
189.78,189.79,189.76,189.77,2900.0
189.78,189.8,189.75,189.8,2275.0
189.85,189.86,189.75,189.78,3594.0
189.89,189.9,189.84,189.87,3000.0
189.93,189.98,189.86,189.885,6840.0
189.89,189.93,189.89,189.93,3119.0
189.9247,189.982,189.89,189.89,3620.0
189.89,189.92,189.88,189.91,2846.0
189.87,189.9,189.8401,189.89,3000.0
190.02,190.02,189.88,189.88,9819.0
189.9913,190.0,189.97,189.995,2721.0
189.98,190.03,189.98,189.99,2449.0
190.045,190.065,189.97,190.0,5211.0
189.98,190.04,189.97,190.03,3655.0
189.94,189.975,189.93,189.975,5308.0
190.08,190.08,189.93,189.94,6294.0
190.04,190.04,190.0,190.03,4095.0
190.08,190.11,190.05,190.06,4327.0
190.07,190.12,190.06,190.12,5300.0
190.03,190.07,190.03,190.04,2931.0
190.04,190.06,190.04,190.04,2800.0
190.0,190.04,189.99,190.04,6805.0
189.94,189.98,189.94,189.97,5501.0
189.94,189.96,189.91,189.95,4540.0
189.92,189.9284,189.9,189.9284,2300.0
189.92,189.95,189.86,189.92,6706.0
189.865,189.92,189.865,189.91,1953.0
189.85,189.9,189.83,189.87,4400.0
189.83,189.86,189.82,189.8301,5656.0
189.82,189.84,189.8,189.82,5068.0
189.83,189.84,189.81,189.82,2300.0
189.84,189.84,189.81,189.81,3467.0
189.85,189.86,189.84,189.84,2519.0
189.929,189.929,189.84,189.845,3915.0
189.95,189.99,189.92,189.92,3856.0
189.92,189.98,189.92,189.965,4292.0
189.8599,189.91,189.85,189.91,3301.0
189.87,189.89,189.845,189.85,4665.0
189.87,189.88,189.86,189.88,1800.0
189.87,189.87,189.835,189.865,4227.0
189.76,189.87,189.76,189.87,2936.0
189.75,189.76,189.72,189.76,4486.0
189.76,189.76,189.73,189.75,2687.0
189.775,189.78,189.75,189.7599,6689.0
189.775,189.79,189.76,189.76,4829.0
189.77,189.78,189.72,189.77,15589.0
189.8,189.8056,189.77,189.77,3672.0
189.83,189.84,189.79,189.8,5819.0
189.835,189.85,189.81,189.82,4137.0
189.8137,189.83,189.7985,189.83,4018.0
189.82,189.82,189.8,189.81,2200.0
189.81,189.82,189.8,189.8,3141.0
189.8,189.81,189.77,189.81,8056.0
189.835,189.85,189.795,189.795,4720.0
189.86,189.87,189.83,189.84,5001.0
189.84,189.86,189.835,189.855,7285.0
189.875,189.895,189.83,189.85,12789.0
189.91,189.93,189.86,189.87,12205.0
189.92,189.92,189.88,189.9,11851.0
189.95,189.97,189.91,189.9299,18372.0
189.95,190.04,189.92,189.95,36562.0
