Open,High,Low,Close,Volume
47.375,47.375,47.375,47.375,300.0
47.2,47.2,47.2,47.2,100.0
47.25,47.35,47.25,47.3,1100.0
47.1,47.1,47.1,47.1,100.0
47.0,47.1,47.0,47.1,3050.0
47.15,47.15,47.15,47.15,400.0
47.2,47.2,47.15,47.15,500.0
47.25,47.25,47.25,47.25,300.0
47.225,47.25,47.225,47.25,210.0
47.275,47.275,47.275,47.275,100.0
47.45,47.45,47.25,47.35,1300.0
47.6,47.6,47.55,47.55,400.0
47.5,47.5,47.375,47.375,1562.0
47.55,47.55,47.5497,47.5497,200.0
47.65,47.65,47.65,47.65,300.0
47.6,47.66,47.6,47.66,800.0
47.55,47.6,47.55,47.6,300.0
47.55,47.575,47.55,47.575,700.0
47.65,47.7,47.575,47.6,830.0
47.55,47.6,47.55,47.6,400.0
47.6,47.65,47.6,47.6,700.0
47.7,47.7,47.65,47.65,400.0
47.75,47.75,47.75,47.75,100.0
47.9,47.9,47.8,47.85,300.0
47.95,47.9794,47.9,47.9,2641.0
48.1,48.1,47.975,48.0,1436.0
47.95,48.05,47.9,48.05,1300.0
47.95,47.96,47.95,47.96,300.0
47.7,47.8,47.7,47.75,2300.0
47.75,47.8,47.75,47.79,1015.0
47.55,47.55,47.55,47.55,100.0
47.625,47.65,47.625,47.65,200.0
47.65,47.65,47.65,47.65,100.0
47.65,47.65,47.55,47.6,500.0
47.6,47.64,47.6,47.64,200.0
47.7,47.7,47.625,47.625,800.0
47.74,47.74,47.65,47.65,300.0
47.625,47.7,47.625,47.7,800.0
47.75,47.75,47.7,47.7,200.0
47.7,47.75,47.7,47.7,1000.0
47.7,47.7,47.7,47.7,400.0
47.85,47.85,47.75,47.75,1700.0
47.95,47.95,47.775,47.8,1438.0
47.85,47.85,47.85,47.85,200.0
47.76,47.76,47.76,47.76,250.0
47.85,47.85,47.85,47.85,100.0
47.95,47.95,47.85,47.85,200.0
48.0,48.0,47.95,47.95,800.0
48.0,48.05,48.0,48.05,300.0
48.0283,48.0283,48.0283,48.0283,250.0
48.0,48.05,48.0,48.05,900.0
48.0,48.05,48.0,48.05,200.0
48.0,48.05,48.0,48.05,200.0
48.05,48.05,48.05,48.05,100.0
48.1,48.1,48.1,48.1,200.0
48.1678,48.175,48.15,48.15,700.0
48.225,48.25,48.225,48.25,300.0
48.25,48.25,48.25,48.25,300.0
48.3,48.3,48.25,48.25,200.0
48.25,48.3,48.225,48.3,1100.0
48.325,48.325,48.25,48.3,3618.0
48.45,48.45,48.25,48.25,1292.0
48.45,48.45,48.4,48.4,400.0
48.45,48.45,48.45,48.45,100.0
48.45,48.45,48.45,48.45,200.0
48.5,48.5,48.5,48.5,100.0
48.4,48.45,48.4,48.4,800.0
48.45,48.45,48.4,48.4,300.0
48.4,48.4,48.4,48.4,300.0
48.4,48.4,48.4,48.4,100.0
48.4,48.4,48.4,48.4,100.0
48.35,48.35,48.35,48.35,100.0
48.225,48.25,48.225,48.25,400.0
48.25,48.25,48.225,48.225,400.0
48.25,48.3,48.25,48.3,200.0
48.2,48.2,48.2,48.2,300.0
48.2,48.2,48.2,48.2,200.0
48.2039,48.2039,48.2039,48.2039,100.0
48.125,48.15,48.125,48.15,1100.0
48.125,48.15,48.125,48.15,200.0
48.15,48.15,48.15,48.15,100.0
48.1,48.1,48.1,48.1,900.0
48.25,48.25,48.075,48.1,2200.0
48.375,48.45,48.35,48.35,1536.0
48.4,48.4,48.375,48.375,300.0
48.5,48.5,48.4,48.45,3400.0
48.55,48.55,48.525,48.55,800.0
48.575,48.575,48.575,48.575,200.0
48.5,48.65,48.5,48.65,1350.0
48.45,48.45,48.45,48.45,100.0
48.35,48.425,48.35,48.36,1300.0
48.35,48.4,48.35,48.4,500.0
48.3,48.35,48.3,48.3,400.0
48.325,48.325,48.3,48.325,500.0
48.45,48.45,48.3,48.35,1000.0
48.5,48.6,48.5,48.6,450.0
48.4,48.5,48.4,48.45,600.0
48.45,48.45,48.4,48.45,300.0
48.471,48.471,48.471,48.471,100.0
48.475,48.5,48.35,48.5,2300.0
48.65,48.65,48.65,48.65,100.0
48.55,48.6,48.5,48.55,900.0
48.6,48.6,48.5,48.55,400.0
48.5468,48.5468,48.5468,48.5468,100.0
48.55,48.55,48.55,48.55,200.0
48.6,48.6,48.55,48.6,1200.0
48.5,48.5999,48.5,48.55,900.0
48.5,48.5,48.5,48.5,100.0
48.5,48.5,48.5,48.5,100.0
48.6,48.65,48.525,48.55,1100.0
48.55,48.6,48.55,48.6,400.0
48.55,48.55,48.55,48.55,200.0
48.4,48.6,48.4,48.6,1888.0
48.45,48.45,48.45,48.45,100.0
48.4,48.45,48.4,48.45,1189.0
