Open,High,Low,Close,Volume
22.75,22.75,22.55,22.55,600.0
22.4,22.7737,22.4,22.65,1955.0
22.3,22.3,22.3,22.3,100.0
22.2,22.35,22.2,22.25,1735.0
22.25,22.25,22.25,22.25,300.0
22.3,22.35,22.3,22.35,600.0
22.3,22.3,22.3,22.3,400.0
22.25,22.325,22.25,22.325,1134.0
22.15,22.15,22.15,22.15,600.0
22.3,22.3,22.3,22.3,400.0
22.225,22.225,22.225,22.225,200.0
22.325,22.4,22.2,22.25,3220.0
22.35,22.35,22.3,22.3,500.0
22.15,22.25,22.15,22.25,745.0
22.15,22.15,22.15,22.15,100.0
22.2,22.2,22.2,22.2,1436.0
22.15,22.2,22.15,22.2,1441.0
22.15,22.15,22.15,22.15,100.0
22.35,22.35,22.25,22.25,1138.0
22.35,22.35,22.35,22.35,400.0
22.3,22.3,22.3,22.3,100.0
22.3,22.3,22.3,22.3,400.0
22.15,22.309,22.15,22.309,2600.0
22.15,22.15,22.1,22.1,900.0
22.15,22.175,22.15,22.175,200.0
22.15,22.15,22.15,22.15,500.0
22.125,22.2,22.1,22.15,1639.0
22.15,22.15,22.1,22.125,1490.0
22.05,22.15,22.0,22.125,3807.0
22.1,22.1,22.0,22.0,607.0
22.15,22.15,22.15,22.15,800.0
22.15,22.15,22.1,22.1,400.0
22.15,22.2,22.15,22.15,2900.0
22.15,22.15,22.15,22.15,200.0
22.2,22.2,22.15,22.15,2285.0
22.15,22.2,22.15,22.2,2200.0
22.25,22.25,22.15,22.15,400.0
22.2,22.2,22.2,22.2,800.0
22.15,22.3,22.15,22.3,1200.0
22.175,22.175,22.1,22.1,1942.0
22.15,22.2,22.125,22.15,12996.0
22.125,22.125,22.1,22.1,514.0
22.15,22.2,22.15,22.15,6359.0
22.25,22.25,22.15,22.15,4062.0
22.15,22.25,22.15,22.25,300.0
22.4,22.45,22.25,22.25,1300.0
22.4,22.4,22.4,22.4,100.0
22.55,22.55,22.45,22.45,1500.0
22.6,22.6,22.6,22.6,100.0
22.6,22.6,22.6,22.6,100.0
22.55,22.6,22.55,22.6,1200.0
22.45,22.55,22.45,22.55,4329.0
22.45,22.45,22.4,22.45,1900.0
22.45,22.45,22.4,22.4,500.0
22.45,22.45,22.45,22.45,100.0
22.475,22.475,22.45,22.45,700.0
22.4,22.45,22.4,22.45,1100.0
22.4,22.45,22.4,22.45,600.0
22.4,22.425,22.4,22.425,500.0
22.45,22.45,22.4,22.4,1700.0
22.45,22.45,22.4,22.45,2200.0
22.4,22.45,22.35,22.45,6663.0
22.425,22.45,22.425,22.45,800.0
22.45,22.45,22.425,22.45,1825.0
22.45,22.45,22.45,22.45,200.0
22.45,22.5,22.45,22.45,800.0
22.45,22.45,22.45,22.45,200.0
22.4,22.4,22.4,22.4,1300.0
22.4,22.43,22.4,22.43,200.0
22.4,22.4,22.4,22.4,100.0
22.4,22.4,22.4,22.4,200.0
