Open,High,Low,Close,Volume
13.88,13.88,13.88,13.88,100.0
13.87,13.9,13.87,13.9,200.0
13.82,13.9,13.82,13.9,977.0
13.75,13.75,13.75,13.75,2000.0
13.83,13.925,13.83,13.925,200.0
13.77,13.8,13.77,13.8,592.0
13.67,13.67,13.67,13.67,100.0
13.6888,13.72,13.6888,13.7,400.0
13.7425,13.81,13.715,13.72,2571.0
13.78,13.82,13.78,13.81,1200.0
13.76,13.79,13.76,13.78,1000.0
13.79,13.79,13.79,13.79,400.0
13.8,13.87,13.79,13.79,1756.0
13.835,13.835,13.835,13.835,500.0
13.85,13.85,13.84,13.84,300.0
13.85,13.85,13.8398,13.85,2000.0
13.85,13.85,13.85,13.85,300.0
13.9,13.9,13.85,13.85,500.0
13.96,13.97,13.91,13.91,3411.0
13.97,13.97,13.96,13.96,1100.0
13.96,13.97,13.96,13.97,300.0
13.98,13.98,13.97,13.97,400.0
13.98,13.98,13.98,13.98,100.0
13.98,13.98,13.98,13.98,100.0
13.98,13.98,13.98,13.98,100.0
13.96,13.975,13.95,13.96,2000.0
13.95,13.9528,13.95,13.9528,1200.0
13.94,13.94,13.94,13.94,100.0
13.91,13.96,13.91,13.96,2400.0
13.89,13.89,13.86,13.875,1400.0
13.89,13.89,13.89,13.89,300.0
13.91,13.92,13.91,13.92,1000.0
13.93,13.93,13.91,13.915,900.0
13.95,13.95,13.93,13.93,200.0
13.98,13.98,13.94,13.94,433.0
14.0,14.02,14.0,14.0,3390.0
14.07,14.07,14.03,14.03,1420.0
14.08,14.08,14.07,14.07,400.0
14.09,14.09,14.06,14.08,1100.0
14.03,14.08,14.03,14.08,2500.0
14.0,14.0,14.0,14.0,100.0
14.0152,14.0152,14.0152,14.0152,100.0
14.0,14.0,14.0,14.0,500.0
14.07,14.07,14.03,14.03,600.0
14.04,14.05,14.03,14.05,2300.0
14.05,14.05,14.04,14.0462,2750.0
14.05,14.05,14.05,14.05,700.0
14.075,14.075,14.05,14.05,1400.0
14.07,14.08,14.07,14.08,800.0
14.08,14.08,14.08,14.08,100.0
14.09,14.09,14.09,14.09,1166.0
14.1,14.1,14.09,14.09,200.0
14.1,14.1,14.1,14.1,100.0
14.07,14.08,14.06,14.08,2400.0
14.09,14.09,14.07,14.07,900.0
14.04,14.1,14.04,14.08,1919.0
14.08,14.08,14.08,14.08,100.0
14.08,14.08,14.05,14.05,2000.0
14.1,14.1,14.09,14.09,600.0
14.04,14.1,14.04,14.1,1700.0
14.03,14.05,14.03,14.05,400.0
14.01,14.02,14.01,14.02,200.0
14.0,14.0,14.0,14.0,100.0
14.01,14.01,14.01,14.01,400.0
14.055,14.055,14.005,14.01,2540.0
14.07,14.07,14.07,14.07,100.0
14.04,14.04,14.04,14.04,200.0
14.05,14.09,14.05,14.05,3188.0
14.05,14.05,14.05,14.05,1000.0
14.06,14.06,14.06,14.06,100.0
14.04,14.04,14.03,14.04,400.0
14.0335,14.0335,14.0335,14.0335,500.0
14.09,14.09,14.0399,14.0399,1700.0
14.12,14.15,14.11,14.11,1600.0
14.1002,14.12,14.1002,14.12,900.0
14.08,14.1,14.08,14.1,400.0
14.11,14.11,14.075,14.09,500.0
14.1,14.12,14.1,14.11,1600.0
14.14,14.14,14.11,14.11,1000.0
14.135,14.135,14.135,14.135,100.0
14.13,14.13,14.13,14.13,1000.0
14.11,14.13,14.11,14.13,1500.0
14.11,14.11,14.105,14.105,600.0
14.1,14.1001,14.1,14.1001,300.0
14.1151,14.1151,14.1151,14.1151,1000.0
14.13,14.13,14.13,14.13,100.0
14.19,14.19,14.13,14.13,2253.0
14.14,14.19,14.13,14.19,2700.0
14.14,14.15,14.14,14.15,400.0
14.14,14.14,14.14,14.14,800.0
14.15,14.15,14.14,14.14,200.0
14.14,14.14,14.14,14.14,100.0
14.15,14.15,14.15,14.15,200.0
14.14,14.16,14.14,14.15,900.0
14.16,14.17,14.16,14.16,1100.0
14.15,14.15,14.15,14.15,400.0
14.14,14.16,14.14,14.15,800.0
14.13,14.13,14.13,14.13,500.0
14.11,14.11,14.11,14.11,300.0
14.12,14.12,14.12,14.12,600.0
14.1195,14.1195,14.11,14.11,800.0
14.15,14.15,14.123,14.13,2300.0
14.1675,14.1675,14.14,14.14,900.0
14.125,14.18,14.125,14.18,3219.0
14.14,14.14,14.12,14.125,600.0
14.13,14.14,14.13,14.14,399.0
14.11,14.11,14.11,14.11,200.0
14.13,14.13,14.13,14.13,600.0
14.16,14.16,14.16,14.16,100.0
14.16,14.16,14.16,14.16,400.0
14.17,14.17,14.17,14.17,100.0
14.17,14.17,14.14,14.16,1600.0
14.16,14.16,14.16,14.16,704.0
14.13,14.16,14.13,14.16,700.0
14.13,14.13,14.115,14.115,400.0
14.15,14.15,14.14,14.14,300.0
14.15,14.15,14.15,14.15,300.0
14.14,14.14,14.14,14.14,100.0
14.165,14.18,14.165,14.18,200.0
14.18,14.18,14.18,14.18,100.0
14.23,14.23,14.2,14.2,2114.0
14.238,14.238,14.238,14.238,500.0
14.24,14.28,14.24,14.25,3000.0
14.22,14.22,14.22,14.22,800.0
14.19,14.19,14.19,14.19,200.0
14.205,14.205,14.205,14.205,100.0
14.19,14.19,14.19,14.19,100.0
14.23,14.23,14.22,14.22,600.0
14.23,14.25,14.23,14.23,1400.0
14.23,14.23,14.23,14.23,251.0
14.19,14.21,14.19,14.21,600.0
14.18,14.19,14.17,14.18,500.0
14.2,14.2,14.1875,14.1875,1000.0
14.17,14.19,14.17,14.19,400.0
14.17,14.17,14.17,14.17,200.0
14.2,14.2,14.185,14.185,200.0
14.21,14.21,14.21,14.21,100.0
14.18,14.18,14.18,14.18,100.0
14.21,14.21,14.19,14.19,300.0
14.22,14.22,14.22,14.22,100.0
