Open,High,Low,Close,Volume
1.2699,1.27,1.26,1.26,20740.0
1.279,1.2899,1.25,1.2637,61400.0
1.253,1.28,1.25,1.27,11176.0
1.2355,1.2628,1.21,1.2628,13754.0
1.235,1.24,1.235,1.24,6180.0
1.24,1.25,1.2399,1.24,5600.0
1.23,1.25,1.23,1.249,25890.0
1.23,1.23,1.23,1.23,10000.0
1.2257,1.229,1.22,1.229,13149.0
1.23,1.23,1.2299,1.23,4850.0
1.2383,1.24,1.2299,1.23,15289.0
1.24,1.24,1.2301,1.2301,19611.0
1.241,1.25,1.235,1.24,41450.0
1.2255,1.2462,1.2255,1.2462,9289.0
1.23,1.23,1.2253,1.2253,2600.0
1.22,1.226,1.22,1.226,6925.0
1.2281,1.23,1.21,1.229,9550.0
1.21,1.21,1.21,1.21,980.0
1.2076,1.22,1.2076,1.2176,10911.0
1.209,1.21,1.209,1.21,1022.0
1.21,1.21,1.2032,1.2032,2400.0
1.2099,1.21,1.2099,1.21,4000.0
1.21,1.21,1.2099,1.21,7000.0
1.2099,1.21,1.2099,1.2099,1138.0
1.21,1.21,1.21,1.21,908.0
1.21,1.21,1.21,1.21,411.0
1.19,1.2066,1.19,1.2066,27491.0
1.194,1.1956,1.194,1.1956,3100.0
1.184,1.198,1.184,1.193,17063.0
1.1806,1.1806,1.1806,1.1806,2000.0
1.19,1.19,1.184,1.184,3250.0
1.1872,1.19,1.1872,1.19,3000.0
1.197,1.197,1.1882,1.19,10109.0
1.2087,1.2087,1.2,1.2,2300.0
1.2007,1.2007,1.2007,1.2007,2450.0
1.2,1.2001,1.2,1.2001,4100.0
1.2001,1.2001,1.2001,1.2001,3000.0
1.2034,1.2034,1.2034,1.2034,200.0
1.21,1.21,1.2089,1.21,1000.0
1.2066,1.2066,1.2066,1.2066,200.0
1.2082,1.21,1.2082,1.21,400.0
1.2,1.2001,1.2,1.2001,4000.0
1.2,1.2,1.2,1.2,8440.0
1.1989,1.1989,1.1989,1.1989,4000.0
1.2,1.2,1.2,1.2,100.0
1.2,1.2,1.2,1.2,706.0
1.182,1.2,1.15,1.2,106272.0
1.163,1.19,1.163,1.19,8397.0
1.15,1.17,1.15,1.17,15624.0
1.16,1.16,1.1515,1.155,34052.0
1.12,1.16,1.09,1.16,112714.0
1.1308,1.1455,1.13,1.13,9900.0
1.1201,1.13,1.1201,1.13,9600.0
1.1233,1.13,1.12,1.1205,10700.0
1.1257,1.13,1.125,1.1299,7952.0
1.12,1.12,1.12,1.12,14924.0
1.13,1.13,1.1276,1.1276,1600.0
1.14,1.14,1.1341,1.1341,4695.0
1.15,1.15,1.14,1.14,1100.0
1.15,1.15,1.145,1.15,6137.0
1.145,1.15,1.145,1.15,7927.0
1.1487,1.1487,1.1487,1.1487,1300.0
