Open,High,Low,Close,Volume
31.76,31.82,31.76,31.82,200.0
31.81,31.91,31.81,31.84,3041.0
31.8,31.81,31.8,31.81,300.0
31.71,31.76,31.71,31.76,600.0
31.79,31.8,31.7,31.7,1400.0
31.84,31.84,31.79,31.81,1791.0
31.8,31.82,31.76,31.8,2200.0
31.85,31.85,31.8,31.8,2200.0
31.87,31.87,31.84,31.84,600.0
31.86,31.86,31.86,31.86,100.0
31.87,31.87,31.87,31.87,213.0
31.85,31.88,31.84,31.87,4700.0
31.82,31.87,31.81,31.87,5149.0
31.87,31.88,31.83,31.83,2149.0
31.87,31.88,31.85,31.85,1300.0
31.87,31.87,31.84,31.86,3303.0
31.86,31.88,31.86,31.88,2749.0
31.89,31.89,31.86,31.86,3800.0
31.88,31.88,31.87,31.88,4680.0
31.85,31.87,31.85,31.87,1700.0
31.84,31.86,31.84,31.85,3500.0
31.84,31.86,31.84,31.84,2200.0
31.83,31.85,31.825,31.84,3800.0
31.84,31.85,31.84,31.85,1000.0
31.85,31.85,31.85,31.85,1000.0
31.85,31.86,31.845,31.85,2600.0
31.86,31.87,31.85,31.85,2700.0
31.865,31.865,31.86,31.865,600.0
31.87,31.875,31.865,31.87,1582.0
31.91,31.91,31.87,31.87,10100.0
31.86,31.9,31.86,31.9,4644.0
31.89,31.89,31.865,31.865,1400.0
31.9,31.915,31.9,31.9,3847.0
31.88,31.92,31.86,31.91,5300.0
31.89,31.91,31.885,31.89,2200.0
31.92,31.92,31.88,31.91,10549.0
31.92,31.93,31.91,31.92,1949.0
31.92,31.94,31.92,31.92,2100.0
31.93,31.94,31.925,31.925,2349.0
31.945,31.95,31.93,31.93,4749.0
31.96,31.97,31.94,31.94,8849.0
31.955,31.97,31.95,31.96,4480.0
31.975,31.99,31.955,31.955,3485.0
31.98,32.02,31.97,31.975,74118.0
32.01,32.01,31.99,31.99,4637.0
32.04,32.05,32.0,32.0034,19209.0
32.035,32.04,32.02,32.04,10354.0
32.04,32.04,32.03,32.04,4153.0
32.03,32.05,32.03,32.05,3091.0
32.03,32.06,32.03,32.035,4073.0
32.03,32.03,32.02,32.02,300.0
32.0,32.025,32.0,32.025,1000.0
32.0,32.0,31.98,31.995,600.0
31.98,31.9999,31.98,31.99,5300.0
31.94,31.98,31.93,31.98,6073.0
31.94,31.95,31.94,31.95,600.0
31.935,31.94,31.92,31.92,2324.0
31.93,31.93,31.92,31.93,1073.0
31.9,31.94,31.9,31.93,2049.0
31.89,31.89,31.89,31.89,748.0
31.89,31.89,31.88,31.89,1573.0
31.885,31.885,31.88,31.88,700.0
31.88,31.89,31.88,31.88,2651.0
31.86,31.88,31.86,31.88,1000.0
31.86,31.86,31.85,31.855,1300.0
31.895,31.9,31.87,31.87,1600.0
31.895,31.9,31.89,31.9,900.0
31.9,31.91,31.89,31.9,2671.0
31.915,31.915,31.9,31.9,4500.0
31.925,31.93,31.92,31.92,1000.0
31.93,31.94,31.93,31.93,3600.0
31.955,31.96,31.94,31.94,2200.0
31.93,31.95,31.93,31.95,1900.0
31.91,31.92,31.91,31.92,700.0
31.89,31.915,31.89,31.91,1400.0
31.9,31.9,31.9,31.9,100.0
31.92,31.93,31.89,31.895,3590.0
31.905,31.92,31.905,31.915,924.0
31.9,31.905,31.895,31.905,2000.0
31.9,31.91,31.9,31.91,368.0
31.9,31.905,31.9,31.905,200.0
31.91,31.92,31.9,31.9,3908.0
31.9,31.91,31.9,31.91,700.0
31.92,31.92,31.9,31.9,924.0
31.925,31.925,31.92,31.92,1000.0
31.94,31.94,31.93,31.93,1900.0
31.95,31.95,31.94,31.945,1133.0
31.92,31.94,31.92,31.94,1349.0
31.92,31.93,31.91,31.92,7167.0
31.925,31.925,31.915,31.92,2000.0
31.94,31.94,31.915,31.93,7660.0
31.945,31.945,31.945,31.945,300.0
31.93,31.94,31.93,31.94,4119.0
31.93,31.935,31.93,31.935,224.0
31.935,31.94,31.935,31.94,590.0
31.935,31.94,31.935,31.94,200.0
31.92,31.93,31.92,31.93,2324.0
31.92,31.925,31.915,31.925,5500.0
31.92,31.925,31.92,31.925,300.0
31.94,31.94,31.93,31.93,2210.0
31.93,31.94,31.925,31.94,3200.0
31.94,31.96,31.925,31.925,6734.0
31.93,31.935,31.93,31.935,300.0
31.935,31.94,31.93,31.94,400.0
31.94,31.95,31.94,31.94,2300.0
31.96,31.96,31.95,31.95,1953.0
31.96,31.97,31.96,31.97,1800.0
31.95,31.97,31.95,31.965,800.0
31.95,31.95,31.95,31.95,1800.0
31.94,31.9467,31.94,31.94,522.0
31.94,31.94,31.94,31.94,500.0
31.93,31.93,31.93,31.93,1200.0
31.94,31.945,31.94,31.94,1700.0
31.93,31.94,31.93,31.94,1758.0
31.92,31.92,31.92,31.92,354.0
31.94,31.94,31.925,31.925,2700.0
31.95,31.955,31.94,31.94,1473.0
31.955,31.97,31.945,31.95,11233.0
31.97,31.97,31.96,31.96,2933.0
31.95,31.96,31.95,31.96,1100.0
31.96,31.96,31.955,31.96,900.0
31.95,31.96,31.95,31.95,2462.0
31.96,31.96,31.95,31.95,400.0
31.96,31.96,31.95,31.95,1200.0
31.955,31.955,31.955,31.955,1534.0
31.95,31.95,31.95,31.95,300.0
31.93,31.96,31.93,31.96,2339.0
31.94,31.94,31.93,31.93,1400.0
31.93,31.94,31.93,31.94,1500.0
31.94,31.94,31.93,31.93,500.0
31.93,31.94,31.925,31.935,2200.0
31.93,31.94,31.93,31.935,700.0
31.925,31.93,31.92,31.93,3987.0
31.91,31.92,31.91,31.92,2100.0
31.92,31.92,31.905,31.91,4544.0
31.93,31.93,31.93,31.93,500.0
31.93,31.93,31.93,31.93,100.0
31.95,31.95,31.94,31.94,1649.0
31.96,31.97,31.96,31.96,2400.0
31.95,31.95,31.95,31.95,300.0
31.95,31.955,31.95,31.95,700.0
31.95,31.95,31.95,31.95,1300.0
31.96,31.96,31.94,31.94,1642.0
31.96,31.96,31.96,31.96,100.0
31.96,31.97,31.96,31.96,751.0
31.97,31.9701,31.96,31.97,3494.0
31.975,31.975,31.975,31.975,100.0
31.97,31.98,31.97,31.98,579.0
31.965,31.97,31.96,31.97,1500.0
31.98,31.98,31.96,31.96,2445.0
31.99,31.99,31.98,31.98,700.0
31.98,31.98,31.98,31.98,1300.0
31.97,31.975,31.97,31.975,200.0
