Open,High,Low,Close,Volume
6.87,6.87,6.7912,6.7912,9200.0
6.8192,6.87,6.817,6.87,4000.0
6.8,6.8,6.79,6.79,4977.0
6.7999,6.7999,6.7999,6.7999,100.0
6.78,6.79,6.78,6.79,1457.0
6.79,6.79,6.78,6.78,1800.0
6.79,6.79,6.79,6.79,528.0
6.81,6.81,6.79,6.79,1400.0
6.8,6.8,6.8,6.8,500.0
6.8,6.81,6.8,6.81,1000.0
6.79,6.79,6.79,6.79,400.0
6.78,6.78,6.78,6.78,2279.0
6.78,6.78,6.78,6.78,1400.0
6.77,6.77,6.77,6.77,900.0
6.78,6.78,6.77,6.77,374.0
6.77,6.78,6.77,6.78,3900.0
6.8,6.8,6.78,6.78,2191.0
6.81,6.82,6.8,6.8,803.0
6.8,6.81,6.8,6.81,2200.0
6.8,6.8,6.79,6.79,1585.0
6.81,6.81,6.81,6.81,100.0
6.8006,6.81,6.8006,6.81,2400.0
6.8,6.8,6.8,6.8,300.0
6.79,6.8,6.79,6.79,1400.0
6.8,6.8,6.79,6.79,600.0
6.8,6.8,6.8,6.8,400.0
6.79,6.79,6.79,6.79,1300.0
6.79,6.79,6.79,6.79,300.0
6.79,6.79,6.79,6.79,200.0
6.79,6.79,6.79,6.79,600.0
6.79,6.79,6.79,6.79,300.0
6.8,6.8,6.8,6.8,200.0
6.805,6.81,6.8,6.8,4174.0
6.825,6.83,6.81,6.81,1961.0
6.825,6.825,6.82,6.82,3400.0
6.82,6.82,6.815,6.815,200.0
6.79,6.815,6.79,6.81,3700.0
6.785,6.785,6.785,6.785,100.0
6.78,6.78,6.78,6.78,100.0
6.78,6.785,6.78,6.78,1800.0
6.785,6.785,6.77,6.77,1840.0
6.78,6.78,6.78,6.78,100.0
6.78,6.78,6.78,6.78,100.0
6.78,6.78,6.78,6.78,200.0
6.775,6.78,6.775,6.78,4100.0
6.78,6.78,6.78,6.78,800.0
6.79,6.79,6.785,6.7878,16227.0
6.79,6.79,6.79,6.79,200.0
6.78,6.785,6.78,6.78,2000.0
6.775,6.775,6.775,6.775,100.0
6.79,6.79,6.775,6.78,1848.0
6.8,6.8,6.79,6.79,300.0
6.77,6.79,6.77,6.79,1900.0
6.77,6.77,6.77,6.77,500.0
6.77,6.77,6.765,6.765,1000.0
6.78,6.78,6.78,6.78,700.0
6.79,6.79,6.78,6.78,700.0
6.79,6.79,6.79,6.79,100.0
6.785,6.785,6.78,6.78,300.0
6.77,6.785,6.77,6.785,3000.0
6.77,6.77,6.765,6.77,1400.0
