Open,High,Low,Close,Volume
5.9,5.95,5.87,5.87,1710.0
5.9,5.9,5.88,5.88,2250.0
5.9,5.92,5.9,5.9,500.0
5.95,6.0,5.92,5.92,5720.0
5.95,5.96,5.95,5.96,500.0
5.95,5.9582,5.95,5.9582,2600.0
5.95,5.95,5.87,5.91,500.0
5.87,5.87,5.8448,5.8448,1200.0
5.8104,5.8104,5.8104,5.8104,600.0
5.87,5.87,5.87,5.87,100.0
5.874,5.874,5.874,5.874,706.0
5.87,5.87,5.83,5.83,500.0
5.87,5.87,5.87,5.87,400.0
5.88,5.88,5.88,5.88,327.0
5.8913,5.8913,5.8913,5.8913,650.0
5.8999,5.8999,5.88,5.88,916.0
5.8975,5.8975,5.885,5.8975,2100.0
5.88,5.88,5.88,5.88,100.0
5.87,5.87,5.87,5.87,600.0
5.8398,5.84,5.825,5.825,800.0
5.8598,5.8598,5.8598,5.8598,102.0
5.88,5.88,5.88,5.88,200.0
5.92,5.92,5.92,5.92,100.0
5.9,5.9,5.9,5.9,300.0
5.9182,5.92,5.917,5.92,1800.0
5.9199,5.92,5.91,5.91,1500.0
5.91,5.935,5.91,5.935,600.0
5.902,5.902,5.902,5.902,900.0
5.87,5.87,5.87,5.87,100.0
5.88,5.88,5.866,5.866,1100.0
5.89,5.89,5.89,5.89,200.0
5.85,5.87,5.85,5.87,1400.0
5.84,5.84,5.84,5.84,200.0
5.835,5.835,5.835,5.835,100.0
5.94,5.94,5.93,5.939,1775.0
5.9,5.9,5.9,5.9,100.0
5.8925,5.8925,5.8925,5.8925,100.0
5.92,5.92,5.92,5.92,100.0
5.9151,5.92,5.91,5.91,1332.0
5.88,5.905,5.88,5.88,900.0
5.89,5.89,5.88,5.88,1589.0
5.9197,5.92,5.9197,5.9199,3700.0
5.8897,5.8897,5.8897,5.8897,800.0
5.8801,5.8801,5.8801,5.8801,1000.0
5.895,5.895,5.895,5.895,100.0
5.89,5.89,5.89,5.89,300.0
5.89,5.89,5.89,5.89,100.0
5.88,5.88,5.88,5.88,100.0
5.88,5.88,5.88,5.88,100.0
5.87,5.87,5.87,5.87,100.0
5.87,5.87,5.87,5.87,200.0
5.88,5.89,5.88,5.89,300.0
5.878,5.878,5.878,5.878,1000.0
5.8727,5.8727,5.8727,5.8727,1000.0
5.87,5.8701,5.87,5.8701,1200.0
5.88,5.88,5.8736,5.8736,1100.0
5.87,5.878,5.87,5.878,1100.0
5.88,5.88,5.88,5.88,2000.0
5.87,5.88,5.87,5.88,1100.0
5.89,5.89,5.89,5.89,590.0
5.89,5.89,5.89,5.89,100.0
5.89,5.89,5.89,5.89,100.0
5.88,5.88,5.88,5.88,100.0
5.88,5.88,5.88,5.88,100.0
5.89,5.89,5.885,5.89,500.0
5.89,5.89,5.89,5.89,200.0
5.89,5.89,5.89,5.89,100.0
5.88,5.88,5.88,5.88,100.0
5.8848,5.885,5.88,5.885,1000.0
5.88,5.88,5.88,5.88,200.0
5.89,5.89,5.89,5.89,200.0
5.89,5.89,5.89,5.89,200.0
5.89,5.89,5.89,5.89,100.0
5.88,5.89,5.88,5.89,200.0
5.89,5.89,5.8701,5.8728,1325.0
5.8915,5.9,5.88,5.88,2879.0
5.91,5.92,5.91,5.92,500.0
5.91,5.91,5.91,5.91,200.0
5.9399,5.9399,5.925,5.925,269.0
5.95,5.95,5.95,5.95,200.0
5.91,5.91,5.91,5.91,100.0
5.92,5.92,5.92,5.92,100.0
5.93,5.93,5.92,5.92,2198.0
5.91,5.9215,5.91,5.92,2600.0
5.93,5.93,5.93,5.93,300.0
5.93,5.93,5.93,5.93,100.0
5.93,5.93,5.93,5.93,100.0
5.94,5.95,5.94,5.95,700.0
5.94,5.94,5.935,5.935,1000.0
5.935,5.935,5.935,5.935,100.0
5.935,5.935,5.935,5.935,200.0
5.94,5.94,5.94,5.94,300.0
5.94,5.95,5.94,5.95,800.0
5.95,5.95,5.95,5.95,200.0
5.94,5.95,5.94,5.95,200.0
5.938,5.938,5.938,5.938,1000.0
5.95,5.95,5.95,5.95,100.0
5.95,5.95,5.95,5.95,100.0
5.94,5.94,5.94,5.94,100.0
5.93,5.94,5.93,5.935,700.0
5.95,5.95,5.95,5.95,100.0
5.94,5.94,5.94,5.94,200.0
5.95,5.95,5.95,5.95,100.0
5.94,5.95,5.94,5.95,600.0
5.95,5.95,5.95,5.95,100.0
5.95,5.95,5.95,5.95,300.0
5.94,5.94,5.94,5.94,200.0
5.94,5.94,5.94,5.94,300.0
5.95,5.95,5.95,5.95,100.0
5.95,5.95,5.95,5.95,100.0
5.94,5.94,5.9366,5.94,500.0
5.9301,5.9301,5.93,5.93,648.0
5.95,5.95,5.95,5.95,100.0
5.95,5.95,5.95,5.95,100.0
5.95,5.95,5.94,5.94,300.0
5.95,5.95,5.95,5.95,200.0
6.0,6.0,5.95,5.95,5288.0
5.995,6.0,5.99,6.0,1247.0
5.99,5.99,5.98,5.985,2103.0
5.98,5.98,5.98,5.98,300.0
5.97,5.97,5.97,5.97,100.0
6.0,6.0,5.99,5.99,2048.0
