Open,High,Low,Close,Volume
5.0,5.285,5.0,5.285,200.0
5.0,5.0,5.0,5.0,1543.0
4.994,4.994,4.994,4.994,600.0
4.9841,4.9841,4.9841,4.9841,100.0
4.95,4.98,4.93,4.96,1796.0
4.97,5.0,4.965,4.965,1200.0
4.97,4.9916,4.97,4.991,8996.0
5.0,5.0,5.0,5.0,200.0
4.98,4.98,4.98,4.98,100.0
5.0,5.0,4.98,4.98,700.0
4.985,4.985,4.985,4.985,800.0
5.0,5.0,4.99,4.99,600.0
4.98,4.98,4.98,4.98,600.0
4.95,4.98,4.95,4.97,1889.0
4.97,4.97,4.97,4.97,3100.0
4.98,4.98,4.98,4.98,100.0
4.955,4.97,4.95,4.95,900.0
4.95,4.95,4.94,4.94,400.0
4.9699,4.9699,4.9699,4.9699,100.0
4.96,4.96,4.96,4.96,100.0
4.97,4.97,4.96,4.96,700.0
4.96,4.96,4.96,4.96,100.0
4.97,4.97,4.97,4.97,100.0
4.97,4.97,4.965,4.965,400.0
4.95,4.96,4.95,4.96,400.0
4.96,4.97,4.958,4.958,900.0
4.94,4.95,4.93,4.95,1290.0
4.9499,4.9499,4.9499,4.9499,100.0
4.95,4.95,4.95,4.95,100.0
4.95,4.95,4.95,4.95,100.0
4.95,4.95,4.95,4.95,100.0
4.95,4.95,4.95,4.95,100.0
4.93,4.94,4.93,4.94,250.0
4.9399,4.946,4.93,4.93,1504.0
4.9,4.93,4.9,4.93,1550.0
4.9199,4.9199,4.9199,4.9199,100.0
4.9,4.9,4.9,4.9,100.0
4.9,4.9,4.9,4.9,169.0
4.89,4.89,4.89,4.89,200.0
4.89,4.92,4.89,4.8974,1000.0
4.85,4.85,4.85,4.85,206.0
4.87,4.87,4.87,4.87,100.0
4.8699,4.8699,4.85,4.85,204.0
4.8699,4.8699,4.8699,4.8699,500.0
4.85,4.85,4.85,4.85,100.0
4.85,4.85,4.85,4.85,236.0
