Open,High,Low,Close,Volume
196.35,196.35,193.325,193.325,4100.0
192.875,194.1,192.875,192.875,1700.0
195.25,195.25,195.25,195.25,100.0
194.95,195.05,194.95,195.05,200.0
194.3,194.3,194.3,194.3,100.0
194.1,194.1,194.0,194.0,400.0
194.5,194.5,194.5,194.5,100.0
193.3446,193.3446,193.3446,193.3446,164.0
192.3,192.3,192.3,192.3,225.0
193.16,193.3,193.16,193.3,700.0
193.45,193.45,193.45,193.45,100.0
193.7,193.7,193.5,193.5,200.0
193.775,193.775,193.775,193.775,500.0
193.775,193.775,193.775,193.775,200.0
193.7,193.7,193.7,193.7,100.0
193.625,193.625,193.35,193.35,400.0
193.45,193.45,193.45,193.45,100.0
193.4,193.575,193.4,193.575,200.0
193.4,193.55,193.4,193.4,600.0
193.25,193.25,193.25,193.25,100.0
193.75,193.75,193.75,193.75,100.0
193.85,193.85,193.85,193.85,100.0
194.45,194.45,194.45,194.45,100.0
194.45,194.45,194.45,194.45,100.0
194.55,194.55,194.55,194.55,100.0
193.9,193.9,193.9,193.9,100.0
193.6,193.9,193.6,193.6,1800.0
194.8,194.8,194.8,194.8,100.0
193.7,193.7,193.7,193.7,100.0
194.0,194.0,194.0,194.0,646.0
193.85,193.85,193.675,193.675,400.0
194.0,194.0,194.0,194.0,200.0
195.35,195.35,195.35,195.35,100.0
194.9046,194.9046,194.9046,194.9046,100.0
193.9,194.1,193.85,194.1,1000.0
194.0,194.0,194.0,194.0,100.0
193.85,193.85,193.85,193.85,200.0
193.95,193.95,193.95,193.95,100.0
193.6,193.6,193.55,193.55,200.0
193.55,193.55,193.5,193.55,600.0
193.5,193.5,193.5,193.5,100.0
193.5,193.5,193.25,193.25,900.0
193.4,193.4,193.0,193.1,700.0
193.65,193.65,193.65,193.65,100.0
193.4,193.4,193.4,193.4,300.0
193.35,193.35,193.35,193.35,100.0
193.5,193.5,193.5,193.5,139.0
193.2,193.7,193.2,193.7,200.0
193.4,193.45,193.3,193.3,600.0
193.5,193.55,193.4,193.4,2191.0
193.4,193.5,193.4,193.5,3434.0
