Open,High,Low,Close,Volume
1.6701,1.772,1.6701,1.772,1022.0
1.7108,1.7108,1.7108,1.7108,496.0
1.7534,1.7534,1.7534,1.7534,9500.0
1.7468,1.7468,1.7468,1.7468,1000.0
1.8199,1.8199,1.8199,1.8199,100.0
1.8199,1.8199,1.8199,1.8199,315.0
1.7773,1.7773,1.7773,1.7773,484.0
1.71,1.71,1.71,1.71,100.0
1.7101,1.7101,1.7101,1.7101,1010.0
1.75,1.75,1.73,1.73,457.0
1.71,1.75,1.71,1.71,4300.0
1.716,1.716,1.7136,1.7136,2000.0
1.7145,1.7145,1.7145,1.7145,500.0
1.74,1.74,1.7374,1.7374,600.0
1.74,1.74,1.7399,1.7399,3000.0
1.7301,1.7301,1.7301,1.7301,500.0
1.7101,1.7101,1.7101,1.7101,225.0
1.723,1.723,1.723,1.723,2000.0
1.74,1.74,1.7126,1.7126,6258.0
1.74,1.74,1.6935,1.71,2900.0
1.7,1.7,1.7,1.7,100.0
1.6801,1.6801,1.68,1.68,700.0
1.68,1.681,1.68,1.681,2600.0
1.5549,1.685,1.5549,1.68,1953.0
1.5617,1.5617,1.5601,1.5601,1115.0
1.6191,1.6191,1.6191,1.6191,1000.0
1.575,1.575,1.575,1.575,300.0
1.65,1.66,1.65,1.66,500.0
1.65,1.66,1.645,1.645,2000.0
1.66,1.66,1.66,1.66,100.0
1.6426,1.6426,1.6426,1.6426,193.0
1.67,1.67,1.67,1.67,500.0
1.67,1.67,1.67,1.67,150.0
1.7287,1.7287,1.7287,1.7287,900.0
1.7165,1.7165,1.7165,1.7165,200.0
1.685,1.685,1.685,1.685,100.0
1.6,1.68,1.6,1.68,5000.0
1.66,1.66,1.66,1.66,200.0
1.64,1.64,1.6399,1.6399,400.0
1.6,1.64,1.6,1.64,5000.0
1.64,1.64,1.64,1.64,100.0
1.64,1.64,1.64,1.64,100.0
1.6,1.6,1.6,1.6,1000.0
1.655,1.655,1.655,1.655,100.0
1.6789,1.6789,1.67,1.67,1100.0
1.65,1.65,1.6316,1.6316,2100.0
1.6125,1.65,1.6125,1.6499,2700.0
1.65,1.65,1.65,1.65,200.0
1.65,1.65,1.65,1.65,200.0
1.64,1.65,1.64,1.6499,605.0
