Open,High,Low,Close,Volume
60.03,60.03,60.03,60.03,175.0
60.0034,60.0034,60.0034,60.0034,300.0
60.0136,60.0136,60.0136,60.0136,316.0
60.0115,60.0115,60.0,60.0,2502.0
60.0195,60.0195,60.0195,60.0195,168.0
60.0272,60.0272,60.0272,60.0272,1000.0
60.0101,60.0101,60.0101,60.0101,3000.0
60.0101,60.0101,60.0101,60.0101,200.0
60.0168,60.0168,60.0168,60.0168,250.0
60.0269,60.0269,60.0269,60.0269,1250.0
60.0299,60.0299,60.0299,60.0299,832.0
60.0149,60.0149,60.0149,60.0149,2333.0
60.0251,60.0251,60.0251,60.0251,603.0
60.0234,60.0234,60.0234,60.0234,500.0
60.0233,60.0233,60.0233,60.0233,165.0
60.0186,60.0186,60.0186,60.0186,249.0
60.015,60.015,60.0101,60.0101,1600.0
60.015,60.015,60.0101,60.0101,450.0
60.03,60.03,60.03,60.03,1334.0
60.02,60.03,60.02,60.03,4400.0
60.0299,60.0299,60.0299,60.0299,162.0
60.03,60.03,60.03,60.03,200.0
60.01,60.01,60.01,60.01,200.0
60.0129,60.0129,60.0129,60.0129,275.0
60.0199,60.0199,60.0199,60.0199,500.0
60.0168,60.0168,60.0168,60.0168,100.0
60.0202,60.0202,60.0202,60.0202,150.0
60.0104,60.0104,60.0104,60.0104,200.0
60.0198,60.0198,60.0198,60.0198,250.0
60.018,60.018,60.018,60.018,600.0
60.0181,60.0181,60.0181,60.0181,200.0
60.0096,60.0096,60.0096,60.0096,100.0
60.018,60.018,60.01,60.011,535.0
60.0146,60.0146,60.0146,60.0146,400.0
60.0135,60.0135,60.0135,60.0135,136.0
60.0134,60.0134,60.0134,60.0134,104.0
60.0171,60.0171,60.0171,60.0171,500.0
60.01,60.0101,60.01,60.0101,202.0
60.0101,60.0101,60.0101,60.0101,216.0
60.018,60.018,60.018,60.018,200.0
60.0196,60.0196,60.0196,60.0196,2250.0
60.0134,60.0134,60.0134,60.0134,663.0
60.03,60.03,60.02,60.02,24892.0
60.023,60.023,60.02,60.02,3544.0
60.02,60.02,60.02,60.02,150.0
60.0224,60.0224,60.0224,60.0224,288.0
60.0235,60.0235,60.0235,60.0235,100.0
60.03,60.03,60.02,60.02,1832.0
60.0233,60.0233,60.0233,60.0233,300.0
60.0243,60.0243,60.0243,60.0243,549.0
60.0165,60.02,60.0165,60.02,340.0
60.0101,60.0101,60.0101,60.0101,2000.0
