Open,High,Low,Close,Volume
27.55,27.55,27.55,27.55,100.0
27.6166,27.9201,27.6166,27.9201,200.0
28.13,28.14,27.96,27.96,300.0
28.1,28.1,28.1,28.1,100.0
27.53,28.05,27.53,28.05,281.0
27.54,27.54,27.54,27.54,100.0
27.7,27.7,27.5275,27.5275,300.0
27.5,27.5,27.5,27.5,100.0
27.75,27.75,27.75,27.75,100.0
27.6787,27.9,27.6787,27.75,1684.0
27.7,27.7,27.7,27.7,100.0
27.5,27.5,27.5,27.5,302.0
27.5,27.5,27.4076,27.4076,700.0
27.5,27.5,27.5,27.5,100.0
27.41,27.41,27.41,27.41,100.0
27.41,27.41,27.41,27.41,200.0
27.3883,27.3883,27.3883,27.3883,500.0
27.73,27.73,27.35,27.35,400.0
27.64,27.64,27.5,27.5,500.0
27.5,27.5,27.5,27.5,100.0
27.5,27.61,27.5,27.61,300.0
27.5,27.5,27.5,27.5,100.0
27.5,27.5,27.5,27.5,100.0
27.6369,27.6369,27.6369,27.6369,109.0
27.49,27.65,27.49,27.55,990.0
27.53,27.53,27.53,27.53,200.0
27.5,27.5,27.45,27.45,306.0
27.55,27.55,27.55,27.55,100.0
27.55,27.55,27.55,27.55,100.0
27.55,27.55,27.55,27.55,100.0
27.55,27.655,27.55,27.655,1200.0
27.55,27.655,27.55,27.55,1000.0
27.55,27.55,27.55,27.55,100.0
27.5,27.55,27.48,27.55,1056.0
27.5,27.5,27.433,27.433,850.0
27.45,27.45,27.45,27.45,100.0
27.4,27.41,27.4,27.41,1200.0
27.4,27.4,27.4,27.4,100.0
27.32,27.32,27.32,27.32,5000.0
27.555,27.75,27.39,27.39,1600.0
27.52,27.52,27.52,27.52,100.0
27.67,27.67,27.67,27.67,200.0
27.45,27.45,27.34,27.45,15506.0
27.5241,27.5241,27.5241,27.5241,100.0
27.5,27.5,27.5,27.5,200.0
27.4,27.4,27.4,27.4,100.0
27.454,27.454,27.454,27.454,1000.0
27.5,27.5,27.5,27.5,200.0
27.485,27.485,27.485,27.485,500.0
27.5,27.5,27.5,27.5,200.0
27.47,27.5,27.45,27.5,800.0
27.5,27.5,27.5,27.5,100.0
27.5,27.5,27.5,27.5,1500.0
27.5,27.5,27.5,27.5,100.0
27.5,27.5,27.5,27.5,100.0
27.5,27.5,27.5,27.5,100.0
27.4949,27.4949,27.4949,27.4949,200.0
27.5,27.5,27.5,27.5,100.0
27.9,27.9,27.5,27.5,1400.0
27.5,27.59,27.5,27.59,3151.0
27.54,27.54,27.54,27.54,100.0
27.45,27.49,27.4,27.48,1400.0
27.48,27.48,27.48,27.48,100.0
27.4,27.4,27.4,27.4,594.0
27.38,27.38,27.38,27.38,100.0
27.39,27.39,27.39,27.39,100.0
27.4,27.4,27.38,27.38,400.0
27.55,27.55,27.55,27.55,100.0
27.4,27.47,27.4,27.47,800.0
27.32,27.32,27.32,27.32,300.0
27.3,27.3,27.3,27.3,145.0
