Open,High,Low,Close,Volume
1.12,1.13,1.12,1.13,1485.0
1.1201,1.1201,1.1201,1.1201,2921.0
1.17,1.17,1.17,1.17,190.0
1.1598,1.1598,1.1598,1.1598,250.0
1.1498,1.15,1.1497,1.1497,4490.0
1.15,1.15,1.15,1.15,3000.0
1.13,1.15,1.13,1.15,3700.0
1.12,1.13,1.12,1.13,410.0
1.1456,1.1456,1.1456,1.1456,100.0
1.15,1.15,1.15,1.15,1000.0
1.138,1.138,1.138,1.138,400.0
1.15,1.15,1.1499,1.1499,860.0
1.15,1.15,1.15,1.15,100.0
1.13,1.131,1.13,1.131,1500.0
1.15,1.15,1.15,1.15,200.0
1.15,1.15,1.15,1.15,200.0
1.13,1.1301,1.13,1.1301,3000.0
1.1301,1.1301,1.1301,1.1301,467.0
1.145,1.15,1.145,1.15,2920.0
1.15,1.15,1.1483,1.1483,441.0
1.13,1.1301,1.13,1.1301,450.0
1.13,1.13,1.13,1.13,200.0
1.15,1.15,1.1473,1.1473,900.0
1.1352,1.1352,1.1352,1.1352,1200.0
1.14,1.14,1.14,1.14,800.0
1.1428,1.1428,1.1428,1.1428,500.0
1.15,1.15,1.15,1.15,100.0
1.1452,1.15,1.1452,1.15,2100.0
1.14,1.14,1.14,1.14,400.0
1.1483,1.1483,1.1483,1.1483,4000.0
1.13,1.1399,1.13,1.13,400.0
1.135,1.135,1.13,1.131,5350.0
1.135,1.135,1.135,1.135,100.0
1.14,1.14,1.14,1.14,200.0
1.1322,1.1322,1.13,1.13,2800.0
1.13,1.13,1.13,1.13,100.0
1.135,1.135,1.135,1.135,400.0
1.13,1.13,1.13,1.13,3169.0
1.1211,1.1211,1.12,1.1207,2000.0
1.1292,1.1292,1.1292,1.1292,380.0
1.13,1.13,1.13,1.13,100.0
1.1308,1.1308,1.1308,1.1308,500.0
1.1308,1.1308,1.1308,1.1308,498.0
1.14,1.14,1.14,1.14,100.0
1.13,1.13,1.13,1.13,200.0
1.14,1.14,1.14,1.14,110.0
1.14,1.14,1.14,1.14,100.0
1.14,1.14,1.14,1.14,100.0
1.14,1.15,1.14,1.15,400.0
1.12,1.1278,1.12,1.1278,200.0
1.12,1.12,1.12,1.12,110.0
1.14,1.14,1.14,1.14,100.0
1.13,1.13,1.13,1.13,100.0
1.12,1.1201,1.12,1.12,2000.0
1.12,1.12,1.12,1.12,390.0
1.1216,1.1216,1.1216,1.1216,250.0
1.14,1.14,1.14,1.14,200.0
1.12,1.13,1.12,1.13,300.0
1.12,1.1217,1.12,1.1217,3163.0
1.1201,1.1201,1.12,1.12,397.0
1.125,1.125,1.125,1.125,100.0
1.12,1.12,1.12,1.12,1000.0
1.121,1.121,1.121,1.121,1300.0
1.1247,1.1247,1.1247,1.1247,100.0
1.12,1.1206,1.12,1.12,17100.0
1.105,1.105,1.1,1.1,4600.0
1.11,1.11,1.11,1.11,1300.0
1.11,1.11,1.11,1.11,2000.0
1.11,1.12,1.11,1.12,2100.0
1.11,1.11,1.11,1.11,300.0
1.11,1.1196,1.11,1.11,6942.0
