Open,High,Low,Close,Volume
23.8,23.8,23.8,23.8,100.0
23.5768,23.5768,23.5768,23.5768,100.0
23.6,23.7,23.6,23.7,720.0
23.49,23.5,23.48,23.5,700.0
23.49,23.49,23.49,23.49,300.0
23.48,23.53,23.48,23.53,200.0
23.58,23.58,23.48,23.5799,600.0
23.58,23.58,23.58,23.58,100.0
23.58,23.58,23.58,23.58,100.0
23.63,23.67,23.58,23.6,1800.0
23.47,23.58,23.47,23.58,200.0
23.53,23.715,23.5,23.625,8000.0
23.43,23.43,23.35,23.35,200.0
23.41,23.435,23.37,23.37,500.0
23.445,23.445,23.445,23.445,100.0
23.43,23.43,23.43,23.43,100.0
23.45,23.45,23.4225,23.4225,200.0
23.44,23.46,23.44,23.46,200.0
23.45,23.45,23.45,23.45,100.0
23.43,23.5,23.39,23.45,700.0
23.445,23.45,23.445,23.45,200.0
23.5,23.5,23.5,23.5,200.0
23.44,23.49,23.44,23.49,300.0
23.53,23.53,23.53,23.53,100.0
23.5,23.5,23.5,23.5,100.0
23.525,23.525,23.525,23.525,100.0
23.6,23.6,23.6,23.6,100.0
23.55,23.55,23.55,23.55,100.0
23.59,23.59,23.59,23.59,100.0
23.56,23.61,23.56,23.56,500.0
23.61,23.61,23.61,23.61,100.0
23.61,23.61,23.61,23.61,100.0
23.54,23.54,23.54,23.54,100.0
23.58,23.58,23.58,23.58,100.0
23.51,23.51,23.51,23.51,100.0
23.51,23.54,23.5,23.53,400.0
23.5,23.5,23.5,23.5,100.0
23.53,23.53,23.43,23.45,300.0
23.45,23.45,23.45,23.45,100.0
23.5,23.5,23.5,23.5,100.0
23.43,23.43,23.43,23.43,100.0
23.44,23.45,23.36,23.41,1400.0
23.52,23.52,23.52,23.52,100.0
23.47,23.47,23.47,23.47,100.0
23.5,23.5,23.5,23.5,100.0
23.44,23.44,23.44,23.44,100.0
23.51,23.51,23.46,23.46,200.0
23.53,23.53,23.53,23.53,100.0
23.53,23.57,23.49,23.49,700.0
23.51,23.56,23.51,23.56,700.0
23.55,23.55,23.55,23.55,100.0
23.5,23.5,23.5,23.5,100.0
23.52,23.52,23.52,23.52,100.0
23.56,23.56,23.56,23.56,100.0
23.5,23.5,23.5,23.5,100.0
23.5,23.5,23.49,23.49,200.0
23.53,23.53,23.53,23.53,100.0
23.5011,23.5011,23.5011,23.5011,200.0
23.48,23.48,23.48,23.48,100.0
23.45,23.45,23.45,23.45,100.0
23.48,23.48,23.47,23.4793,700.0
23.47,23.47,23.47,23.47,100.0
23.49,23.5212,23.48,23.5212,1200.0
23.48,23.55,23.48,23.55,200.0
23.53,23.53,23.53,23.53,100.0
23.52,23.52,23.5,23.5,400.0
23.47,23.47,23.47,23.47,100.0
23.49,23.49,23.48,23.48,200.0
23.49,23.49,23.46,23.46,200.0
23.435,23.435,23.435,23.435,100.0
23.42,23.42,23.42,23.42,300.0
23.44,23.44,23.36,23.44,1500.0
23.375,23.375,23.37,23.37,300.0
23.41,23.41,23.41,23.41,100.0
23.38,23.41,23.38,23.41,200.0
23.33,23.33,23.33,23.33,100.0
23.43,23.43,23.4,23.4,200.0
23.44,23.44,23.44,23.44,100.0
23.45,23.45,23.405,23.405,300.0
23.43,23.43,23.43,23.43,100.0
23.43,23.43,23.43,23.43,100.0
23.45,23.45,23.45,23.45,100.0
23.39,23.39,23.39,23.39,100.0
23.43,23.43,23.43,23.43,100.0
23.435,23.44,23.435,23.44,298.0
23.41,23.41,23.41,23.41,100.0
23.3801,23.3801,23.3801,23.3801,146.0
23.36,23.37,23.32,23.36,700.0
23.34,23.34,23.34,23.34,100.0
23.27,23.27,23.27,23.27,300.0
23.29,23.29,23.29,23.29,100.0
23.27,23.27,23.27,23.27,100.0
23.27,23.27,23.27,23.27,100.0
23.27,23.32,23.27,23.32,200.0
23.24,23.26,23.24,23.26,200.0
23.3,23.3,23.3,23.3,100.0
23.29,23.29,23.28,23.28,200.0
23.34,23.34,23.34,23.34,100.0
23.3,23.31,23.3,23.31,200.0
23.2858,23.2858,23.2858,23.2858,125.0
23.32,23.32,23.32,23.32,100.0
23.36,23.36,23.33,23.33,200.0
23.3293,23.3293,23.3293,23.3293,165.0
23.35,23.35,23.35,23.35,100.0
23.3,23.3,23.3,23.3,100.0
23.27,23.3289,23.27,23.3289,418.0
23.32,23.32,23.31,23.31,200.0
23.32,23.32,23.32,23.32,100.0
23.28,23.32,23.28,23.32,200.0
23.33,23.33,23.33,23.33,200.0
23.31,23.31,23.29,23.29,200.0
23.32,23.32,23.32,23.32,200.0
23.33,23.33,23.33,23.33,200.0
23.29,23.29,23.29,23.29,100.0
23.25,23.27,23.25,23.27,300.0
23.29,23.29,23.24,23.24,200.0
23.24,23.3,23.24,23.25,400.0
23.25,23.25,23.25,23.25,100.0
23.25,23.3,23.25,23.25,500.0
23.24,23.3,23.24,23.3,300.0
23.28,23.28,23.28,23.28,200.0
23.26,23.26,23.24,23.26,423.0
23.24,23.26,23.24,23.26,600.0
23.24,23.24,23.22,23.22,400.0
23.23,23.24,23.2,23.24,1400.0
23.24,23.25,23.24,23.24,400.0
23.25,23.25,23.25,23.25,100.0
23.27,23.27,23.25,23.25,1100.0
23.24,23.27,23.24,23.24,600.0
23.23,23.25,23.23,23.25,300.0
23.2,23.22,23.2,23.22,761.0
23.22,23.23,23.2,23.21,8496.0
