Open,High,Low,Close,Volume
52.15,52.15,52.15,52.15,600.0
52.17,52.17,52.17,52.17,1500.0
52.15,52.15,52.15,52.15,100.0
52.13,52.15,52.13,52.15,1000.0
52.13,52.14,52.13,52.14,700.0
52.1201,52.1201,52.1201,52.1201,144.0
52.13,52.14,52.13,52.14,200.0
52.14,52.14,52.14,52.14,300.0
52.13,52.13,52.13,52.13,100.0
52.14,52.14,52.14,52.14,200.0
52.12,52.12,52.12,52.12,100.0
52.14,52.14,52.13,52.13,1247.0
52.175,52.175,52.14,52.14,1000.0
52.15,52.17,52.15,52.17,1300.0
52.15,52.15,52.15,52.15,400.0
52.15,52.15,52.15,52.15,400.0
52.14,52.141,52.14,52.14,400.0
52.12,52.12,52.12,52.12,100.0
52.1151,52.1151,52.1151,52.1151,200.0
52.14,52.14,52.14,52.14,100.0
52.1695,52.1695,52.1695,52.1695,630.0
52.1699,52.1699,52.1699,52.1699,347.0
52.14,52.14,52.14,52.14,100.0
52.1534,52.1534,52.1534,52.1534,132.0
52.1443,52.1443,52.14,52.14,907.0
52.155,52.155,52.14,52.14,600.0
52.15,52.15,52.14,52.14,400.0
52.15,52.15,52.14,52.1493,700.0
52.16,52.16,52.15,52.15,3188.0
52.15,52.15,52.15,52.15,200.0
52.16,52.16,52.15,52.15,200.0
52.15,52.15,52.15,52.15,200.0
52.1471,52.1471,52.1471,52.1471,285.0
52.15,52.15,52.15,52.15,200.0
52.1573,52.1573,52.1573,52.1573,2000.0
52.15,52.15,52.15,52.15,200.0
52.16,52.16,52.16,52.16,200.0
52.1305,52.135,52.1305,52.135,984.0
52.15,52.15,52.15,52.15,200.0
52.12,52.14,52.12,52.14,200.0
52.15,52.15,52.15,52.15,2529.0
52.1389,52.1389,52.1389,52.1389,240.0
52.15,52.15,52.15,52.15,200.0
52.15,52.15,52.15,52.15,200.0
52.15,52.15,52.15,52.15,200.0
52.145,52.145,52.145,52.145,269.0
52.15,52.15,52.15,52.15,200.0
52.1499,52.1499,52.1499,52.1499,200.0
52.15,52.15,52.15,52.15,200.0
52.12,52.12,52.12,52.12,100.0
52.15,52.15,52.12,52.15,1200.0
52.1307,52.1307,52.1307,52.1307,703.0
52.1499,52.1499,52.1499,52.1499,200.0
52.15,52.15,52.1499,52.1499,200.0
52.15,52.15,52.14,52.14,200.0
52.14,52.14,52.14,52.14,200.0
52.15,52.15,52.15,52.15,200.0
52.15,52.15,52.15,52.15,200.0
52.15,52.15,52.15,52.15,200.0
52.15,52.15,52.15,52.15,200.0
52.1398,52.1398,52.1398,52.1398,767.0
52.15,52.15,52.15,52.15,200.0
52.15,52.15,52.1483,52.15,300.0
52.16,52.17,52.1499,52.15,2269.0
52.1631,52.1631,52.1631,52.1631,348.0
52.1699,52.1699,52.1699,52.1699,200.0
52.1525,52.1525,52.15,52.15,200.0
52.17,52.17,52.16,52.16,817.0
52.1608,52.1608,52.16,52.16,516.0
52.16,52.16,52.16,52.16,600.0
52.1375,52.14,52.13,52.14,1300.0
52.1564,52.1564,52.1564,52.1564,175.0
52.15,52.15,52.15,52.15,100.0
52.17,52.17,52.16,52.16,300.0
52.15,52.15,52.15,52.15,2000.0
52.1702,52.1702,52.1702,52.1702,360.0
52.18,52.18,52.16,52.16,3268.0
52.1601,52.1601,52.1601,52.1601,226.0
52.15,52.15,52.15,52.15,200.0
52.1772,52.1799,52.1772,52.1799,800.0
52.1765,52.1799,52.1765,52.1799,800.0
52.15,52.15,52.15,52.15,100.0
52.175,52.175,52.175,52.175,231.0
52.1799,52.1799,52.1799,52.1799,108.0
52.16,52.16,52.16,52.16,385.0
52.1704,52.1704,52.1704,52.1704,100.0
52.16,52.1799,52.16,52.1799,891.0
52.16,52.16,52.16,52.16,100.0
52.16,52.173,52.16,52.17,739.0
52.16,52.17,52.16,52.17,209.0
52.17,52.17,52.15,52.15,229.0
