Open,High,Low,Close,Volume
139.33,139.33,139.295,139.3,430030.0
139.45,139.49,139.31,139.32,165255.0
139.56,139.64,139.44,139.45,230974.0
139.54,139.65,139.52,139.58,149408.0
139.45,139.56,139.42,139.5446,140349.0
139.41,139.5398,139.41,139.4412,66925.0
139.38,139.44,139.35,139.42,85863.0
139.4497,139.45,139.38,139.38,66728.0
139.4,139.45,139.39,139.44,58980.0
139.44,139.44,139.34,139.4099,44166.0
139.52,139.54,139.41,139.44,57404.0
139.55,139.56,139.48,139.51,45193.0
139.49,139.56,139.43,139.54,63826.0
139.54,139.58,139.485,139.485,60092.0
139.52,139.58,139.51,139.5207,48240.0
139.565,139.58,139.522,139.53,38206.0
139.5,139.565,139.47,139.56,55894.0
139.5117,139.59,139.5,139.5,39529.0
139.52,139.57,139.49,139.5173,27255.0
139.5007,139.56,139.49,139.53,39824.0
139.54,139.565,139.495,139.5,36609.0
139.4238,139.5601,139.4,139.5445,85238.0
139.4,139.4265,139.365,139.42,67306.0
139.32,139.4,139.3,139.4,154393.0
139.42,139.42,139.3,139.32,114613.0
139.4701,139.4701,139.4,139.42,34683.0
139.36,139.49,139.36,139.475,52092.0
139.31,139.36,139.3,139.36,49498.0
139.3701,139.38,139.25,139.3,173944.0
139.425,139.425,139.34,139.37,31565.0
139.44,139.45,139.37,139.42,52306.0
139.33,139.45,139.32,139.44,40036.0
139.35,139.3747,139.28,139.33,39274.0
139.36,139.3901,139.34,139.3599,39545.0
139.33,139.39,139.3,139.3816,33492.0
139.3301,139.38,139.32,139.33,26886.0
139.355,139.36,139.3,139.33,32888.0
139.3,139.37,139.29,139.36,30306.0
139.295,139.32,139.23,139.3,59397.0
139.25,139.31,139.24,139.3,15838.0
139.242,139.27,139.22,139.24,43032.0
139.25,139.28,139.23,139.24,22801.0
139.265,139.27,139.215,139.24,38160.0
139.295,139.3,139.25,139.27,37733.0
139.27,139.3141,139.26,139.3,39288.0
139.25,139.3,139.23,139.27,36374.0
139.1952,139.27,139.19,139.26,37951.0
139.19,139.22,139.16,139.19,28567.0
139.13,139.19,139.13,139.19,43470.0
139.075,139.18,139.07,139.12,80195.0
138.94,139.0997,138.94,139.08,116644.0
139.0,139.0,138.92,138.9495,50241.0
139.05,139.06,138.96,138.9969,59491.0
139.0307,139.13,139.02,139.055,58972.0
139.0683,139.0683,139.01,139.0346,32793.0
139.05,139.11,139.045,139.07,37714.0
139.0907,139.1,139.02,139.05,87420.0
139.15,139.15,139.05,139.0999,39376.0
139.17,139.17,139.13,139.15,37481.0
139.21,139.21,139.16,139.17,51954.0
139.1,139.21,139.09,139.2,29832.0
139.02,139.11,139.0,139.1,44142.0
139.05,139.07,139.01,139.0264,26580.0
139.05,139.06,139.01,139.045,19991.0
139.105,139.105,139.04,139.05,20733.0
139.085,139.115,139.075,139.1001,17453.0
139.03,139.1,139.03,139.08,20792.0
138.9654,139.04,138.9654,139.0335,56842.0
139.0189,139.06,138.965,138.9693,49635.0
138.97,139.03,138.9645,139.02,26790.0
138.95,138.9809,138.95,138.9646,20123.0
138.91,138.95,138.87,138.95,60312.0
138.9201,138.94,138.91,138.9152,16045.0
138.88,138.93,138.8654,138.9233,52472.0
138.89,138.9101,138.8778,138.8808,45501.0
138.91,138.961,138.89,138.89,51894.0
138.85,138.91,138.84,138.905,56336.0
138.91,138.91,138.85,138.85,18520.0
138.92,138.925,138.88,138.905,34757.0
138.92,138.92,138.9,138.911,21367.0
138.91,138.95,138.9,138.915,37003.0
138.92,138.94,138.9,138.91,38008.0
138.945,138.95,138.87,138.92,106025.0
138.973,138.98,138.93,138.945,40589.0
138.95,138.98,138.95,138.97,32152.0
138.935,138.97,138.92,138.95,26701.0
138.96,138.98,138.9,138.946,32239.0
138.98,138.98,138.93,138.96,28331.0
138.975,138.995,138.96,138.98,31043.0
138.99,139.01,138.95,138.98,56526.0
139.03,139.05,139.0,139.0,26050.0
139.03,139.05,139.0,139.04,30990.0
138.97,139.04,138.97,139.04,26260.0
138.97,138.99,138.955,138.968,35790.0
138.978,138.99,138.96,138.97,28919.0
139.01,139.0399,138.97,138.98,33702.0
138.98,139.01,138.98,139.0053,31160.0
139.03,139.035,138.98,138.985,12125.0
139.04,139.04,139.02,139.0299,24537.0
139.02,139.05,139.01,139.04,19327.0
138.98,139.04,138.97,139.02,51988.0
139.0199,139.02,138.94,138.97,36679.0
138.99,139.01,138.96,139.01,24751.0
138.94,138.99,138.93,138.985,43894.0
138.9265,138.95,138.91,138.94,12438.0
138.9235,138.94,138.9,138.92,20785.0
139.02,139.02,138.9201,138.9201,40552.0
139.03,139.07,138.99,139.02,50040.0
139.06,139.08,139.01,139.03,42099.0
139.105,139.14,139.06,139.06,39484.0
139.0565,139.12,139.0433,139.11,31941.0
