Open,High,Low,Close,Volume
92.39,92.39,92.25,92.31,11521.0
92.475,92.475,92.475,92.475,100.0
92.51,92.59,92.5,92.5,3997.0
92.425,92.74,92.33,92.68,1200.0
92.425,92.425,92.425,92.425,100.0
92.2,92.2,92.19,92.19,200.0
92.17,92.35,92.17,92.35,534.0
92.225,92.27,92.09,92.26,900.0
92.22,92.25,92.125,92.1851,1420.0
92.22,92.22,92.08,92.17,700.0
92.15,92.2,92.15,92.2,300.0
91.59,92.1,91.59,92.09,2100.0
91.775,91.8,91.59,91.74,2800.0
91.67,91.78,91.67,91.7367,950.0
91.77,91.77,91.655,91.655,600.0
92.005,92.04,91.76,91.76,4105.0
91.79,92.04,91.72,91.97,3500.0
91.73,91.78,91.73,91.74,589.0
91.85,91.85,91.735,91.76,1901.0
91.81,91.91,91.81,91.825,4200.0
91.735,91.735,91.735,91.735,100.0
91.84,91.84,91.8103,91.84,2811.0
91.715,91.81,91.715,91.81,800.0
91.63,91.73,91.63,91.71,2000.0
91.63,91.63,91.57,91.59,2000.0
91.53,91.645,91.52,91.645,1500.0
91.63,91.63,91.58,91.58,500.0
91.73,91.73,91.595,91.65,3500.0
91.67,91.75,91.67,91.72,3065.0
91.66,91.668,91.66,91.66,402.0
91.81,91.81,91.68,91.7,4846.0
91.71,91.81,91.71,91.81,2400.0
91.71,91.71,91.7,91.71,900.0
91.77,91.8,91.71,91.71,5159.0
91.82,91.85,91.76,91.76,1862.0
91.73,91.84,91.72,91.84,1900.0
91.7086,91.73,91.69,91.72,1219.0
91.77,91.81,91.72,91.72,1600.0
91.7701,91.78,91.75,91.76,2900.0
91.81,91.83,91.81,91.81,1100.0
91.81,91.83,91.79,91.79,3477.0
91.69,91.78,91.67,91.78,2500.0
91.71,91.72,91.7,91.7,1100.0
91.69,91.71,91.67,91.71,2450.0
91.75,91.76,91.69,91.69,2400.0
91.68,91.75,91.63,91.75,3601.0
91.53,91.635,91.53,91.63,1110.0
91.565,91.59,91.4797,91.49,2554.0
91.53,91.57,91.52,91.56,1848.0
91.48,91.53,91.45,91.53,1865.0
91.55,91.55,91.505,91.51,900.0
91.65,91.65,91.56,91.56,1725.0
91.77,91.77,91.63,91.63,1100.0
91.74,91.745,91.72,91.73,1100.0
91.63,91.73,91.63,91.69,1808.0
91.6888,91.71,91.65,91.65,3422.0
91.689,91.689,91.68,91.6838,509.0
91.73,91.73,91.69,91.69,3321.0
91.665,91.73,91.665,91.73,1600.0
91.67,91.74,91.67,91.7,1802.0
91.64,91.7,91.64,91.7,500.0
91.64,91.65,91.61,91.65,300.0
91.6025,91.615,91.59,91.615,500.0
91.61,91.64,91.61,91.62,400.0
91.725,91.74,91.6,91.6,4300.0
91.6,91.73,91.58,91.72,3100.0
91.68,91.68,91.59,91.59,1400.0
91.67,91.67,91.61,91.664,1536.0
91.665,91.665,91.6375,91.6375,200.0
91.695,91.71,91.675,91.69,2220.0
91.71,91.74,91.66,91.67,28935.0
91.76,91.76,91.7201,91.74,3901.0
91.83,91.83,91.77,91.78,4601.0
91.75,91.83,91.74,91.829,9384.0
91.78,91.78,91.78,91.78,758.0
91.82,91.84,91.77,91.825,2000.0
91.78,91.7812,91.78,91.7812,290.0
91.875,91.875,91.8375,91.84,3697.0
91.84,91.9,91.84,91.89,2018.0
91.91,91.97,91.875,91.88,1610.0
91.86,91.91,91.86,91.91,1902.0
91.88,91.88,91.84,91.84,335.0
91.82,91.82,91.82,91.82,300.0
91.8101,91.84,91.8101,91.82,1100.0
91.855,91.89,91.8,91.8,2965.0
91.8899,91.8899,91.8879,91.8879,240.0
91.84,91.87,91.83,91.865,1097.0
91.79,91.81,91.79,91.81,500.0
91.8059,91.81,91.76,91.81,616.0
91.78,91.7801,91.78,91.7801,825.0
91.72,91.76,91.72,91.76,1601.0
91.68,91.7291,91.68,91.7,677.0
91.69,91.75,91.68,91.705,1800.0
91.67,91.69,91.67,91.67,865.0
91.66,91.67,91.65,91.67,1200.0
91.66,91.68,91.64,91.66,3500.0
91.65,91.68,91.65,91.68,300.0
91.65,91.68,91.65,91.68,800.0
91.6,91.66,91.6,91.64,1800.0
91.59,91.64,91.59,91.6,1800.0
91.57,91.59,91.5472,91.59,1643.0
91.55,91.57,91.53,91.53,1206.0
91.55,91.56,91.55,91.55,688.0
91.57,91.57,91.54,91.54,1440.0
91.54,91.55,91.54,91.55,500.0
91.47,91.5381,91.45,91.51,1762.0
91.48,91.49,91.48,91.48,971.0
91.5,91.5,91.5,91.5,400.0
91.53,91.55,91.52,91.52,1765.0
91.54,91.54,91.52,91.52,200.0
91.5,91.53,91.5,91.52,700.0
91.44,91.47,91.44,91.47,200.0
91.46,91.46,91.4,91.46,2597.0
91.45,91.45,91.44,91.44,300.0
91.49,91.49,91.45,91.45,600.0
91.4,91.49,91.4,91.49,1100.0
91.4799,91.4799,91.43,91.43,1447.0
91.48,91.48,91.48,91.48,800.0
91.5,91.5,91.45,91.49,565.0
91.54,91.54,91.4906,91.4906,817.0
91.55,91.55,91.52,91.52,400.0
91.59,91.59,91.5375,91.545,4364.0
91.63,91.63,91.57,91.57,1600.0
91.64,91.64,91.61,91.63,2700.0
91.6,91.63,91.6,91.63,1700.0
91.6,91.6,91.58,91.58,2200.0
91.59,91.6,91.57,91.6,900.0
91.55,91.6,91.55,91.575,8238.0
91.58,91.58,91.52,91.5237,2015.0
91.49,91.605,91.49,91.6,7572.0
91.5,91.5123,91.49,91.5123,3240.0
91.6,91.6,91.54,91.54,1600.0
91.56,91.59,91.56,91.58,700.0
91.6,91.63,91.575,91.59,4700.0
91.56,91.62,91.56,91.6,916.0
91.59,91.59,91.54,91.59,400.0
91.555,91.555,91.555,91.555,400.0
91.53,91.56,91.53,91.56,900.0
91.52,91.54,91.52,91.53,600.0
91.55,91.59,91.54,91.55,2087.0
91.56,91.56,91.55,91.55,800.0
91.57,91.6,91.56,91.56,2970.0
91.6,91.6,91.59,91.59,2654.0
91.58,91.6,91.57,91.6,2700.0
91.52,91.57,91.52,91.57,1400.0
91.45,91.47,91.45,91.47,500.0
91.53,91.53,91.44,91.44,2030.0
91.59,91.59,91.52,91.535,2970.0
91.57,91.59,91.56,91.59,2448.0
91.53,91.58,91.53,91.579,3446.0
91.56,91.5888,91.54,91.54,801.0
91.57,91.57,91.55,91.55,450.0
91.57,91.57,91.56,91.57,873.0
91.55,91.57,91.53,91.57,1099.0
91.56,91.56,91.5375,91.55,800.0
91.5,91.55,91.48,91.55,8295.0
91.55,91.55,91.48,91.48,11853.0
91.54,91.55,91.5,91.55,10175.0
91.53,91.58,91.53,91.55,11381.0
91.56,91.57,91.51,91.51,2000.0
91.57,91.57,91.54,91.54,300.0
91.55,91.57,91.52,91.57,600.0
