Open,High,Low,Close,Volume
80.12,80.29,80.12,80.29,257.0
80.252,80.252,80.135,80.135,1015.0
80.22,80.27,80.22,80.27,7183.0
80.18,80.25,80.18,80.24,700.0
80.205,80.27,80.2,80.21,4800.0
80.35,80.36,80.2,80.2,29077.0
80.4678,80.535,80.45,80.45,1918.0
80.59,80.59,80.58,80.58,300.0
80.59,80.59,80.51,80.53,2299.0
80.51,80.59,80.51,80.59,4000.0
80.43,80.51,80.42,80.5099,10637.0
80.36,80.46,80.33,80.44,6035.0
80.355,80.38,80.33,80.37,16064.0
80.29,80.36,80.28,80.35,15736.0
80.33,80.34,80.26,80.28,10270.0
80.295,80.32,80.29,80.32,14137.0
80.205,80.3,80.19,80.3,20325.0
80.11,80.2,80.11,80.19,28171.0
80.08,80.14,80.05,80.11,14949.0
80.0,80.1,80.0,80.08,19926.0
80.095,80.15,80.0,80.0,20889.0
80.05,80.09,80.01,80.09,25208.0
79.96,80.06,79.955,80.06,9680.0
79.94,80.0,79.94,79.97,14921.0
79.87,79.94,79.87,79.94,8282.0
79.93,79.99,79.86,79.87,11599.0
79.84,79.93,79.84,79.91,4043.0
79.73,79.835,79.73,79.82,14548.0
79.84,79.84,79.65,79.71,37074.0
79.9,79.9,79.82,79.84,5632.0
79.92,79.92,79.845,79.91,8469.0
79.95,79.95,79.89,79.93,9113.0
79.94,79.98,79.91,79.96,3201.0
79.94,79.98,79.94,79.96,1900.0
80.0,80.0,79.95,79.95,2561.0
79.99,80.01,79.97,80.0,6599.0
80.06,80.06,79.99,79.99,5808.0
79.99,80.04,79.97,80.04,8465.0
79.98,80.02,79.97,80.01,6208.0
80.01,80.04,79.99,80.0,11600.0
80.03,80.05,79.98,80.02,18811.0
80.14,80.14,80.01,80.03,17971.0
80.08,80.13,80.05,80.13,3712.0
80.12,80.16,80.09,80.1,5501.0
80.11,80.16,80.07,80.14,4650.0
80.09,80.12,80.075,80.11,1500.0
80.1,80.12,80.09,80.09,5292.0
80.1,80.15,80.1,80.12,6100.0
80.08,80.13,80.07,80.1,4600.0
80.06,80.11,80.06,80.1,1800.0
80.14,80.14,80.09,80.09,2767.0
80.13,80.16,80.13,80.14,2616.0
80.13,80.13,80.1,80.12,3999.0
80.14,80.14,80.11,80.11,2390.0
80.22,80.22,80.14,80.15,2416.0
80.2575,80.27,80.2,80.24,9440.0
80.285,80.3,80.25,80.25,2950.0
80.25,80.29,80.25,80.29,2113.0
80.27,80.29,80.25,80.27,6420.0
80.25,80.3,80.23,80.265,12385.0
80.21,80.26,80.21,80.25,3800.0
80.23,80.23,80.19,80.19,1694.0
80.2011,80.24,80.2011,80.23,1900.0
80.27,80.27,80.23,80.23,1000.0
80.33,80.33,80.27,80.27,3091.0
80.34,80.3585,80.33,80.34,2996.0
80.33,80.39,80.33,80.34,9196.0
80.4,80.4,80.31,80.34,12464.0
80.46,80.46,80.4086,80.41,6619.0
80.5,80.5,80.45,80.46,1873.0
80.46,80.49,80.46,80.49,800.0
80.41,80.48,80.41,80.48,3700.0
80.44,80.45,80.425,80.43,2599.0
80.45,80.46,80.43,80.44,2800.0
80.44,80.46,80.44,80.46,1800.0
80.3932,80.43,80.39,80.43,1043.0
80.4,80.41,80.38,80.38,3225.0
80.46,80.47,80.41,80.41,4367.0
80.4,80.46,80.4,80.46,2200.0
80.43,80.43,80.38,80.4,3000.0
