Open,High,Low,Close,Volume
54.17,54.17,54.17,54.17,11447.0
54.01,54.01,54.01,54.01,200.0
53.9801,54.11,53.9801,54.09,600.0
54.15,54.15,54.13,54.14,400.0
54.08,54.08,54.08,54.08,300.0
54.0,54.07,54.0,54.06,500.0
54.0,54.06,54.0,54.05,400.0
54.08,54.08,54.02,54.05,700.0
54.03,54.06,54.01,54.06,1800.0
54.04,54.06,54.03,54.05,3600.0
54.01,54.04,54.0075,54.0075,500.0
54.06,54.07,54.01,54.05,2100.0
54.05,54.05,54.05,54.05,100.0
54.1,54.1,54.1,54.1,100.0
54.08,54.09,54.06,54.09,1199.0
54.0,54.05,53.97,54.05,1994.0
53.99,54.01,53.97,54.01,800.0
53.98,54.0,53.98,54.0,700.0
53.95,53.97,53.94,53.97,2066.0
53.99,53.99,53.91,53.91,1004.0
54.02,54.04,54.0,54.0,1411.0
54.0501,54.08,53.98,53.98,11180.0
54.05,54.09,54.05,54.09,800.0
54.1,54.1,54.06,54.06,500.0
54.14,54.14,54.1131,54.14,400.0
54.17,54.17,54.14,54.14,500.0
54.17,54.17,54.17,54.17,400.0
54.24,54.24,54.185,54.21,1970.0
54.22,54.25,54.22,54.24,1325.0
54.2,54.22,54.2,54.22,1200.0
54.23,54.23,54.22,54.23,800.0
54.18,54.22,54.18,54.22,1000.0
54.19,54.19,54.12,54.12,1341.0
54.17,54.18,54.14,54.16,1200.0
54.13,54.19,54.13,54.18,2000.0
54.12,54.12,54.12,54.12,200.0
54.13,54.15,54.13,54.13,1737.0
54.11,54.11,54.11,54.11,279.0
54.08,54.09,54.08,54.08,601.0
54.04,54.1,54.03,54.1,2000.0
54.02,54.02,54.02,54.02,100.0
54.0,54.01,53.98,53.99,2400.0
54.0,54.0,53.99,53.99,500.0
54.02,54.02,54.0,54.0,600.0
54.02,54.02,54.02,54.02,200.0
54.0,54.0,54.0,54.0,600.0
53.97,53.99,53.97,53.97,1006.0
53.94,53.94,53.93,53.94,1200.0
53.97,53.97,53.94,53.94,1600.0
53.99,53.99,53.99,53.99,400.0
54.03,54.03,54.01,54.01,600.0
54.01,54.02,54.0,54.02,2147.0
54.06,54.06,54.03,54.03,1227.0
54.02,54.05,54.02,54.05,900.0
54.04,54.04,54.01,54.02,1500.0
54.01,54.01,54.01,54.01,100.0
54.025,54.025,54.025,54.025,100.0
54.06,54.1,54.04,54.04,3501.0
54.07,54.08,54.05,54.08,1401.0
54.12,54.12,54.07,54.07,800.0
54.12,54.13,54.1,54.105,1826.0
54.13,54.15,54.11,54.11,1400.0
54.11,54.14,54.11,54.14,2840.0
54.0992,54.12,54.0992,54.11,2249.0
54.12,54.12,54.09,54.09,1200.0
54.085,54.11,54.085,54.11,2112.0
54.08,54.099,54.08,54.09,1046.0
