Open,High,Low,Close,Volume
11.02,11.02,11.02,11.02,345.0
11.0,11.015,10.99,11.0,131919.0
11.0,11.0,10.98,10.99,3300.0
11.0,11.0,11.0,11.0,1500.0
11.0,11.01,11.0,11.005,4500.0
11.02,11.02,11.0,11.0,14506.0
11.0,11.04,10.99,11.03,16677.0
10.985,11.0,10.985,11.0,6350.0
10.99,10.99,10.98,10.98,4050.0
10.96,10.98,10.96,10.98,6554.0
10.97,10.97,10.96,10.96,1300.0
10.985,10.99,10.97,10.97,4933.0
10.98,10.98,10.98,10.98,2562.0
11.0008,11.01,10.9854,10.9854,24920.0
11.0,11.005,11.0,11.0,6710.0
11.0,11.0,10.99,10.995,3950.0
10.995,10.9955,10.995,10.9955,950.0
10.98,10.995,10.98,10.99,7579.0
10.965,10.97,10.965,10.97,1700.0
10.97,10.97,10.965,10.97,4809.0
10.96,10.97,10.955,10.97,7807.0
10.965,10.97,10.965,10.965,1000.0
10.98,10.98,10.965,10.97,3850.0
10.98,10.98,10.975,10.98,2884.0
10.99,10.99,10.985,10.99,2100.0
11.0,11.0,10.99,10.99,1567.0
11.01,11.01,11.0,11.0,2000.0
11.01,11.01,11.005,11.01,3820.0
11.02,11.02,11.01,11.01,2484.0
11.02,11.02,11.015,11.02,2792.0
11.0,11.03,11.0,11.015,8722.0
10.995,11.005,10.995,11.0,5151.0
10.995,11.0,10.985,10.995,9141.0
10.985,10.995,10.985,10.995,3600.0
10.97,10.985,10.97,10.98,4800.0
10.98,10.985,10.975,10.975,4759.0
10.97,10.985,10.965,10.985,7246.0
10.9403,10.975,10.94,10.97,12861.0
10.945,10.9499,10.9419,10.945,1600.0
10.945,10.9568,10.945,10.95,7930.0
10.95,10.96,10.94,10.945,11285.0
10.95,10.95,10.94,10.945,2757.0
10.95,10.95,10.945,10.95,3156.0
10.949,10.949,10.94,10.945,1250.0
10.94,10.945,10.935,10.94,21359.0
10.945,10.945,10.94,10.94,6360.0
10.945,10.95,10.94,10.945,1400.0
10.95,10.95,10.945,10.95,7304.0
10.9515,10.96,10.95,10.96,5943.0
10.94,10.96,10.94,10.96,10180.0
10.93,10.9446,10.93,10.94,3940.0
10.935,10.94,10.93,10.93,2525.0
10.945,10.95,10.935,10.935,8927.0
10.95,10.95,10.94,10.944,11738.0
10.95,10.95,10.94,10.945,4210.0
10.955,10.955,10.945,10.95,7982.0
10.955,10.96,10.95,10.955,7093.0
10.945,10.955,10.945,10.955,5095.0
10.945,10.945,10.94,10.94,1700.0
