Open,High,Low,Close,Volume
130.78,130.9,130.43,130.55,12218.0
130.6399,130.9,130.51,130.76,9927.0
131.13,131.25,130.62,130.63,5660.0
130.97,131.15,130.92,131.15,10654.0
131.05,131.08,131.03,131.05,3700.0
131.0,131.08,131.0,131.0747,5650.0
130.98,130.98,130.98,130.98,100.0
130.98,131.04,130.98,131.01,7300.0
130.86,131.01,130.86,131.01,4400.0
130.73,130.85,130.71,130.85,2749.0
130.795,130.84,130.755,130.755,4031.0
130.74,130.8,130.73,130.8,2432.0
130.8,130.86,130.79,130.82,3512.0
130.86,130.86,130.805,130.805,700.0
130.85,130.87,130.835,130.835,2530.0
130.84,130.865,130.84,130.865,600.0
130.82,130.85,130.82,130.84,1608.0
130.82,130.85,130.82,130.85,300.0
130.61,130.82,130.61,130.82,14624.0
130.64,130.64,130.62,130.62,300.0
130.62,130.6627,130.62,130.63,800.0
130.62,130.62,130.62,130.62,215.0
130.58,130.63,130.57,130.63,2742.0
130.56,130.57,130.53,130.57,516.0
130.55,130.61,130.55,130.61,600.0
130.45,130.55,130.45,130.55,1024.0
130.42,130.46,130.41,130.45,800.0
130.36,130.48,130.36,130.42,1373.0
130.32,130.4,130.32,130.36,1638.0
130.25,130.36,130.25,130.31,1986.0
130.225,130.232,130.21,130.22,857.0
130.27,130.3,130.19,130.24,6890.0
130.35,130.35,130.21,130.21,2500.0
130.3,130.33,130.3,130.33,1000.0
130.4,130.406,130.32,130.32,3605.0
130.3,130.37,130.3,130.37,1895.0
130.34,130.36,130.28,130.28,4101.0
130.345,130.36,130.34,130.35,4830.0
130.25,130.345,130.2,130.33,5377.0
130.305,130.31,130.24,130.24,4519.0
130.22,130.28,130.21,130.28,5757.0
130.12,130.26,130.09,130.24,7752.0
130.07,130.16,130.04,130.15,8357.0
130.11,130.16,130.1,130.1,3255.0
130.29,130.31,130.14,130.14,9268.0
130.23,130.27,130.23,130.27,2965.0
130.23,130.24,130.201,130.2274,2110.0
130.24,130.28,130.23,130.235,8322.0
130.19,130.22,130.19,130.22,1314.0
130.19,130.2,130.17,130.17,4386.0
130.14,130.19,130.12,130.19,4130.0
129.93,130.13,129.93,130.13,6353.0
129.8601,129.91,129.83,129.91,6152.0
129.8,129.87,129.8,129.86,16051.0
129.7,129.84,129.66,129.825,8100.0
129.53,129.72,129.48,129.72,2800.0
129.5598,129.63,129.54,129.57,5834.0
129.565,129.565,129.46,129.54,10575.0
129.59,129.63,129.52,129.565,5822.0
129.665,129.68,129.585,129.59,5204.0
129.69,129.71,129.65,129.68,2600.0
129.61,129.7,129.61,129.69,16401.0
129.685,129.7,129.59,129.615,7608.0
129.7,129.74,129.67,129.69,6119.0
129.63,129.72,129.6,129.7,11294.0
129.59,129.63,129.59,129.63,5800.0
129.64,129.65,129.56,129.605,18800.0
129.61,129.64,129.555,129.64,17808.0
129.705,129.72,129.61,129.62,6131.0
129.67,129.79,129.67,129.72,7589.0
129.61,129.65,129.53,129.65,7300.0
129.64,129.69,129.6,129.61,4442.0
129.64,129.67,129.61,129.61,2090.0
129.615,129.69,129.61,129.65,5523.0
129.72,129.72,129.61,129.63,1700.0
129.74,129.79,129.7,129.71,3941.0
129.8,129.81,129.775,129.775,1000.0
129.81,129.84,129.76,129.81,5269.0
129.76,129.82,129.76,129.82,1500.0
129.79,129.79,129.79,129.79,100.0
129.67,129.8,129.67,129.79,5768.0
129.64,129.72,129.6256,129.7,9263.0
129.555,129.67,129.54,129.65,3200.0
129.485,129.57,129.485,129.555,2500.0
129.51,129.54,129.41,129.49,12787.0
129.6,129.6,129.52,129.53,1900.0
129.6,129.62,129.55,129.61,4104.0
129.58,129.615,129.58,129.6,3511.0
129.48,129.595,129.48,129.589,3901.0
129.51,129.53,129.48,129.49,2628.0
129.405,129.47,129.37,129.47,1605.0
129.405,129.46,129.38,129.44,3400.0
129.36,129.38,129.33,129.38,1900.0
129.47,129.47,129.39,129.39,2600.0
129.4525,129.47,129.37,129.44,4817.0
129.47,129.47,129.4,129.45,3084.0
129.53,129.53,129.41,129.41,7246.0
129.5,129.53,129.49,129.52,3200.0
129.4453,129.5,129.44,129.5,2843.0
129.435,129.47,129.4,129.44,10851.0
129.37,129.429,129.37,129.42,3037.0
129.39,129.4,129.35,129.37,6400.0
129.37,129.39,129.35,129.36,6200.0
129.34,129.36,129.2775,129.36,5246.0
129.22,129.35,129.22,129.35,6027.0
129.29,129.29,129.22,129.28,16652.0
129.12,129.28,129.09,129.28,2400.0
129.3092,129.3092,129.1,129.11,4173.0
129.275,129.275,129.24,129.24,500.0
129.31,129.31,129.2,129.24,8631.0
129.34,129.39,129.3006,129.31,8425.0
129.32,129.361,129.31,129.36,3300.0
129.25,129.305,129.25,129.305,6379.0
129.18,129.23,129.18,129.23,1000.0
129.248,129.25,129.17,129.18,9929.0
129.16,129.28,129.16,129.24,9701.0
129.1,129.17,129.08,129.17,1659.0
129.08,129.17,129.06,129.17,7366.0
129.1156,129.14,129.031,129.05,6800.0
129.03,129.1,129.03,129.1,3000.0
129.0,129.04,129.0,129.01,11618.0
129.01,129.04,128.98,129.01,13529.0
128.96,129.06,128.95,129.04,3400.0
128.85,129.01,128.65,128.97,19541.0
129.04,129.07,128.91,128.91,2895.0
129.16,129.16,129.09,129.09,3812.0
129.15,129.25,129.09,129.2,16810.0
129.15,129.18,129.15,129.15,4461.0
