Open,High,Low,Close,Volume
62.78,62.8,62.52,62.8,13060.0
63.045,63.05,62.95,62.95,1465.0
63.01,63.02,62.9,62.91,2135.0
62.89,62.9,62.83,62.9,2400.0
62.88,62.91,62.85,62.86,2159.0
62.885,62.885,62.88,62.88,200.0
62.87,62.87,62.87,62.87,200.0
62.92,62.92,62.87,62.8725,3000.0
62.85,62.95,62.85,62.92,2300.0
62.86,62.88,62.86,62.88,200.0
62.82,62.86,62.81,62.85,1800.0
62.82,62.83,62.79,62.8,1200.0
62.83,62.83,62.83,62.83,100.0
62.75,62.86,62.74,62.86,6541.0
62.81,62.81,62.81,62.81,200.0
62.76,62.78,62.75,62.78,2300.0
62.665,62.76,62.665,62.76,3897.0
62.705,62.705,62.6201,62.66,3501.0
62.705,62.705,62.705,62.705,100.0
62.67,62.7,62.67,62.68,3808.0
62.65,62.67,62.62,62.67,2010.0
62.67,62.67,62.63,62.65,1400.0
62.71,62.71,62.69,62.69,500.0
62.77,62.77,62.72,62.72,1341.0
62.69,62.75,62.69,62.74,5450.0
62.68,62.695,62.68,62.695,500.0
62.68,62.71,62.67,62.67,3462.0
62.74,62.76,62.7,62.7,5100.0
62.71,62.74,62.7,62.735,1980.0
62.75,62.75,62.7,62.71,1400.0
62.7564,62.7564,62.75,62.75,1736.0
62.745,62.755,62.74,62.755,500.0
62.81,62.81,62.745,62.745,1483.0
62.82,62.83,62.82,62.82,1292.0
62.85,62.86,62.83,62.83,700.0
62.77,62.85,62.77,62.84,3335.0
62.76,62.78,62.759,62.765,4137.0
62.79,62.79,62.7432,62.75,3369.0
62.78,62.79,62.74,62.785,8700.0
62.775,62.775,62.775,62.775,177.0
62.8,62.81,62.78,62.78,1505.0
62.8,62.8,62.78,62.79,1400.0
62.79,62.81,62.79,62.81,1300.0
62.84,62.84,62.79,62.79,1800.0
62.9,62.9,62.831,62.85,1700.0
62.89,62.91,62.87,62.91,1100.0
62.96,62.96,62.91,62.92,2290.0
62.95,62.97,62.94,62.94,3514.0
62.9501,62.97,62.95,62.97,4903.0
62.91,62.96,62.91,62.96,3549.0
62.92,62.93,62.92,62.93,1100.0
62.85,62.9,62.85,62.9,1469.0
62.85,62.865,62.85,62.865,700.0
62.87,62.87,62.85,62.85,1900.0
62.895,62.91,62.88,62.88,1400.0
62.86,62.91,62.86,62.91,1500.0
62.82,62.85,62.82,62.85,2300.0
62.81,62.81,62.79,62.8,1367.0
62.8486,62.86,62.82,62.82,1217.0
62.83,62.83,62.81,62.825,700.0
62.86,62.86,62.82,62.83,500.0
62.84,62.845,62.82,62.845,2426.0
62.85,62.85,62.81,62.85,1011.0
62.86,62.86,62.835,62.85,900.0
62.83,62.84,62.825,62.84,1600.0
62.82,62.83,62.82,62.82,1200.0
62.82,62.82,62.81,62.81,3398.0
62.82,62.82,62.81,62.81,1700.0
62.72,62.81,62.72,62.81,8304.0
62.73,62.74,62.725,62.725,2400.0
62.7,62.74,62.7,62.72,6978.0
62.7156,62.7156,62.675,62.69,2600.0
62.71,62.71,62.71,62.71,300.0
62.72,62.73,62.71,62.7128,2700.0
62.74,62.74,62.71,62.71,2856.0
62.78,62.78,62.75,62.76,1700.0
62.825,62.83,62.8,62.8,2400.0
62.82,62.84,62.81,62.83,1000.0
62.87,62.88,62.82,62.82,3688.0
62.86,62.87,62.86,62.87,1388.0
62.87,62.87,62.86,62.86,1300.0
62.89,62.89,62.89,62.89,100.0
62.92,62.93,62.89,62.89,1200.0
62.94,62.94,62.92,62.93,1211.0
62.94,62.945,62.94,62.945,2400.0
62.97,62.97,62.95,62.95,6500.0
62.95,62.97,62.935,62.96,3209.0
62.95,62.96,62.95,62.96,300.0
62.98,62.98,62.945,62.95,1900.0
62.96,62.98,62.955,62.98,1800.0
62.9736,62.9736,62.9736,62.9736,200.0
62.975,62.98,62.97,62.98,800.0
62.96,62.98,62.96,62.98,2460.0
62.9551,62.9551,62.94,62.95,4563.0
62.97,62.97,62.95,62.95,1446.0
62.95,62.98,62.945,62.96,5386.0
62.96,62.975,62.95,62.955,1600.0
62.95,62.96,62.95,62.96,200.0
62.94,62.97,62.93,62.97,2900.0
62.96,62.97,62.95,62.95,1400.0
62.99,62.99,62.96,62.96,1800.0
62.99,62.99,62.9891,62.9891,700.0
62.99,62.99,62.99,62.99,300.0
63.0,63.0,62.99,62.99,1300.0
62.99,62.9969,62.99,62.99,1297.0
63.02,63.025,62.99,62.99,3700.0
63.02,63.025,63.01,63.02,1800.0
63.03,63.03,63.02,63.02,500.0
63.03,63.04,63.017,63.02,1000.0
63.05,63.055,63.03,63.035,3786.0
63.04,63.04,63.04,63.04,100.0
63.08,63.08,63.05,63.05,1700.0
63.1,63.1,63.08,63.08,2000.0
63.1,63.1,63.09,63.09,1300.0
63.09,63.1,63.09,63.1,557.0
63.05,63.1,63.04,63.1,6100.0
63.05,63.05,63.025,63.04,1200.0
63.09,63.1,63.07,63.07,2700.0
63.075,63.09,63.07,63.09,500.0
63.06,63.08,63.06,63.07,900.0
63.08,63.08,63.0561,63.07,1200.0
63.08,63.1,63.08,63.08,1300.0
63.09,63.09,63.08,63.09,1200.0
63.09,63.1,63.09,63.1,1749.0
63.095,63.11,63.08,63.1,2200.0
63.07,63.09,63.05,63.09,2400.0
63.07,63.07,63.06,63.06,200.0
63.07,63.07,63.07,63.07,300.0
63.04,63.07,63.03,63.055,2713.0
63.03,63.0301,63.03,63.0301,300.0
63.035,63.035,63.035,63.035,200.0
63.05,63.05,63.04,63.04,650.0
63.07,63.07,63.05,63.05,800.0
63.05,63.07,63.05,63.07,2318.0
63.045,63.05,63.04,63.05,2400.0
63.05,63.05,63.05,63.05,200.0
63.04,63.0451,63.025,63.0451,1825.0
63.05,63.055,63.04,63.04,2400.0
63.045,63.045,63.045,63.045,200.0
63.045,63.05,63.045,63.045,400.0
