Open,High,Low,Close,Volume
82.79,82.97,82.78,82.9,320465.0
82.97,82.97,82.97,82.97,600.0
82.9499,82.9499,82.88,82.93,2000.0
82.93,82.95,82.84,82.89,1800.0
82.87,82.93,82.865,82.93,600.0
82.91,82.97,82.86,82.93,8933.0
82.945,82.945,82.8,82.88,5431.0
82.87,82.91,82.86,82.86,900.0
82.91,82.91,82.855,82.88,7400.0
82.86,82.91,82.85,82.88,5528.0
82.92,82.92,82.88,82.89,800.0
82.93,82.97,82.87,82.9,11106.0
83.05,83.05,82.93,82.93,8495.0
83.0,83.09,82.99,83.05,5183.0
83.05,83.07,83.04,83.04,2400.0
82.97,83.05,82.96,83.03,8695.0
82.99,82.99,82.93,82.975,8996.0
83.0101,83.05,82.99,82.99,3143.0
82.99,83.01,82.99,83.01,900.0
83.02,83.02,82.96,82.96,1000.0
83.01,83.05,83.01,83.03,3313.0
82.9772,83.0,82.9772,82.9817,948.0
83.01,83.04,83.01,83.01,903.0
83.0,83.0,83.0,83.0,200.0
82.97,82.985,82.95,82.97,1805.0
82.9,82.98,82.9,82.98,1700.0
82.93,82.93,82.9,82.91,800.0
82.95,82.95,82.93,82.94,1675.0
82.95,82.96,82.93,82.96,2119.0
82.94,82.94,82.88,82.92,4200.0
82.9599,82.96,82.93,82.94,3320.0
82.94,82.95,82.93,82.95,1928.0
82.98,83.01,82.95,82.97,5445.0
83.0,83.01,82.97,82.97,800.0
82.9724,82.98,82.96,82.96,1200.0
82.9501,83.01,82.95,82.97,2146.0
82.9351,82.95,82.93,82.95,1673.0
82.95,82.95,82.94,82.94,648.0
82.94,82.94,82.94,82.94,600.0
82.97,82.97,82.92,82.92,1500.0
82.89,82.94,82.89,82.94,1900.0
82.88,82.88,82.86,82.88,2300.0
82.89,82.89,82.8652,82.89,900.0
82.89,82.89,82.86,82.86,860.0
82.83,82.89,82.83,82.89,7260.0
82.9,82.9,82.84,82.85,5426.0
82.92,82.92,82.87,82.87,1547.0
82.93,82.93,82.89,82.9,1800.0
82.9,82.9001,82.89,82.9,700.0
82.89,82.89,82.89,82.89,200.0
82.91,82.92,82.89,82.89,4493.0
82.88,82.9,82.88,82.9,1730.0
82.86,82.89,82.86,82.88,1400.0
82.86,82.87,82.85,82.86,1300.0
82.86,82.86,82.83,82.84,870.0
82.8699,82.87,82.85,82.86,2538.0
82.84,82.88,82.83,82.87,2900.0
82.84,82.84,82.836,82.836,700.0
82.81,82.84,82.8,82.81,2068.0
82.9,82.9,82.82,82.82,2456.0
82.88,82.9,82.86,82.9,1900.0
82.88,82.88,82.867,82.87,1017.0
82.827,82.88,82.82,82.88,1800.0
82.87,82.87,82.827,82.827,2125.0
82.86,82.87,82.84,82.86,1880.0
82.84,82.84,82.84,82.84,800.0
82.83,82.85,82.82,82.85,1403.0
82.81,82.827,82.81,82.827,1000.0
82.8,82.82,82.8,82.82,3146.0
82.81,82.81,82.79,82.79,1133.0
82.83,82.83,82.82,82.82,500.0
82.84,82.84,82.82,82.821,3403.0
82.82,82.84,82.82,82.84,1601.0
82.84,82.85,82.83,82.84,1734.0
82.7733,82.84,82.7733,82.84,2790.0
82.79,82.8,82.79,82.8,400.0
82.77,82.8,82.75,82.8,3115.0
82.78,82.78,82.76,82.77,1352.0
82.8,82.8,82.77,82.78,2642.0
82.778,82.8,82.77,82.8,3310.0
82.77,82.797,82.765,82.778,4010.0
82.75,82.778,82.75,82.76,1316.0
82.739,82.7799,82.73,82.76,5396.0
82.686,82.74,82.67,82.74,6562.0
82.67,82.72,82.67,82.7,5074.0
82.68,82.68,82.65,82.65,1618.0
82.6794,82.7,82.6794,82.69,2717.0
82.6708,82.69,82.67,82.69,1300.0
82.65,82.68,82.65,82.68,1961.0
82.69,82.69,82.65,82.65,3105.0
82.66,82.7,82.66,82.7,3305.0
82.67,82.67,82.64,82.67,1900.0
82.64,82.66,82.64,82.66,2127.0
82.64,82.65,82.64,82.65,800.0
82.61,82.66,82.61,82.66,1648.0
82.64,82.64,82.62,82.62,1253.0
82.67,82.67,82.64,82.65,1101.0
82.67,82.68,82.67,82.68,600.0
82.69,82.7,82.68,82.68,1437.0
82.685,82.73,82.685,82.69,2002.0
82.66,82.7,82.66,82.69,2942.0
82.6622,82.67,82.66,82.66,1500.0
82.72,82.72,82.65,82.665,3238.0
82.67,82.71,82.67,82.7,4156.0
82.66,82.67,82.63,82.66,1400.0
82.68,82.68,82.64,82.66,1806.0
82.68,82.7,82.68,82.69,2000.0
82.65,82.67,82.65,82.67,600.0
82.66,82.67,82.65,82.65,2451.0
82.64,82.65,82.64,82.65,800.0
82.645,82.65,82.64,82.65,706.0
82.65,82.65,82.65,82.65,200.0
82.66,82.67,82.66,82.67,300.0
82.66,82.66,82.635,82.65,4088.0
82.63,82.66,82.63,82.66,1900.0
82.64,82.64,82.64,82.64,700.0
82.67,82.67,82.63,82.64,2250.0
82.67,82.68,82.67,82.68,600.0
82.69,82.69,82.65,82.67,2100.0
82.67,82.69,82.67,82.69,1800.0
82.66,82.67,82.66,82.67,601.0
82.64,82.65,82.62,82.64,2441.0
82.64,82.6681,82.64,82.66,2395.0
82.65,82.6691,82.64,82.66,2163.0
82.64,82.65,82.64,82.65,966.0
82.62,82.64,82.62,82.64,700.0
82.6501,82.66,82.62,82.6257,4250.0
82.6499,82.67,82.64,82.67,2584.0
82.62,82.66,82.62,82.65,2800.0
82.62,82.62,82.6,82.615,900.0
82.62,82.62,82.62,82.62,100.0
82.64,82.655,82.63,82.63,5425.0
82.62,82.65,82.61,82.64,2481.0
82.61,82.62,82.61,82.62,1300.0
82.65,82.65,82.6,82.6,4100.0
82.64,82.645,82.64,82.64,700.0
82.6375,82.64,82.619,82.64,3238.0
82.64,82.64,82.64,82.64,400.0
82.6228,82.64,82.6228,82.63,2235.0
82.63,82.64,82.62,82.64,2572.0
82.63,82.64,82.63,82.64,1400.0
82.67,82.67,82.61,82.61,1650.0
82.66,82.68,82.66,82.67,876.0
82.64,82.66,82.64,82.66,500.0
82.63,82.65,82.63,82.63,800.0
82.65,82.65,82.63,82.63,1600.0
82.66,82.66,82.63,82.65,1400.0
82.64,82.655,82.64,82.655,400.0
82.66,82.66,82.645,82.65,1700.0
82.7101,82.715,82.66,82.66,1850.0
82.69,82.715,82.69,82.71,2827.0
82.67,82.69,82.67,82.67,1300.0
82.68,82.68,82.67,82.67,405.0
82.675,82.69,82.675,82.69,1622.0
82.7,82.7,82.67,82.67,2132.0
82.72,82.72,82.6972,82.6972,2501.0
82.72,82.73,82.71,82.71,1900.0
82.72,82.73,82.72,82.72,800.0
82.74,82.75,82.71,82.72,1513.0
82.73,82.74,82.73,82.74,400.0
82.73,82.73,82.73,82.73,700.0
82.7,82.715,82.7,82.715,700.0
82.73,82.73,82.69,82.69,1699.0
82.73,82.74,82.71,82.72,1683.0
82.735,82.75,82.72,82.75,3153.0
82.72,82.73,82.71,82.73,800.0
82.72,82.72,82.72,82.72,100.0
82.71,82.71,82.71,82.71,200.0
82.75,82.75,82.71,82.71,3206.0
82.75,82.76,82.7423,82.75,424.0
82.74,82.76,82.74,82.76,2234.0
82.73,82.75,82.73,82.75,600.0
82.78,82.78,82.74,82.75,2105.0
