Open,High,Low,Close,Volume
177.25,177.25,177.25,177.25,52455.0
177.65,177.65,177.14,177.3,15322.0
177.7404,177.89,177.3705,177.87,6055.0
178.13,178.2,177.87,177.88,6000.0
177.7325,178.35,177.71,178.12,7800.0
177.7,177.9674,177.6,177.72,7939.0
177.525,177.865,177.5,177.865,8300.0
177.6799,177.68,177.54,177.565,1400.0
177.64,177.65,177.39,177.61,6600.0
177.635,177.955,177.59,177.64,5160.0
177.65,177.88,177.6,177.88,3225.0
177.61,177.73,177.595,177.595,1130.0
177.7799,177.89,177.6748,177.6748,6640.0
177.87,177.96,177.7247,177.7247,10680.0
178.02,178.08,177.645,177.67,1600.0
177.96,178.03,177.93,178.03,1900.0
178.0216,178.06,177.9058,177.9058,4090.0
178.24,178.24,178.03,178.03,17131.0
178.075,178.19,178.02,178.18,7754.0
178.09,178.14,178.02,178.14,2938.0
177.85,178.0673,177.83,178.06,3350.0
177.69,177.85,177.69,177.83,3505.0
177.64,177.67,177.6,177.6,970.0
177.43,177.64,177.43,177.6079,15084.0
177.45,177.5899,177.43,177.505,4194.0
177.3201,177.45,177.32,177.45,4148.0
177.2631,177.31,177.25,177.31,850.0
177.32,177.32,177.2332,177.2332,7833.0
177.288,177.33,177.24,177.32,7699.0
177.315,177.33,177.28,177.29,2800.0
177.51,177.51,177.27,177.33,4515.0
177.66,177.67,177.53,177.56,5164.0
177.76,177.79,177.59,177.65,3806.0
177.945,177.96,177.74,177.77,2879.0
178.16,178.16,177.9201,177.9201,4300.0
178.12,178.14,178.03,178.0947,5300.0
178.18,178.28,178.113,178.113,1450.0
177.94,178.13,177.94,178.13,4897.0
177.915,177.98,177.88,177.94,2990.0
177.7,177.89,177.65,177.871,6810.0
177.94,177.94,177.7,177.7,2400.0
178.01,178.08,177.95,177.97,4969.0
178.04,178.08,177.97,178.04,1500.0
177.95,178.085,177.92,178.0377,7959.0
177.93,177.944,177.85,177.91,5873.0
177.99,178.0,177.93,177.93,5658.0
178.07,178.08,177.99,178.02,5851.0
178.05,178.14,178.04,178.11,8397.0
178.11,178.12,178.03,178.03,5631.0
178.11,178.11,178.03,178.09,2625.0
178.05,178.1,178.05,178.08,2200.0
178.18,178.19,178.03,178.03,4358.0
178.4,178.44,178.2,178.2,23957.0
178.15,178.405,178.15,178.405,5500.0
178.259,178.259,178.17,178.17,440.0
178.3,178.3,178.19,178.2332,4963.0
178.4113,178.45,178.3,178.3,3443.0
178.4375,178.44,178.28,178.42,3940.0
178.42,178.47,178.29,178.45,10010.0
178.44,178.44,178.3767,178.42,5809.0
178.41,178.43,178.38,178.41,1200.0
178.32,178.43,178.27,178.415,2687.0
178.39,178.39,178.31,178.3148,3308.0
178.36,178.39,178.3314,178.39,1610.0
178.43,178.43,178.36,178.36,4622.0
178.39,178.44,178.38,178.43,2592.0
178.3853,178.49,178.38,178.42,4240.0
178.33,178.42,178.33,178.3781,2702.0
178.26,178.34,178.26,178.31,4100.0
178.2989,178.33,178.17,178.33,3900.0
178.29,178.31,178.22,178.31,2200.0
178.254,178.3,178.2,178.3,1280.0
178.2336,178.2336,178.2336,178.2336,200.0
178.3,178.365,178.27,178.27,3695.0
178.33,178.34,178.27,178.281,775.0
178.28,178.35,178.28,178.31,2100.0
178.38,178.38,178.2801,178.2801,1520.0
178.46,178.46,178.35,178.3504,3197.0
178.45,178.46,178.39,178.43,2520.0
178.4,178.47,178.3682,178.4325,3568.0
178.315,178.405,178.19,178.3501,4666.0
178.33,178.34,178.26,178.31,5300.0
178.29,178.32,178.25,178.32,4049.0
178.38,178.38,178.27,178.27,2000.0
178.42,178.43,178.37,178.38,2000.0
