Open,High,Low,Close,Volume
50.75,50.75,50.75,50.75,200.0
50.76,50.85,50.7,50.77,106850.0
50.59,50.77,50.5,50.76,13501.0
50.4567,50.5499,50.43,50.5,1378.0
50.48,50.53,50.44,50.52,2923.0
50.47,50.4892,50.42,50.48,9717.0
50.23,50.5,50.23,50.4625,6589.0
50.3,50.343,50.27,50.27,3454.0
50.3,50.36,50.3,50.315,6878.0
50.34,50.37,50.32,50.32,3325.0
50.253,50.34,50.25,50.34,7600.0
50.15,50.25,50.15,50.24,4400.0
50.16,50.25,50.16,50.18,3435.0
50.27,50.27,50.18,50.18,1603.0
50.19,50.28,50.18,50.28,3301.0
50.21,50.28,50.19,50.19,10941.0
50.22,50.2699,50.2,50.22,2903.0
50.35,50.35,50.2,50.22,5932.0
50.21,50.35,50.21,50.35,5218.0
50.3075,50.3075,50.18,50.22,2307.0
50.35,50.35,50.31,50.31,4620.0
50.33,50.38,50.33,50.35,3337.0
50.34,50.353,50.25,50.341,6743.0
50.3,50.34,50.28,50.32,8034.0
50.34,50.355,50.27,50.28,3100.0
50.28,50.34,50.28,50.34,1550.0
50.22,50.29,50.19,50.27,5746.0
50.26,50.285,50.24,50.26,3100.0
50.32,50.3675,50.28,50.28,3887.0
50.24,50.33,50.24,50.31,1500.0
50.23,50.3,50.22,50.25,3178.0
50.29,50.36,50.21,50.22,8231.0
50.2665,50.32,50.25,50.29,1528.0
50.21,50.31,50.21,50.27,4428.0
50.26,50.3,50.21,50.21,4475.0
50.23,50.28,50.23,50.26,4117.0
50.25,50.27,50.22,50.24,7302.0
50.26,50.29,50.25,50.25,5233.0
50.26,50.28,50.21,50.27,5889.0
50.38,50.38,50.24,50.26,7442.0
50.435,50.435,50.36,50.3668,4363.0
50.4,50.43,50.36,50.43,7027.0
50.44,50.47,50.38,50.4,10844.0
50.315,50.45,50.2467,50.44,18660.0
50.31,50.36,50.24,50.31,6704.0
50.36,50.38,50.32,50.33,7861.0
50.48,50.48,50.38,50.39,5782.0
50.45,50.47,50.39,50.47,4408.0
50.48,50.48,50.43,50.45,3537.0
50.44,50.49,50.4,50.489,5600.0
50.46,50.49,50.46,50.48,1922.0
50.48,50.53,50.46,50.46,5374.0
50.54,50.55,50.4846,50.49,3716.0
50.46,50.54,50.46,50.52,7487.0
50.525,50.53,50.46,50.46,3622.0
50.46,50.525,50.41,50.52,8701.0
50.42,50.48,50.42,50.46,6222.0
50.47,50.49,50.41,50.42,4304.0
50.48,50.5,50.44,50.46,5501.0
50.53,50.56,50.4798,50.48,4701.0
50.66,50.67,50.5359,50.55,4605.0
50.7,50.8,50.6,50.67,30041.0
50.65,50.78,50.64,50.69,9363.0
50.79,50.8,50.625,50.65,18958.0
50.72,50.93,50.72,50.79,12469.0
50.72,50.75,50.7,50.71,3323.0
50.725,50.7425,50.69,50.72,18446.0
50.72,50.77,50.705,50.72,15618.0
50.77,50.77,50.69,50.7299,11935.0
50.78,50.84,50.725,50.77,8101.0
50.7599,50.8,50.75,50.79,6692.0
50.72,50.765,50.69,50.74,10699.0
50.67,50.73,50.67,50.7299,4994.0
50.7399,50.75,50.67,50.68,4144.0
50.83,50.83,50.73,50.73,11338.0
50.87,50.884,50.82,50.8399,4618.0
50.78,50.9,50.78,50.9,6822.0
50.7005,50.7899,50.7,50.77,7814.0
50.66,50.79,50.66,50.74,5700.0
50.62,50.74,50.62,50.71,11802.0
50.59,50.65,50.58,50.63,3423.0
50.59,50.59,50.53,50.58,1600.0
50.67,50.67,50.56,50.58,2995.0
50.65,50.66,50.6,50.62,3527.0
50.6525,50.69,50.6525,50.69,1251.0
50.61,50.645,50.61,50.64,2000.0
50.595,50.66,50.56,50.62,6263.0
50.65,50.65,50.56,50.609,4363.0
50.74,50.74,50.62,50.645,2151.0
50.72,50.76,50.715,50.72,4100.0
50.6,50.76,50.58,50.73,10443.0
50.74,50.74,50.59,50.6,5352.0
50.7,50.78,50.7,50.75,3293.0
50.78,50.78,50.72,50.72,4481.0
50.74,50.79,50.72,50.77,6523.0
50.74,50.75,50.7,50.73,6000.0
50.68,50.74,50.68,50.74,28018.0
50.635,50.68,50.63,50.68,7600.0
50.665,50.67,50.62,50.65,10882.0
50.68,50.74,50.66,50.665,11018.0
50.6647,50.6925,50.65,50.68,9968.0
50.6,50.68,50.6,50.68,6362.0
50.52,50.63,50.5,50.58,6804.0
50.51,50.54,50.5,50.52,4833.0
50.55,50.55,50.46,50.49,15302.0
50.48,50.55,50.48,50.55,2919.0
50.45,50.5025,50.44,50.4738,14672.0
50.45,50.4925,50.45,50.47,9291.0
50.41,50.45,50.4,50.445,3000.0
50.37,50.44,50.37,50.41,12563.0
50.42,50.46,50.37,50.37,14874.0
50.37,50.43,50.37,50.42,3946.0
50.36,50.39,50.3403,50.36,8771.0
50.35,50.37,50.33,50.35,10045.0
50.37,50.37,50.32,50.35,5274.0
50.4055,50.4055,50.36,50.365,8066.0
50.35,50.42,50.35,50.41,5021.0
50.29,50.34,50.28,50.34,9385.0
50.26,50.3,50.25,50.29,7062.0
50.25,50.26,50.23,50.25,7787.0
50.2338,50.26,50.22,50.23,21986.0
50.4,50.4,50.24,50.24,4271.0
50.39,50.4,50.3608,50.39,4300.0
50.465,50.465,50.39,50.39,2724.0
50.41,50.47,50.41,50.47,6334.0
50.4374,50.45,50.4,50.42,3448.0
50.4,50.4589,50.4,50.445,2746.0
50.425,50.46,50.3999,50.3999,3099.0
50.4419,50.46,50.43,50.43,2519.0
50.45,50.46,50.44,50.4401,1700.0
50.43,50.46,50.43,50.46,4426.0
50.44,50.46,50.41,50.43,3504.0
50.41,50.43,50.37,50.4201,4552.0
50.433,50.44,50.41,50.43,1201.0
50.41,50.46,50.41,50.45,4844.0
50.36,50.4057,50.36,50.4,4679.0
50.32,50.35,50.32,50.34,3411.0
50.36,50.36,50.3,50.32,4546.0
50.34,50.39,50.33,50.355,2402.0
50.36,50.36,50.33,50.33,3834.0
50.35,50.3799,50.35,50.36,1713.0
50.3211,50.3599,50.31,50.35,5399.0
50.39,50.39,50.32,50.3299,6176.0
50.4499,50.4499,50.38,50.39,5124.0
50.46,50.46,50.415,50.43,2946.0
50.43,50.45,50.42,50.45,1200.0
50.44,50.46,50.42,50.4399,3400.0
50.4499,50.4499,50.42,50.43,1860.0
50.42,50.45,50.42,50.43,1831.0
50.46,50.46,50.43,50.44,1276.0
50.5272,50.54,50.47,50.47,1826.0
50.5098,50.525,50.5,50.513,5347.0
50.57,50.58,50.55,50.55,1950.0
50.57,50.61,50.57,50.61,2124.0
50.57,50.59,50.555,50.555,5344.0
50.57,50.61,50.57,50.585,6172.0
50.6499,50.66,50.57,50.575,4902.0
50.67,50.68,50.63,50.65,2813.0
50.61,50.65,50.6,50.63,3708.0
50.62,50.62,50.6,50.6054,6290.0
50.5601,50.619,50.55,50.619,6147.0
50.58,50.595,50.54,50.57,7984.0
50.5625,50.6,50.55,50.6,2625.0
50.58,50.6,50.5,50.5799,7930.0
50.54,50.57,50.54,50.57,1600.0
50.52,50.58,50.52,50.545,3300.0
50.555,50.57,50.555,50.56,500.0
50.55,50.56,50.54,50.56,910.0
50.6,50.6,50.553,50.553,1100.0
50.6,50.6,50.56,50.6,2306.0
50.59,50.61,50.57,50.59,1501.0
50.58,50.62,50.56,50.5847,2200.0
50.62,50.62,50.58,50.6,26238.0
50.62,50.66,50.58,50.62,7416.0
50.61,50.62,50.61,50.61,1010.0
50.6714,50.68,50.61,50.618,2175.0
50.64,50.675,50.62,50.66,5501.0
50.62,50.6225,50.62,50.62,600.0
50.6,50.62,50.58,50.62,3195.0
50.6,50.6,50.58,50.58,200.0
50.61,50.625,50.585,50.6,1600.0
50.619,50.6299,50.619,50.62,650.0
50.585,50.63,50.585,50.62,2298.0
50.6,50.62,50.57,50.6,1500.0
50.65,50.65,50.5874,50.5874,3845.0
50.64,50.67,50.64,50.66,2000.0
50.59,50.6325,50.5801,50.63,5828.0
50.67,50.69,50.61,50.61,3303.0
50.67,50.67,50.6224,50.63,3502.0
50.6754,50.72,50.64,50.67,8508.0
50.64,50.66,50.64,50.66,1402.0
50.6799,50.68,50.65,50.67,900.0
50.6899,50.6899,50.68,50.68,697.0
50.64,50.685,50.64,50.68,6761.0
50.66,50.6699,50.63,50.64,3302.0
50.68,50.68,50.6562,50.67,1400.0
50.66,50.7,50.65,50.69,4220.0
50.61,50.65,50.61,50.65,3124.0
50.63,50.63,50.615,50.615,2676.0
50.65,50.65,50.63,50.64,4710.0
50.63,50.65,50.63,50.645,1900.0
50.6599,50.6599,50.63,50.63,1100.0
50.62,50.66,50.614,50.66,4251.0
50.6125,50.65,50.61,50.64,2607.0
50.635,50.64,50.615,50.615,3801.0
50.67,50.67,50.645,50.6499,4948.0
50.66,50.68,50.65,50.65,17335.0
50.65,50.6799,50.64,50.67,2942.0
50.58,50.665,50.58,50.65,5701.0
50.54,50.58,50.54,50.58,1208.0
50.51,50.53,50.51,50.53,1500.0
50.56,50.57,50.53,50.53,2896.0
50.5499,50.565,50.5239,50.565,819.0
50.54,50.54,50.51,50.51,400.0
50.51,50.56,50.51,50.5499,4791.0
50.49,50.51,50.485,50.51,4967.0
50.48,50.4999,50.48,50.4999,1200.0
50.43,50.47,50.4201,50.47,1500.0
50.44,50.45,50.4201,50.4201,1308.0
50.4799,50.4799,50.46,50.46,1201.0
50.478,50.52,50.4746,50.51,2171.0
50.5,50.51,50.47,50.5,1207.0
50.5,50.5199,50.5,50.51,900.0
50.533,50.533,50.49,50.5,1910.0
50.55,50.55,50.55,50.55,100.0
50.53,50.55,50.52,50.52,2548.0
50.57,50.57,50.53,50.53,802.0
50.56,50.59,50.55,50.57,3600.0
50.53,50.55,50.53,50.55,2707.0
50.5299,50.5299,50.5,50.52,1500.0
50.52,50.5699,50.52,50.53,2402.0
50.53,50.53,50.5,50.5,825.0
50.56,50.56,50.52,50.52,1400.0
50.52,50.54,50.51,50.52,1300.0
50.49,50.53,50.49,50.51,2502.0
50.51,50.51,50.5,50.5,526.0
50.47,50.5,50.46,50.5,1453.0
50.48,50.49,50.48,50.48,788.0
50.4791,50.5,50.47,50.48,3571.0
50.49,50.5,50.475,50.48,3018.0
50.47,50.49,50.46,50.48,7713.0
50.5,50.5,50.42,50.461,7121.0
50.48,50.5,50.464,50.49,2905.0
50.51,50.53,50.49,50.52,1515.0
50.52,50.53,50.4831,50.5,1450.0
50.51,50.52,50.5,50.51,903.0
50.48,50.505,50.47,50.505,2840.0
50.48,50.48,50.45,50.46,1553.0
50.48,50.48,50.47,50.48,1500.0
50.47,50.48,50.46,50.47,1100.0
50.51,50.52,50.485,50.49,3100.0
50.51,50.55,50.51,50.53,2634.0
50.49,50.5,50.441,50.5,5502.0
50.48,50.49,50.48,50.49,300.0
50.4226,50.44,50.42,50.44,3300.0
50.46,50.46,50.42,50.42,1744.0
50.465,50.475,50.44,50.4501,2980.0
50.44,50.47,50.44,50.44,1200.0
50.39,50.45,50.39,50.44,2315.0
50.38,50.401,50.37,50.39,3200.0
50.34,50.41,50.34,50.38,4305.0
50.39,50.39,50.34,50.35,3287.0
50.37,50.43,50.37,50.38,7986.0
50.4,50.4199,50.38,50.39,2691.0
50.45,50.49,50.43,50.43,2051.0
50.428,50.471,50.4162,50.44,7399.0
50.43,50.45,50.43,50.4408,800.0
50.46,50.49,50.43,50.45,3704.0
50.44,50.46,50.43,50.43,600.0
50.41,50.46,50.41,50.44,4744.0
50.47,50.5,50.37,50.42,6050.0
50.66,50.66,50.44,50.44,14467.0
50.61,50.71,50.6,50.68,14006.0
50.59,50.66,50.55,50.61,4300.0
50.67,50.67,50.58,50.62,10158.0
50.685,50.7,50.64,50.64,3450.0
50.71,50.71,50.64,50.7,11942.0
50.71,50.79,50.7,50.75,4122.0
50.76,50.76,50.66,50.69,6318.0
50.77,50.78,50.71,50.71,942.0
50.6,50.74,50.6,50.74,4350.0
50.57,50.6,50.57,50.6,3400.0
50.6,50.6,50.54,50.55,2781.0
50.63,50.64,50.54,50.59,4731.0
50.65,50.65,50.61,50.64,2327.0
50.58,50.69,50.57,50.66,4500.0
50.6,50.6,50.521,50.6,7700.0
50.57,50.62,50.54,50.62,6635.0
50.61,50.61,50.59,50.6,1417.0
50.61,50.64,50.59,50.6,7858.0
50.63,50.64,50.59,50.64,3315.0
50.65,50.7,50.63,50.63,3573.0
50.68,50.77,50.65,50.65,7936.0
50.75,50.77,50.71,50.71,1350.0
50.75,50.76,50.72,50.76,2827.0
50.73,50.75,50.73,50.74,2700.0
50.795,50.81,50.74,50.75,17022.0
50.82,50.82,50.78,50.8,2866.0
50.795,50.86,50.77,50.83,3207.0
50.72,50.82,50.67,50.78,22095.0
50.5916,50.71,50.5916,50.71,58850.0
50.65,50.65,50.58,50.6,17518.0
50.59,50.67,50.57,50.62,8026.0
50.56,50.58,50.55,50.58,2732.0
50.58,50.58,50.52,50.54,6800.0
50.65,50.66,50.54,50.54,5803.0
50.63,50.67,50.62,50.66,1600.0
50.66,50.66,50.59,50.6499,5400.0
50.64,50.67,50.64,50.67,2300.0
50.63,50.64,50.59,50.63,4323.0
50.65,50.65,50.59,50.6,5095.0
50.66,50.66,50.6,50.65,4349.0
50.74,50.74,50.676,50.676,1150.0
50.69,50.73,50.69,50.73,3200.0
50.73,50.76,50.72,50.72,2546.0
50.705,50.74,50.68,50.71,9509.0
50.78,50.78,50.74,50.74,3894.0
50.795,50.82,50.75,50.77,16217.0
50.8,50.82,50.76,50.79,3900.0
50.82,50.82,50.75,50.79,6100.0
50.74,50.83,50.7,50.8,20765.0
50.73,50.74,50.7,50.73,3655.0
50.81,50.82,50.74,50.74,4026.0
50.84,50.84,50.7901,50.8171,4890.0
50.91,50.93,50.81,50.84,11251.0
50.93,50.93,50.89,50.91,6070.0
50.81,50.9224,50.81,50.9224,7996.0
50.83,50.87,50.7801,50.8044,5668.0
50.84,50.86,50.82,50.85,2533.0
