Open,High,Low,Close,Volume
136.68,137.0,136.55,136.55,9387.0
136.35,136.5,136.35,136.49,400.0
136.1,136.19,136.1,136.19,200.0
135.78,136.06,135.76,135.76,900.0
135.875,135.95,135.78,135.81,900.0
135.91,136.05,135.91,136.05,400.0
136.33,136.33,135.81,135.81,2185.0
136.195,136.195,136.07,136.07,200.0
136.1,136.1,136.02,136.05,700.0
135.84,135.84,135.84,135.84,200.0
135.95,136.02,135.95,136.02,300.0
135.88,135.88,135.88,135.88,100.0
135.74,135.89,135.7101,135.886,2763.0
135.8398,135.8398,135.77,135.77,600.0
136.01,136.01,135.84,135.84,1349.0
136.05,136.11,135.9,135.9706,1361.0
136.15,136.15,136.055,136.08,2100.0
136.22,136.25,136.18,136.18,300.0
136.225,136.25,136.225,136.23,750.0
136.16,136.21,136.1,136.14,800.0
136.1005,136.1005,136.1005,136.1005,300.0
136.095,136.095,136.095,136.095,100.0
135.916,136.13,135.916,136.13,1216.0
135.8455,135.92,135.8455,135.9,430.0
135.724,135.87,135.724,135.83,2593.0
135.72,135.74,135.72,135.733,300.0
135.65,135.69,135.618,135.69,1583.0
135.64,135.64,135.59,135.59,200.0
135.61,135.625,135.57,135.625,800.0
135.63,135.67,135.595,135.62,2100.0
135.57,135.61,135.54,135.61,1499.0
135.68,135.68,135.54,135.54,1323.0
135.72,135.77,135.65,135.68,1600.0
135.56,135.64,135.555,135.64,1100.0
135.437,135.56,135.437,135.56,1274.0
135.43,135.43,135.43,135.43,700.0
135.57,135.57,135.45,135.47,4250.0
135.51,135.51,135.51,135.51,200.0
135.43,135.48,135.42,135.48,1100.0
135.55,135.55,135.48,135.48,1800.0
135.49,135.57,135.49,135.57,600.0
135.3,135.49,135.3,135.49,2442.0
135.34,135.34,135.27,135.323,1300.0
135.29,135.29,135.29,135.29,300.0
135.25,135.32,135.241,135.2601,1867.0
135.25,135.34,135.25,135.29,3200.0
135.22,135.25,135.18,135.23,1600.0
135.1,135.21,135.1,135.21,690.0
135.165,135.2,135.165,135.165,900.0
135.24,135.24,135.24,135.24,100.0
135.16,135.21,135.16,135.21,900.0
135.235,135.25,135.17,135.17,900.0
135.225,135.24,135.19,135.23,1300.0
135.21,135.3,135.21,135.24,2354.0
135.15,135.19,135.15,135.19,500.0
135.1096,135.17,135.04,135.12,2936.0
135.23,135.23,135.1,135.1,2250.0
135.29,135.3,135.22,135.22,1100.0
135.2,135.23,135.2,135.23,308.0
135.1762,135.2,135.11,135.15,2644.0
135.03,135.06,135.02,135.06,853.0
135.05,135.15,135.05,135.1,900.0
135.02,135.02,135.02,135.02,200.0
135.03,135.109,135.01,135.01,1100.0
135.11,135.16,135.03,135.03,1300.0
135.25,135.25,135.16,135.16,1600.0
135.24,135.24,135.22,135.22,300.0
135.375,135.39,135.265,135.29,1300.0
135.48,135.54,135.46,135.46,1300.0
135.53,135.55,135.53,135.54,400.0
135.69,135.7,135.58,135.58,1800.0
135.57,135.6,135.57,135.6,700.0
135.58,135.599,135.53,135.599,1650.0
135.5,135.53,135.43,135.53,400.0
135.46,135.5,135.42,135.42,900.0
135.4,135.45,135.38,135.42,2962.0
135.345,135.4,135.29,135.4,3160.0
135.51,135.51,135.38,135.38,1201.0
135.48,135.48,135.48,135.48,100.0
135.43,135.48,135.43,135.48,1590.0
135.57,135.57,135.41,135.41,1393.0
135.58,135.58,135.56,135.56,300.0
135.66,135.66,135.63,135.63,450.0
135.691,135.691,135.68,135.68,300.0
135.61,135.7,135.61,135.64,1004.0
135.6,135.67,135.59,135.6,5600.0
135.555,135.61,135.54,135.61,800.0
135.57,135.57,135.5,135.54,1501.0
135.61,135.61,135.61,135.61,400.0
135.6239,135.73,135.6239,135.71,4014.0
135.67,135.69,135.62,135.63,1900.0
135.65,135.65,135.64,135.64,504.0
135.605,135.68,135.605,135.64,5573.0
135.555,135.63,135.54,135.57,2017.0
135.525,135.55,135.5,135.55,1159.0
135.51,135.57,135.51,135.52,1886.0
135.49,135.54,135.44,135.5,2200.0
135.585,135.585,135.49,135.49,1000.0
135.61,135.61,135.51,135.53,10117.0
135.59,135.68,135.45,135.61,12400.0
135.53,135.59,135.52,135.59,3313.0
135.45,135.545,135.45,135.53,2100.0
135.43,135.4583,135.43,135.45,801.0
135.4,135.42,135.4,135.42,400.0
135.4,135.41,135.39,135.39,937.0
135.6,135.63,135.46,135.46,5133.0
135.58,135.58,135.56,135.56,200.0
135.66,135.66,135.58,135.63,3654.0
135.69,135.71,135.6401,135.69,2655.0
135.85,135.86,135.7,135.75,2380.0
135.9,135.93,135.86,135.86,1700.0
135.96,135.96,135.96,135.96,200.0
135.98,135.98,135.98,135.98,400.0
136.12,136.15,136.06,136.06,930.0
136.1,136.13,136.068,136.1,700.0
136.08,136.13,136.06,136.098,542.0
136.05,136.069,136.05,136.069,400.0
136.01,136.03,136.01,136.03,610.0
135.98,136.0,135.98,136.0,300.0
136.06,136.06,135.978,135.978,1042.0
135.99,136.02,135.97,136.02,600.0
135.99,135.99,135.99,135.99,279.0
135.92,135.9743,135.92,135.96,673.0
135.947,135.975,135.947,135.975,300.0
136.04,136.05,136.0,136.0,900.0
136.04,136.04,136.03,136.03,300.0
136.1097,136.1097,136.1097,136.1097,179.0
136.07,136.07,136.07,136.07,100.0
136.05,136.13,136.05,136.09,1300.0
136.1265,136.1265,136.06,136.11,742.0
136.0501,136.13,136.0501,136.12,729.0
136.2,136.2,136.09,136.136,510.0
136.32,136.32,136.32,136.32,100.0
136.18,136.25,136.18,136.24,2200.0
136.21,136.3,136.176,136.176,2451.0
136.16,136.23,136.13,136.21,2500.0
136.085,136.15,136.085,136.15,1100.0
