Open,High,Low,Close,Volume
216.37,216.37,216.37,216.37,53142.0
216.72,216.99,216.33,216.34,6530.0
216.505,216.81,216.34,216.635,12251.0
216.34,216.515,216.22,216.515,7378.0
216.2865,216.5,216.18,216.385,10362.0
216.565,216.78,216.07,216.2263,10411.0
216.67,216.99,216.45,216.558,10366.0
217.17,217.17,216.79,216.84,5294.0
217.15,217.36,216.9775,216.985,3650.0
217.1447,217.47,217.03,217.195,6527.0
217.5199,217.54,217.13,217.15,7710.0
217.09,217.41,217.09,217.39,5900.0
216.87,217.15,216.87,217.15,6403.0
217.09,217.09,216.72,216.87,4463.0
217.2,217.27,216.95,217.04,8500.0
216.96,217.3,216.7822,217.2,5286.0
216.75,217.17,216.69,216.97,6325.0
216.76,216.8,216.67,216.75,11559.0
216.73,216.7999,216.64,216.73,10108.0
216.55,216.665,216.49,216.65,4450.0
216.75,216.84,216.52,216.52,1850.0
216.865,216.87,216.67,216.75,7800.0
217.21,217.3797,216.76,216.8,12470.0
217.02,217.2875,217.02,217.2875,4414.0
216.71,217.0,216.63,217.0,6945.0
216.72,217.0,216.59,216.72,13498.0
216.685,216.7699,216.61,216.7225,11983.0
216.5,216.685,216.42,216.685,8660.0
216.397,216.47,216.325,216.47,4900.0
216.4175,216.49,216.34,216.4,9750.0
216.52,216.8399,216.4507,216.49,8205.0
216.42,216.5999,216.4,216.55,2000.0
216.2,216.46,216.2,216.46,3948.0
216.31,216.3599,216.15,216.2,6298.0
216.3475,216.4,216.25,216.37,9204.0
216.3,216.4,216.23,216.35,4300.0
216.57,216.58,216.23,216.305,8601.0
216.52,216.64,216.52,216.61,12625.0
216.47,216.56,216.46,216.48,1600.0
216.657,216.79,216.5,216.5,3474.0
216.79,216.81,216.68,216.79,8259.0
216.77,216.79,216.58,216.79,7050.0
216.8,216.85,216.69,216.78,4280.0
216.74,216.8496,216.72,216.75,3309.0
216.8,216.92,216.74,216.74,3152.0
216.85,216.91,216.74,216.86,5912.0
216.91,216.93,216.82,216.85,3050.0
216.905,217.1,216.88,216.93,9121.0
217.14,217.2,216.88,216.9,6885.0
217.08,217.15,217.06,217.1,3018.0
216.94,217.08,216.91,217.08,3994.0
216.67,216.9402,216.6,216.9402,7003.0
216.79,216.79,216.6055,216.6055,5300.0
216.47,216.75,216.47,216.75,3456.0
216.59,216.61,216.36,216.47,4707.0
216.53,216.6999,216.53,216.59,3025.0
216.45,216.6,216.45,216.6,1400.0
216.5,216.56,216.47,216.47,1500.0
216.55,216.55,216.39,216.5,2337.0
216.29,216.5,216.25,216.5,3707.0
216.28,216.35,216.15,216.24,3512.0
216.48,216.48,216.2,216.26,2821.0
216.31,216.52,216.31,216.4092,3125.0
216.4,216.44,216.24,216.24,1600.0
216.32,216.45,216.32,216.38,1824.0
216.37,216.37,216.285,216.32,800.0
216.14,216.42,216.1,216.36,12879.0
216.16,216.25,216.1,216.25,1305.0
216.28,216.28,216.22,216.22,2445.0
216.39,216.39,216.28,216.28,3870.0
216.5,216.5,216.34,216.39,1960.0
216.44,216.4558,216.39,216.455,3114.0
216.2606,216.39,216.26,216.39,2588.0
216.39,216.46,216.27,216.27,3452.0
216.16,216.37,216.15,216.37,1500.0
216.12,216.23,216.08,216.15,3058.0
216.05,216.1647,216.05,216.1522,2975.0
215.95,216.07,215.91,216.01,13517.0
215.99,216.1402,215.97,216.0048,6545.0
215.77,216.014,215.77,216.014,3564.0
215.8,215.8955,215.69,215.81,7140.0
215.73,215.95,215.72,215.8,4870.0
215.7354,215.745,215.65,215.72,5371.0
215.56,215.64,215.56,215.64,1100.0
215.3903,215.615,215.32,215.615,16207.0
215.285,215.42,215.17,215.39,9816.0
215.45,215.5,215.25,215.25,3400.0
215.579,215.59,215.5,215.51,1050.0
215.66,215.81,215.49,215.54,6800.0
215.7,215.77,215.6,215.66,5455.0
215.88,215.95,215.745,215.745,2400.0
215.67,215.89,215.67,215.8611,5600.0
215.62,215.69,215.56,215.65,4500.0
215.65,215.76,215.65,215.65,3200.0
215.76,215.76,215.6,215.65,3300.0
215.94,215.94,215.78,215.79,5270.0
215.995,216.08,215.925,215.925,2991.0
216.11,216.17,216.03,216.04,800.0
216.205,216.21,216.16,216.16,1000.0
216.075,216.13,216.0,216.09,4100.0
216.28,216.33,216.0,216.003,4800.0
216.15,216.32,216.15,216.32,13643.0
216.11,216.16,216.08,216.16,700.0
216.0158,216.05,215.9532,216.035,3000.0
