Open,High,Low,Close,Volume
249.56,249.56,249.56,249.56,60607.0
249.87,249.87,249.63,249.63,398.0
249.89,249.94,249.52,249.88,700.0
249.56,249.56,249.56,249.56,100.0
249.03,249.03,249.03,249.03,100.0
249.29,249.29,249.29,249.29,100.0
249.51,249.67,249.46,249.62,1801.0
249.25,249.62,249.25,249.62,300.0
249.31,249.31,249.31,249.31,100.0
249.44,249.44,249.1,249.295,1300.0
249.6,249.6,249.17,249.17,1300.0
249.53,249.5575,249.47,249.5575,300.0
249.54,249.54,249.54,249.54,100.0
249.78,249.78,249.78,249.78,200.0
249.71,249.73,249.71,249.73,1613.0
249.73,249.97,249.71,249.78,2200.0
249.81,249.81,249.73,249.75,700.0
249.78,249.91,249.78,249.91,700.0
249.56,249.63,249.56,249.63,200.0
249.61,249.61,249.61,249.61,200.0
249.7,249.7,249.63,249.65,500.0
249.65,249.7,249.38,249.66,1400.0
249.65,249.74,249.58,249.7,1700.0
249.75,249.75,249.69,249.73,661.0
249.79,249.88,249.71,249.8,3203.0
249.82,249.82,249.8,249.8,300.0
249.71,249.83,249.71,249.83,400.0
249.99,249.99,249.8,249.8,1400.0
249.8,249.81,249.8,249.81,200.0
249.82,249.82,249.71,249.75,1094.0
249.81,249.88,249.8,249.83,1879.0
249.9,249.9,249.79,249.82,801.0
250.03,250.03,249.95,249.95,661.0
249.965,249.965,249.95,249.95,200.0
250.17,250.17,250.17,250.17,100.0
250.15,250.2,250.15,250.2,819.0
250.06,250.07,250.06,250.07,300.0
250.54,250.54,250.28,250.28,1006.0
250.5272,250.67,250.5272,250.67,266.0
250.5,250.5,250.5,250.5,200.0
250.31,250.48,250.31,250.48,703.0
250.85,250.85,250.4,250.4,2500.0
250.75,250.8,250.55,250.79,3711.0
250.74,250.74,250.73,250.73,300.0
250.28,250.63,250.28,250.63,800.0
250.3483,250.3483,250.3483,250.3483,200.0
250.415,250.415,250.41,250.41,300.0
250.35,250.35,250.35,250.35,100.0
250.25,250.31,250.25,250.31,500.0
250.16,250.29,250.16,250.29,200.0
250.29,250.31,250.29,250.29,510.0
250.47,250.64,250.47,250.64,800.0
250.58,250.58,250.55,250.55,200.0
250.62,250.62,250.62,250.62,395.0
250.72,250.72,250.63,250.63,200.0
250.7,250.7,250.7,250.7,100.0
250.63,250.63,250.63,250.63,100.0
250.7,250.7,250.6,250.6,200.0
250.63,250.63,250.54,250.57,600.0
250.72,250.72,250.68,250.68,400.0
250.84,250.85,250.66,250.66,700.0
250.61,250.67,250.61,250.67,500.0
250.41,250.53,250.41,250.53,200.0
250.67,250.67,250.49,250.49,1227.0
250.47,250.49,250.47,250.49,500.0
250.58,250.58,250.54,250.54,300.0
250.59,250.68,250.59,250.68,200.0
250.855,250.855,250.7,250.71,900.0
250.925,251.01,250.925,250.98,300.0
250.74,250.875,250.7,250.86,3800.0
250.71,250.78,250.71,250.78,300.0
250.64,250.72,250.64,250.71,400.0
250.69,250.69,250.6,250.62,500.0
250.85,250.87,250.7,250.71,1700.0
250.982,250.982,250.96,250.96,200.0
251.07,251.07,250.98,250.99,600.0
250.91,251.0,250.91,251.0,700.0
250.85,250.945,250.85,250.85,600.0
251.03,251.08,250.88,250.88,800.0
251.18,251.18,251.18,251.18,100.0
251.12,251.21,251.12,251.21,700.0
251.34,251.34,251.1875,251.23,2050.0
251.26,251.34,251.21,251.26,4422.0
251.24,251.27,251.24,251.27,600.0
251.12,251.21,251.12,251.21,400.0
251.2,251.2,251.2,251.2,100.0
251.24,251.24,251.17,251.17,300.0
251.33,251.33,251.24,251.24,735.0
251.34,251.35,251.34,251.35,200.0
251.29,251.29,251.27,251.27,400.0
251.25,251.33,251.25,251.285,2600.0
251.3,251.3,251.3,251.3,700.0
251.36,251.39,251.26,251.26,1600.0
251.4,251.45,251.4,251.4,300.0
251.55,251.55,251.435,251.48,600.0
251.44,251.52,251.44,251.48,800.0
251.43,251.43,251.43,251.43,300.0
251.46,251.46,251.46,251.46,100.0
251.41,251.41,251.41,251.41,100.0
251.635,251.635,251.465,251.49,1073.0
251.86,251.86,251.72,251.76,400.0
251.85,251.85,251.85,251.85,100.0
251.93,251.93,251.93,251.93,100.0
252.09,252.09,252.09,252.09,100.0
251.81,251.92,251.81,251.92,6000.0
251.68,251.77,251.67,251.77,1391.0
251.7,251.7,251.64,251.64,200.0
251.68,251.68,251.68,251.68,200.0
251.75,251.77,251.75,251.77,400.0
251.79,251.79,251.79,251.79,100.0
251.65,251.67,251.62,251.66,750.0
251.56,251.56,251.56,251.56,100.0
251.62,251.62,251.62,251.62,100.0
251.64,251.73,251.64,251.72,502.0
251.66,251.67,251.59,251.67,400.0
251.58,251.58,251.58,251.58,100.0
251.54,251.57,251.54,251.57,200.0
251.47,251.47,251.47,251.47,100.0
251.4659,251.4659,251.4659,251.4659,118.0
251.49,251.49,251.41,251.41,519.0
251.46,251.51,251.46,251.5,731.0
251.43,251.43,251.43,251.43,100.0
251.45,251.46,251.45,251.46,213.0
251.46,251.52,251.46,251.5,743.0
251.567,251.567,251.567,251.567,222.0
251.65,251.65,251.65,251.65,100.0
251.5627,251.57,251.55,251.57,644.0
251.46,251.57,251.45,251.51,1107.0
251.44,251.44,251.44,251.44,158.0
251.45,251.57,251.45,251.53,1300.0
251.39,251.4,251.39,251.4,200.0
251.51,251.51,251.51,251.51,100.0
251.42,251.42,251.42,251.42,300.0
251.48,251.49,251.425,251.425,1700.0
251.28,251.35,251.28,251.35,500.0
251.43,251.43,251.31,251.34,2273.0
251.42,251.48,251.42,251.48,700.0
251.41,251.41,251.41,251.41,100.0
251.32,251.35,251.32,251.35,200.0
251.36,251.36,251.36,251.36,100.0
251.36,251.36,251.36,251.36,500.0
251.3,251.38,251.3,251.38,200.0
251.15,251.3,251.15,251.3,700.0
251.33,251.33,251.29,251.31,742.0
251.33,251.33,251.33,251.33,100.0
251.42,251.42,251.42,251.42,100.0
251.34,251.37,251.315,251.34,500.0
251.24,251.26,251.24,251.26,400.0
251.3,251.3,251.3,251.3,100.0
251.19,251.21,251.19,251.21,200.0
251.23,251.28,251.15,251.18,1200.0
251.17,251.22,251.17,251.22,300.0
251.01,251.1,251.01,251.1,500.0
251.13,251.13,251.09,251.09,200.0
251.05,251.05,251.05,251.05,100.0
251.09,251.15,251.09,251.15,200.0
251.01,251.05,251.01,251.04,400.0
250.95,250.95,250.95,250.95,100.0
251.015,251.08,251.015,251.08,200.0
250.9501,251.09,250.9501,251.08,700.0
251.09,251.09,250.98,250.98,200.0
251.115,251.16,251.11,251.14,600.0
251.1004,251.1004,251.03,251.03,226.0
251.18,251.18,251.18,251.18,100.0
251.22,251.22,251.155,251.2,500.0
251.17,251.17,251.15,251.15,300.0
251.16,251.19,251.11,251.14,1111.0
251.24,251.24,251.14,251.14,443.0
251.24,251.24,251.21,251.21,700.0
251.23,251.23,251.23,251.23,100.0
251.37,251.37,251.29,251.29,300.0
251.47,251.47,251.47,251.47,100.0
251.4,251.4,251.4,251.4,400.0
251.44,251.44,251.44,251.44,100.0
251.33,251.33,251.33,251.33,100.0
251.44,251.44,251.34,251.34,200.0
251.32,251.39,251.32,251.39,1004.0
251.4,251.4,251.39,251.39,200.0
251.44,251.44,251.44,251.44,100.0
251.36,251.47,251.36,251.46,661.0
251.42,251.42,251.42,251.42,143.0
251.38,251.38,251.37,251.37,300.0
251.4,251.4,251.4,251.4,100.0
251.37,251.37,251.37,251.37,200.0
251.41,251.41,251.41,251.41,100.0
251.33,251.33,251.33,251.33,100.0
251.19,251.26,251.19,251.26,300.0
251.24,251.24,251.24,251.24,230.0
251.35,251.35,251.24,251.24,500.0
251.295,251.33,251.295,251.33,200.0
251.22,251.23,251.22,251.23,301.0
251.22,251.22,251.22,251.22,100.0
251.17,251.21,251.17,251.18,300.0
251.23,251.23,251.23,251.23,100.0
251.08,251.08,251.08,251.08,300.0
251.04,251.04,251.04,251.04,100.0
251.02,251.02,251.02,251.02,200.0
251.0,251.055,251.0,251.055,945.0
250.9871,250.9871,250.9871,250.9871,200.0
251.0,251.0,251.0,251.0,100.0
251.015,251.015,250.98,250.98,400.0
250.9,251.07,250.9,251.025,2915.0
250.97,250.97,250.88,250.89,501.0
250.86,250.86,250.86,250.86,100.0
250.85,250.87,250.85,250.87,280.0
250.82,250.82,250.82,250.82,300.0
250.83,250.97,250.83,250.895,405.0
250.83,250.83,250.83,250.83,100.0
250.83,250.92,250.83,250.84,1000.0
250.865,250.865,250.82,250.82,200.0
250.85,250.85,250.85,250.85,100.0
250.88,250.88,250.78,250.78,348.0
250.8,250.8,250.8,250.8,100.0
250.71,250.79,250.71,250.79,632.0
250.745,250.85,250.74,250.83,800.0
250.77,250.77,250.77,250.77,300.0
250.7903,250.86,250.79,250.86,808.0
250.72,250.79,250.71,250.79,403.0
250.79,250.81,250.67,250.67,2580.0
250.78,250.79,250.78,250.79,697.0
250.79,250.79,250.79,250.79,300.0
250.74,250.78,250.73,250.77,1464.0
250.66,250.74,250.66,250.74,699.0
250.71,250.72,250.69,250.69,1300.0
250.67,250.78,250.66,250.74,1844.0
250.6,250.73,250.6,250.73,618.0
250.541,250.541,250.541,250.541,100.0
250.59,250.62,250.59,250.61,700.0
250.38,250.56,250.38,250.56,1032.0
250.36,250.38,250.36,250.37,900.0
250.39,250.41,250.38,250.38,1226.0
