Open,High,Low,Close,Volume
57.69,57.69,57.69,57.69,200.0
57.77,57.77,57.67,57.67,24120.0
57.81,57.81,57.755,57.79,1200.0
57.64,57.83,57.64,57.82,5182.0
57.85,57.85,57.64,57.64,3400.0
57.79,57.84,57.79,57.795,443.0
57.615,57.86,57.58,57.84,14695.0
57.65,57.66,57.58,57.58,800.0
57.64,57.68,57.64,57.66,500.0
57.675,57.685,57.63,57.63,800.0
57.71,57.8,57.69,57.75,5503.0
57.66,57.74,57.64,57.74,2418.0
57.68,57.72,57.68,57.72,700.0
57.73,57.73,57.68,57.71,1346.0
57.601,57.71,57.601,57.67,3000.0
57.56,57.64,57.56,57.64,800.0
57.62,57.64,57.58,57.6,2150.0
57.55,57.62,57.55,57.6,3927.0
57.525,57.541,57.48,57.541,2835.0
57.5497,57.57,57.5064,57.5064,5169.0
57.52,57.535,57.52,57.535,200.0
57.5,57.5,57.5,57.5,100.0
57.52,57.55,57.46,57.49,2500.0
57.56,57.56,57.495,57.515,1200.0
57.59,57.62,57.56,57.6,1200.0
57.63,57.63,57.54,57.59,2300.0
57.6,57.69,57.56,57.64,5127.0
57.6,57.6,57.55,57.56,1400.0
57.61,57.61,57.54,57.56,1000.0
57.67,57.67,57.6,57.6,2150.0
57.625,57.65,57.59,57.61,2603.0
57.67,57.68,57.63,57.65,1547.0
57.75,57.78,57.69,57.69,6225.0
57.72,57.72,57.68,57.72,1600.0
57.75,57.8,57.7,57.7,9767.0
57.72,57.76,57.7,57.76,3200.0
57.69,57.71,57.66,57.71,1800.0
57.64,57.65,57.64,57.65,500.0
57.72,57.72,57.6865,57.689,27696.0
57.75,57.75,57.72,57.74,5059.0
57.69,57.75,57.68,57.75,2600.0
57.61,57.67,57.61,57.67,1000.0
57.55,57.6,57.55,57.6,1175.0
57.5,57.53,57.5,57.52,1400.0
57.52,57.52,57.47,57.47,2000.0
57.55,57.65,57.54,57.55,3325.0
57.6,57.6099,57.55,57.6,2917.0
57.55,57.61,57.55,57.61,2700.0
57.45,57.55,57.45,57.54,2500.0
57.49,57.53,57.49,57.49,1000.0
57.54,57.54,57.52,57.52,2152.0
57.49,57.535,57.49,57.535,2663.0
57.45,57.47,57.43,57.43,400.0
57.42,57.47,57.42,57.46,9608.0
57.4,57.425,57.4,57.425,2700.0
57.32,57.39,57.32,57.39,1271.0
57.35,57.38,57.35,57.36,5523.0
57.41,57.43,57.35,57.36,5100.0
57.43,57.46,57.4,57.43,4300.0
57.405,57.41,57.38,57.41,900.0
57.46,57.46,57.38,57.41,1782.0
57.41,57.47,57.41,57.445,2556.0
57.42,57.46,57.41,57.41,3683.0
57.43,57.45,57.42,57.42,2900.0
57.55,57.55,57.44,57.45,7900.0
57.56,57.56,57.5,57.55,11099.0
57.63,57.63,57.56,57.56,800.0
57.65,57.65,57.63,57.63,1000.0
57.64,57.68,57.59,57.68,4600.0
57.62,57.62,57.61,57.61,700.0
57.61,57.64,57.61,57.61,400.0
57.6601,57.68,57.62,57.62,3400.0
57.67,57.67,57.63,57.66,3550.0
57.69,57.69,57.675,57.675,600.0
57.765,57.765,57.67,57.695,3016.0
57.82,57.82,57.71,57.765,5600.0
57.845,57.845,57.82,57.82,1400.0
57.74,57.89,57.74,57.86,4236.0
57.81,57.81,57.75,57.77,2000.0
57.81,57.8888,57.81,57.825,9081.0
57.82,57.83,57.79,57.81,2000.0
57.75,57.81,57.75,57.81,3000.0
57.78,57.81,57.77,57.77,1100.0
57.7,57.795,57.6901,57.78,4700.0
57.68,57.725,57.68,57.68,2401.0
57.6601,57.67,57.64,57.65,3000.0
57.65,57.66,57.62,57.66,1900.0
57.57,57.65,57.55,57.65,3352.0
57.55,57.595,57.55,57.57,2824.0
57.545,57.55,57.53,57.53,1200.0
57.52,57.5699,57.52,57.53,3236.0
57.475,57.55,57.475,57.52,2504.0
57.42,57.45,57.42,57.45,1500.0
57.39,57.45,57.39,57.43,15794.0
57.38,57.41,57.36,57.39,9500.0
57.43,57.46,57.37,57.38,7636.0
57.5,57.5,57.42,57.42,1600.0
57.56,57.58,57.5,57.5,2100.0
57.575,57.575,57.55,57.56,900.0
57.63,57.63,57.58,57.58,1600.0
57.65,57.65,57.59,57.64,4000.0
57.55,57.62,57.55,57.62,1600.0
57.57,57.57,57.55,57.55,300.0
57.59,57.59,57.54,57.55,2621.0
57.58,57.63,57.58,57.63,1192.0
57.64,57.667,57.58,57.58,1200.0
57.64,57.66,57.635,57.64,3100.0
57.6,57.65,57.6,57.6401,1446.0
57.58,57.65,57.58,57.595,2000.0
57.56,57.58,57.55,57.58,1200.0
57.58,57.59,57.56,57.57,2105.0
57.57,57.58,57.56,57.58,1591.0
57.56,57.63,57.56,57.57,2800.0
57.5125,57.575,57.5125,57.56,4317.0
57.52,57.55,57.52,57.55,800.0
57.5201,57.53,57.49,57.52,1900.0
57.49,57.53,57.48,57.52,2104.0
57.54,57.56,57.5,57.5,2603.0
57.53,57.5424,57.5,57.54,2408.0
57.54,57.54,57.53,57.53,1100.0
57.53,57.57,57.53,57.56,2102.0
57.55,57.55,57.5,57.53,2000.0
57.57,57.6,57.54,57.54,2422.0
57.555,57.555,57.53,57.53,400.0
57.52,57.54,57.5,57.53,3872.0
57.53,57.54,57.53,57.54,200.0
57.61,57.61,57.53,57.53,2418.0
57.59,57.62,57.58,57.62,2100.0
57.585,57.6,57.545,57.58,2492.0
57.59,57.62,57.59,57.6025,1500.0
57.54,57.58,57.54,57.58,864.0
57.55,57.57,57.52,57.53,3600.0
57.6,57.625,57.565,57.565,1100.0
57.64,57.64,57.57,57.59,2100.0
57.63,57.68,57.63,57.68,2202.0
57.66,57.66,57.62,57.63,2100.0
57.6975,57.7,57.635,57.64,3655.0
57.735,57.74,57.69,57.69,1570.0
57.83,57.83,57.74,57.76,2020.0
57.8286,57.84,57.8,57.83,8450.0
57.75,57.86,57.75,57.8175,3600.0
57.82,57.84,57.78,57.78,3097.0
57.8475,57.85,57.84,57.84,2043.0
57.87,57.91,57.86,57.86,5400.0
57.93,57.93,57.87,57.87,2067.0
57.88,57.95,57.85,57.94,5003.0
57.87,57.895,57.83,57.88,3525.0
57.89,57.89,57.815,57.87,3300.0
57.925,57.925,57.87,57.87,2000.0
57.97,57.99,57.91,57.92,4500.0
58.0,58.0,57.93,57.98,3329.0
57.98,57.99,57.97,57.98,800.0
57.97,58.015,57.97,57.9847,1500.0
58.02,58.02,57.98,57.98,1903.0
58.0,58.04,57.97,58.04,3400.0
57.93,57.96,57.91,57.96,4850.0
57.93,57.95,57.91,57.91,1400.0
57.89,57.91,57.89,57.9,1300.0
57.87,57.92,57.85,57.86,4500.0
57.86,57.86,57.86,57.86,200.0
57.89,57.92,57.83,57.83,3296.0
57.87,57.8775,57.855,57.8775,2400.0
57.845,57.87,57.845,57.87,1000.0
57.855,57.91,57.83,57.83,2728.0
57.895,57.9,57.84,57.84,1000.0
57.91,57.91,57.87,57.89,2871.0
57.95,57.95,57.9,57.91,2600.0
57.97,57.98,57.95,57.955,2008.0
57.94,57.975,57.94,57.975,2200.0
57.95,57.985,57.94,57.94,2553.0
57.96,57.96,57.96,57.96,400.0
57.99,58.015,57.96,57.97,3446.0
57.93,57.98,57.93,57.98,500.0
57.93,57.96,57.92,57.92,2204.0
57.9,57.97,57.9,57.97,1890.0
57.94,57.97,57.93,57.93,2701.0
58.01,58.02,57.935,57.96,1170.0
58.0,58.04,58.0,58.0,3020.0
58.0145,58.025,58.0,58.0,4002.0
57.95,57.99,57.945,57.99,701.0
57.99,57.99,57.95,57.97,2325.0
57.97,58.02,57.97,58.0,1153.0
57.97,57.97,57.95,57.97,2800.0
58.04,58.04,57.985,57.99,800.0
57.99,58.0286,57.99,58.0286,1450.0
58.0,58.0,57.97,57.98,1705.0
58.0,58.04,58.0,58.0,3247.0
58.03,58.03,58.0,58.015,1415.0
58.05,58.1,58.03,58.045,3700.0
58.07,58.07,58.03,58.03,1000.0
58.035,58.07,58.02,58.07,2105.0
58.06,58.06,58.04,58.04,900.0
58.08,58.1,58.05,58.05,1400.0
58.06,58.09,58.06,58.08,3157.0
58.05,58.05,58.02,58.05,642.0
58.0799,58.08,58.03,58.03,750.0
58.1,58.12,58.05,58.065,5636.0
58.15,58.15,58.1,58.11,1438.0
58.16,58.17,58.13,58.16,3330.0
58.15,58.16,58.13,58.14,2401.0
58.125,58.13,58.1,58.13,3100.0
58.135,58.15,58.1,58.1,1951.0
58.18,58.18,58.13,58.14,3730.0
58.2,58.2,58.165,58.165,1309.0
58.2015,58.2015,58.17,58.175,1407.0
58.19,58.21,58.18,58.18,2800.0
58.18,58.2,58.18,58.2,2000.0
58.1925,58.1925,58.1925,58.1925,100.0
58.2,58.22,58.2,58.2,3400.0
58.19,58.2,58.17,58.2,2408.0
58.2,58.22,58.19,58.19,2700.0
58.2,58.22,58.19,58.2,3314.0
58.17,58.1926,58.16,58.1926,2652.0
58.1501,58.17,58.1501,58.16,1600.0
58.125,58.16,58.125,58.16,4183.0
58.12,58.12,58.07,58.115,2500.0
58.11,58.12,58.11,58.12,430.0
58.07,58.13,58.06,58.11,2600.0
58.1,58.1,58.07,58.079,3100.0
58.13,58.14,58.12,58.12,1608.0
58.08,58.1335,58.08,58.1335,1800.0
58.1,58.18,58.09,58.09,6462.0
58.13,58.13,58.095,58.1,2200.0
58.12,58.14,58.1,58.1,2460.0
58.15,58.15,58.13,58.135,2140.0
58.18,58.195,58.17,58.185,3107.0
58.17,58.18,58.15,58.18,2300.0
58.17,58.185,58.17,58.17,1200.0
58.19,58.19,58.16,58.17,2100.0
58.1,58.17,58.1,58.16,2945.0
58.1,58.13,58.0701,58.08,5320.0
58.07,58.12,58.07,58.12,1600.0
58.11,58.11,58.07,58.07,2336.0
58.09,58.11,58.09,58.09,300.0
58.1,58.145,58.09,58.12,4390.0
58.09,58.1,58.09,58.1,700.0
58.11,58.13,58.09,58.1034,2300.0
58.168,58.168,58.13,58.13,2040.0
58.1,58.15,58.1,58.15,2506.0
58.1,58.12,58.09,58.1,1900.0
58.05,58.11,58.05,58.11,1182.0
58.08,58.09,58.07,58.08,2100.0
58.08,58.08,58.06,58.08,1700.0
58.07,58.08,58.055,58.06,3280.0
58.13,58.17,58.08,58.09,3550.0
58.1,58.14,58.1,58.13,2934.0
58.13,58.13,58.11,58.11,2100.0
58.1,58.14,58.1,58.12,1804.0
58.12,58.12,58.07,58.1,2301.0
58.11,58.13,58.11,58.12,1700.0
58.0901,58.11,58.09,58.09,578.0
58.11,58.12,58.08,58.095,5332.0
58.11,58.12,58.1,58.11,1600.0
58.18,58.23,58.12,58.12,7340.0
58.1401,58.2,58.1401,58.2,565.0
58.28,58.28,58.14,58.14,5997.0
58.2475,58.304,58.23,58.304,4894.0
58.26,58.27,58.25,58.25,1282.0
58.29,58.29,58.28,58.28,600.0
58.355,58.37,58.28,58.29,7410.0
58.375,58.375,58.325,58.335,4300.0
58.37,58.37,58.35,58.37,2300.0
58.4,58.41,58.36,58.37,2201.0
58.41,58.45,58.4,58.4,3719.0
58.41,58.42,58.4,58.41,3908.0
58.46,58.49,58.4,58.4,4402.0
58.42,58.45,58.41,58.45,5006.0
58.3801,58.43,58.38,58.43,1768.0
58.4,58.42,58.37,58.38,2400.0
58.395,58.41,58.395,58.4,600.0
