Open,High,Low,Close,Volume
67.61,67.61,67.56,67.56,40765.0
67.5117,67.79,67.18,67.78,11124.0
67.52,67.67,67.52,67.56,2600.0
67.5,67.58,67.48,67.56,4257.0
67.6,67.6,67.5,67.5,2856.0
67.63,67.66,67.575,67.575,4801.0
67.67,67.68,67.62,67.66,1602.0
67.635,67.65,67.57,67.63,8771.0
67.71,67.75,67.65,67.65,2485.0
67.65,67.7,67.65,67.7,685.0
67.64,67.65,67.64,67.65,400.0
67.74,67.74,67.64,67.68,5700.0
67.71,67.76,67.71,67.76,2800.0
67.75,67.79,67.69,67.69,4300.0
67.81,67.81,67.75,67.75,1900.0
67.81,67.82,67.76,67.81,2800.0
67.82,67.8318,67.81,67.82,3264.0
67.8,67.84,67.78,67.81,6625.0
67.86,67.87,67.81,67.81,2991.0
67.89,67.92,67.84,67.84,8149.0
67.85,67.89,67.85,67.85,2200.0
67.8,67.87,67.8,67.83,2000.0
67.82,67.83,67.81,67.81,3443.0
67.84,67.86,67.825,67.83,6156.0
67.87,67.87,67.83,67.85,2305.0
67.87,67.88,67.86,67.87,4700.0
67.89,67.97,67.88,67.89,22592.0
67.94,67.95,67.9,67.9,3300.0
67.91,67.9227,67.91,67.9227,800.0
67.96,67.96,67.86,67.93,12090.0
67.94,67.94,67.91,67.94,1443.0
68.0,68.0,67.93,67.93,5015.0
68.03,68.06,67.98,67.99,4900.0
68.0696,68.07,68.04,68.04,2208.0
68.03,68.05,68.03,68.05,2000.0
68.02,68.06,68.02,68.02,2300.0
68.05,68.05,68.02,68.03,700.0
68.02,68.04,68.01,68.01,1606.0
68.05,68.06,68.012,68.0178,2943.0
68.02,68.05,68.01,68.05,2650.0
68.04,68.05,68.02,68.02,3496.0
68.04,68.04,68.04,68.04,100.0
68.04,68.04,68.03,68.04,2979.0
68.04,68.04,68.0,68.03,3200.0
68.02,68.05,68.01,68.04,3000.0
68.03,68.04,68.01,68.02,6375.0
68.03,68.05,68.03,68.03,4128.0
68.0,68.0254,68.0,68.02,1683.0
68.02,68.02,68.005,68.01,2675.0
67.96,68.01,67.96,68.01,4205.0
67.93,67.955,67.93,67.95,1811.0
67.93,67.95,67.93,67.94,800.0
67.927,67.93,67.89,67.93,4242.0
67.93,67.94,67.89,67.915,4652.0
67.91,67.95,67.9,67.95,3506.0
67.92,67.92,67.88,67.9,6200.0
67.95,67.96,67.93,67.93,2500.0
67.99,67.99,67.95,67.95,2594.0
67.98,67.983,67.975,67.983,3200.0
67.93,67.99,67.93,67.99,3652.0
67.9,67.9201,67.89,67.9201,3000.0
67.91,67.91,67.89,67.9,8933.0
67.9,67.92,67.9,67.92,6839.0
67.9,67.91,67.89,67.895,6903.0
67.91,67.92,67.885,67.905,4203.0
67.92,67.93,67.91,67.92,4600.0
67.94,67.95,67.92,67.93,8475.0
67.915,67.95,67.91,67.93,5925.0
67.945,67.945,67.92,67.92,2700.0
67.91,67.93,67.9,67.93,2232.0
67.9,67.91,67.9,67.91,2280.0
67.91,67.91,67.895,67.895,2300.0
67.905,67.93,67.895,67.92,5905.0
67.95,67.95,67.915,67.92,2624.0
67.97,67.98,67.945,67.95,800.0
67.95,67.98,67.94,67.98,2818.0
67.96,67.96,67.94,67.96,3033.0
67.94,67.95,67.94,67.95,998.0
67.93,67.95,67.93,67.94,2393.0
67.97,67.97,67.93,67.93,2700.0
67.9901,67.9901,67.96,67.97,2138.0
67.98,67.99,67.98,67.99,2130.0
68.02,68.02,67.985,67.985,1200.0
68.03,68.03,68.01,68.03,2500.0
68.05,68.06,68.05,68.05,2600.0
68.04,68.06,68.04,68.05,1000.0
68.03,68.06,68.03,68.05,2901.0
68.05,68.05,68.03,68.035,1900.0
68.05,68.06,68.05,68.05,800.0
68.08,68.08,68.04,68.05,3500.0
68.05,68.09,68.05,68.07,2834.0
68.04,68.0843,68.03,68.05,4649.0
68.04,68.0543,68.03,68.0543,2418.0
67.98,68.03,67.98,68.03,3601.0
68.0,68.0,67.97,67.97,2600.0
68.01,68.01,67.97,68.0,3120.0
68.03,68.03,68.01,68.02,700.0
68.05,68.05,68.04,68.04,700.0
67.98,68.04,67.97,68.04,4200.0
68.02,68.02,67.97,67.98,2700.0
68.02,68.02,68.02,68.02,1500.0
68.02,68.03,68.01,68.02,1200.0
68.01,68.01,67.98,68.0,1800.0
68.0,68.0,67.99,67.9965,1600.0
68.02,68.02,68.0,68.0,1600.0
68.01,68.03,68.005,68.01,3200.0
67.96,68.0,67.95,68.0,1600.0
67.95,67.965,67.95,67.95,2375.0
67.95,67.96,67.93,67.95,4603.0
67.96,67.96,67.96,67.96,300.0
67.95,67.95,67.94,67.95,2538.0
67.98,67.98,67.955,67.955,1300.0
67.99,68.01,67.98,67.99,4700.0
67.96,67.981,67.945,67.98,3838.0
67.97,67.97,67.95,67.96,1600.0
67.97,67.99,67.965,67.97,2400.0
67.975,67.98,67.9666,67.97,1954.0
67.985,67.99,67.975,67.98,842.0
68.0,68.01,67.99,67.99,3000.0
68.0,68.0,67.9962,67.9962,607.0
68.01,68.02,67.99,68.0042,3946.0
68.02,68.02,67.995,68.0195,3400.0
68.03,68.05,68.025,68.025,1511.0
68.03,68.03,68.01,68.02,2611.0
68.03,68.049,68.025,68.049,3452.0
68.0,68.03,68.0,68.02,2952.0
67.99,68.01,67.975,68.0,2630.0
68.02,68.03,68.0,68.0,1500.0
67.97,68.015,67.97,68.015,2535.0
67.965,67.99,67.965,67.97,2300.0
67.99,68.0,67.97,67.97,2516.0
67.98,67.98,67.98,67.98,700.0
67.965,67.97,67.96,67.97,800.0
67.95,67.9699,67.95,67.96,600.0
67.97,67.98,67.95,67.95,3901.0
67.99,67.99,67.98,67.98,500.0
67.99,68.0,67.96,67.98,4463.0
67.985,67.99,67.98,67.99,2092.0
67.98,67.98,67.98,67.98,400.0
67.97,68.0,67.96,67.97,4331.0
67.955,67.98,67.955,67.98,1155.0
67.95,67.95,67.94,67.95,700.0
67.96,67.96,67.95,67.95,2391.0
67.98,67.98,67.95,67.955,2308.0
68.005,68.01,67.97,67.97,4100.0
68.0,68.005,68.0,68.005,1100.0
67.93,68.0,67.91,67.98,6600.0
67.95,67.95,67.95,67.95,300.0
67.93,67.93,67.92,67.93,1300.0
67.92,67.93,67.91,67.93,1368.0
67.955,67.955,67.92,67.92,10974.0
67.92,67.945,67.92,67.94,1704.0
