Open,High,Low,Close,Volume
29.57,29.62,29.5566,29.5914,2200.0
29.49,29.55,29.49,29.55,2358.0
29.49,29.53,29.36,29.47,4250.0
29.44,29.48,29.39,29.48,1000.0
29.4,29.44,29.4,29.44,1050.0
29.5,29.5,29.37,29.38,1063.0
29.49,29.53,29.48,29.53,3600.0
29.55,29.55,29.48,29.5,3701.0
29.61,29.61,29.53,29.59,3400.0
29.54,29.59,29.54,29.59,500.0
29.55,29.595,29.55,29.595,600.0
29.54,29.54,29.5001,29.51,2100.0
29.49,29.54,29.49,29.54,2000.0
29.474,29.4908,29.47,29.4908,675.0
29.49,29.54,29.47,29.51,6671.0
29.52,29.52,29.47,29.5,3954.0
29.52,29.53,29.51,29.53,1100.0
29.51,29.55,29.51,29.52,2600.0
29.52,29.56,29.52,29.53,2400.0
29.61,29.61,29.53,29.53,8010.0
29.6,29.65,29.58,29.6,11363.0
29.57,29.62,29.57,29.61,3300.0
29.565,29.63,29.56,29.57,8061.0
29.52,29.565,29.51,29.565,8100.0
29.5,29.55,29.49,29.55,3167.0
29.43,29.5,29.43,29.5,1798.0
29.38,29.45,29.38,29.42,9048.0
29.37,29.41,29.34,29.381,11413.0
29.3801,29.41,29.35,29.37,4350.0
29.36,29.45,29.36,29.38,7737.0
29.395,29.395,29.35,29.36,4005.0
29.42,29.45,29.42,29.42,2900.0
29.45,29.45,29.41,29.41,2692.0
29.46,29.46,29.4,29.42,6417.0
29.46,29.48,29.46,29.48,1899.0
29.48,29.48,29.4475,29.46,2311.0
29.48,29.52,29.46,29.48,4177.0
29.49,29.5,29.45,29.47,2000.0
29.48,29.49,29.47,29.4899,3044.0
29.52,29.52,29.46,29.49,5508.0
29.54,29.54,29.5,29.52,3334.0
29.57,29.57,29.51,29.54,3300.0
29.6,29.61,29.56,29.58,19956.0
29.5825,29.63,29.57,29.61,14745.0
29.575,29.595,29.57,29.58,6427.0
29.66,29.68,29.58,29.58,23766.0
29.67,29.67,29.64,29.66,8161.0
29.65,29.67,29.6434,29.66,7337.0
29.67,29.675,29.66,29.66,2043.0
29.68,29.68,29.65,29.67,3689.0
29.68,29.7,29.67,29.68,6236.0
29.6538,29.68,29.65,29.68,4795.0
29.6,29.65,29.6,29.65,3559.0
29.6,29.62,29.6,29.61,3301.0
29.6,29.62,29.57,29.61,13028.0
29.605,29.61,29.6,29.6,2100.0
29.58,29.6,29.57,29.6,8801.0
29.6,29.61,29.58,29.58,5537.0
29.56,29.61,29.55,29.61,4117.0
29.5,29.56,29.5,29.56,4370.0
29.495,29.501,29.4864,29.5,5700.0
29.48,29.49,29.48,29.49,2200.0
29.52,29.52,29.48,29.49,7876.0
29.56,29.56,29.53,29.53,2831.0
29.54,29.56,29.54,29.56,900.0
29.5,29.54,29.49,29.54,5646.0
29.47,29.51,29.47,29.5,3800.0
29.44,29.47,29.44,29.47,5131.0
29.475,29.48,29.43,29.44,3400.0
29.44,29.48,29.43,29.48,6967.0
29.42,29.46,29.42,29.44,3600.0
29.4,29.41,29.4,29.4,2883.0
29.4,29.41,29.39,29.4,4301.0
29.4,29.4,29.3902,29.3902,600.0
29.39,29.41,29.37,29.41,6887.0
29.38,29.39,29.37,29.39,2800.0
29.38,29.39,29.37,29.39,3639.0
29.37,29.37,29.35,29.37,3800.0
29.34,29.35,29.34,29.35,3477.0
29.32,29.35,29.31,29.33,15681.0
29.33,29.33,29.32,29.32,2508.0
29.33,29.33,29.315,29.329,4200.0
29.34,29.36,29.33,29.33,3428.0
29.31,29.34,29.31,29.34,3085.0
29.3,29.32,29.3,29.32,4307.0
29.32,29.32,29.3,29.3,5537.0
29.38,29.38,29.32,29.32,5437.0
29.35,29.3917,29.35,29.38,3305.0
29.325,29.36,29.325,29.36,3150.0
29.359,29.36,29.33,29.33,5694.0
29.31,29.35,29.3,29.35,5519.0
29.32,29.345,29.31,29.31,4435.0
29.29,29.3293,29.29,29.3293,3326.0
29.28,29.3,29.28,29.29,3479.0
29.26,29.29,29.2548,29.27,1451.0
29.23,29.26,29.23,29.25,7269.0
29.2,29.23,29.2,29.23,5401.0
29.23,29.23,29.2,29.2,6302.0
29.22,29.22,29.22,29.22,100.0
29.24,29.24,29.21,29.22,5001.0
29.2592,29.26,29.24,29.25,3653.0
29.27,29.28,29.25,29.25,3745.0
29.26,29.27,29.26,29.27,1247.0
29.29,29.3,29.26,29.26,7035.0
29.29,29.3,29.27,29.3,3705.0
29.26,29.28,29.24,29.28,6007.0
29.23,29.26,29.23,29.26,5330.0
29.26,29.26,29.235,29.24,10670.0
29.25,29.28,29.25,29.27,4750.0
29.25,29.26,29.25,29.26,600.0
29.28,29.29,29.25,29.26,4890.0
29.31,29.31,29.29,29.29,8051.0
29.34,29.354,29.32,29.32,5600.0
29.36,29.375,29.34,29.35,4296.0
29.36,29.38,29.351,29.36,3001.0
29.38,29.38,29.35,29.36,3519.0
29.35,29.39,29.35,29.39,4657.0
29.33,29.35,29.32,29.34,2420.0
29.325,29.325,29.3,29.32,3901.0
29.28,29.33,29.27,29.33,7016.0
29.32,29.32,29.28,29.29,3699.0
29.31,29.34,29.31,29.32,2901.0
29.33,29.33,29.32,29.32,1800.0
29.35,29.36,29.34,29.34,4608.0
29.33,29.36,29.33,29.35,2200.0
29.33,29.33,29.33,29.33,100.0
29.3,29.33,29.29,29.33,2800.0
29.31,29.31,29.29,29.3,2560.0
29.31,29.32,29.29,29.29,2600.0
29.34,29.34,29.32,29.32,2627.0
29.33,29.34,29.33,29.34,3002.0
29.32,29.33,29.31,29.33,2000.0
29.3,29.31,29.3,29.31,1000.0
29.3,29.31,29.29,29.31,1900.0
29.34,29.34,29.3,29.3,4800.0
29.34,29.34,29.34,29.34,104.0
29.3,29.34,29.3,29.34,2400.0
29.33,29.33,29.31,29.31,1800.0
29.34,29.36,29.3301,29.34,2947.0
29.3475,29.35,29.3475,29.35,1977.0
29.38,29.38,29.35,29.3599,3211.0
29.41,29.41,29.375,29.38,4801.0
29.415,29.42,29.41,29.42,4600.0
29.45,29.4647,29.42,29.42,3971.0
29.45,29.46,29.45,29.45,4292.0
29.47,29.47,29.46,29.46,1000.0
29.47,29.48,29.46,29.48,4038.0
29.46,29.47,29.45,29.47,3209.0
29.45,29.46,29.43,29.46,5000.0
29.4502,29.46,29.445,29.445,3400.0
29.4301,29.47,29.43,29.46,6202.0
29.44,29.45,29.43,29.43,2500.0
29.46,29.46,29.435,29.44,4869.0
29.46,29.46,29.46,29.46,200.0
29.46,29.47,29.455,29.46,3047.0
29.45,29.46,29.45,29.46,1207.0
29.49,29.49,29.455,29.46,2601.0
29.46,29.49,29.46,29.49,2101.0
29.5,29.5,29.47,29.47,10638.0
29.475,29.5,29.475,29.5,3298.0
29.48,29.48,29.47,29.475,600.0
29.5,29.5,29.475,29.48,3000.0
29.51,29.51,29.5,29.5,2130.0
29.51,29.51,29.51,29.51,300.0
29.5,29.52,29.49,29.51,7411.0
29.5,29.52,29.495,29.5,1847.0
29.49,29.5,29.49,29.5,2801.0
29.49,29.5,29.49,29.49,1897.0
29.47,29.5,29.47,29.49,1800.0
29.48,29.49,29.47,29.47,2600.0
29.49,29.49,29.475,29.48,1300.0
29.51,29.51,29.5,29.5,1000.0
29.51,29.52,29.5,29.51,1800.0
29.51,29.52,29.51,29.51,4650.0
29.56,29.56,29.52,29.52,6911.0
29.54,29.55,29.54,29.55,5507.0
29.57,29.57,29.54,29.55,3800.0
29.55,29.57,29.55,29.57,1872.0
29.57,29.57,29.55,29.5599,1901.0
29.585,29.59,29.58,29.58,2125.0
29.61,29.61,29.59,29.59,8461.0
29.57,29.6,29.57,29.6,1701.0
29.56,29.58,29.56,29.58,2200.0
29.55,29.56,29.55,29.5536,6127.0
29.56,29.57,29.56,29.56,7802.0
29.56,29.56,29.56,29.56,200.0
29.53,29.55,29.525,29.55,1700.0
29.51,29.53,29.5,29.52,3414.0
29.51,29.51,29.49,29.51,3100.0
29.51,29.52,29.51,29.51,1700.0
29.51,29.52,29.51,29.52,1201.0
29.53,29.53,29.51,29.5147,721.0
29.5,29.5377,29.5,29.53,5601.0
29.52,29.52,29.5,29.5,4500.0
29.51,29.52,29.51,29.52,3749.0
29.52,29.52,29.5,29.5,3100.0
29.53,29.53,29.52,29.52,1000.0
29.54,29.55,29.51,29.52,7501.0
29.54,29.55,29.53,29.55,3268.0
29.53,29.54,29.52,29.54,2001.0
29.547,29.55,29.54,29.54,1600.0
29.54,29.55,29.53,29.55,1300.0
29.54,29.54,29.51,29.54,3201.0
29.54,29.5501,29.54,29.54,3900.0
29.52,29.55,29.52,29.55,2663.0
29.54,29.54,29.52,29.52,800.0
29.53,29.53,29.52,29.53,1431.0
29.52,29.53,29.52,29.53,3224.0
29.49,29.51,29.48,29.51,2979.0
29.48,29.5,29.48,29.5,1786.0
29.46,29.49,29.46,29.48,2603.0
29.45,29.46,29.44,29.46,2002.0
29.46,29.46,29.43,29.44,2941.0
