Open,High,Low,Close,Volume
37.4,37.4,37.4,37.4,34183.0
37.41,37.46,37.3999,37.42,8351.0
37.35,37.44,37.31,37.43,5146.0
37.28,37.32,37.28,37.32,1100.0
37.27,37.37,37.26,37.29,15427.0
37.24,37.27,37.2,37.27,94073.0
37.29,37.3,37.24,37.24,82271.0
37.26,37.29,37.24,37.26,6190.0
37.26,37.28,37.25,37.25,4248.0
37.24,37.26,37.22,37.26,16173.0
37.22,37.27,37.22,37.24,12400.0
37.22,37.22,37.2,37.22,7259.0
37.235,37.26,37.22,37.24,8401.0
37.245,37.27,37.22,37.25,27821.0
37.22,37.25,37.195,37.25,9354.0
37.18,37.225,37.18,37.225,37502.0
37.18,37.205,37.165,37.18,9368.0
37.16,37.185,37.16,37.18,4856.0
37.16,37.18,37.16,37.17,4600.0
37.15,37.175,37.125,37.155,6333.0
37.15,37.17,37.15,37.16,4400.0
37.19,37.19,37.155,37.16,1900.0
37.21,37.22,37.19,37.19,19329.0
37.21,37.23,37.2,37.21,31123.0
37.205,37.21,37.195,37.205,88359.0
37.23,37.23,37.19,37.2,26789.0
37.275,37.28,37.225,37.225,6225.0
37.3,37.3,37.28,37.28,4652.0
37.31,37.33,37.29,37.29,5513.0
37.36,37.37,37.32,37.32,5500.0
37.35,37.355,37.34,37.35,7232.0
37.44,37.45,37.345,37.35,72334.0
37.42,37.45,37.42,37.435,10709.0
37.46,37.46,37.41,37.425,19208.0
37.455,37.46,37.45,37.46,4964.0
37.47,37.48,37.445,37.45,9718.0
37.485,37.49,37.46,37.46,5299.0
37.47,37.49,37.455,37.48,12366.0
37.48,37.48,37.45,37.47,6274.0
37.47,37.5,37.46,37.48,18293.0
37.48,37.5,37.47,37.47,16102.0
37.49,37.52,37.47,37.473,33664.0
37.5,37.5,37.47,37.5,17676.0
37.495,37.5,37.49,37.5,5677.0
37.48,37.5,37.47,37.495,11280.0
37.51,37.52,37.47,37.486,7647.0
37.475,37.505,37.465,37.505,5500.0
37.485,37.49,37.465,37.475,12398.0
37.48,37.5,37.47,37.485,8863.0
37.495,37.505,37.49,37.49,6900.0
37.53,37.54,37.475,37.4975,14281.0
37.54,37.54,37.5232,37.53,7388.0
37.57,37.58,37.54,37.54,15254.0
37.58,37.58,37.555,37.575,4800.0
37.58,37.59,37.56,37.59,10184.0
37.62,37.62,37.58,37.59,9455.0
37.6,37.63,37.6,37.62,6877.0
37.62,37.63,37.595,37.6034,14468.0
37.595,37.62,37.59,37.61,11526.0
37.57,37.585,37.54,37.585,45726.0
37.6,37.61,37.565,37.57,21674.0
37.55,37.59,37.525,37.59,14788.0
37.54,37.56,37.53,37.56,3200.0
37.54,37.565,37.535,37.535,8196.0
37.5,37.54,37.48,37.54,23949.0
37.5,37.51,37.48,37.49,16364.0
37.49,37.5,37.49,37.5,5700.0
37.475,37.495,37.47,37.49,5130.0
37.48,37.5,37.47,37.475,9820.0
37.49,37.5,37.48,37.48,3500.0
37.48,37.5,37.48,37.5,6490.0
37.4558,37.48,37.445,37.48,11084.0
37.45,37.47,37.4447,37.45,7078.0
37.45,37.46,37.445,37.45,5600.0
37.43,37.45,37.425,37.45,3300.0
37.39,37.42,37.39,37.42,3615.0
37.38,37.4,37.38,37.4,13300.0
37.4,37.4,37.385,37.39,3417.0
37.39,37.42,37.39,37.4,13486.0
37.39,37.4,37.38,37.4,2300.0
37.41,37.41,37.38,37.39,4205.0
37.41,37.41,37.4,37.41,2100.0
37.395,37.415,37.39,37.415,3502.0
37.375,37.395,37.37,37.39,15943.0
37.34,37.375,37.33,37.37,11914.0
37.35,37.36,37.335,37.3393,4333.0
37.365,37.365,37.34,37.355,6799.0
37.39,37.39,37.365,37.365,2425.0
37.42,37.425,37.38,37.38,6202.0
37.42,37.43,37.4165,37.4165,3541.0
37.44,37.44,37.425,37.43,5000.0
37.435,37.44,37.43,37.435,1183.0
37.44,37.46,37.43,37.435,22700.0
37.435,37.46,37.435,37.45,9861.0
37.43,37.445,37.43,37.44,2822.0
37.445,37.445,37.43,37.435,4983.0
37.455,37.47,37.44,37.44,11605.0
37.47,37.47,37.45,37.455,4600.0
37.5,37.51,37.465,37.47,6879.0
37.52,37.52,37.5,37.5,7100.0
37.5,37.525,37.49,37.52,9632.0
37.49,37.52,37.49,37.51,3295.0
37.48,37.49,37.475,37.49,3300.0
37.49,37.5,37.47,37.48,8815.0
37.46,37.495,37.46,37.49,9364.0
37.45,37.47,37.45,37.465,13361.0
37.45,37.455,37.44,37.45,8412.0
37.445,37.455,37.445,37.45,2203.0
37.445,37.455,37.445,37.445,7000.0
37.43,37.445,37.43,37.44,5603.0
37.4108,37.435,37.4108,37.435,5700.0
37.375,37.415,37.375,37.41,16999.0
37.38,37.39,37.37,37.375,10568.0
37.39,37.4062,37.37,37.3843,17184.0
37.4,37.41,37.395,37.4,3425.0
37.405,37.415,37.4,37.41,9000.0
37.37,37.4,37.37,37.4,3999.0
37.36,37.38,37.35,37.375,7400.0
37.375,37.38,37.355,37.36,12476.0
37.38,37.38,37.37,37.37,1900.0
37.38,37.38,37.36,37.37,9565.0
37.41,37.41,37.38,37.38,7452.0
37.4,37.405,37.395,37.4,4106.0
37.43,37.4361,37.395,37.4,5903.0
37.43,37.4411,37.43,37.44,3199.0
37.4401,37.4401,37.415,37.43,7034.0
37.435,37.44,37.415,37.435,3300.0
37.45,37.45,37.42,37.435,7024.0
37.42,37.45,37.42,37.45,3015.0
37.43,37.435,37.42,37.42,2626.0
37.425,37.44,37.425,37.435,3900.0
37.4,37.425,37.39,37.425,11369.0
37.395,37.4,37.39,37.4,2400.0
37.405,37.43,37.4,37.4,12017.0
37.41,37.415,37.41,37.41,4002.0
37.4,37.42,37.39,37.419,7402.0
37.4,37.41,37.4,37.4,2600.0
37.4,37.4,37.39,37.4,12101.0
37.395,37.4061,37.39,37.4,4856.0
37.39,37.39,37.38,37.39,1400.0
37.36,37.385,37.35,37.385,7928.0
37.36,37.37,37.35,37.3691,9901.0
37.36,37.37,37.35,37.355,110492.0
37.36,37.37,37.36,37.37,3475.0
37.35,37.37,37.345,37.351,9668.0
37.355,37.36,37.34,37.35,12846.0
37.3401,37.355,37.34,37.3535,9782.0
37.345,37.3601,37.345,37.35,7726.0
37.36,37.37,37.345,37.345,4423.0
37.36,37.36,37.345,37.355,1900.0
37.4,37.4,37.36,37.36,6802.0
37.42,37.42,37.39,37.39,5882.0
37.44,37.44,37.4,37.41,5305.0
37.42,37.43,37.415,37.43,3701.0
37.43,37.43,37.4157,37.425,5400.0
37.43,37.43,37.42,37.43,1900.0
37.42,37.43,37.42,37.43,700.0
37.43,37.44,37.42,37.43,10700.0
37.41,37.425,37.41,37.425,2625.0
37.425,37.425,37.405,37.41,7793.0
37.43,37.435,37.42,37.42,1875.0
37.4401,37.4401,37.435,37.44,3500.0
37.43,37.4463,37.42,37.445,13356.0
37.425,37.43,37.42,37.43,9606.0
37.42,37.43,37.415,37.43,15094.0
