Open,High,Low,Close,Volume
5.46,5.46,5.46,5.46,4000.0
5.46,5.47,5.44,5.47,1035558.0
5.465,5.48,5.45,5.4592,153828.0
5.48,5.49,5.47,5.48,132528.0
5.5,5.5,5.48,5.48,94745.0
5.49,5.5,5.48,5.5,69509.0
5.505,5.51,5.49,5.49,87764.0
5.505,5.51,5.5,5.5099,80017.0
5.52,5.52,5.5,5.505,124937.0
5.525,5.535,5.51,5.5117,171530.0
5.52,5.53,5.52,5.5299,102662.0
5.51,5.53,5.51,5.52,77544.0
5.5101,5.52,5.51,5.52,30047.0
5.5,5.52,5.5,5.51,59475.0
5.5001,5.51,5.5,5.51,28290.0
5.51,5.51,5.5,5.5093,84363.0
5.5,5.52,5.5,5.51,214700.0
5.48,5.5,5.47,5.5,181510.0
5.47,5.485,5.47,5.485,84624.0
5.4799,5.48,5.47,5.4791,45428.0
5.49,5.49,5.47,5.48,98403.0
5.475,5.49,5.47,5.48,197970.0
5.47,5.48,5.47,5.47,94676.0
5.465,5.47,5.46,5.47,80080.0
5.45,5.47,5.45,5.465,87581.0
5.45,5.46,5.45,5.45,91300.0
5.4685,5.47,5.455,5.455,78024.0
5.47,5.47,5.4626,5.4626,113002.0
5.46,5.48,5.45,5.47,150650.0
5.465,5.4662,5.45,5.455,75703.0
5.465,5.47,5.46,5.46,37477.0
5.465,5.4793,5.46,5.465,47108.0
5.475,5.48,5.46,5.47,37207.0
5.46,5.48,5.46,5.4717,36372.0
5.47,5.47,5.46,5.465,25206.0
5.465,5.47,5.46,5.47,6176.0
5.47,5.47,5.46,5.465,22285.0
5.46,5.47,5.45,5.47,53794.0
5.45,5.46,5.45,5.46,24112.0
5.455,5.46,5.45,5.45,14800.0
5.46,5.46,5.45,5.45,54302.0
5.455,5.46,5.45,5.46,96357.0
5.47,5.47,5.45,5.45,85685.0
5.465,5.47,5.46,5.47,18959.0
5.474,5.48,5.465,5.465,49629.0
5.45,5.48,5.45,5.475,95334.0
5.46,5.47,5.4525,5.455,60067.0
5.465,5.47,5.4601,5.465,27203.0
5.47,5.47,5.46,5.467,67954.0
5.48,5.48,5.46,5.465,92992.0
5.4768,5.48,5.47,5.475,19336.0
5.4862,5.49,5.4701,5.475,98794.0
5.485,5.49,5.48,5.4801,43500.0
5.48,5.49,5.48,5.49,8447.0
5.475,5.49,5.47,5.485,125150.0
5.48,5.48,5.47,5.475,14000.0
5.4899,5.49,5.47,5.475,95166.0
5.49,5.5,5.48,5.49,133004.0
5.495,5.5,5.49,5.4917,84696.0
5.495,5.5,5.49,5.495,14787.0
5.485,5.5,5.48,5.49,40246.0
5.485,5.49,5.48,5.49,21991.0
5.485,5.49,5.48,5.49,20107.0
5.4775,5.49,5.475,5.489,51297.0
5.48,5.49,5.47,5.4757,151942.0
5.47,5.485,5.47,5.485,99330.0
5.4799,5.4799,5.4707,5.4738,8000.0
5.45,5.475,5.45,5.475,367950.0
5.44,5.46,5.44,5.45,162901.0
5.44,5.45,5.44,5.44,62188.0
5.435,5.44,5.43,5.44,112211.0
5.435,5.44,5.43,5.435,92465.0
5.43,5.44,5.43,5.43,13210.0
5.39,5.438,5.39,5.435,918920.0
5.39,5.4,5.38,5.39,215542.0
5.379,5.39,5.37,5.39,198903.0
5.375,5.3799,5.37,5.3752,47510.0
5.37,5.38,5.37,5.3757,30306.0
5.37,5.38,5.37,5.379,53112.0
5.3799,5.38,5.37,5.37,324976.0
5.375,5.38,5.37,5.375,64180.0
5.376,5.38,5.37,5.37,21984.0
5.375,5.38,5.37,5.375,133395.0
5.375,5.38,5.37,5.37,56099.0
5.35,5.38,5.35,5.37,731806.0
5.355,5.36,5.35,5.352,49741.0
5.375,5.375,5.3534,5.36,191533.0
5.38,5.38,5.37,5.375,110696.0
5.38,5.38,5.37,5.376,35100.0
5.38,5.38,5.37,5.38,42649.0
5.38,5.38,5.37,5.375,57882.0
5.39,5.39,5.37,5.38,92318.0
5.385,5.39,5.38,5.385,48750.0
5.37,5.385,5.37,5.385,146866.0
5.38,5.38,5.37,5.3748,48315.0
5.375,5.38,5.37,5.38,17900.0
5.375,5.38,5.37,5.38,9750.0
5.385,5.39,5.3705,5.375,102393.0
5.385,5.39,5.38,5.385,43500.0
5.375,5.39,5.37,5.385,206220.0
5.38,5.38,5.37,5.375,30655.0
5.38,5.38,5.37,5.375,17512.0
5.375,5.38,5.37,5.375,1284.0
5.38,5.38,5.37,5.37,22791.0
5.36,5.375,5.36,5.371,107454.0
5.3601,5.37,5.36,5.37,44309.0
5.36,5.37,5.36,5.365,13217.0
5.36,5.37,5.36,5.36,13425.0
5.3666,5.37,5.36,5.36,34073.0
5.36,5.37,5.36,5.36,23669.0
5.355,5.37,5.35,5.36,92071.0
5.35,5.36,5.35,5.35,178983.0
5.35,5.36,5.35,5.355,123134.0
5.36,5.36,5.35,5.35,33271.0
5.355,5.36,5.35,5.355,120319.0
5.355,5.36,5.35,5.35,23133.0
5.35,5.36,5.35,5.3599,44759.0
