Open,High,Low,Close,Volume
72.67,72.67,72.67,72.67,49230.0
72.67,72.75,72.41,72.65,17740.0
72.66,72.75,72.64,72.72,10654.0
72.585,72.765,72.56,72.685,12000.0
72.64,72.7,72.57,72.57,8182.0
72.74,72.74,72.64,72.64,6900.0
72.71,72.74,72.66,72.74,8056.0
72.77,72.78,72.69,72.72,19905.0
72.74,72.81,72.7101,72.78,19177.0
72.73,72.75,72.68,72.74,7600.0
72.78,72.78,72.72,72.74,16800.0
72.74,72.785,72.73,72.77,13433.0
72.76,72.81,72.73,72.735,23110.0
72.82,72.83,72.72,72.76,13663.0
72.84,72.84,72.81,72.82,4935.0
72.87,72.9,72.85,72.85,12594.0
72.87,72.89,72.85,72.89,13205.0
72.915,72.92,72.86,72.87,7765.0
72.94,72.95,72.93,72.93,6582.0
72.94,72.94,72.905,72.93,6611.0
72.9505,72.96,72.92,72.94,7524.0
72.99,72.99,72.94,72.95,11230.0
72.96,72.98,72.94,72.97,15896.0
72.955,72.98,72.89,72.96,38890.0
72.97,72.97,72.94,72.95,4689.0
72.96,72.975,72.9221,72.97,11827.0
73.04,73.041,72.96,72.96,11090.0
73.05,73.05,73.02,73.04,4300.0
73.09,73.1,73.06,73.06,6200.0
73.14,73.14,73.095,73.1,7150.0
73.11,73.15,73.09,73.14,14047.0
73.1,73.121,73.1,73.12,4000.0
73.15,73.15,73.11,73.12,9646.0
73.18,73.19,73.135,73.15,9205.0
73.18,73.1901,73.17,73.18,5143.0
73.18,73.21,73.18,73.2,9413.0
73.18,73.21,73.16,73.19,8401.0
73.18,73.2,73.17,73.17,10364.0
73.21,73.21,73.18,73.18,6597.0
73.2,73.21,73.185,73.21,4400.0
73.15,73.2,73.15,73.19,8538.0
73.18,73.18,73.15,73.15,7891.0
73.22,73.22,73.1797,73.1797,7035.0
73.3,73.3,73.22,73.23,7992.0
73.29,73.31,73.29,73.3,9222.0
73.3,73.3,73.26,73.29,8371.0
73.3,73.32,73.29,73.295,11029.0
73.29,73.29,73.27,73.29,6606.0
73.33,73.33,73.28,73.29,6164.0
73.27,73.32,73.27,73.32,6483.0
73.28,73.29,73.27,73.28,6502.0
73.26,73.28,73.24,73.28,5260.0
73.2701,73.28,73.25,73.26,6518.0
73.29,73.29,73.27,73.28,9865.0
73.33,73.34,73.29,73.29,12918.0
73.35,73.36,73.32,73.34,26579.0
73.36,73.38,73.33,73.35,15847.0
73.36,73.37,73.35,73.36,7317.0
73.37,73.375,73.355,73.36,5800.0
73.4,73.4,73.37,73.37,3893.0
73.47,73.485,73.41,73.41,43276.0
73.505,73.51,73.46,73.47,24367.0
73.52,73.54,73.5,73.51,18992.0
73.56,73.56,73.5199,73.52,5395.0
73.5446,73.56,73.535,73.56,6536.0
73.55,73.57,73.54,73.54,7670.0
73.51,73.56,73.51,73.55,13312.0
73.5,73.519,73.4925,73.515,10096.0
73.52,73.52,73.4931,73.5,7680.0
73.5,73.515,73.5,73.51,5676.0
73.475,73.5025,73.45,73.5,28583.0
73.445,73.49,73.44,73.475,11593.0
73.47,73.47,73.44,73.44,6201.0
73.47,73.475,73.44,73.46,5662.0
73.505,73.51,73.445,73.48,11299.0
73.505,73.53,73.49,73.51,23140.0
73.43,73.5,73.42,73.5,14341.0
73.41,73.43,73.4,73.42,9624.0
73.37,73.41,73.365,73.41,6577.0
73.365,73.39,73.36,73.365,13420.0
73.39,73.41,73.36,73.365,13080.0
73.405,73.405,73.38,73.38,3150.0
73.39,73.4,73.38,73.4,2900.0
73.33,73.38,73.32,73.38,10854.0
73.34,73.345,73.315,73.331,11614.0
73.341,73.36,73.34,73.34,12800.0
73.34,73.35,73.33,73.34,12370.0
73.38,73.38,73.345,73.345,3500.0
73.38,73.38,73.37,73.38,4034.0
73.36,73.3835,73.36,73.38,3430.0
73.3699,73.37,73.36,73.361,1364.0
73.3,73.37,73.3,73.37,13310.0
73.3,73.31,73.29,73.31,2463.0
73.32,73.32,73.28,73.3,7474.0
73.34,73.35,73.322,73.322,4230.0
73.36,73.36,73.34,73.34,5840.0
73.345,73.365,73.345,73.36,3719.0
73.36,73.36,73.35,73.35,3500.0
73.36,73.36,73.35,73.35,2220.0
73.35,73.3514,73.34,73.3514,5669.0
73.36,73.36,73.34,73.35,5576.0
73.3451,73.37,73.3451,73.37,2332.0
73.32,73.36,73.32,73.345,4764.0
73.35,73.35,73.32,73.33,3272.0
73.3574,73.36,73.35,73.35,4452.0
73.325,73.35,73.32,73.35,3455.0
73.33,73.34,73.32,73.33,5155.0
73.31,73.33,73.31,73.33,2200.0
73.295,73.32,73.295,73.31,7573.0
73.27,73.3,73.27,73.3,1965.0
73.29,73.29,73.26,73.27,4075.0
73.28,73.31,73.2743,73.2944,7960.0
73.31,73.31,73.28,73.28,3359.0
73.29,73.315,73.29,73.315,5540.0
73.32,73.33,73.295,73.3,6638.0
73.285,73.31,73.28,73.31,5501.0
73.27,73.29,73.26,73.28,9803.0
73.29,73.31,73.28,73.28,7900.0
73.29,73.3,73.28,73.29,3000.0
73.32,73.33,73.28,73.28,4586.0
73.34,73.34,73.325,73.325,2604.0
73.3,73.34,73.3,73.34,9459.0
73.32,73.34,73.31,73.31,6551.0
73.35,73.35,73.325,73.33,4569.0
73.36,73.36,73.34,73.35,3600.0
73.39,73.405,73.36,73.36,4600.0
73.38,73.42,73.37,73.4,10587.0
73.35,73.38,73.35,73.38,3428.0
73.36,73.36,73.34,73.355,2455.0
73.3249,73.35,73.32,73.35,3507.0
73.315,73.33,73.31,73.325,1606.0
73.33,73.3319,73.305,73.31,6860.0
73.35,73.35,73.32,73.325,3091.0
73.335,73.36,73.33,73.35,2799.0
73.305,73.33,73.305,73.33,3229.0
73.33,73.35,73.305,73.31,3488.0
73.3,73.33,73.29,73.33,3000.0
73.31,73.311,73.295,73.295,5521.0
73.27,73.305,73.265,73.3,21969.0
73.255,73.27,73.255,73.27,4364.0
73.2699,73.2699,73.25,73.26,4473.0
73.24,73.265,73.24,73.265,3252.0
73.25,73.25,73.235,73.25,3800.0
73.24,73.24,73.22,73.24,3205.0
73.24,73.25,73.24,73.2462,2184.0
73.23,73.2435,73.23,73.2435,2436.0
73.2,73.245,73.2,73.235,11524.0
73.2,73.205,73.19,73.2,8786.0
73.17,73.19,73.165,73.19,12956.0
73.17,73.205,73.15,73.17,36602.0
73.15,73.17,73.14,73.17,18760.0
73.19,73.19,73.16,73.16,3021.0
73.22,73.22,73.19,73.19,2100.0
73.2115,73.22,73.21,73.22,2520.0
