Open,High,Low,Close,Volume
123.71,123.71,123.71,123.71,11778.0
123.27,123.97,123.27,123.71,3511.0
123.52,123.6,123.33,123.41,4467.0
123.55,123.7576,123.55,123.55,693.0
123.71,123.72,123.5601,123.66,1100.0
123.975,123.985,123.665,123.665,1600.0
123.64,123.965,123.6,123.965,27239.0
123.72,123.73,123.61,123.68,3200.0
123.83,123.83,123.675,123.72,32600.0
123.76,123.87,123.71,123.87,4925.0
123.93,123.93,123.81,123.81,1300.0
123.96,123.99,123.87,123.93,6924.0
123.81,124.04,123.8,123.95,8656.0
123.6948,123.83,123.65,123.81,1500.0
123.68,123.68,123.55,123.64,2574.0
123.6,123.67,123.6,123.66,2600.0
123.56,123.56,123.465,123.465,1400.0
123.51,123.56,123.5,123.56,2239.0
123.36,123.47,123.29,123.47,4100.0
123.37,123.41,123.35,123.38,3074.0
123.39,123.43,123.35,123.36,2900.0
123.27,123.36,123.27,123.35,3800.0
123.39,123.41,123.33,123.33,1900.0
123.47,123.47,123.39,123.39,1300.0
123.49,123.53,123.41,123.45,5359.0
123.46,123.53,123.46,123.53,1600.0
123.44,123.46,123.43,123.45,4081.0
123.35,123.46,123.35,123.46,2320.0
123.3522,123.372,123.32,123.35,710.0
123.48,123.48,123.39,123.39,1712.0
123.51,123.52,123.45,123.51,1380.0
123.5,123.51,123.41,123.51,2380.0
123.52,123.53,123.48,123.49,1810.0
123.62,123.62,123.49,123.51,2164.0
123.62,123.62,123.56,123.6,1569.0
123.56,123.6,123.56,123.6,1495.0
123.59,123.59,123.56,123.57,700.0
123.63,123.63,123.58,123.58,2004.0
123.59,123.64,123.58,123.63,1700.0
123.62,123.63,123.59,123.616,1750.0
123.64,123.7,123.64,123.66,2219.0
123.67,123.69,123.65,123.65,1880.0
123.7175,123.7175,123.68,123.68,700.0
123.75,123.76,123.73,123.73,1600.0
123.78,123.78,123.71,123.75,710.0
123.72,123.77,123.71,123.74,1425.0
123.74,123.78,123.74,123.75,2440.0
123.71,123.74,123.71,123.74,1400.0
123.7511,123.7875,123.71,123.71,1900.0
123.75,123.75,123.75,123.75,800.0
123.73,123.75,123.71,123.73,2351.0
123.705,123.74,123.69,123.74,1952.0
123.69,123.73,123.69,123.72,1700.0
123.64,123.71,123.63,123.6965,2488.0
123.8125,123.8125,123.69,123.69,1200.0
123.8675,123.8675,123.8027,123.8027,2320.0
123.845,123.86,123.845,123.85,803.0
123.8,123.87,123.8,123.85,2550.0
123.74,123.7925,123.72,123.79,3105.0
123.74,123.76,123.74,123.74,2800.0
123.72,123.77,123.72,123.745,2280.0
123.7,123.759,123.7,123.74,851.0
123.74,123.8,123.7,123.7,3004.0
123.716,123.775,123.71,123.775,1900.0
123.795,123.795,123.74,123.74,665.0
123.8,123.83,123.78,123.78,2300.0
123.76,123.76,123.73,123.75,2325.0
123.72,123.72,123.72,123.72,200.0
123.7,123.72,123.65,123.72,1900.0
123.64,123.71,123.64,123.68,3800.0
123.66,123.66,123.59,123.63,3104.0
123.61,123.66,123.6,123.66,2592.0
123.655,123.67,123.61,123.61,1400.0
123.7,123.73,123.69,123.69,1700.0
123.7,123.79,123.7,123.7,3100.0
123.66,123.73,123.66,123.68,1300.0
123.64,123.67,123.61,123.67,3128.0
123.57,123.64,123.53,123.64,7061.0
123.57,123.6,123.55,123.58,2300.0
123.65,123.66,123.56,123.56,2400.0
123.585,123.62,123.57,123.61,2400.0
123.65,123.65,123.52,123.56,1900.0
123.67,123.69,123.59,123.64,4400.0
123.66,123.67,123.63,123.65,2600.0
123.65,123.68,123.65,123.68,400.0
123.5772,123.66,123.5772,123.65,1331.0
123.5,123.56,123.5,123.56,400.0
123.53,123.53,123.49,123.52,1100.0
123.57,123.57,123.52,123.52,800.0
123.59,123.59,123.59,123.59,533.0
123.54,123.6,123.54,123.6,1299.0
123.65,123.65,123.56,123.56,2303.0
123.61,123.69,123.61,123.68,2800.0
123.68,123.68,123.5701,123.59,2100.0
123.6553,123.68,123.63,123.68,695.0
123.64,123.65,123.63,123.65,1600.0
123.63,123.64,123.63,123.63,1100.0
123.66,123.68,123.63,123.63,20500.0
123.66,123.7,123.66,123.68,1200.0
123.7,123.71,123.67,123.68,3020.0
123.7224,123.73,123.7224,123.73,400.0
123.7001,123.74,123.7001,123.73,3111.0
123.66,123.73,123.66,123.72,3200.0
123.69,123.69,123.65,123.67,1742.0
123.73,123.74,123.69,123.69,400.0
123.71,123.71,123.71,123.71,100.0
123.69,123.74,123.69,123.72,2500.0
123.6748,123.68,123.6748,123.68,700.0
123.59,123.63,123.55,123.63,3360.0
123.7,123.72,123.62,123.62,2400.0
123.755,123.755,123.7,123.7,1300.0
123.72,123.75,123.72,123.75,900.0
123.68,123.7385,123.67,123.72,2451.0
123.7,123.72,123.66,123.66,1800.0
123.66,123.68,123.66,123.68,800.0
123.67,123.68,123.64,123.64,300.0
123.66,123.66,123.61,123.66,1700.0
123.58,123.61,123.58,123.6,700.0
123.63,123.63,123.63,123.63,300.0
123.67,123.68,123.6,123.65,1421.0
123.6,123.6201,123.57,123.6201,1452.0
123.57,123.64,123.54,123.6,1900.0
123.57,123.59,123.56,123.57,1124.0
123.58,123.58,123.58,123.58,300.0
123.62,123.64,123.59,123.59,1090.0
123.63,123.63,123.57,123.57,700.0
123.72,123.72,123.68,123.68,400.0
123.7,123.72,123.69,123.7,1100.0
123.73,123.73,123.68,123.69,1309.0
123.75,123.75,123.73,123.73,700.0
123.74,123.76,123.74,123.75,1842.0
123.74,123.78,123.73,123.76,4020.0
123.75,123.765,123.73,123.74,1600.0
123.77,123.78,123.72,123.77,1920.0
123.75,123.76,123.74,123.76,2335.0
123.7325,123.75,123.73,123.73,1010.0
123.74,123.74,123.73,123.73,900.0
123.77,123.78,123.74,123.74,1100.0
123.755,123.78,123.75,123.77,2650.0
123.77,123.81,123.77,123.77,2100.0
123.78,123.8,123.77,123.77,600.0
123.78,123.79,123.76,123.79,2000.0
123.79,123.8,123.79,123.8,900.0
123.791,123.791,123.791,123.791,100.0
123.84,123.84,123.79,123.79,566.0
123.8,123.82,123.8,123.81,2700.0
123.8,123.8,123.77,123.79,1300.0
123.83,123.83,123.805,123.81,800.0
123.83,123.83,123.83,123.83,100.0
123.8,123.87,123.8,123.86,3988.0
123.84,123.84,123.8,123.81,1200.0
123.78,123.82,123.78,123.82,1655.0
123.8,123.8,123.77,123.77,1100.0
123.74,123.79,123.7,123.79,2100.0
123.77,123.77,123.74,123.74,700.0
123.79,123.79,123.78,123.78,700.0
