Open,High,Low,Close,Volume
151.16,151.39,151.16,151.39,20526.0
151.01,151.135,151.01,151.135,1000.0
150.68,150.68,150.68,150.68,200.0
151.22,151.47,150.75,150.75,4975.0
151.66,151.66,151.3,151.33,2600.0
151.18,151.31,151.095,151.31,3200.0
151.37,151.38,151.22,151.22,1624.0
151.03,151.26,151.01,151.26,5202.0
150.74,151.09,150.7,150.7,1500.0
150.97,151.14,150.74,150.74,1900.0
150.82,150.97,150.82,150.97,300.0
150.86,150.905,150.8197,150.8197,550.0
150.93,150.93,150.72,150.72,200.0
150.86,150.88,150.86,150.88,200.0
150.87,150.87,150.84,150.84,400.0
150.959,150.959,150.959,150.959,100.0
150.74,150.74,150.74,150.74,100.0
150.59,150.8,150.59,150.8,1275.0
150.5,150.55,150.5,150.55,2468.0
150.53,150.63,150.3,150.5,4852.0
150.5,150.53,150.36,150.36,1340.0
150.35,150.495,150.31,150.495,2862.0
150.32,150.445,150.3,150.3,839.0
150.2405,150.3253,150.2405,150.3253,300.0
150.2,150.36,150.14,150.3,3319.0
150.25,150.29,150.21,150.21,11702.0
150.25,150.25,150.13,150.25,1400.0
149.9,150.09,149.9,150.09,750.0
149.91,149.91,149.8,149.88,1116.0
150.025,150.025,149.82,149.82,3401.0
150.07,150.14,149.9475,149.9475,1038.0
149.95,150.19,149.95,150.06,800.0
149.9,150.01,149.87,149.97,900.0
149.79,149.91,149.79,149.91,900.0
149.79,149.82,149.7,149.72,1485.0
149.67,149.81,149.66,149.76,3300.0
149.7399,149.7399,149.7399,149.7399,173.0
150.025,150.05,149.74,149.74,5068.0
150.0,150.05,149.82,150.05,1720.0
150.0,150.0,149.956,149.956,600.0
149.96,150.0,149.93,149.93,414.0
150.02,150.02,149.99,149.99,410.0
149.98,149.98,149.98,149.98,100.0
149.94,150.07,149.94,150.07,500.0
149.93,149.95,149.93,149.95,400.0
149.86,150.02,149.83,149.98,1292.0
149.74,149.77,149.73,149.76,1729.0
149.8,149.8,149.68,149.7,750.0
149.835,149.835,149.71,149.714,325.0
149.65,149.807,149.65,149.72,2025.0
149.78,149.78,149.64,149.64,2352.0
149.6901,149.78,149.6901,149.73,1060.0
149.72,149.76,149.66,149.73,2500.0
149.7378,149.75,149.7378,149.74,500.0
149.61,149.735,149.61,149.7,534.0
149.58,149.581,149.57,149.57,375.0
149.6,149.68,149.6,149.67,1700.0
149.81,149.81,149.49,149.57,8784.0
149.61,149.71,149.59,149.68,4605.0
149.66,149.66,149.61,149.62,8800.0
149.7,149.71,149.61,149.61,2271.0
149.66,149.755,149.66,149.68,1626.0
149.6945,149.74,149.64,149.64,3521.0
149.77,149.78,149.7078,149.7078,2692.0
149.71,149.71,149.7,149.71,600.0
149.64,149.68,149.64,149.6508,800.0
149.4,149.64,149.4,149.64,4120.0
149.505,149.55,149.505,149.51,2057.0
149.58,149.61,149.5,149.581,2592.0
149.39,149.54,149.38,149.52,2300.0
149.44,149.44,149.31,149.35,2800.0
149.45,149.48,149.42,149.43,600.0
149.36,149.43,149.36,149.43,1200.0
149.319,149.4,149.24,149.35,2555.0
149.31,149.4,149.31,149.31,2764.0
149.43,149.43,149.35,149.35,1205.0
149.64,149.64,149.45,149.45,5495.0
149.8,149.8,149.625,149.625,1697.0
149.89,149.91,149.82,149.88,3874.0
149.83,149.83,149.83,149.83,100.0
149.7967,149.805,149.7967,149.8,400.0
149.89,149.9,149.81,149.81,640.0
149.964,149.964,149.91,149.91,635.0
150.01,150.04,149.99,150.0,1305.0
150.24,150.24,150.06,150.06,2200.0
150.28,150.28,150.23,150.23,700.0
150.27,150.28,150.19,150.2183,1837.0
150.24,150.2699,150.1587,150.2176,1750.0
150.0737,150.205,150.0737,150.205,1050.0
150.2179,150.28,150.06,150.06,1000.0
150.2076,150.21,150.1591,150.21,850.0
150.1111,150.21,150.1111,150.2,750.0
150.0764,150.08,150.0764,150.08,200.0
150.01,150.2,150.01,150.2,1300.0
150.02,150.02,150.02,150.02,100.0
150.04,150.09,150.04,150.09,200.0
150.04,150.065,149.98,150.065,800.0
149.925,149.97,149.925,149.97,600.0
149.91,149.91,149.88,149.9,948.0
150.08,150.08,149.94,149.94,2659.0
150.28,150.28,150.21,150.21,362.0
150.46,150.46,150.405,150.405,1300.0
150.68,150.68,150.55,150.55,1750.0
150.56,150.7,150.53,150.63,1261.0
150.65,150.68,150.57,150.57,758.0
150.64,150.73,150.64,150.73,300.0
