Open,High,Low,Close,Volume
70.36,70.44,70.36,70.44,12865.0
70.495,70.495,70.33,70.33,400.0
70.35,70.52,70.34,70.48,2800.0
69.93,70.35,69.93,70.35,21597.0
70.18,70.18,69.92,69.93,7975.0
69.9,70.04,69.9,70.04,1660.0
69.93,69.95,69.84,69.95,3480.0
69.85,69.8725,69.85,69.85,855.0
69.9125,69.96,69.85,69.88,7838.0
69.915,69.93,69.915,69.93,350.0
70.03,70.09,69.89,69.89,6055.0
70.08,70.08,69.94,70.04,5352.0
69.96,70.04,69.9,70.04,7020.0
70.035,70.12,69.95,69.95,3703.0
69.96,70.07,69.96,70.07,1900.0
69.91,69.93,69.88,69.93,870.0
69.93,69.93,69.845,69.845,300.0
69.94,69.97,69.92,69.93,3000.0
70.09,70.09,69.94,69.97,10073.0
70.23,70.23,70.14,70.1872,4900.0
70.35,70.5,70.24,70.24,6562.0
70.09,70.25,70.05,70.24,4900.0
70.14,70.14,70.0,70.02,6098.0
70.1,70.14,69.96,70.14,10630.0
70.19,70.21,70.13,70.13,1300.0
70.14,70.1642,70.09,70.1642,1800.0
70.25,70.25,70.11,70.11,4200.0
70.36,70.36,70.24,70.25,3292.0
70.27,70.42,70.27,70.36,4050.0
70.2199,70.25,70.2,70.24,1748.0
70.25,70.25,70.19,70.2,3029.0
70.32,70.32,70.21,70.25,4363.0
70.31,70.32,70.28,70.28,1800.0
70.21,70.3,70.21,70.3,4867.0
70.29,70.32,70.24,70.24,4088.0
70.25,70.26,70.25,70.26,1100.0
70.26,70.26,70.19,70.23,2800.0
70.49,70.49,70.25,70.25,8548.0
70.51,70.52,70.46,70.49,1830.0
70.44,70.53,70.42,70.5079,7900.0
70.45,70.48,70.43,70.43,3094.0
70.46,70.47,70.43,70.45,4200.0
70.55,70.55,70.43,70.43,7412.0
70.5,70.53,70.48,70.53,2600.0
70.54,70.56,70.49,70.49,4058.0
70.51,70.51,70.46,70.49,3281.0
70.58,70.58,70.4915,70.52,2400.0
70.54,70.61,70.54,70.58,5600.0
70.55,70.57,70.52,70.56,1300.0
70.6,70.6,70.57,70.57,3157.0
70.7,70.7,70.59,70.61,8683.0
70.72,70.73,70.68,70.68,3604.0
70.83,70.83,70.72,70.72,4506.0
70.78,70.83,70.78,70.83,3100.0
70.75,70.7999,70.74,70.78,2500.0
70.77,70.77,70.76,70.76,1100.0
70.79,70.805,70.76,70.78,3485.0
70.76,70.8,70.76,70.79,2188.0
70.73,70.75,70.7,70.7101,3039.0
70.64,70.72,70.58,70.72,4606.0
70.66,70.7,70.63,70.64,4557.0
70.7,70.7,70.67,70.67,900.0
70.73,70.73,70.7,70.7,1267.0
70.88,70.88,70.72,70.72,4800.0
70.87,70.87,70.8,70.84,2975.0
70.9,70.9,70.84,70.8575,1900.0
70.87,70.91,70.87,70.91,2250.0
70.86,70.87,70.8,70.86,6013.0
70.85,70.87,70.83,70.86,1496.0
70.84,70.84,70.8,70.82,1590.0
70.82,70.84,70.8,70.82,2600.0
70.74,70.81,70.74,70.79,5040.0
70.74,70.76,70.74,70.74,1034.0
70.7,70.8,70.7,70.7646,6865.0
70.69,70.73,70.68,70.7,5272.0
70.72,70.72,70.7,70.7,4792.0
70.745,70.77,70.73,70.73,4200.0
70.74,70.76,70.68,70.75,4600.0
70.75,70.75,70.75,70.75,200.0
70.745,70.8,70.74,70.76,4605.0
70.6875,70.75,70.6875,70.735,7492.0
70.65,70.69,70.63,70.69,4700.0
70.64,70.66,70.63,70.6503,1778.0
70.64,70.65,70.62,70.62,4800.0
70.63,70.68,70.63,70.63,3027.0
70.59,70.64,70.585,70.63,9026.0
70.55,70.585,70.52,70.56,1100.0
70.45,70.5,70.45,70.49,1100.0
70.62,70.62,70.46,70.46,10783.0
