Open,High,Low,Close,Volume
27.45,27.45,27.45,27.45,29666.0
27.5,27.51,27.44,27.44,900.0
27.48,27.53,27.48,27.52,2500.0
27.46,27.49,27.44,27.48,2600.0
27.47,27.48,27.45,27.45,1618.0
27.51,27.51,27.47,27.47,2300.0
27.505,27.52,27.49,27.51,13800.0
27.475,27.505,27.45,27.505,24601.0
27.48,27.49,27.45,27.48,16115.0
27.46,27.48,27.43,27.475,15660.0
27.45,27.48,27.45,27.46,13605.0
27.43,27.46,27.43,27.46,7333.0
27.43,27.45,27.43,27.43,7657.0
27.47,27.47,27.44,27.44,4941.0
27.47,27.47,27.44,27.47,8474.0
27.49,27.49,27.47,27.48,3492.0
27.47,27.5,27.47,27.49,11092.0
27.475,27.48,27.47,27.47,27414.0
27.49,27.5,27.47,27.47,15305.0
27.49,27.49,27.48,27.4868,5597.0
27.5,27.51,27.48,27.49,6008.0
27.49,27.51,27.49,27.505,11521.0
27.48,27.51,27.48,27.5,8658.0
27.5,27.5,27.48,27.48,5923.0
27.53,27.53,27.5,27.5,9646.0
27.535,27.54,27.52,27.52,15102.0
27.52,27.55,27.52,27.54,10981.0
27.55,27.55,27.53,27.53,3214.0
27.55,27.55,27.54,27.55,2133.0
27.56,27.56,27.535,27.54,3973.0
27.555,27.56,27.54,27.56,14414.0
27.55,27.56,27.54,27.56,6288.0
27.56,27.57,27.55,27.55,3591.0
27.56,27.56,27.55,27.55,3775.0
27.54,27.56,27.54,27.555,3298.0
27.53,27.54,27.53,27.54,4533.0
27.53,27.54,27.525,27.53,2665.0
27.53,27.54,27.53,27.535,2679.0
27.53,27.54,27.525,27.54,2800.0
27.5334,27.5334,27.525,27.53,800.0
27.54,27.54,27.52,27.535,5054.0
27.56,27.56,27.545,27.545,4200.0
27.55,27.56,27.55,27.56,5700.0
27.54,27.54,27.53,27.54,5237.0
27.57,27.57,27.55,27.55,3800.0
27.55,27.56,27.55,27.56,3593.0
27.56,27.56,27.55,27.555,1100.0
27.56,27.56,27.55,27.56,3368.0
27.54,27.56,27.53,27.56,6713.0
27.54,27.55,27.53,27.55,4900.0
27.54,27.56,27.54,27.55,7449.0
27.52,27.53,27.515,27.53,4450.0
27.52,27.53,27.515,27.52,2310.0
27.535,27.54,27.53,27.53,3541.0
27.55,27.55,27.535,27.54,4830.0
27.54,27.54,27.53,27.54,1800.0
27.56,27.56,27.54,27.54,4000.0
27.535,27.55,27.53,27.55,6826.0
27.54,27.54,27.535,27.54,1500.0
27.555,27.555,27.545,27.545,400.0
27.555,27.57,27.555,27.555,5207.0
27.56,27.58,27.555,27.555,4800.0
27.59,27.59,27.56,27.56,4601.0
27.595,27.595,27.585,27.59,2129.0
27.6,27.6,27.585,27.59,4911.0
27.61,27.61,27.594,27.594,5989.0
27.61,27.61,27.595,27.605,5982.0
27.61,27.6152,27.6,27.6152,3600.0
27.61,27.62,27.61,27.62,1700.0
27.595,27.61,27.595,27.61,8700.0
27.59,27.595,27.59,27.59,2300.0
27.59,27.59,27.58,27.58,3946.0
27.59,27.6,27.585,27.59,2655.0
27.56,27.58,27.56,27.58,4087.0
27.57,27.575,27.56,27.56,10229.0
27.57,27.57,27.56,27.57,2400.0
27.58,27.58,27.56,27.56,2200.0
27.605,27.605,27.575,27.58,4672.0
27.6,27.61,27.59,27.61,5190.0
27.62,27.62,27.595,27.605,3263.0
27.625,27.625,27.61,27.62,3182.0
27.62,27.62,27.615,27.62,2419.0
27.635,27.64,27.62,27.62,2000.0
27.605,27.64,27.605,27.635,6500.0
27.58,27.605,27.58,27.605,5792.0
27.575,27.59,27.57,27.585,6909.0
27.575,27.58,27.575,27.575,1600.0
27.57,27.58,27.565,27.57,4700.0
27.5753,27.58,27.57,27.57,3969.0
27.57,27.57,27.565,27.57,3683.0
27.57,27.58,27.57,27.57,2800.0
27.57,27.58,27.56,27.575,8065.0
27.595,27.6,27.575,27.575,2543.0
27.59,27.605,27.59,27.595,5243.0
27.6,27.61,27.6,27.6,4700.0
27.615,27.615,27.59,27.6,7477.0
27.6201,27.63,27.62,27.62,4700.0
27.615,27.63,27.6101,27.62,6936.0
27.62,27.62,27.615,27.62,1300.0
27.61,27.62,27.6,27.615,6601.0
27.625,27.625,27.61,27.61,4651.0
27.625,27.63,27.62,27.62,800.0
27.6459,27.65,27.625,27.63,7100.0
27.63,27.645,27.63,27.645,2500.0
27.63,27.64,27.63,27.64,1500.0
27.601,27.635,27.6,27.635,7275.0
27.591,27.6,27.59,27.6,1924.0
27.595,27.6,27.59,27.595,8331.0
27.595,27.6,27.59,27.595,600.0
27.59,27.6,27.59,27.5901,1500.0
27.58,27.59,27.58,27.59,3951.0
27.5801,27.59,27.58,27.58,3200.0
27.575,27.585,27.575,27.585,6680.0
27.575,27.575,27.565,27.57,6405.0
27.545,27.57,27.54,27.57,5502.0
27.54,27.55,27.53,27.54,10544.0
27.54,27.549,27.54,27.54,3595.0
27.535,27.54,27.525,27.54,4346.0
27.51,27.54,27.51,27.53,13695.0
27.475,27.51,27.47,27.51,20931.0
27.485,27.485,27.47,27.47,5781.0
27.495,27.505,27.48,27.485,11142.0
27.5,27.51,27.5,27.505,5952.0
27.51,27.51,27.495,27.5,8175.0
27.5,27.505,27.5,27.5,3100.0
27.5,27.51,27.5,27.5,1800.0
27.525,27.525,27.505,27.51,9000.0
27.52,27.53,27.52,27.53,9062.0
27.51,27.54,27.51,27.52,26087.0
27.505,27.52,27.5,27.51,3598.0
27.505,27.515,27.505,27.51,5670.0
27.505,27.51,27.505,27.505,1700.0
27.495,27.52,27.49,27.5059,18128.0
27.5,27.5,27.495,27.495,2000.0
27.505,27.51,27.49,27.49,5106.0
27.515,27.515,27.51,27.51,3168.0
27.52,27.52,27.515,27.515,1400.0
27.525,27.53,27.52,27.52,3900.0
27.51,27.53,27.51,27.525,7891.0
27.5,27.515,27.49,27.515,2455.0
27.49,27.5,27.49,27.5,2405.0
27.5,27.5,27.485,27.495,6621.0
27.49,27.495,27.49,27.495,2200.0
27.49,27.5,27.49,27.5,200.0
27.5,27.5,27.49,27.49,1100.0
27.485,27.5,27.48,27.4947,3665.0
27.49,27.5,27.485,27.485,2641.0
27.48,27.5,27.48,27.5,3500.0
27.485,27.495,27.48,27.49,2400.0
27.495,27.495,27.48,27.49,4200.0
27.49,27.49,27.49,27.49,100.0
27.51,27.51,27.5,27.5,2308.0
27.51,27.515,27.5,27.51,2663.0
27.505,27.51,27.505,27.51,3109.0
27.5,27.51,27.49,27.5,5205.0
27.5,27.5,27.491,27.5,2000.0
27.51,27.5101,27.505,27.505,4872.0
27.51,27.51,27.5,27.51,2700.0
27.5,27.51,27.5,27.51,1100.0
27.51,27.51,27.5,27.51,3400.0
27.5001,27.51,27.5001,27.51,2785.0
27.51,27.51,27.505,27.51,800.0
27.475,27.505,27.46,27.5,28462.0
27.48,27.485,27.475,27.48,3980.0
27.48,27.48,27.48,27.48,400.0
27.48,27.48,27.475,27.48,1700.0
27.48,27.49,27.475,27.475,2201.0
27.485,27.49,27.48,27.48,1300.0
27.465,27.49,27.465,27.49,3959.0
27.48,27.48,27.465,27.465,2495.0
27.465,27.48,27.46,27.48,1400.0
27.47,27.47,27.46,27.465,5528.0
27.48,27.48,27.475,27.475,400.0
27.485,27.485,27.475,27.48,4118.0
27.48,27.49,27.48,27.49,700.0
27.475,27.49,27.475,27.4801,1900.0
27.48,27.48,27.47,27.48,1346.0
27.474,27.485,27.473,27.48,2025.0
27.485,27.49,27.48,27.48,2100.0
27.5,27.5,27.4801,27.4801,2700.0
27.497,27.497,27.49,27.49,2203.0
27.489,27.495,27.485,27.49,5060.0
27.49,27.49,27.49,27.49,1413.0
27.5,27.5,27.49,27.49,5800.0
27.5,27.505,27.5,27.5,2657.0
27.5,27.505,27.5,27.5,300.0
27.5018,27.51,27.5,27.5,585.0
27.51,27.515,27.51,27.51,4590.0
27.51,27.52,27.51,27.51,2100.0
27.51,27.51,27.5,27.5,500.0
27.51,27.515,27.5006,27.5006,2800.0
27.51,27.51,27.51,27.51,100.0
27.5,27.5,27.5,27.5,200.0
27.5,27.5,27.5,27.5,2099.0
27.5,27.5,27.4999,27.4999,3800.0
27.51,27.51,27.5,27.5,2200.0
27.51,27.51,27.51,27.51,300.0
27.51,27.51,27.5,27.51,1700.0
27.51,27.51,27.5,27.51,540.0
27.5,27.51,27.5,27.51,3056.0
27.51,27.51,27.495,27.495,2218.0
27.5,27.5099,27.5,27.5099,4379.0
27.5054,27.51,27.5054,27.51,400.0
27.51,27.51,27.51,27.51,300.0
27.51,27.51,27.505,27.51,6451.0
27.52,27.52,27.51,27.51,3899.0
27.52,27.52,27.52,27.52,800.0
27.52,27.52,27.52,27.52,1300.0
27.52,27.52,27.52,27.52,1083.0
27.52,27.52,27.52,27.52,600.0
27.52,27.52,27.51,27.52,4800.0
27.52,27.525,27.515,27.52,4449.0
27.52,27.52,27.515,27.52,2410.0
27.515,27.515,27.515,27.515,100.0
27.52,27.52,27.515,27.515,600.0
27.525,27.525,27.51,27.515,9088.0
27.515,27.53,27.51,27.53,2721.0
27.52,27.52,27.51,27.51,3298.0
27.52,27.52,27.515,27.52,2000.0
27.525,27.53,27.52,27.52,1300.0
27.52,27.53,27.52,27.525,2900.0
27.52,27.53,27.52,27.52,500.0
27.53,27.53,27.52,27.52,1900.0
27.52,27.525,27.52,27.525,1500.0
27.52,27.53,27.52,27.53,200.0
27.52,27.52,27.52,27.52,400.0
27.525,27.53,27.52,27.525,700.0
27.525,27.525,27.52,27.52,600.0
27.525,27.525,27.525,27.525,400.0
27.525,27.53,27.52,27.525,700.0
27.525,27.525,27.525,27.525,200.0
27.52,27.525,27.515,27.525,7128.0
27.5,27.52,27.5,27.52,3807.0
27.495,27.5,27.49,27.5,2601.0
27.48,27.49,27.475,27.49,3609.0
27.4831,27.49,27.48,27.485,3006.0
27.4843,27.4843,27.4843,27.4843,321.0
27.49,27.49,27.48,27.48,2198.0
27.475,27.49,27.475,27.48,4200.0
27.48,27.483,27.48,27.48,3200.0
27.48,27.485,27.47,27.48,2601.0
27.48,27.49,27.48,27.48,2701.0
27.49,27.49,27.47,27.48,1200.0
27.5,27.5,27.49,27.49,1586.0
27.495,27.5,27.49,27.5,2100.0
27.5,27.5,27.49,27.49,1489.0
27.495,27.5,27.495,27.495,1000.0
27.485,27.5,27.48,27.49,3695.0
27.475,27.48,27.475,27.48,9653.0
27.48,27.48,27.475,27.475,1600.0
27.4804,27.49,27.472,27.472,4800.0
27.485,27.49,27.48,27.485,1200.0
27.485,27.49,27.48,27.485,1100.0
27.485,27.49,27.48,27.49,1600.0
27.485,27.485,27.48,27.48,600.0
27.49,27.49,27.48,27.48,400.0
27.485,27.485,27.48,27.48,400.0
27.475,27.485,27.47,27.485,4124.0
27.47,27.48,27.47,27.48,4525.0
27.475,27.48,27.47,27.48,17903.0
27.465,27.475,27.46,27.4742,7919.0
27.46,27.465,27.455,27.46,4549.0
27.445,27.455,27.445,27.455,2730.0
27.45,27.455,27.445,27.45,5400.0
27.465,27.465,27.445,27.45,4136.0
27.47,27.47,27.46,27.465,1700.0
27.455,27.47,27.455,27.465,6495.0
27.44,27.45,27.43,27.45,5046.0
27.435,27.44,27.43,27.435,2200.0
27.445,27.45,27.44,27.44,5515.0
27.435,27.45,27.43,27.45,3791.0
27.42,27.436,27.42,27.43,4597.0
27.43,27.43,27.42,27.42,6002.0
27.395,27.425,27.39,27.42,6920.0
27.415,27.415,27.395,27.395,1902.0
27.41,27.42,27.41,27.415,700.0
27.41,27.44,27.41,27.42,11071.0
27.41,27.42,27.41,27.415,1400.0
27.405,27.415,27.4,27.41,6508.0
27.395,27.4,27.385,27.4,3165.0
27.39,27.4,27.39,27.3916,5054.0
27.37,27.39,27.37,27.39,8519.0
27.38,27.38,27.365,27.37,4538.0
27.37,27.375,27.37,27.37,6005.0
27.37,27.375,27.37,27.3748,4292.0
27.37,27.375,27.36,27.36,9100.0
27.3839,27.39,27.365,27.365,2400.0
27.395,27.395,27.39,27.39,1200.0
27.39,27.395,27.39,27.395,2558.0
27.38,27.39,27.375,27.38,6872.0
27.39,27.395,27.39,27.39,1202.0
27.395,27.395,27.39,27.39,905.0
27.4,27.41,27.39,27.39,1434.0
27.415,27.42,27.4,27.4,1100.0
27.41,27.42,27.41,27.42,700.0
27.415,27.415,27.41,27.41,700.0
27.44,27.44,27.415,27.415,5774.0
27.43,27.44,27.43,27.44,5000.0
27.42,27.44,27.42,27.435,3400.0
27.41,27.44,27.41,27.43,10900.0
27.4,27.41,27.4,27.405,800.0
27.4,27.405,27.395,27.4,1600.0
27.395,27.395,27.395,27.395,100.0
27.395,27.4,27.39,27.395,1201.0
27.365,27.39,27.365,27.39,11497.0
27.37,27.37,27.36,27.36,1000.0
27.35,27.375,27.35,27.37,17363.0
27.35,27.36,27.35,27.36,3505.0
27.35,27.35,27.34,27.34,4200.0
27.34,27.355,27.34,27.35,11223.0
27.33,27.34,27.33,27.33,3000.0
27.34,27.34,27.33,27.33,2150.0
27.35,27.35,27.35,27.35,900.0
27.35,27.36,27.35,27.355,1400.0
27.355,27.36,27.35,27.36,2392.0
27.3399,27.36,27.33,27.355,5679.0
27.33,27.335,27.33,27.335,1400.0
27.33,27.34,27.33,27.34,1900.0
27.335,27.335,27.33,27.335,400.0
27.335,27.34,27.33,27.335,10383.0
27.33,27.335,27.32,27.33,17907.0
27.32,27.325,27.32,27.325,1931.0
27.315,27.32,27.31,27.32,3918.0
27.315,27.32,27.315,27.32,700.0
27.315,27.32,27.31,27.3138,1481.0
27.32,27.32,27.31,27.315,2600.0
27.315,27.32,27.31,27.32,9468.0
27.325,27.33,27.31,27.315,21115.0
27.315,27.325,27.31,27.32,5721.0
27.325,27.325,27.315,27.315,2725.0
27.32,27.335,27.32,27.325,18759.0
27.31,27.325,27.31,27.32,4825.0
27.315,27.315,27.31,27.315,600.0
27.315,27.32,27.31,27.315,1800.0
27.335,27.335,27.31,27.32,20776.0
27.34,27.34,27.33,27.335,5027.0
27.34,27.34,27.3342,27.335,2735.0
27.345,27.35,27.335,27.335,4788.0
27.335,27.35,27.32,27.34,40816.0
27.34,27.34,27.335,27.34,1700.0
27.325,27.34,27.32,27.335,42958.0
27.32,27.33,27.32,27.32,16643.0
27.305,27.31,27.305,27.31,5327.0
27.305,27.31,27.305,27.31,1800.0
27.305,27.31,27.3,27.31,2000.0
27.325,27.33,27.3,27.3,12996.0
27.325,27.33,27.32,27.32,2600.0
27.33,27.33,27.31,27.32,11780.0
27.345,27.345,27.32,27.325,8398.0
27.33,27.345,27.33,27.34,8095.0
27.3256,27.335,27.3101,27.335,9791.0
27.325,27.325,27.32,27.32,4764.0
27.33,27.33,27.32,27.32,800.0
27.315,27.33,27.31,27.325,7759.0
27.315,27.32,27.31,27.315,1900.0
27.33,27.33,27.315,27.32,5121.0
27.335,27.34,27.325,27.33,6266.0
27.33,27.3325,27.32,27.33,8605.0
27.33,27.33,27.325,27.325,800.0
27.34,27.34,27.325,27.325,9329.0
27.335,27.335,27.33,27.335,3094.0
27.335,27.34,27.33,27.33,6372.0
27.355,27.355,27.335,27.34,16718.0
27.35,27.355,27.35,27.35,3641.0
27.35,27.36,27.3425,27.355,20216.0
27.345,27.355,27.34,27.35,15057.0
27.355,27.36,27.345,27.345,17479.0
27.385,27.39,27.355,27.36,15632.0
27.385,27.39,27.38,27.385,6200.0
27.39,27.39,27.38,27.385,2450.0
27.39,27.39,27.385,27.385,10401.0
27.385,27.39,27.385,27.39,4606.0
27.39,27.39,27.385,27.39,2417.0
27.3911,27.4,27.38,27.385,13657.0
27.39,27.395,27.38,27.39,10376.0
