Open,High,Low,Close,Volume
47.25,47.25,47.23,47.23,89270.0
47.38,47.38,47.1,47.1,12334.0
47.24,47.27,47.21,47.25,6345.0
47.16,47.25,47.1218,47.225,8654.0
47.16,47.18,47.14,47.17,5607.0
47.1187,47.1586,47.1001,47.1586,7123.0
47.06,47.1596,47.06,47.11,50071.0
47.04,47.09,47.025,47.065,28119.0
47.0559,47.085,47.04,47.04,11037.0
47.07,47.08,47.05,47.055,4929.0
47.07,47.07,47.04,47.06,17113.0
47.11,47.11,47.065,47.07,9459.0
47.11,47.15,47.1,47.11,13232.0
47.16,47.17,47.11,47.112,24135.0
47.17,47.195,47.1516,47.165,12915.0
47.22,47.22,47.15,47.175,15802.0
47.245,47.26,47.22,47.2201,21626.0
47.24,47.25,47.22,47.25,23147.0
47.24,47.26,47.23,47.24,40224.0
47.17,47.24,47.165,47.23,16081.0
47.065,47.17,47.06,47.16,18465.0
47.12,47.12,47.06,47.065,12566.0
47.1,47.175,47.1,47.1126,38268.0
47.05,47.12,47.045,47.11,38787.0
47.02,47.055,46.995,47.05,34209.0
46.995,47.03,46.995,47.01,15360.0
46.97,46.99,46.965,46.99,16320.0
47.0,47.02,46.97,46.97,19620.0
46.99,47.035,46.99,47.0,19710.0
47.075,47.075,46.99,46.99,19962.0
47.07,47.075,47.04,47.07,29011.0
47.04,47.065,47.0201,47.06,14612.0
47.045,47.08,47.035,47.05,13167.0
47.11,47.115,47.05,47.05,12037.0
46.98,47.1,46.98,47.1,56746.0
47.0,47.02,46.97,46.99,16427.0
47.0532,47.06,47.0,47.01,22573.0
47.09,47.09,47.04,47.06,11225.0
47.106,47.13,47.09,47.09,10346.0
47.13,47.13,47.09,47.1,22410.0
47.14,47.15,47.08,47.14,34577.0
47.1,47.1455,47.075,47.1455,8031.0
47.15,47.1625,47.11,47.11,11862.0
47.1761,47.18,47.14,47.16,6452.0
47.17,47.18,47.15,47.175,9015.0
47.185,47.21,47.165,47.18,5904.0
47.2,47.23,47.18,47.19,9924.0
47.13,47.205,47.13,47.205,21382.0
47.17,47.18,47.12,47.12,19212.0
47.11,47.17,47.105,47.17,18014.0
47.06,47.11,47.04,47.11,13041.0
47.145,47.15,47.06,47.07,17467.0
47.185,47.19,47.145,47.145,10050.0
47.2,47.205,47.18,47.18,6083.0
47.25,47.255,47.19,47.21,10403.0
47.264,47.265,47.22,47.245,10020.0
47.23,47.275,47.23,47.26,9076.0
47.235,47.255,47.22,47.2309,6516.0
47.27,47.295,47.24,47.24,12306.0
47.26,47.27,47.25,47.26,8377.0
47.31,47.31,47.26,47.26,10847.0
47.34,47.37,47.31,47.32,15582.0
47.365,47.375,47.345,47.345,9703.0
47.35,47.38,47.3,47.37,34708.0
47.375,47.375,47.35,47.3501,8589.0
47.36,47.38,47.35,47.375,15215.0
47.3199,47.365,47.305,47.36,18304.0
47.36,47.37,47.32,47.32,6958.0
47.335,47.365,47.3,47.36,8312.0
47.35,47.35,47.2916,47.33,8500.0
47.31,47.35,47.31,47.34,18387.0
47.355,47.36,47.3001,47.31,11589.0
47.32,47.355,47.3,47.355,14125.0
47.355,47.36,47.32,47.32,8605.0
47.35,47.36,47.34,47.3503,4900.0
47.42,47.42,47.35,47.35,9720.0
47.42,47.435,47.38,47.41,17656.0
47.405,47.46,47.4,47.42,16245.0
47.445,47.445,47.39,47.39,7304.0
47.39,47.45,47.39,47.44,18186.0
47.37,47.39,47.37,47.385,6969.0
47.435,47.435,47.3734,47.375,11320.0
47.455,47.455,47.41,47.43,12130.0
47.48,47.485,47.45,47.45,18913.0
47.435,47.48,47.43,47.4743,15478.0
47.49,47.505,47.435,47.44,19095.0
47.53,47.53,47.48,47.49,40920.0
47.52,47.53,47.51,47.525,10852.0
47.49,47.52,47.49,47.515,10775.0
47.5,47.5,47.47,47.485,14968.0
47.54,47.54,47.5038,47.51,14395.0
47.585,47.59,47.54,47.54,20381.0
47.63,47.63,47.585,47.585,15524.0
47.575,47.6357,47.57,47.63,15353.0
47.63,47.64,47.57,47.57,10590.0
47.555,47.64,47.55,47.64,18113.0
47.52,47.575,47.51,47.555,28226.0
47.49,47.54,47.49,47.52,12398.0
47.5,47.525,47.49,47.495,12251.0
47.47,47.5,47.47,47.485,11882.0
47.4835,47.49,47.46,47.475,25431.0
47.51,47.51,47.46,47.48,11562.0
47.515,47.52,47.46,47.51,27603.0
47.45,47.516,47.445,47.51,29749.0
47.44,47.49,47.43,47.45,27468.0
47.44,47.465,47.44,47.445,12423.0
47.44,47.44,47.4,47.44,21929.0
47.445,47.46,47.43,47.45,10719.0
47.37,47.46,47.37,47.44,14637.0
47.3946,47.42,47.36,47.37,19647.0
47.4,47.41,47.3799,47.39,13934.0
47.39,47.4,47.3735,47.39,13743.0
47.3554,47.3995,47.3554,47.395,8138.0
47.335,47.37,47.33,47.36,15286.0
47.35,47.3546,47.32,47.34,19518.0
47.34,47.37,47.34,47.35,6088.0
47.39,47.4,47.3321,47.3335,6936.0
47.38,47.41,47.37,47.39,12786.0
47.37,47.38,47.36,47.37,11766.0
47.39,47.415,47.37,47.37,13576.0
47.404,47.415,47.38,47.385,15850.0
47.3843,47.4,47.38,47.4,5884.0
47.37,47.385,47.37,47.38,4878.0
47.38,47.41,47.37,47.37,17380.0
47.39,47.4,47.365,47.385,25425.0
47.394,47.4005,47.39,47.3966,4724.0
47.425,47.44,47.395,47.4,9748.0
47.42,47.42,47.4,47.42,6333.0
47.395,47.4287,47.395,47.42,4938.0
47.3842,47.42,47.38,47.39,7639.0
47.3758,47.39,47.37,47.381,5868.0
47.375,47.38,47.36,47.37,8204.0
47.39,47.4,47.37,47.37,9355.0
47.42,47.42,47.39,47.4,4505.0
47.45,47.455,47.43,47.43,6760.0
47.43,47.455,47.42,47.45,5973.0
47.43,47.445,47.42,47.435,7206.0
47.43,47.439,47.41,47.435,4487.0
47.39,47.42,47.39,47.42,7066.0
47.35,47.3916,47.35,47.3916,7006.0
47.3501,47.3601,47.3365,47.36,7797.0
47.3254,47.355,47.325,47.355,13233.0
