Open,High,Low,Close,Volume
19.1,19.1,18.97,19.04,8562.0
19.04,19.11,19.03,19.095,7958.0
19.075,19.095,19.05,19.06,9966.0
19.09,19.09,19.05,19.07,15286.0
19.091,19.0934,19.08,19.09,1100.0
19.025,19.09,19.0,19.09,71135.0
18.97,19.02,18.96,19.02,25552.0
18.94,18.98,18.94,18.9708,21918.0
18.92,18.96,18.915,18.95,38114.0
18.92,18.95,18.915,18.92,26561.0
18.9,18.93,18.89,18.93,49166.0
18.865,18.895,18.865,18.89,31741.0
18.9,18.9,18.86,18.86,15275.0
18.895,18.9,18.895,18.895,2200.0
18.87,18.9,18.87,18.89,26079.0
18.87,18.88,18.865,18.88,12862.0
18.885,18.895,18.865,18.87,25543.0
18.8892,18.89,18.885,18.885,3200.0
18.92,18.92,18.88,18.88,25265.0
18.93,18.945,18.92,18.92,23143.0
18.93,18.935,18.92,18.92,12006.0
18.96,18.98,18.93,18.93,17417.0
18.97,18.97,18.94,18.96,6298.0
18.97,18.97,18.96,18.96,3500.0
18.995,19.0,18.96,18.96,5900.0
18.99,18.99,18.975,18.99,11693.0
19.04,19.04,18.981,18.981,9377.0
19.03,19.05,19.03,19.04,3489.0
19.0,19.035,19.0,19.035,15189.0
18.99,19.0,18.99,18.99,42708.0
18.96,18.99,18.94,18.99,35421.0
18.945,18.965,18.945,18.96,8720.0
18.93,18.95,18.93,18.95,14356.0
18.94,18.95,18.93,18.93,14317.0
18.955,18.955,18.945,18.945,1816.0
18.96,18.965,18.96,18.96,3988.0
18.94,18.95,18.94,18.95,1800.0
18.945,18.95,18.935,18.94,10869.0
18.95,18.96,18.945,18.945,3800.0
18.945,18.955,18.945,18.955,4660.0
18.955,18.955,18.945,18.945,4400.0
18.95,18.955,18.945,18.955,4400.0
18.9475,18.95,18.935,18.94,117945.0
18.94,18.945,18.94,18.94,3665.0
18.9,18.94,18.9,18.94,39661.0
18.905,18.92,18.9,18.905,10795.0
18.92,18.92,18.9001,18.9001,6600.0
18.9,18.92,18.9,18.92,15839.0
18.92,18.92,18.895,18.9,10169.0
18.915,18.92,18.9,18.92,8867.0
18.915,18.92,18.91,18.92,1850.0
18.895,18.91,18.885,18.91,19081.0
18.895,18.895,18.89,18.895,800.0
18.895,18.895,18.885,18.895,16906.0
18.855,18.9,18.85,18.9,77232.0
18.82,18.87,18.815,18.86,43352.0
18.825,18.835,18.81,18.81,15505.0
18.81,18.835,18.81,18.83,8000.0
18.785,18.81,18.76,18.81,21999.0
18.8,18.8,18.78,18.785,8664.0
18.785,18.795,18.76,18.79,13298.0
18.7801,18.79,18.78,18.79,4027.0
18.8,18.8,18.78,18.79,9600.0
18.79,18.805,18.79,18.805,3611.0
18.78,18.79,18.78,18.79,8237.0
18.78,18.79,18.78,18.785,6747.0
18.805,18.805,18.78,18.78,6400.0
18.8,18.805,18.79,18.8,2400.0
18.78,18.795,18.78,18.795,7303.0
18.775,18.785,18.75,18.78,19854.0
18.75,18.77,18.75,18.77,6200.0
18.755,18.76,18.75,18.755,2700.0
18.71,18.765,18.7,18.75,46176.0
18.73,18.73,18.71,18.715,8793.0
18.725,18.74,18.725,18.735,5959.0
18.715,18.725,18.71,18.72,8684.0
18.68,18.715,18.68,18.71,21947.0
18.67,18.68,18.67,18.68,2900.0
18.6601,18.68,18.66,18.67,28741.0
18.68,18.68,18.66,18.66,21302.0
18.68,18.7,18.68,18.685,7500.0
18.705,18.705,18.68,18.68,4604.0
18.705,18.71,18.69,18.7,5336.0
18.675,18.72,18.67,18.705,17418.0
18.66,18.67,18.655,18.67,5501.0
18.65,18.67,18.65,18.67,5600.0
18.645,18.67,18.645,18.66,7716.0
18.65,18.655,18.63,18.64,15225.0
18.67,18.68,18.645,18.65,10706.0
18.67,18.68,18.66,18.68,1900.0
18.67,18.67,18.66,18.67,1200.0
18.665,18.67,18.665,18.67,2857.0
18.71,18.715,18.66,18.66,35697.0
18.71,18.72,18.7,18.71,12162.0
18.7,18.725,18.7,18.72,8281.0
18.69,18.705,18.685,18.7,23549.0
18.695,18.735,18.695,18.7,20178.0
18.68,18.695,18.655,18.69,12975.0
18.66,18.685,18.66,18.685,6515.0
18.67,18.67,18.66,18.66,9200.0
18.68,18.69,18.675,18.68,10954.0
18.65,18.67,18.65,18.67,14504.0
18.67,18.67,18.64,18.65,14735.0
18.67,18.67,18.66,18.67,500.0
18.68,18.68,18.645,18.66,16460.0
18.655,18.67,18.645,18.67,4200.0
18.65,18.65,18.63,18.65,9426.0
18.635,18.64,18.62,18.64,7206.0
18.65,18.65,18.62,18.635,17621.0
18.66,18.66,18.6275,18.64,13601.0
18.679,18.68,18.64,18.65,6018.0
18.675,18.68,18.665,18.67,4672.0
18.68,18.69,18.665,18.67,7420.0
18.675,18.685,18.675,18.68,4736.0
18.68,18.69,18.68,18.68,2700.0
18.67,18.67,18.665,18.67,5501.0
18.67,18.675,18.655,18.66,13322.0
18.685,18.685,18.65,18.66,8174.0
18.68,18.69,18.68,18.69,4400.0
18.67,18.67,18.655,18.67,11819.0
18.655,18.67,18.655,18.665,1800.0
18.655,18.665,18.64,18.65,19061.0
18.625,18.65,18.625,18.65,8074.0
18.63,18.65,18.625,18.625,9060.0
18.615,18.625,18.6,18.62,9546.0
18.61,18.62,18.6,18.62,11961.0
18.6,18.6,18.59,18.6,18091.0
18.6,18.6,18.5701,18.6,15278.0
18.63,18.63,18.595,18.6,7727.0
18.625,18.63,18.62,18.63,1700.0
18.6,18.62,18.6,18.62,9700.0
18.59,18.6,18.59,18.6,4900.0
18.605,18.61,18.57,18.585,12200.0
18.615,18.62,18.595,18.6,7812.0
18.615,18.62,18.61,18.61,2570.0
18.64,18.64,18.605,18.61,40785.0
18.656,18.656,18.625,18.645,47847.0
18.66,18.67,18.655,18.659,15983.0
18.66,18.66,18.655,18.66,2069.0
18.67,18.67,18.655,18.655,6200.0
18.67,18.67,18.65,18.665,14760.0
18.71,18.71,18.665,18.665,17400.0
18.705,18.71,18.695,18.7,20130.0
18.7,18.71,18.695,18.705,12059.0
18.69,18.69,18.685,18.69,9467.0
18.69,18.7,18.685,18.685,4299.0
18.68,18.69,18.68,18.69,5000.0
18.695,18.695,18.685,18.685,3471.0
18.71,18.715,18.685,18.69,12516.0
18.7299,18.73,18.71,18.71,7050.0
18.705,18.73,18.705,18.725,7304.0
18.695,18.7,18.685,18.7,9793.0
18.69,18.6977,18.69,18.6977,1228.0
18.685,18.69,18.68,18.69,5420.0
18.7,18.705,18.68,18.69,14203.0
18.7,18.72,18.7,18.705,5403.0
18.715,18.715,18.705,18.705,3100.0
18.73,18.73,18.715,18.715,5200.0
18.72,18.73,18.715,18.72,16802.0
18.71,18.72,18.71,18.71,7075.0
18.695,18.71,18.695,18.71,5842.0
18.7,18.7,18.69,18.7,6350.0
18.695,18.7,18.695,18.7,1230.0
18.7,18.7,18.7,18.7,200.0
18.7,18.7,18.69,18.7,1650.0
18.715,18.72,18.7,18.7,8659.0
18.73,18.73,18.72,18.72,9535.0
18.71,18.72,18.7,18.72,8990.0
18.7,18.71,18.69,18.71,7095.0
18.69,18.705,18.68,18.7,11522.0
18.69,18.69,18.68,18.69,1200.0
18.69,18.69,18.685,18.69,600.0
18.685,18.6999,18.685,18.69,11400.0
18.675,18.68,18.67,18.68,10328.0
18.675,18.685,18.67,18.68,29598.0
18.6565,18.6776,18.6565,18.675,10330.0
18.68,18.68,18.6545,18.6545,6000.0
