Open,High,Low,Close,Volume
81.72,82.02,81.71,82.0,367531.0
81.86,81.91,81.65,81.73,20389.0
82.12,82.32,81.8447,81.8447,55934.0
82.12,82.19,82.02,82.1411,20741.0
82.09,82.14,82.05,82.11,23274.0
81.92,82.19,81.875,82.07,46379.0
82.08,82.12,81.94,81.99,35888.0
82.025,82.16,82.02,82.049,28120.0
81.976,82.06,81.87,82.04,29810.0
82.01,82.08,81.97,81.9744,21985.0
82.0,82.04,81.97,82.04,54222.0
82.13,82.13,81.99,82.0,14012.0
82.04,82.1,82.04,82.06,11456.0
82.21,82.2185,82.05,82.05,53038.0
82.3,82.31,82.2,82.21,18666.0
82.27,82.43,82.16,82.31,103520.0
82.27,82.39,82.24,82.3,18551.0
82.25,82.38,82.25,82.2586,14158.0
82.271,82.34,82.26,82.28,7156.0
82.251,82.34,82.1835,82.31,27036.0
82.24,82.3,82.12,82.3,21656.0
82.2131,82.36,82.2,82.22,14786.0
82.22,82.28,82.15,82.2,22630.0
82.21,82.24,82.17,82.22,8615.0
82.1,82.22,82.1,82.18,6414.0
82.0,82.15,81.95,82.14,13004.0
82.0087,82.09,81.98,82.01,12433.0
82.13,82.13,81.95,82.02,40462.0
82.12,82.13,82.1,82.12,8240.0
82.22,82.22,82.06,82.11,18975.0
82.32,82.35,82.18,82.21,14604.0
82.4,82.43,82.32,82.32,12013.0
82.34,82.42,82.2725,82.41,17112.0
82.29,82.34,82.26,82.3288,11169.0
82.32,82.34,82.28,82.32,17541.0
82.4,82.4,82.2962,82.31,5791.0
82.33,82.38,82.32,82.38,15135.0
82.29,82.34,82.26,82.34,32490.0
82.36,82.36,82.28,82.295,7358.0
82.33,82.35,82.31,82.335,10330.0
82.4,82.43,82.32,82.32,14413.0
82.4,82.47,82.38,82.419,17930.0
82.39,82.44,82.37,82.4,12873.0
82.54,82.59,82.38,82.38,79883.0
82.51,82.56,82.49,82.52,8888.0
82.5,82.53,82.495,82.51,5004.0
82.485,82.56,82.47,82.51,11979.0
82.42,82.48,82.42,82.48,61828.0
82.3,82.43,82.3,82.42,31199.0
82.16,82.323,82.16,82.32,9571.0
82.2328,82.25,82.13,82.16,24459.0
82.25,82.26,82.22,82.25,9648.0
82.253,82.26,82.24,82.25,8017.0
82.25,82.29,82.24,82.26,10960.0
82.24,82.25,82.18,82.245,5773.0
82.12,82.2112,82.12,82.21,9382.0
82.0261,82.13,81.94,82.12,55431.0
81.9924,82.04,81.98,82.025,15440.0
82.0243,82.03,81.98,82.0,34186.0
82.0,82.08,82.0,82.02,13974.0
82.01,82.022,81.99,82.0118,14252.0
82.095,82.095,82.0087,82.01,5985.0
82.01,82.1,82.01,82.1,4037.0
82.03,82.03,81.99,82.0206,9148.0
82.01,82.0486,81.98,82.03,13187.0
82.01,82.03,81.99,81.99,12512.0
82.009,82.015,81.98,81.9975,13955.0
81.981,82.0099,81.98,81.9986,8421.0
81.935,81.9943,81.9201,81.9943,14662.0
81.98,81.98,81.9,81.92,8888.0
82.0024,82.0024,81.97,81.97,10515.0
82.01,82.03,81.99,82.0,12370.0
82.0,82.025,81.9986,81.9986,14710.0
82.0143,82.03,82.0,82.01,4215.0
82.05,82.06,82.0,82.01,13554.0
82.06,82.07,82.04,82.045,12129.0
82.085,82.09,82.025,82.06,10201.0
82.15,82.17,82.07,82.085,16610.0
82.15,82.16,82.13,82.16,6868.0
82.12,82.135,82.105,82.13,19996.0
82.1086,82.145,82.1,82.12,12673.0
82.11,82.11,82.06,82.11,11154.0
82.115,82.12,82.1,82.115,53356.0
82.12,82.12,82.1,82.11,17439.0
82.17,82.17,82.1,82.12,9589.0
82.2,82.21,82.16,82.16,7167.0
82.21,82.23,82.18,82.19,5924.0
82.14,82.225,82.14,82.22,9419.0
82.13,82.14,82.12,82.1386,13563.0
82.07,82.135,82.05,82.13,12072.0
82.09,82.1,82.05,82.065,40561.0
82.06,82.09,82.03,82.09,10779.0
82.03,82.05,82.01,82.03,4596.0
82.09,82.09,82.02,82.03,8176.0
82.1225,82.13,82.05,82.09,11836.0
82.14,82.15,82.1299,82.13,6306.0
82.15,82.175,82.13,82.13,3034.0
82.15,82.1799,82.13,82.15,4820.0
82.14,82.16,82.14,82.15,11758.0
82.15,82.15,82.11,82.1444,10036.0
82.23,82.235,82.15,82.15,9327.0
82.2304,82.25,82.21,82.24,14057.0
82.21,82.25,82.2,82.23,17798.0
82.22,82.23,82.21,82.219,4030.0
82.24,82.26,82.22,82.23,17618.0
