Open,High,Low,Close,Volume
30.23,30.23,30.23,30.23,4966.0
30.23,30.23,30.23,30.23,200.0
30.16,30.21,30.16,30.2,1400.0
30.19,30.2,30.175,30.2,400.0
30.13,30.18,30.13,30.18,1756.0
30.15,30.15,30.1,30.12,6500.0
30.16,30.16,30.16,30.16,200.0
30.225,30.23,30.15,30.15,6100.0
30.195,30.22,30.19,30.19,3500.0
30.2,30.24,30.19,30.195,1700.0
30.2,30.22,30.2,30.21,1200.0
30.21,30.21,30.2,30.2,1700.0
30.24,30.25,30.2,30.22,5000.0
30.25,30.26,30.24,30.24,600.0
30.18,30.24,30.17,30.24,3189.0
30.17,30.2,30.16,30.1871,2231.0
30.16,30.16,30.16,30.16,400.0
30.18,30.2,30.15,30.15,4442.0
30.17,30.195,30.17,30.19,1300.0
30.17,30.18,30.17,30.17,700.0
30.19,30.19,30.18,30.19,800.0
30.19,30.19,30.19,30.19,100.0
30.2,30.2,30.2,30.2,100.0
30.2,30.2,30.18,30.19,2400.0
30.18,30.205,30.18,30.205,1400.0
30.17,30.18,30.17,30.18,600.0
30.22,30.22,30.17,30.18,2200.0
30.26,30.26,30.26,30.26,300.0
30.2711,30.29,30.26,30.26,2521.0
30.33,30.33,30.265,30.28,2400.0
30.35,30.39,30.32,30.34,5412.0
30.32,30.35,30.32,30.35,2900.0
30.34,30.35,30.32,30.32,1800.0
30.355,30.38,30.355,30.37,1000.0
30.415,30.42,30.37,30.37,2100.0
30.4,30.42,30.4,30.415,2238.0
30.405,30.405,30.405,30.405,200.0
30.39,30.41,30.39,30.41,900.0
30.39,30.405,30.375,30.385,5200.0
30.38,30.39,30.38,30.38,500.0
30.375,30.385,30.375,30.38,3228.0
30.375,30.375,30.37,30.375,300.0
30.375,30.375,30.37,30.375,1610.0
30.42,30.42,30.37,30.375,8600.0
30.41,30.41,30.41,30.41,100.0
30.41,30.42,30.41,30.42,2800.0
30.41,30.42,30.4,30.4,4421.0
30.43,30.43,30.41,30.41,2125.0
30.42,30.42,30.42,30.42,200.0
30.425,30.425,30.415,30.415,900.0
30.4252,30.4252,30.4252,30.4252,406.0
30.43,30.435,30.425,30.43,2065.0
30.47,30.47,30.445,30.445,800.0
30.45,30.49,30.445,30.47,4300.0
30.46,30.46,30.44,30.445,2200.0
30.48,30.48,30.46,30.47,2192.0
30.47,30.485,30.47,30.485,2306.0
30.465,30.465,30.465,30.465,100.0
30.45,30.46,30.45,30.46,1500.0
30.42,30.44,30.42,30.44,1700.0
30.415,30.42,30.41,30.41,1200.0
30.4,30.41,30.4,30.41,300.0
30.4,30.405,30.4,30.4,2600.0
30.41,30.415,30.4,30.405,1700.0
30.44,30.44,30.41,30.415,1996.0
30.45,30.45,30.45,30.45,100.0
30.47,30.47,30.45,30.45,699.0
30.46,30.469,30.45,30.469,2235.0
30.485,30.485,30.465,30.47,1000.0
30.48,30.48,30.47,30.48,1507.0
30.49,30.49,30.46,30.47,3200.0
30.54,30.54,30.5,30.5,1564.0
30.52,30.52,30.52,30.52,137.0
30.53,30.53,30.53,30.53,100.0
30.555,30.555,30.525,30.525,1800.0
30.58,30.58,30.56,30.56,500.0
30.535,30.57,30.535,30.56,3899.0
30.4801,30.53,30.48,30.53,1605.0
30.46,30.46,30.46,30.46,100.0
30.42,30.47,30.42,30.47,26800.0
30.4,30.42,30.4,30.42,800.0
30.39,30.4,30.39,30.39,1300.0
30.39,30.395,30.39,30.39,1100.0
30.39,30.395,30.39,30.3901,1800.0
30.39,30.4,30.39,30.39,1800.0
30.39,30.395,30.39,30.39,700.0
30.39,30.395,30.39,30.39,1300.0
30.39,30.4,30.39,30.4,2300.0
30.395,30.395,30.39,30.39,800.0
30.4,30.4,30.39,30.39,500.0
30.39,30.4,30.39,30.395,2500.0
30.3901,30.3901,30.39,30.39,400.0
30.4,30.4,30.4,30.4,200.0
30.3999,30.3999,30.395,30.395,200.0
30.4,30.4,30.39,30.395,3000.0
30.3953,30.3953,30.3953,30.3953,237.0
30.39,30.4,30.38,30.39,4548.0
30.39,30.4,30.39,30.39,3877.0
30.34,30.39,30.34,30.39,2260.0
30.35,30.35,30.34,30.345,1500.0
30.34,30.36,30.34,30.355,700.0
30.33,30.335,30.33,30.335,600.0
30.33,30.33,30.33,30.33,395.0
30.36,30.36,30.33,30.33,2901.0
30.365,30.365,30.365,30.365,100.0
30.36,30.36,30.36,30.36,1300.0
30.39,30.39,30.365,30.37,2267.0
30.39,30.39,30.38,30.38,1200.0
30.4,30.42,30.39,30.39,3224.0
30.4,30.415,30.4,30.415,1000.0
30.4,30.4108,30.4,30.4108,919.0
30.4,30.4,30.4,30.4,100.0
30.39,30.41,30.39,30.405,2572.0
30.39,30.39,30.39,30.39,1100.0
30.39,30.39,30.39,30.39,200.0
30.39,30.395,30.39,30.395,900.0
30.39,30.39,30.39,30.39,900.0
30.4,30.4,30.39,30.39,2344.0
30.39,30.39,30.39,30.39,500.0
30.38,30.39,30.38,30.39,1500.0
30.36,30.37,30.36,30.37,1200.0
30.34,30.355,30.34,30.355,300.0
30.33,30.335,30.33,30.33,2200.0
30.335,30.335,30.335,30.335,100.0
30.34,30.35,30.33,30.33,3030.0
30.33,30.34,30.33,30.335,800.0
30.335,30.335,30.335,30.335,100.0
30.34,30.34,30.335,30.335,600.0
30.35,30.35,30.34,30.34,1300.0
30.33,30.345,30.33,30.34,3430.0
30.34,30.34,30.33,30.335,500.0
30.36,30.36,30.335,30.335,2900.0
30.35,30.36,30.35,30.36,600.0
30.36,30.36,30.36,30.36,100.0
30.36,30.365,30.355,30.36,2000.0
30.36,30.36,30.35,30.355,2783.0
30.36,30.3601,30.36,30.3601,1000.0
30.36,30.36,30.36,30.36,1300.0
30.365,30.365,30.36,30.365,600.0
30.385,30.385,30.36,30.365,5659.0
30.385,30.385,30.37,30.385,2764.0
30.4,30.4,30.38,30.38,4700.0
30.395,30.395,30.395,30.395,300.0
30.41,30.41,30.4,30.4,1090.0
30.425,30.425,30.415,30.42,580.0
30.425,30.425,30.425,30.425,100.0
30.44,30.44,30.4243,30.4243,1500.0
30.45,30.45,30.445,30.45,800.0
30.43,30.44,30.42,30.44,33598.0
30.4,30.42,30.39,30.42,2100.0
30.395,30.4,30.39,30.4,300.0
30.4,30.4,30.395,30.395,665.0
30.4,30.4,30.4,30.4,500.0
30.39,30.395,30.39,30.39,2700.0
30.38,30.39,30.38,30.39,1100.0
30.37,30.38,30.37,30.38,1900.0
30.37,30.37,30.37,30.37,200.0
30.37,30.37,30.37,30.37,500.0
30.36,30.3701,30.36,30.3701,1260.0
30.36,30.37,30.36,30.365,645.0
30.37,30.37,30.365,30.365,500.0
30.36,30.36,30.36,30.36,800.0
30.36,30.365,30.36,30.3601,1866.0
30.31,30.36,30.31,30.36,3258.0
30.34,30.34,30.32,30.32,3095.0
30.36,30.365,30.36,30.365,800.0
30.39,30.39,30.37,30.37,700.0
30.39,30.39,30.38,30.39,1600.0
30.385,30.385,30.38,30.38,1000.0
30.39,30.39,30.3801,30.3801,400.0
30.39,30.39,30.385,30.385,1600.0
30.395,30.4,30.395,30.4,2268.0
30.4,30.41,30.395,30.4,5223.0
30.4,30.4,30.395,30.395,300.0
30.395,30.4,30.395,30.4,600.0
30.39,30.4,30.39,30.4,300.0
30.39,30.39,30.39,30.39,100.0
30.39,30.39,30.39,30.39,200.0
30.39,30.39,30.39,30.39,200.0
30.415,30.415,30.4,30.4,5856.0
30.41,30.45,30.41,30.415,16399.0
30.4,30.4,30.4,30.4,900.0
30.41,30.41,30.41,30.41,680.0
30.41,30.415,30.41,30.415,800.0
30.405,30.405,30.405,30.405,300.0
30.405,30.405,30.405,30.405,100.0
30.43,30.43,30.405,30.41,1600.0
30.435,30.435,30.43,30.43,600.0
30.45,30.45,30.435,30.435,800.0
30.43,30.45,30.415,30.45,8937.0
30.425,30.43,30.42,30.42,500.0
30.425,30.425,30.425,30.425,100.0
30.44,30.44,30.44,30.44,900.0
30.44,30.44,30.42,30.42,1100.0
30.45,30.45,30.44,30.44,400.0
30.445,30.45,30.445,30.45,300.0
30.46,30.46,30.45,30.45,800.0
30.4616,30.47,30.46,30.4632,1200.0
30.46,30.46,30.46,30.46,1000.0
30.455,30.46,30.455,30.46,700.0
30.45,30.45,30.45,30.45,100.0
30.43,30.45,30.43,30.45,2800.0
30.44,30.44,30.425,30.425,2100.0
30.45,30.45,30.45,30.45,100.0
30.47,30.47,30.45,30.45,2453.0
30.47,30.47,30.47,30.47,300.0
30.475,30.475,30.475,30.475,100.0
30.49,30.49,30.475,30.48,1600.0
30.52,30.52,30.51,30.51,1000.0
30.51,30.52,30.51,30.52,2600.0
30.505,30.505,30.505,30.505,100.0
30.51,30.51,30.505,30.505,1210.0
30.48,30.52,30.48,30.52,4101.0
30.48,30.48,30.465,30.48,2600.0
30.485,30.485,30.475,30.475,600.0
30.49,30.49,30.49,30.49,100.0
30.49,30.49,30.49,30.49,500.0
30.4601,30.485,30.4601,30.485,1190.0
30.49,30.49,30.47,30.47,1200.0
30.5,30.5,30.495,30.5,101957.0
30.49,30.495,30.49,30.495,900.0
30.48,30.48,30.4742,30.48,1499.0
30.475,30.48,30.47,30.48,700.0
30.48,30.48,30.475,30.475,200.0
30.49,30.5,30.485,30.485,2817.0
30.5,30.5,30.495,30.495,200.0
30.5,30.505,30.5,30.5,1724.0
30.51,30.51,30.5,30.5,3334.0
30.5,30.5,30.5,30.5,1000.0
30.5,30.5,30.5,30.5,100.0
30.5,30.505,30.5,30.5,1400.0
30.505,30.505,30.5,30.505,500.0
30.5,30.505,30.497,30.505,6012.0
30.5,30.51,30.5,30.51,1100.0
30.505,30.51,30.505,30.505,1200.0
30.55,30.55,30.5,30.5,4120.0
30.525,30.54,30.51,30.54,14528.0
30.52,30.52,30.52,30.52,200.0
30.52,30.52,30.52,30.52,100.0
30.53,30.53,30.53,30.53,200.0
30.535,30.535,30.53,30.53,1400.0
30.54,30.54,30.53,30.54,4616.0
30.58,30.58,30.54,30.54,3504.0
30.59,30.595,30.58,30.58,4548.0
30.59,30.59,30.59,30.59,100.0
30.59,30.6,30.58,30.585,2439.0
30.585,30.595,30.585,30.59,2200.0
30.58,30.585,30.58,30.585,2700.0
30.58,30.58,30.58,30.58,100.0
30.58,30.58,30.57,30.5757,422.0
30.58,30.58,30.57,30.58,400.0
30.6,30.6,30.58,30.58,2147.0
30.63,30.63,30.6,30.6,6300.0
30.64,30.64,30.63,30.63,3604.0
30.6301,30.65,30.63,30.65,3099.0
30.635,30.64,30.635,30.64,2706.0
30.635,30.635,30.635,30.635,200.0
30.64,30.64,30.64,30.64,791.0
30.65,30.655,30.65,30.65,2700.0
30.63,30.65,30.63,30.65,4100.0
30.59,30.63,30.59,30.63,5113.0
30.59,30.59,30.58,30.58,300.0
30.59,30.6,30.59,30.59,900.0
30.59,30.595,30.589,30.595,1000.0
30.605,30.605,30.58,30.585,2500.0
30.63,30.63,30.6,30.61,7407.0
30.645,30.65,30.62,30.63,14980.0
30.68,30.68,30.64,30.64,7018.0
30.655,30.675,30.655,30.675,2100.0
30.67,30.67,30.65,30.65,8000.0
30.68,30.68,30.67,30.67,1382.0
30.65,30.68,30.65,30.68,2572.0
30.65,30.65,30.65,30.65,2000.0
30.645,30.65,30.64,30.65,1912.0
30.64,30.645,30.64,30.645,400.0
30.645,30.645,30.645,30.645,300.0
30.645,30.645,30.64,30.64,400.0
30.645,30.645,30.645,30.645,300.0
30.65,30.65,30.64,30.64,2614.0
30.6625,30.6625,30.655,30.66,1300.0
30.665,30.665,30.665,30.665,200.0
30.67,30.67,30.665,30.665,2700.0
30.67,30.67,30.665,30.67,1035.0
30.665,30.665,30.665,30.665,100.0
30.6425,30.66,30.64,30.66,7714.0
30.595,30.64,30.595,30.64,5153.0
30.59,30.59,30.59,30.59,200.0
30.6,30.6,30.59,30.59,2486.0
30.6,30.6,30.6,30.6,300.0
30.58,30.61,30.58,30.61,1800.0
30.57,30.57,30.565,30.57,2094.0
30.58,30.58,30.5757,30.5757,303.0
30.58,30.58,30.58,30.58,100.0
30.6,30.6,30.58,30.58,2929.0
30.59,30.6,30.59,30.6,1000.0
30.5801,30.59,30.5801,30.59,200.0
30.58,30.58,30.58,30.58,1369.0
30.58,30.58,30.575,30.58,1847.0
30.5938,30.6,30.59,30.59,1516.0
30.6,30.61,30.6,30.6,1306.0
30.61,30.61,30.605,30.605,200.0
30.62,30.62,30.61,30.61,1727.0
30.6339,30.6339,30.62,30.62,1400.0
30.63,30.635,30.63,30.635,3406.0
30.64,30.64,30.635,30.64,1500.0
30.62,30.64,30.62,30.64,2452.0
30.615,30.62,30.615,30.62,400.0
30.615,30.62,30.615,30.62,200.0
30.59,30.61,30.59,30.61,2536.0
30.6,30.6,30.585,30.59,2684.0
30.6,30.61,30.59,30.59,2600.0
30.6,30.61,30.6,30.61,1800.0
30.59,30.6,30.59,30.6,4700.0
30.57,30.58,30.57,30.58,900.0
30.56,30.58,30.56,30.57,3300.0
30.58,30.58,30.56,30.56,3259.0
30.585,30.59,30.58,30.58,1000.0
30.6,30.6,30.585,30.59,1663.0
30.595,30.6,30.59,30.59,9775.0
30.61,30.61,30.6,30.6,1215.0
30.6,30.61,30.6,30.6,3200.0
30.6,30.61,30.6,30.61,700.0
30.57,30.6,30.57,30.6,22775.0
30.56,30.57,30.56,30.56,2300.0
30.56,30.57,30.56,30.5601,1300.0
30.58,30.58,30.56,30.56,3700.0
30.6,30.61,30.58,30.59,3000.0
30.59,30.605,30.59,30.605,6603.0
30.58,30.59,30.58,30.585,800.0
30.57,30.58,30.57,30.58,3909.0
30.56,30.5763,30.56,30.57,2616.0
30.56,30.56,30.56,30.56,700.0
30.59,30.59,30.56,30.56,7694.0
30.6,30.61,30.595,30.6,2900.0
30.6,30.605,30.59,30.605,5329.0
30.58,30.6,30.58,30.6,2211.0
30.59,30.59,30.58,30.58,3900.0
30.59,30.59,30.585,30.59,700.0
30.575,30.59,30.57,30.58,4300.0
30.58,30.59,30.57,30.575,4703.0
30.59,30.59,30.59,30.59,1108.0
30.6,30.61,30.59,30.59,6500.0
30.59,30.6,30.585,30.6,4261.0
30.56,30.585,30.56,30.58,4254.0
30.57,30.57,30.55,30.55,7256.0
30.58,30.59,30.56,30.57,7890.0
30.59,30.59,30.58,30.585,1500.0
30.6,30.6,30.58,30.585,6222.0
30.61,30.61,30.59,30.595,10223.0
30.6,30.61,30.59,30.6,21822.0
30.6,30.61,30.59,30.59,11300.0
30.595,30.6,30.59,30.6,15310.0
30.6,30.61,30.59,30.6,8262.0
30.61,30.61,30.6,30.6,6510.0
30.615,30.62,30.6,30.61,13681.0
30.62,30.62,30.61,30.61,28070.0
