Open,High,Low,Close,Volume
70.84,70.84,70.84,70.84,21201.0
70.7554,70.95,70.65,70.73,3150.0
71.11,71.12,70.85,70.85,6598.0
71.12,71.12,71.12,71.12,100.0
71.12,71.14,70.99,71.11,2278.0
71.1,71.1,71.05,71.1,2400.0
71.1,71.17,71.03,71.065,8084.0
71.11,71.11,71.0,71.09,4201.0
71.15,71.15,71.09,71.11,2811.0
71.09,71.19,71.08,71.17,4641.0
71.12,71.14,71.08,71.1,4950.0
71.18,71.18,71.1,71.115,4270.0
71.31,71.37,71.18,71.18,9126.0
71.36,71.37,71.28,71.35,12513.0
71.33,71.3825,71.32,71.36,4712.0
71.36,71.36,71.32,71.32,1743.0
71.32,71.36,71.3,71.36,4422.0
71.34,71.36,71.28,71.3,5400.0
71.34,71.37,71.31,71.35,6247.0
71.34,71.37,71.33,71.34,3200.0
71.3,71.345,71.3,71.34,3001.0
71.29,71.32,71.26,71.28,2015.0
71.3,71.32,71.29,71.3,1607.0
71.305,71.31,71.29,71.29,1000.0
71.25,71.32,71.23,71.32,4742.0
71.26,71.26,71.22,71.23,1804.0
71.24,71.26,71.24,71.24,789.0
71.24,71.25,71.23,71.25,3528.0
71.2686,71.28,71.24,71.24,1672.0
71.34,71.36,71.33,71.33,2200.0
71.37,71.395,71.28,71.28,2035.0
71.35,71.41,71.26,71.4,4425.0
71.31,71.35,71.28,71.34,6600.0
71.26,71.32,71.26,71.32,5414.0
71.27,71.34,71.27,71.28,2101.0
71.21,71.305,71.21,71.29,2830.0
71.15,71.18,71.13,71.18,3683.0
71.1,71.15,71.04,71.15,6688.0
71.02,71.08,71.0,71.08,2591.0
71.06,71.1,71.04,71.04,3554.0
71.1,71.15,71.05,71.05,4848.0
71.04,71.09,71.0,71.09,9487.0
71.01,71.09,71.0,71.08,4250.0
71.04,71.06,71.0,71.0,12159.0
71.01,71.06,70.99,71.03,9000.0
71.015,71.04,71.0,71.0,13478.0
71.0,71.06,71.0,71.02,6521.0
71.01,71.04,71.0,71.0,4800.0
71.02,71.06,71.0,71.0,3801.0
70.97,71.02,70.93,71.0,27073.0
70.95,70.95,70.88,70.93,5435.0
70.93,70.95,70.9,70.94,4404.0
70.91,70.95,70.9,70.95,3200.0
70.98,71.038,70.9,70.9,12935.0
70.96,71.0,70.96,70.97,2600.0
70.94,70.95,70.935,70.94,1300.0
70.904,70.95,70.904,70.93,3568.0
70.84,70.915,70.83,70.915,1108.0
70.81,70.89,70.783,70.85,6465.0
70.85,70.85,70.82,70.82,2140.0
70.79,70.815,70.75,70.815,6333.0
70.79,70.81,70.7353,70.77,4600.0
70.75,70.78,70.73,70.78,1963.0
70.82,70.82,70.76,70.77,2025.0
70.81,70.84,70.81,70.83,2780.0
70.82,70.85,70.795,70.815,4107.0
70.84,70.85,70.83,70.85,1100.0
70.89,70.89,70.85,70.85,3257.0
70.84,70.885,70.83,70.88,3190.0
70.83,70.85,70.81,70.85,1800.0
70.8316,70.84,70.82,70.83,1388.0
70.8,70.83,70.78,70.83,5110.0
70.84,70.87,70.81,70.81,5818.0
70.855,70.88,70.85,70.85,3059.0
70.88,70.88,70.855,70.855,1000.0
70.88,70.91,70.86,70.88,3946.0
70.82,70.86,70.82,70.86,3100.0
70.79,70.85,70.79,70.84,3444.0
70.77,70.81,70.77,70.8,2810.0
70.7,70.77,70.69,70.77,5616.0
70.66,70.7,70.66,70.7,6056.0
70.67,70.72,70.65,70.66,6988.0
70.68,70.69,70.68,70.68,2058.0
70.69,70.72,70.68,70.71,4550.0
70.6243,70.72,70.61,70.72,6555.0
70.65,70.65,70.6,70.62,6420.0
70.67,70.67,70.65,70.65,5356.0
70.66,70.7,70.66,70.68,3042.0
70.7,70.7,70.65,70.66,4325.0
70.74,70.74,70.71,70.72,2148.0
70.78,70.8,70.75,70.76,4143.0
70.825,70.83,70.78,70.78,4900.0
70.8,70.835,70.76,70.83,4901.0
70.79,70.795,70.76,70.79,6798.0
70.78,70.79,70.76,70.775,3650.0
70.8,70.8,70.77,70.78,5000.0
70.795,70.84,70.795,70.81,18594.0
70.77,70.8,70.77,70.8,3417.0
70.78,70.78,70.75,70.76,2187.0
70.76,70.78,70.75,70.77,7690.0
70.75,70.78,70.745,70.755,3038.0
70.785,70.785,70.75,70.75,3778.0
70.8,70.81,70.78,70.785,2767.0
70.85,70.86,70.82,70.82,5264.0
70.84,70.8625,70.82,70.85,4903.0
70.7825,70.84,70.77,70.84,2600.0
70.77,70.795,70.77,70.78,3900.0
70.75,70.77,70.7475,70.77,2300.0
70.71,70.74,70.7,70.74,2465.0
70.7,70.74,70.69,70.71,6279.0
70.71,70.71,70.69,70.69,1900.0
70.69,70.7116,70.675,70.7116,6101.0
70.65,70.67,70.64,70.67,4449.0
70.64,70.67,70.64,70.65,5816.0
70.63,70.67,70.61,70.65,4940.0
70.62,70.65,70.61,70.61,3150.0
70.62,70.64,70.6,70.63,3380.0
70.5847,70.63,70.58,70.62,1807.0
70.6,70.6,70.56,70.58,5447.0
70.65,70.65,70.6,70.61,3812.0
70.62,70.66,70.62,70.65,5449.0
70.67,70.675,70.63,70.63,7407.0
70.66,70.67,70.64,70.67,3074.0
70.65,70.68,70.65,70.66,2324.0
70.63,70.67,70.63,70.66,2316.0
70.62,70.66,70.62,70.62,4721.0
70.5712,70.63,70.56,70.62,2517.0
70.59,70.63,70.58,70.59,5253.0
70.62,70.63,70.61,70.61,1100.0
70.62,70.62,70.6,70.6,1700.0
70.62,70.63,70.62,70.63,1147.0
70.59,70.62,70.59,70.6164,3242.0
70.62,70.62,70.59,70.59,3310.0
70.65,70.67,70.63,70.63,1400.0
70.65,70.67,70.62,70.64,3700.0
70.64,70.65,70.63,70.65,2500.0
70.675,70.675,70.65,70.655,900.0
70.71,70.73,70.675,70.675,3644.0
70.71,70.71,70.67,70.69,8100.0
70.71,70.72,70.71,70.72,2200.0
70.74,70.76,70.73,70.74,2332.0
70.72,70.74,70.72,70.74,1200.0
70.75,70.75,70.715,70.72,2474.0
70.73,70.74,70.72,70.74,1410.0
70.68,70.73,70.68,70.72,2250.0
70.68,70.71,70.68,70.69,3108.0
70.67,70.68,70.665,70.68,2200.0
70.69,70.69,70.65,70.66,2619.0
70.69,70.69,70.68,70.68,2353.0
70.68,70.7,70.67,70.68,3300.0
70.685,70.69,70.652,70.67,4487.0
70.7,70.7,70.69,70.69,384.0
70.66,70.7,70.66,70.7,2600.0
70.66,70.67,70.65,70.66,2355.0
70.71,70.71,70.67,70.67,1640.0
70.75,70.75,70.695,70.71,6100.0
70.76,70.78,70.75,70.76,4500.0
70.79,70.79,70.75,70.75,2335.0
70.81,70.81,70.81,70.81,849.0
70.82,70.82,70.82,70.82,300.0
70.85,70.85,70.815,70.815,10595.0
70.84,70.84,70.83,70.84,2684.0
70.86,70.86,70.84,70.84,2784.0
70.88,70.88,70.88,70.88,1000.0
70.88,70.885,70.87,70.885,5246.0
70.88,70.88,70.86,70.86,3100.0
70.885,70.885,70.87,70.88,1843.0
70.88,70.9,70.88,70.88,3500.0
70.85,70.87,70.84,70.87,800.0
70.83,70.84,70.83,70.84,400.0
70.85,70.85,70.84,70.84,2865.0
70.85,70.86,70.845,70.847,1764.0
70.83,70.85,70.83,70.85,2998.0
70.83,70.83,70.83,70.83,700.0
70.81,70.84,70.81,70.83,800.0
70.87,70.87,70.81,70.82,3171.0
70.88,70.88,70.85,70.86,830.0
70.885,70.91,70.87,70.87,2709.0
70.9,70.9,70.89,70.89,600.0
70.89,70.8925,70.88,70.89,2400.0
70.89,70.9,70.89,70.89,2000.0
70.91,70.94,70.89,70.89,3584.0
70.895,70.92,70.895,70.91,2500.0
70.88,70.9,70.88,70.9,1122.0
70.89,70.89,70.8601,70.88,1927.0
70.905,70.91,70.9,70.9,600.0
70.87,70.9,70.87,70.9,2550.0
70.86,70.86,70.855,70.86,1300.0
70.835,70.85,70.835,70.85,900.0
70.81,70.83,70.81,70.83,700.0
70.81,70.81,70.8,70.81,1006.0
70.83,70.83,70.815,70.82,900.0
70.85,70.85,70.835,70.835,1500.0
70.83,70.86,70.83,70.84,1600.0
70.86,70.86,70.79,70.81,4089.0
70.84,70.8401,70.83,70.8401,1407.0
70.89,70.89,70.825,70.83,3346.0
70.93,70.94,70.9013,70.905,3300.0
70.92,70.92,70.91,70.92,1600.0
70.95,70.96,70.93,70.93,3023.0
70.98,70.98,70.97,70.97,2310.0
