Open,High,Low,Close,Volume
99.115,99.445,98.87,99.445,400.0
99.07,99.085,99.07,99.085,270.0
99.06,99.06,99.06,99.06,100.0
98.995,99.41,98.995,99.14,1550.0
99.27,99.27,99.27,99.27,100.0
99.03,99.13,99.03,99.08,1300.0
99.15,99.15,99.05,99.05,905.0
99.25,99.29,99.25,99.29,500.0
99.1,99.12,99.1,99.1,500.0
99.12,99.12,99.08,99.08,300.0
99.07,99.07,99.0,99.07,1000.0
99.03,99.11,99.03,99.06,500.0
99.13,99.13,99.12,99.12,602.0
99.15,99.15,99.15,99.15,100.0
99.2,99.2,99.13,99.19,700.0
99.09,99.2,99.09,99.15,900.0
99.17,99.21,99.11,99.11,1400.0
99.15,99.16,99.15,99.16,200.0
99.14,99.14,99.14,99.14,400.0
99.15,99.15,99.11,99.11,600.0
99.08,99.15,99.08,99.15,700.0
99.065,99.065,99.04,99.04,300.0
99.02,99.04,98.99,99.04,800.0
99.13,99.13,99.06,99.06,1800.0
99.09,99.09,99.09,99.09,100.0
99.18,99.18,99.13,99.14,1000.0
99.23,99.23,99.19,99.19,600.0
99.27,99.27,99.19,99.2,1915.0
99.31,99.37,99.31,99.31,1650.0
99.34,99.34,99.31,99.34,500.0
99.31,99.34,99.27,99.33,6700.0
99.29,99.29,99.26,99.26,300.0
99.28,99.33,99.28,99.3,1600.0
99.3,99.33,99.26,99.26,3827.0
99.35,99.35,99.3282,99.3282,648.0
99.3,99.37,99.28,99.37,1100.0
99.28,99.3,99.28,99.3,400.0
99.33,99.33,99.3,99.3,500.0
99.36,99.36,99.31,99.31,565.0
99.34,99.36,99.34,99.36,400.0
99.38,99.41,99.36,99.37,1600.0
99.38,99.4,99.35,99.4,2483.0
99.4163,99.44,99.4,99.4,902.0
99.43,99.43,99.4,99.4,600.0
99.41,99.41,99.41,99.41,844.0
99.405,99.42,99.38,99.4,1600.0
99.415,99.415,99.39,99.39,200.0
99.45,99.45,99.4,99.41,723.0
99.43,99.45,99.43,99.45,704.0
99.46,99.46,99.42,99.42,500.0
99.38,99.44,99.38,99.4,300.0
99.41,99.41,99.37,99.38,710.0
99.41,99.42,99.41,99.42,550.0
99.38,99.39,99.36,99.39,2054.0
99.37,99.4,99.36,99.36,600.0
99.39,99.39,99.39,99.39,100.0
99.355,99.38,99.355,99.38,700.0
99.32,99.34,99.32,99.34,900.0
99.32,99.32,99.31,99.31,225.0
99.33,99.33,99.31,99.31,400.0
99.31,99.32,99.31,99.32,500.0
99.29,99.3,99.29,99.3,1110.0
99.31,99.32,99.29,99.29,800.0
99.26,99.31,99.26,99.31,800.0
99.26,99.26,99.26,99.26,400.0
99.29,99.29,99.27,99.27,782.0
99.29,99.3,99.27,99.29,2116.0
99.28,99.28,99.27,99.27,1200.0
99.24,99.24,99.24,99.24,500.0
99.18,99.21,99.18,99.21,300.0
99.17,99.18,99.17,99.18,400.0
99.27,99.27,99.18,99.18,2216.0
99.25,99.27,99.23,99.23,681.0
99.24,99.24,99.24,99.24,100.0
99.245,99.245,99.245,99.245,100.0
99.21,99.23,99.2,99.23,805.0
99.2,99.215,99.2,99.215,200.0
99.24,99.26,99.23,99.23,842.0
99.25,99.25,99.23,99.23,700.0
99.32,99.32,99.26,99.26,2600.0
99.32,99.325,99.2998,99.2998,1800.0
99.33,99.33,99.325,99.33,1200.0
99.4,99.4,99.35,99.35,2540.0
99.3775,99.39,99.375,99.39,400.0
99.3425,99.37,99.33,99.37,1900.0
99.365,99.365,99.33,99.345,800.0
99.35,99.36,99.33,99.35,900.0
99.3,99.36,99.3,99.35,2300.0
99.335,99.34,99.3,99.3,600.0
99.35,99.35,99.35,99.35,100.0
99.33,99.3551,99.32,99.35,1300.0
99.35,99.35,99.33,99.34,400.0
99.335,99.34,99.335,99.34,400.0
99.31,99.335,99.31,99.335,820.0
99.345,99.345,99.3,99.3,700.0
99.34,99.345,99.32,99.345,1600.0
99.33,99.33,99.32,99.32,400.0
99.315,99.34,99.315,99.34,400.0
99.27,99.28,99.25,99.28,900.0
99.26,99.26,99.26,99.26,237.0
99.26,99.27,99.26,99.26,400.0
99.28,99.28,99.28,99.28,202.0
99.29,99.29,99.29,99.29,300.0
99.2961,99.32,99.29,99.31,1000.0
99.29,99.29,99.29,99.29,100.0
99.26,99.2775,99.26,99.27,300.0
99.26,99.26,99.26,99.26,100.0
99.31,99.33,99.3,99.3,1100.0
99.29,99.29,99.29,99.29,200.0
99.3,99.3,99.3,99.3,496.0
99.31,99.31,99.31,99.31,200.0
99.29,99.32,99.29,99.31,1000.0
99.3,99.3,99.3,99.3,200.0
99.3,99.3,99.29,99.29,1500.0
99.3,99.3,99.3,99.3,200.0
99.29,99.29,99.29,99.29,300.0
99.32,99.32,99.3,99.3,500.0
99.2801,99.32,99.2801,99.32,613.0
99.2976,99.2976,99.2976,99.2976,124.0
99.33,99.33,99.29,99.29,1300.0
99.35,99.35,99.34,99.34,300.0
99.35,99.35,99.35,99.35,100.0
99.355,99.36,99.34,99.34,694.0
99.36,99.36,99.35,99.3501,1149.0
99.38,99.38,99.37,99.37,1400.0
99.38,99.38,99.38,99.38,200.0
99.37,99.37,99.37,99.37,550.0
99.35,99.36,99.35,99.36,300.0
99.38,99.38,99.365,99.37,1100.0
99.36,99.38,99.36,99.38,1100.0
99.37,99.37,99.36,99.36,500.0
99.37,99.38,99.37,99.38,800.0
99.35,99.37,99.34,99.37,1400.0
99.35,99.35,99.35,99.35,200.0
99.355,99.36,99.35,99.36,800.0
