Open,High,Low,Close,Volume
107.77,107.81,107.63,107.63,20084.0
106.89,108.21,106.88,108.11,3000.0
107.1,107.16,106.87,106.87,1400.0
107.1,107.17,107.1,107.13,300.0
106.99,107.02,106.99,107.02,200.0
107.16,107.3,106.99,106.99,2602.0
107.3,107.45,107.26,107.345,1795.0
107.63,107.63,107.34,107.34,2672.0
107.37,107.64,107.35,107.53,6963.0
107.54,107.54,107.3,107.31,2561.0
107.61,107.61,107.61,107.61,100.0
107.63,107.65,107.5,107.555,4771.0
107.76,107.8,107.73,107.73,1000.0
107.958,108.01,107.89,107.9,1106.0
107.86,107.99,107.86,107.99,1047.0
107.88,107.88,107.85,107.86,500.0
107.76,107.965,107.76,107.965,1100.0
107.765,107.8,107.74,107.74,301.0
107.95,107.95,107.74,107.83,3110.0
107.8785,107.8785,107.79,107.79,400.0
107.909,107.909,107.75,107.79,700.0
107.88,107.975,107.88,107.8816,9996.0
107.85,107.96,107.79,107.81,2389.0
107.96,107.97,107.87,107.9,1750.0
107.93,107.93,107.89,107.91,300.0
108.07,108.08,107.94,107.9433,3922.0
108.1,108.14,108.04,108.14,1108.0
108.09,108.14,108.09,108.14,500.0
108.085,108.085,108.085,108.085,100.0
108.04,108.04,108.04,108.04,400.0
108.3,108.4,108.03,108.05,5904.0
108.25,108.4,108.24,108.38,1550.0
108.13,108.17,108.13,108.17,300.0
108.12,108.12,108.12,108.12,200.0
108.05,108.05,108.05,108.05,100.0
108.23,108.23,108.105,108.13,2503.0
108.33,108.33,108.205,108.205,500.0
108.22,108.3,108.22,108.3,600.0
108.245,108.245,108.22,108.22,772.0
108.19,108.19,108.19,108.19,103.0
108.1833,108.1833,108.1833,108.1833,100.0
108.24,108.28,108.19,108.22,1500.0
108.3031,108.3031,108.2698,108.2698,1127.0
108.27,108.3,108.27,108.3,700.0
108.21,108.29,108.21,108.28,4001.0
108.29,108.3,108.25,108.25,1300.0
108.25,108.355,108.16,108.27,5200.0
108.22,108.27,108.13,108.25,9310.0
108.225,108.24,108.2,108.22,1000.0
108.3,108.31,108.29,108.29,300.0
108.19,108.2,108.19,108.2,200.0
108.19,108.21,108.17,108.18,5760.0
108.23,108.23,108.16,108.17,4094.0
108.18,108.18,108.18,108.18,100.0
108.11,108.18,108.11,108.18,1750.0
108.19,108.19,108.12,108.12,1200.0
108.18,108.18,108.18,108.18,100.0
108.16,108.16,108.16,108.16,200.0
108.24,108.24,108.15,108.15,1715.0
108.18,108.25,108.16,108.24,2938.0
108.13,108.13,108.13,108.13,200.0
108.1,108.1,108.1,108.1,100.0
108.1,108.12,108.08,108.08,2000.0
108.2,108.2,108.12,108.12,500.0
108.16,108.16,108.145,108.145,200.0
108.1,108.1895,108.1,108.1895,439.0
108.19,108.19,108.1526,108.1526,1265.0
108.15,108.22,108.15,108.22,1600.0
108.18,108.18,108.09,108.12,1991.0
108.15,108.16,108.14,108.15,1000.0
108.12,108.12,108.12,108.12,100.0
108.21,108.21,108.16,108.16,900.0
108.24,108.25,108.21,108.22,1800.0
108.26,108.27,108.23,108.24,2200.0
108.16,108.24,108.16,108.24,400.0
108.17,108.17,108.145,108.145,200.0
108.13,108.17,108.13,108.17,610.0
108.14,108.14,108.1123,108.12,1791.0
108.1,108.15,108.1,108.15,1000.0
108.14,108.14,108.09,108.1,1824.0
108.16,108.16,108.16,108.16,389.0
108.11,108.17,108.11,108.17,600.0
108.1,108.13,108.1,108.13,200.0
108.05,108.1212,108.05,108.1212,1238.0
108.01,108.08,108.01,108.08,1100.0
