Open,High,Low,Close,Volume
75.83,75.83,75.83,75.83,19161.0
75.57,75.766,75.57,75.72,1100.0
75.79,75.79,75.63,75.745,3998.0
75.9,75.91,75.745,75.745,2600.0
75.61,75.74,75.61,75.72,1300.0
75.37,75.74,75.37,75.61,4000.0
75.4,75.51,75.38,75.38,3500.0
75.24,75.3625,75.23,75.3625,600.0
75.38,75.38,75.28,75.33,6095.0
75.62,75.62,75.33,75.4,6300.0
75.59,75.74,75.52,75.61,4554.0
75.55,75.71,75.47,75.47,6549.0
75.78,75.78,75.59,75.59,1158.0
75.75,75.77,75.67,75.77,4433.0
75.79,75.79,75.59,75.715,4000.0
75.65,75.79,75.58,75.78,6183.0
75.7,75.8,75.58,75.64,11743.0
75.61,75.7,75.6,75.64,4600.0
75.61,75.645,75.54,75.645,1400.0
75.58,75.58,75.47,75.57,4100.0
75.52,75.56,75.49,75.53,4290.0
75.53,75.57,75.49,75.53,2800.0
75.58,75.58,75.47,75.52,9439.0
75.59,75.6,75.55,75.59,2000.0
75.69,75.69,75.55,75.55,7900.0
75.71,75.74,75.69,75.7,3000.0
75.77,75.84,75.69,75.7025,5940.0
75.85,75.85,75.76,75.78,2100.0
75.85,75.86,75.8,75.86,1100.0
75.88,75.95,75.87,75.89,5072.0
75.86,75.94,75.86,75.92,2900.0
75.91,75.92,75.89,75.89,2200.0
75.91,75.91,75.86,75.89,700.0
75.85,75.88,75.78,75.84,11300.0
75.98,75.98,75.9,75.91,1600.0
75.98,75.98,75.94,75.94,500.0
75.89,75.98,75.81,75.98,7000.0
75.9,75.91,75.84,75.88,931.0
75.865,75.91,75.865,75.9,4820.0
75.93,75.93,75.84,75.89,1900.0
75.99,76.0,75.88,75.89,7400.0
76.0,76.1,75.94,76.0,10172.0
76.07,76.11,75.99,75.99,3310.0
76.12,76.12,76.05,76.08,4866.0
76.17,76.17,76.02,76.13,6100.0
76.11,76.1876,76.11,76.18,9250.0
76.08,76.13,76.08,76.11,26081.0
76.07,76.13,76.07,76.12,4185.0
76.01,76.05,76.01,76.04,7800.0
76.08,76.08,76.02,76.03,1600.0
76.09,76.11,76.06,76.0701,4010.0
76.12,76.15,76.07,76.09,4800.0
75.96,76.13,75.96,76.13,33944.0
75.96,76.0399,75.96,75.96,9818.0
75.88,75.96,75.88,75.96,700.0
75.88,75.9221,75.86,75.92,1900.0
75.88,75.9071,75.85,75.9071,1800.0
75.85,75.89,75.811,75.88,15200.0
75.88,75.9,75.87,75.87,500.0
75.85,75.92,75.83,75.92,979.0
75.855,75.88,75.83,75.83,2955.0
75.88,75.88,75.831,75.831,2500.0
75.875,75.89,75.86,75.89,1300.0
75.85,75.9,75.85,75.86,1300.0
75.9,75.95,75.885,75.89,6454.0
75.86,75.88,75.86,75.87,600.0
75.95,75.96,75.89,75.89,2300.0
75.88,75.9,75.88,75.9,300.0
75.88,75.91,75.88,75.91,1600.0
75.89,75.9335,75.88,75.88,2191.0
75.824,75.915,75.77,75.915,2300.0
75.86,75.86,75.76,75.79,1800.0
75.83,75.9,75.83,75.87,800.0
75.87,75.87,75.82,75.82,800.0
75.76,75.84,75.76,75.84,1800.0
75.84,75.84,75.82,75.83,1000.0
75.79,75.892,75.79,75.885,2490.0
75.8,75.83,75.76,75.76,5000.0
75.82,75.82,75.82,75.82,200.0
75.82,75.84,75.77,75.81,1100.0
75.75,75.8,75.75,75.77,800.0
75.8,75.8,75.77,75.78,1200.0
75.795,75.805,75.77,75.78,9107.0
75.79,75.82,75.76,75.82,3580.0
75.82,75.84,75.76,75.785,3631.0
75.81,75.81,75.77,75.81,1631.0
75.8416,75.86,75.8416,75.85,2400.0
75.855,75.87,75.82,75.85,6526.0
75.9248,75.93,75.85,75.87,5500.0
75.88,75.93,75.87,75.92,2800.0
75.99,75.99,75.86,75.87,1800.0
75.96,76.016,75.96,76.0,2300.0
75.98,75.99,75.92,75.99,2300.0
75.96,75.97,75.92,75.97,1100.0
75.92,75.96,75.92,75.96,1900.0
75.9,75.91,75.86,75.9,2212.0
75.87,75.9,75.86,75.9,800.0
75.8725,75.8725,75.831,75.8461,921.0
75.89,75.89,75.83,75.8586,2283.0
75.945,75.97,75.89,75.89,1600.0
75.86,75.94,75.86,75.94,2500.0
75.88,75.88,75.85,75.865,2100.0
75.825,75.87,75.81,75.85,2400.0
75.753,75.825,75.73,75.82,6063.0
75.79,75.79,75.755,75.755,1500.0
75.715,75.76,75.7115,75.76,3045.0
75.759,75.759,75.7,75.72,1125.0
75.7,75.7,75.7,75.7,330.0
75.61,75.725,75.61,75.725,3107.0
75.65,75.65,75.57,75.61,6907.0
75.65,75.66,75.61,75.655,8300.0
75.6001,75.65,75.6001,75.65,4570.0
75.64,75.64,75.61,75.625,2100.0
75.61,75.65,75.59,75.64,8700.0
75.63,75.65,75.6,75.6,5400.0
75.67,75.69,75.65,75.65,3700.0
75.69,75.69,75.62,75.66,10910.0
75.66,75.71,75.66,75.7,4600.0
75.65,75.69,75.62,75.6526,18100.0
75.7,75.73,75.65,75.65,11400.0
75.79,75.79,75.68,75.7,21722.0
75.82,75.85,75.8,75.8,4150.0
75.82,75.84,75.78,75.81,6443.0
75.8,75.85,75.78,75.85,10210.0
75.77,75.81,75.7,75.8,15919.0
75.75,75.77,75.73,75.74,3500.0
75.77,75.8,75.71,75.74,19586.0
75.78,75.78,75.7,75.77,13150.0
75.735,75.8,75.735,75.78,3900.0
75.79,75.8,75.76,75.76,2446.0
75.7755,75.79,75.77,75.775,500.0
75.78,75.8,75.76,75.79,2700.0
75.76,75.76,75.73,75.76,2200.0
75.71,75.81,75.71,75.77,5174.0
75.6,75.74,75.6,75.73,2400.0
75.56,75.68,75.56,75.6,9042.0
75.55,75.6,75.55,75.57,14700.0
75.62,75.62,75.5726,75.58,2560.0
75.64,75.64,75.58,75.62,5731.0
75.57,75.63,75.57,75.62,6800.0
75.57,75.63,75.56,75.56,6900.0
75.645,75.66,75.58,75.59,13506.0
75.59,75.67,75.59,75.67,2400.0
75.61,75.66,75.59,75.6,7200.0
75.64,75.64,75.62,75.6252,965.0
75.63,75.66,75.61,75.65,2200.0
75.6,75.64,75.6,75.64,2603.0
75.57,75.6,75.55,75.6,16153.0
75.57,75.64,75.57,75.57,10301.0
75.58,75.61,75.57,75.61,6194.0
75.6,75.63,75.55,75.57,38476.0
75.52,75.6,75.51,75.6,34526.0
75.58,75.61,75.49,75.53,25566.0
75.5975,75.6,75.56,75.57,9670.0
75.53,75.6,75.52,75.6,20787.0
75.54,75.56,75.51,75.54,12890.0
75.46,75.54,75.46,75.54,6300.0
75.42,75.49,75.42,75.48,2917.0
75.49,75.5,75.42,75.44,13600.0
75.41,75.48,75.41,75.48,23881.0
75.43,75.47,75.4,75.4,28782.0
75.48,75.48,75.41,75.44,34987.0
75.465,75.49,75.43,75.49,13790.0
75.48,75.48,75.45,75.47,12991.0
75.46,75.47,75.39,75.47,16500.0
75.48,75.51,75.46,75.46,7100.0
75.48,75.51,75.46,75.48,7700.0
75.42,75.475,75.42,75.475,11097.0
75.43,75.43,75.39,75.41,1900.0
75.44,75.46,75.43,75.45,3338.0
75.4,75.44,75.37,75.44,11100.0
75.36,75.4,75.35,75.4,13570.0
75.36,75.38,75.36,75.37,1350.0
75.32,75.355,75.29,75.35,17074.0
75.32,75.32,75.32,75.32,200.0
75.34,75.34,75.31,75.34,4200.0
75.398,75.398,75.31,75.32,7955.0
75.38,75.41,75.38,75.4,1834.0
75.375,75.43,75.375,75.43,5200.0
75.34,75.39,75.34,75.39,900.0
75.35,75.35,75.32,75.33,1112.0
75.37,75.38,75.355,75.355,2400.0
75.38,75.38,75.38,75.38,100.0
75.29,75.36,75.29,75.36,4995.0
75.23,75.285,75.23,75.2797,5134.0
75.18,75.235,75.18,75.235,6200.0
75.21,75.22,75.16,75.16,4900.0
75.26,75.31,75.22,75.225,3834.0
75.23,75.25,75.23,75.25,800.0
75.26,75.28,75.25,75.26,1800.0
75.27,75.29,75.25,75.29,2200.0
75.26,75.3,75.25,75.29,2600.0
75.24,75.28,75.24,75.26,2400.0
75.2,75.22,75.2,75.22,2650.0
75.24,75.24,75.21,75.21,700.0
75.27,75.29,75.25,75.25,4953.0
75.19,75.26,75.18,75.26,5243.0
75.235,75.25,75.19,75.195,2083.0
75.23,75.23,75.22,75.22,325.0
