Open,High,Low,Close,Volume
94.45,94.48,94.45,94.48,8551.0
94.32,94.425,94.32,94.42,600.0
94.29,94.33,94.22,94.33,1000.0
94.27,94.44,94.27,94.32,2550.0
94.36,94.36,94.29,94.29,730.0
94.31,94.31,94.31,94.31,100.0
94.45,94.45,94.28,94.305,1400.0
94.35,94.4,94.35,94.4,1800.0
94.38,94.43,94.34,94.38,2467.0
94.43,94.47,94.4,94.44,1600.0
94.42,94.49,94.42,94.45,3161.0
94.38,94.4,94.3037,94.4,2086.0
94.4,94.4,94.33,94.34,2294.0
94.44,94.49,94.44,94.465,800.0
94.47,94.47,94.4,94.44,1700.0
94.55,94.58,94.45,94.45,2364.0
94.46,94.53,94.46,94.5,1000.0
94.58,94.58,94.53,94.53,800.0
94.62,94.62,94.53,94.53,2071.0
94.65,94.68,94.605,94.63,2900.0
94.64,94.655,94.64,94.64,1366.0
94.55,94.67,94.55,94.66,3527.0
94.51,94.56,94.51,94.55,1200.0
94.54,94.54,94.48,94.51,1835.0
94.53,94.55,94.53,94.54,1078.0
94.55,94.58,94.53,94.53,3421.0
94.64,94.64,94.5601,94.562,2829.0
94.55,94.64,94.52,94.63,4912.0
94.52,94.57,94.52,94.555,1800.0
94.57,94.58,94.51,94.51,2500.0
94.56,94.56,94.54,94.55,400.0
94.58,94.58,94.56,94.57,300.0
94.6,94.64,94.58,94.58,3331.0
94.55,94.59,94.55,94.57,3318.0
94.605,94.63,94.55,94.55,4569.0
94.55,94.63,94.55,94.58,7866.0
94.59,94.61,94.55,94.57,3852.0
94.59,94.64,94.58,94.58,7894.0
94.63,94.65,94.56,94.57,13609.0
94.65,94.66,94.63,94.63,4100.0
94.67,94.68,94.67,94.67,1298.0
94.67,94.7,94.64,94.68,4906.0
94.65,94.7,94.65,94.68,2268.0
94.57,94.62,94.57,94.61,3700.0
94.67,94.71,94.61,94.61,3939.0
94.63,94.6686,94.63,94.6686,1354.0
94.67,94.68,94.62,94.65,2369.0
94.71,94.71,94.66,94.67,1965.0
94.7,94.71,94.685,94.7,1940.0
94.69,94.72,94.69,94.71,1600.0
