Open,High,Low,Close,Volume
70.0,70.0,69.98,69.98,24435.0
69.9,69.975,69.9,69.96,666.0
70.02,70.14,69.93,69.93,2978.0
70.07,70.1,70.02,70.1,800.0
70.015,70.075,70.01,70.03,1629.0
70.03,70.03,69.99,70.01,900.0
69.93,69.99,69.8,69.99,900.0
69.78,69.78,69.78,69.78,100.0
69.76,69.87,69.76,69.87,1100.0
69.88,69.88,69.84,69.84,600.0
69.805,69.86,69.78,69.85,3823.0
69.82,69.82,69.82,69.82,100.0
69.75,69.82,69.75,69.82,2644.0
69.7,69.75,69.66,69.75,4000.0
69.73,69.73,69.68,69.7,1300.0
69.64,69.715,69.64,69.71,800.0
69.6,69.63,69.59,69.615,2400.0
69.62,69.62,69.56,69.57,1900.0
69.69,69.69,69.64,69.64,700.0
69.69,69.74,69.69,69.69,800.0
69.73,69.745,69.7,69.7,2800.0
69.61,69.69,69.58,69.69,4000.0
69.69,69.69,69.64,69.64,400.0
69.7051,69.72,69.7,69.7,800.0
69.66,69.73,69.66,69.73,3100.0
69.67,69.67,69.64,69.65,1800.0
69.59,69.675,69.59,69.67,4600.0
69.6,69.6,69.57,69.57,1855.0
69.615,69.615,69.59,69.59,300.0
69.69,69.7,69.6495,69.66,1800.0
69.77,69.77,69.68,69.71,2300.0
69.6,69.755,69.6,69.755,3654.0
69.58,69.595,69.58,69.595,1600.0
69.57,69.61,69.56,69.59,3120.0
69.56,69.57,69.55,69.5571,1200.0
69.52,69.555,69.51,69.54,2212.0
69.53,69.54,69.51,69.52,2900.0
69.46,69.53,69.46,69.53,1999.0
69.47,69.47,69.44,69.44,1519.0
69.53,69.53,69.48,69.48,900.0
69.52,69.56,69.52,69.548,2500.0
69.48,69.51,69.48,69.51,1600.0
69.5,69.5,69.49,69.49,600.0
69.56,69.56,69.51,69.51,800.0
69.6,69.6,69.54,69.57,1900.0
69.57,69.6,69.56,69.6,1700.0
69.545,69.59,69.53,69.56,5600.0
69.54,69.54,69.52,69.52,500.0
69.51,69.53,69.51,69.53,700.0
69.5,69.51,69.5,69.51,300.0
69.47,69.5,69.47,69.5,600.0
69.42,69.46,69.42,69.46,400.0
69.4576,69.46,69.4576,69.46,1250.0
69.52,69.52,69.47,69.47,2199.0
69.56,69.56,69.52,69.52,700.0
69.57,69.57,69.57,69.57,100.0
69.52,69.57,69.52,69.57,4148.0
69.5,69.51,69.5,69.51,200.0
69.49,69.5,69.485,69.5,2000.0
69.46,69.48,69.45,69.48,1000.0
69.46,69.47,69.45,69.45,1200.0
69.47,69.47,69.455,69.455,800.0
69.478,69.478,69.478,69.478,100.0
69.4813,69.4813,69.4813,69.4813,426.0
69.54,69.54,69.46,69.46,1200.0
69.535,69.54,69.535,69.54,1300.0
69.5,69.53,69.5,69.53,4000.0
69.54,69.54,69.51,69.51,2100.0
69.56,69.56,69.54,69.55,900.0
69.585,69.585,69.565,69.565,4805.0
69.57,69.585,69.57,69.58,3500.0
69.59,69.59,69.565,69.565,1900.0
69.595,69.6,69.58,69.585,7180.0
69.65,69.665,69.6,69.6,9502.0
69.65,69.685,69.63,69.645,10509.0
69.67,69.7,69.65,69.65,4760.0
69.715,69.72,69.66,69.66,4381.0
69.69,69.72,69.68,69.715,3597.0
69.71,69.71,69.665,69.69,3655.0
69.62,69.73,69.62,69.72,8876.0
69.58,69.66,69.57,69.63,7507.0
69.52,69.57,69.51,69.57,5396.0
69.44,69.5,69.44,69.5,1100.0
69.4,69.44,69.4,69.44,4348.0
69.43,69.43,69.4,69.4,2485.0
69.42,69.43,69.41,69.41,1200.0
69.36,69.4,69.36,69.4,1069.0
69.34,69.36,69.32,69.36,2550.0
69.37,69.37,69.34,69.35,1099.0
69.42,69.43,69.38,69.39,1820.0
69.39,69.41,69.39,69.41,300.0
69.43,69.43,69.42,69.42,200.0
69.41,69.41,69.41,69.41,500.0
69.39,69.39,69.39,69.39,500.0
69.425,69.425,69.4,69.4,700.0
69.42,69.42,69.4,69.41,1000.0
69.39,69.39,69.39,69.39,100.0
69.41,69.41,69.39,69.39,700.0
69.41,69.41,69.39,69.41,1600.0
69.41,69.41,69.4,69.41,1588.0
69.41,69.41,69.41,69.41,700.0
69.4,69.41,69.395,69.41,1700.0
69.38,69.38,69.38,69.38,100.0
69.35,69.3799,69.35,69.36,1850.0
69.36,69.36,69.34,69.36,1700.0
69.37,69.38,69.36,69.37,1700.0
69.38,69.38,69.37,69.37,400.0
69.39,69.415,69.36,69.4,7400.0
69.42,69.42,69.39,69.41,1200.0
69.43,69.43,69.42,69.42,800.0
69.45,69.46,69.43,69.43,800.0
69.45,69.45,69.44,69.44,1300.0
69.4,69.46,69.4,69.43,6009.0
69.39,69.4,69.39,69.4,400.0
69.37,69.37,69.37,69.37,300.0
69.38,69.38,69.35,69.37,1304.0
69.41,69.41,69.41,69.41,100.0
69.34,69.38,69.34,69.38,900.0
69.34,69.345,69.33,69.34,600.0
69.355,69.355,69.33,69.33,14326.0
69.355,69.355,69.355,69.355,3833.0
69.36,69.37,69.355,69.355,3700.0
69.36,69.376,69.35,69.376,1700.0
69.3514,69.36,69.34,69.355,600.0
69.35,69.35,69.34,69.35,1594.0
69.3393,69.35,69.33,69.35,1458.0
69.335,69.35,69.33,69.35,1508.0
69.335,69.335,69.335,69.335,300.0
69.37,69.37,69.34,69.34,3100.0
69.4,69.4,69.38,69.38,500.0
69.39,69.4,69.39,69.4,700.0
69.37,69.3856,69.37,69.3856,200.0
69.38,69.38,69.38,69.38,100.0
69.38,69.38,69.38,69.38,100.0
69.36,69.39,69.36,69.39,2207.0
69.36,69.36,69.36,69.36,200.0
69.4,69.4,69.37,69.37,970.0
69.36,69.4,69.36,69.4,1300.0
69.38,69.38,69.37,69.37,401.0
69.4,69.4,69.4,69.4,100.0
69.4,69.41,69.4,69.41,800.0
69.42,69.42,69.41,69.41,400.0
69.41,69.42,69.41,69.42,600.0
69.43,69.43,69.4,69.4,1427.0
69.47,69.47,69.44,69.44,939.0
69.45,69.46,69.45,69.46,959.0
69.46,69.46,69.46,69.46,100.0
69.44,69.44,69.42,69.42,300.0
69.44,69.44,69.43,69.44,688.0
69.43,69.45,69.43,69.4402,904.0
69.4405,69.4405,69.42,69.42,1110.0
69.42,69.43,69.42,69.43,500.0
69.41,69.41,69.41,69.41,500.0
69.4,69.4,69.4,69.4,400.0
69.37,69.38,69.37,69.38,200.0
69.4,69.4,69.37,69.38,800.0
69.39,69.39,69.39,69.39,100.0
69.42,69.42,69.41,69.41,200.0
69.4,69.43,69.4,69.43,1357.0
69.38,69.38,69.38,69.38,400.0
69.36,69.36,69.35,69.35,200.0
69.36,69.37,69.36,69.37,500.0
69.42,69.42,69.38,69.38,1200.0
69.41,69.41,69.41,69.41,400.0
69.44,69.44,69.41,69.41,400.0
69.43,69.43,69.43,69.43,900.0
69.45,69.47,69.45,69.45,1183.0
69.43,69.43,69.43,69.43,200.0
69.43,69.43,69.43,69.43,100.0
69.44,69.44,69.44,69.44,250.0
69.43,69.44,69.43,69.44,200.0
69.42,69.44,69.42,69.44,450.0
69.42,69.42,69.42,69.42,500.0
69.42,69.42,69.42,69.42,100.0
69.44,69.44,69.4399,69.4399,506.0
69.47,69.47,69.44,69.44,300.0
69.5,69.5,69.5,69.5,100.0
69.47,69.5,69.47,69.5,200.0
69.47,69.48,69.47,69.48,800.0
69.46,69.46,69.46,69.46,100.0
69.45,69.45,69.43,69.45,600.0
