Open,High,Low,Close,Volume
87.3,87.3,87.3,87.3,24782.0
87.41,87.41,87.29,87.33,400.0
87.42,87.45,87.36,87.36,900.0
87.4,87.55,87.25,87.33,7165.0
87.315,87.49,87.315,87.49,200.0
87.28,87.5,87.18,87.47,4978.0
87.5,87.5,87.32,87.32,1629.0
87.19,87.44,87.19,87.42,4724.0
87.245,87.245,87.245,87.245,300.0
87.165,87.245,87.165,87.245,400.0
87.24,87.3,87.24,87.24,400.0
87.11,87.26,87.11,87.24,900.0
87.16,87.16,87.1,87.1,1700.0
87.29,87.33,87.211,87.25,6900.0
87.4,87.5,87.4,87.5,3550.0
87.43,87.49,87.4,87.49,2325.0
87.46,87.46,87.4,87.43,2574.0
87.43,87.55,87.4,87.55,3200.0
87.53,87.53,87.44,87.44,1300.0
87.43,87.53,87.41,87.47,1996.0
87.325,87.41,87.23,87.41,5374.0
87.32,87.41,87.245,87.29,12488.0
87.33,87.4,87.28,87.29,10481.0
87.4,87.4,87.32,87.37,1300.0
87.43,87.43,87.35,87.4,400.0
87.46,87.46,87.44,87.44,600.0
87.42,87.53,87.42,87.51,2400.0
87.425,87.46,87.425,87.45,1400.0
87.46,87.46,87.42,87.42,700.0
87.52,87.52,87.48,87.48,400.0
87.46,87.54,87.43,87.54,1700.0
87.51,87.51,87.41,87.45,3478.0
87.41,87.49,87.41,87.49,1700.0
87.49,87.49,87.39,87.41,2000.0
87.52,87.59,87.52,87.52,1500.0
87.57,87.57,87.5,87.5001,3000.0
87.5782,87.614,87.54,87.56,900.0
87.56,87.56,87.56,87.56,600.0
87.56,87.56,87.51,87.56,1635.0
87.545,87.57,87.54,87.56,2309.0
87.59,87.59,87.53,87.545,1450.0
87.54,87.598,87.54,87.598,900.0
87.51,87.54,87.51,87.54,1061.0
87.52,87.55,87.52,87.54,1400.0
87.475,87.52,87.45,87.52,1100.0
87.49,87.53,87.49,87.5,1900.0
87.54,87.54,87.48,87.48,600.0
87.58,87.6299,87.53,87.55,3118.0
87.61,87.61,87.59,87.6,1000.0
87.58,87.59,87.58,87.59,400.0
87.57,87.6,87.545,87.59,3901.0
87.61,87.63,87.5501,87.5501,2000.0
87.735,87.75,87.61,87.63,4464.0
87.755,87.77,87.69,87.77,4315.0
87.705,87.75,87.705,87.75,700.0
87.6883,87.6883,87.67,87.68,5388.0
87.66,87.72,87.65,87.6775,4620.0
87.64,87.64,87.64,87.64,200.0
87.5901,87.67,87.5901,87.64,2700.0
87.71,87.74,87.61,87.61,4100.0
87.77,87.8,87.69,87.69,2200.0
87.74,87.75,87.7,87.74,2050.0
87.72,87.74,87.72,87.74,1900.0
87.76,87.77,87.72,87.74,21250.0
87.7,87.75,87.7,87.74,1900.0
87.76,87.78,87.7,87.7,2600.0
87.77,87.77,87.74,87.74,1100.0
87.8,87.81,87.76,87.76,1904.0
87.86,87.88,87.79,87.83,4475.0
87.94,87.94,87.84,87.85,5584.0
87.93,87.96,87.91,87.91,6600.0
87.98,88.0,87.93,87.94,4190.0
87.98,87.99,87.94,87.985,3296.0
88.02,88.08,87.975,87.99,4700.0
88.02,88.02,87.975,87.98,2257.0
88.015,88.12,88.015,88.04,2678.0
88.06,88.06,88.0262,88.0262,1300.0
88.03,88.1,88.025,88.07,1900.0
