Open,High,Low,Close,Volume
76.25,76.275,76.16,76.25,24359.0
76.3,76.3,76.1,76.25,6000.0
76.15,76.3444,76.15,76.3,1513.0
76.13,76.28,76.13,76.179,6705.0
76.13,76.16,76.08,76.1348,837.0
76.19,76.23,76.11,76.15,3174.0
76.09,76.121,76.09,76.12,400.0
76.22,76.22,76.07,76.07,3434.0
76.24,76.34,76.22,76.28,1357.0
76.24,76.3,76.24,76.2575,1654.0
76.3,76.3,76.15,76.2,2055.0
76.24,76.3,76.23,76.29,1990.0
76.22,76.23,76.15,76.22,4473.0
76.32,76.33,76.21,76.23,5439.0
76.33,76.35,76.26,76.32,17206.0
76.34,76.37,76.29,76.32,4103.0
76.34,76.37,76.29,76.33,6987.0
76.3,76.33,76.28,76.33,6111.0
76.41,76.42,76.29,76.3,3400.0
76.43,76.5,76.41,76.45,3217.0
76.45,76.45,76.4,76.41,2300.0
76.37,76.49,76.37,76.4566,2800.0
76.33,76.39,76.33,76.38,4653.0
76.38,76.38,76.31,76.31,8733.0
76.44,76.49,76.39,76.39,5490.0
76.4,76.5,76.39,76.44,7147.0
76.39,76.41,76.38,76.4,19960.0
76.42,76.43,76.39,76.39,4800.0
76.4,76.42,76.39,76.41,6722.0
76.41,76.411,76.39,76.4,5973.0
76.5,76.5,76.41,76.42,3615.0
76.5,76.54,76.49,76.52,1712.0
76.415,76.48,76.4,76.48,7800.0
76.41,76.42,76.35,76.41,35076.0
76.45,76.47,76.42,76.42,4283.0
76.42,76.48,76.42,76.46,3827.0
76.52,76.52,76.42,76.42,3917.0
76.5,76.52,76.4873,76.52,1712.0
76.5,76.5,76.46,76.4812,7650.0
76.54,76.54,76.51,76.51,2439.0
76.5,76.55,76.49,76.55,3164.0
76.44,76.5,76.44,76.5,3200.0
76.451,76.451,76.42,76.42,2653.0
76.44,76.47,76.43,76.465,3383.0
76.45,76.49,76.45,76.47,2465.0
76.48,76.52,76.445,76.445,3656.0
76.5,76.5,76.45,76.47,2362.0
76.53,76.53,76.49,76.51,1500.0
76.532,76.55,76.51,76.52,3050.0
76.53,76.57,76.52,76.545,3086.0
76.58,76.59,76.53,76.54,3300.0
76.55,76.58,76.545,76.58,2415.0
76.65,76.65,76.54,76.55,3044.0
76.7,76.71,76.6,76.64,12276.0
76.72,76.72,76.67,76.7,1820.0
76.7405,76.75,76.71,76.71,3300.0
76.71,76.76,76.71,76.75,2900.0
76.6998,76.6998,76.66,76.69,1942.0
76.73,76.73,76.71,76.71,1200.0
76.73,76.73,76.73,76.73,1400.0
76.7,76.72,76.68,76.72,1042.0
76.67,76.7,76.67,76.7,1300.0
76.64,76.67,76.64,76.67,800.0
76.67,76.68,76.62,76.65,4069.0
76.67,76.71,76.65,76.69,2316.0
76.66,76.67,76.65,76.66,1386.0
76.63,76.66,76.62,76.66,4400.0
76.62,76.64,76.62,76.64,2101.0
76.61,76.62,76.6,76.62,1500.0
76.66,76.66,76.63,76.63,1000.0
76.6,76.66,76.6,76.66,1800.0
76.58,76.61,76.57,76.61,5032.0
76.59,76.6,76.58,76.58,1500.0
76.58,76.59,76.54,76.59,3179.0
76.63,76.65,76.61,76.61,3100.0
76.65,76.66,76.64,76.64,900.0
76.62,76.665,76.62,76.66,2300.0
76.67,76.67,76.62,76.62,1900.0
76.68,76.68,76.66,76.6703,2057.0
76.66,76.67,76.645,76.67,1958.0
