Open,High,Low,Close,Volume
99.5,99.5,99.49,99.5,121856.0
98.25,99.55,98.25,99.4,75096.0
98.52,99.0,97.8915,98.345,65180.0
98.43,98.74,97.6,98.585,39437.0
98.445,98.69,98.12,98.49,36784.0
98.07,98.67,98.01,98.53,62276.0
97.67,98.1,97.63,98.07,16747.0
98.005,98.25,97.61,97.67,48614.0
97.81,98.04,97.69,98.005,39042.0
97.45,97.88,97.3,97.8,42461.0
97.38,97.55,97.25,97.46,36153.0
97.11,97.335,96.86,97.32,31260.0
97.19,97.21,97.0,97.09,8752.0
97.1,97.28,97.0,97.28,16960.0
97.17,97.26,97.04,97.05,6587.0
97.255,97.34,97.1,97.19,12133.0
97.17,97.38,97.12,97.32,30606.0
97.21,97.31,97.21,97.21,8120.0
97.445,97.54,97.17,97.26,39166.0
97.77,97.77,97.45,97.5,17310.0
97.5,98.01,97.5,97.78,28171.0
97.42,97.57,97.4,97.53,19311.0
97.31,97.5,97.31,97.4,9504.0
97.04,97.29,97.02,97.23,14172.0
97.09,97.2,97.06,97.09,13978.0
97.17,97.22,97.01,97.07,19885.0
96.9591,97.24,96.91,97.17,39401.0
96.95,97.03,96.89,96.95,14300.0
96.6,96.89,96.55,96.89,20543.0
96.76,96.89,96.58,96.62,23811.0
96.98,97.065,96.7,96.84,19560.0
97.29,97.29,96.825,96.9,10800.0
97.361,97.63,97.22,97.23,21462.0
97.306,97.37,97.28,97.37,7254.0
97.44,97.67,97.31,97.31,21911.0
97.415,97.52,97.36,97.36,9595.0
97.32,97.44,97.3,97.44,28933.0
97.51,97.51,97.32,97.35,20783.0
97.51,97.58,97.43,97.515,24370.0
97.715,97.75,97.52,97.6,7861.0
97.69,97.75,97.46,97.75,12662.0
97.53,97.75,97.53,97.67,6548.0
97.35,97.6019,97.35,97.42,9902.0
97.16,97.365,97.1,97.34,12800.0
96.93,97.21,96.89,97.16,21662.0
96.89,97.1,96.86,96.92,4306.0
96.89,96.995,96.85,96.91,9970.0
97.042,97.08,96.85,96.92,14613.0
97.14,97.14,96.97,97.03,5347.0
97.12,97.18,97.05,97.1,11700.0
97.12,97.18,97.04,97.115,8061.0
97.11,97.11,97.01,97.09,9105.0
97.01,97.24,97.01,97.11,9650.0
97.065,97.1,96.96,97.082,13150.0
97.16,97.25,97.07,97.101,18500.0
97.23,97.23,97.12,97.19,5918.0
97.3,97.54,97.215,97.24,24681.0
97.32,97.38,97.19,97.34,18642.0
97.3393,97.375,97.285,97.305,4300.0
97.39,97.47,97.31,97.315,9945.0
97.34,97.405,97.32,97.39,6255.0
97.34,97.34,97.23,97.27,9484.0
97.13,97.31,97.13,97.305,9200.0
97.37,97.37,97.09,97.14,13513.0
97.34,97.36,97.29,97.36,4383.0
97.375,97.42,97.26,97.31,8881.0
97.78,97.78,97.36,97.375,21824.0
97.68,97.78,97.63,97.7404,4248.0
