Open,High,Low,Close,Volume
35.18,35.18,35.18,35.18,15328.0
35.13,35.17,35.07,35.07,2050.0
35.01,35.13,35.0,35.13,4566.0
35.06,35.08,35.044,35.08,5500.0
35.09,35.1,35.09,35.1,2100.0
34.99,35.05,34.99,35.05,900.0
35.07,35.07,34.97,34.97,6930.0
35.05,35.05,35.02,35.04,1270.0
35.17,35.17,35.06,35.07,9960.0
35.1592,35.1592,35.1592,35.1592,300.0
35.14,35.19,35.14,35.17,9261.0
35.1,35.14,35.06,35.14,2700.0
35.11,35.15,35.11,35.13,3954.0
35.12,35.13,35.11,35.12,2781.0
35.09,35.11,35.09,35.11,1145.0
35.05,35.08,35.01,35.08,3974.0
35.02,35.05,34.99,35.05,7240.0
34.99,35.02,34.99,35.01,4328.0
35.0,35.01,34.9701,34.98,12600.0
35.06,35.07,35.02,35.02,6199.0
35.08,35.09,35.06,35.06,4500.0
35.07,35.09,35.0625,35.0701,7221.0
35.13,35.13,35.09,35.09,2181.0
35.22,35.23,35.13,35.13,11300.0
35.2,35.23,35.17,35.22,13820.0
35.24,35.27,35.22,35.22,5330.0
35.22,35.23,35.21,35.22,4900.0
35.28,35.28,35.22,35.22,3600.0
35.245,35.28,35.245,35.28,5924.0
35.23,35.25,35.21,35.24,2100.0
35.22,35.24,35.2,35.24,4538.0
35.23,35.27,35.225,35.23,7462.0
35.23,35.24,35.21,35.23,5239.0
35.25,35.26,35.23,35.24,1600.0
35.2,35.25,35.2,35.25,2600.0
35.2,35.24,35.2,35.21,4500.0
35.23,35.23,35.19,35.2,9741.0
35.23,35.24,35.21,35.23,8500.0
35.24,35.24,35.2,35.22,25748.0
35.27,35.27,35.24,35.24,14304.0
35.27,35.28,35.27,35.27,4100.0
35.23,35.27,35.21,35.26,9341.0
35.16,35.22,35.16,35.22,2740.0
35.13,35.17,35.13,35.16,3300.0
35.15,35.16,35.1264,35.13,8100.0
35.15,35.15,35.15,35.15,3200.0
35.16,35.18,35.15,35.15,8276.0
35.14,35.15,35.13,35.15,3531.0
35.11,35.14,35.11,35.14,1700.0
35.12,35.13,35.1088,35.11,5491.0
35.12,35.13,35.11,35.11,1600.0
35.09,35.12,35.09,35.12,8012.0
35.07,35.09,35.07,35.09,2900.0
35.075,35.08,35.065,35.07,3150.0
35.06,35.075,35.06,35.07,5925.0
35.06,35.07,35.05,35.07,2243.0
35.08,35.08,35.07,35.07,1000.0
35.08,35.09,35.08,35.09,2987.0
35.09,35.09,35.09,35.09,100.0
35.075,35.086,35.07,35.086,2700.0
35.06,35.07,35.06,35.07,200.0
35.02,35.06,35.02,35.06,4000.0
35.03,35.04,35.02,35.02,1900.0
35.0,35.02,35.0,35.02,2200.0
35.01,35.01,35.0,35.0,2700.0
35.02,35.03,35.01,35.02,1100.0
35.01,35.035,35.01,35.03,800.0
35.06,35.06,35.02,35.02,1800.0
35.05,35.07,35.05,35.06,2700.0
35.04,35.05,35.04,35.04,1400.0
35.01,35.06,35.01,35.06,2300.0
35.02,35.05,35.0,35.02,15417.0
35.02,35.02,35.0,35.01,10164.0
35.05,35.05,35.01,35.02,2875.0
35.08,35.08,35.04,35.05,5950.0
35.12,35.12,35.07,35.08,5600.0
35.13,35.14,35.12,35.13,3028.0
35.14,35.15,35.13,35.13,911.0
35.1,35.13,35.09,35.13,3000.0
35.09,35.1,35.09,35.1,1200.0
35.05,35.07,35.05,35.07,1221.0
35.08,35.08,35.06,35.06,1400.0
35.1,35.105,35.09,35.09,1624.0
35.09,35.095,35.09,35.095,1095.0
35.085,35.095,35.08,35.09,2288.0
35.06,35.08,35.05,35.08,1900.0
35.04,35.05,35.04,35.05,200.0
35.03,35.03,35.025,35.025,200.0
35.04,35.04,35.02,35.02,2085.0
35.02,35.03,35.01,35.03,2132.0
34.99,35.02,34.99,35.02,1800.0
35.005,35.01,34.975,34.98,2700.0
34.97,35.0,34.97,35.0,2001.0
34.95,34.98,34.95,34.98,1900.0
34.91,34.94,34.89,34.94,3900.0
34.91,34.9232,34.9,34.9,2948.0
34.91,34.91,34.88,34.9,3748.0
34.88,34.915,34.87,34.91,2200.0
34.87,34.88,34.8658,34.87,2752.0
34.95,34.95,34.88,34.88,14291.0
34.98,34.98,34.95,34.95,11700.0
34.95,34.985,34.95,34.98,3937.0
34.93,34.975,34.93,34.945,4900.0
34.94,34.94,34.93,34.93,623.0
34.92,34.935,34.92,34.93,1346.0
34.93,34.93,34.92,34.92,722.0
34.92,34.93,34.92,34.93,2202.0
34.93,34.93,34.92,34.92,700.0
34.94,34.94,34.93,34.93,1400.0
34.93,34.94,34.93,34.94,2900.0
34.95,34.95,34.94,34.94,1048.0
34.94,34.95,34.939,34.95,1900.0
34.94,34.94,34.93,34.93,1300.0
34.97,34.97,34.95,34.95,900.0
34.98,34.995,34.97,34.98,1500.0
34.99,34.99,34.975,34.975,1200.0
34.98,35.0,34.98,35.0,2500.0
34.985,35.0,34.98,34.98,13555.0
34.97,34.98,34.97,34.98,1200.0
34.98,34.98,34.97,34.97,500.0
34.98,34.98,34.98,34.98,100.0
34.965,34.985,34.965,34.985,1561.0
34.97,34.98,34.97,34.97,600.0
34.9699,34.97,34.965,34.97,2200.0
34.95,34.97,34.945,34.97,2800.0
34.94,34.945,34.94,34.94,1000.0
34.96,34.96,34.94,34.94,1452.0
34.96,34.96,34.94,34.95,2700.0
34.98,34.98,34.965,34.97,1100.0
34.96,34.98,34.955,34.98,2900.0
34.96,34.96,34.96,34.96,2189.0
34.96,34.9601,34.96,34.96,2100.0
34.96,34.96,34.955,34.96,400.0
34.96,34.965,34.95,34.96,2990.0
