Open,High,Low,Close,Volume
71.22,71.22,71.22,71.22,26274.0
71.37,71.56,71.32,71.4,5590.0
71.38,71.51,71.35,71.36,2500.0
71.27,71.38,71.24,71.37,3401.0
71.15,71.3101,71.13,71.27,3974.0
71.14,71.2199,71.14,71.15,5562.0
71.1399,71.16,71.1,71.14,5620.0
71.15,71.18,71.1,71.11,4065.0
71.18,71.18,71.12,71.12,4047.0
71.19,71.2299,71.18,71.18,1610.0
71.17,71.216,71.15,71.216,1228.0
71.16,71.18,71.16,71.17,1908.0
71.1104,71.18,71.1104,71.16,1800.0
71.2199,71.2199,71.08,71.1,7926.0
71.25,71.25,71.171,71.2,11200.0
71.26,71.28,71.23,71.23,6800.0
71.31,71.33,71.26,71.26,3700.0
71.43,71.44,71.27,71.29,5711.0
71.42,71.43,71.4001,71.402,600.0
71.49,71.52,71.43,71.43,6485.0
71.58,71.58,71.49,71.495,6119.0
71.55,71.56,71.52,71.56,1300.0
71.53,71.57,71.5119,71.5119,1230.0
71.54,71.57,71.52,71.52,790.0
71.5725,71.59,71.56,71.56,4621.0
71.58,71.58,71.57,71.57,1000.0
71.565,71.565,71.54,71.54,850.0
71.58,71.59,71.545,71.58,6226.0
71.56,71.56,71.55,71.55,200.0
71.65,71.65,71.59,71.59,4514.0
71.62,71.7,71.61,71.65,6222.0
71.5772,71.61,71.57,71.61,2091.0
71.58,71.6,71.56,71.6,700.0
71.62,71.65,71.56,71.59,10657.0
71.61,71.61,71.6,71.6,1501.0
71.6,71.63,71.58,71.61,6088.0
71.68,71.68,71.58,71.59,7959.0
71.61,71.68,71.61,71.67,3881.0
71.5825,71.61,71.58,71.61,3369.0
71.63,71.63,71.59,71.59,2300.0
71.66,71.67,71.6,71.64,6388.0
71.65,71.68,71.65,71.66,3099.0
71.65,71.65,71.64,71.64,800.0
71.6999,71.7,71.66,71.66,5668.0
71.65,71.7,71.65,71.7,2001.0
71.66,71.67,71.66,71.66,2317.0
