Open,High,Low,Close,Volume
12.49,12.5,12.47,12.49,538324.0
12.47,12.49,12.44,12.485,221242.0
12.47,12.47,12.45,12.47,212982.0
12.44,12.47,12.44,12.465,96624.0
12.47,12.47,12.44,12.44,63162.0
12.4433,12.465,12.44,12.46,61205.0
12.455,12.46,12.44,12.445,36222.0
12.455,12.46,12.45,12.455,33371.0
12.45,12.46,12.44,12.4527,135559.0
12.44,12.46,12.43,12.455,188792.0
12.43,12.45,12.43,12.44,69245.0
12.44,12.45,12.43,12.43,185846.0
12.445,12.445,12.43,12.445,49870.0
12.44,12.45,12.43,12.44,161956.0
12.45,12.45,12.43,12.44,41777.0
12.459,12.459,12.44,12.44,67852.0
12.455,12.47,12.45,12.455,115324.0
12.48,12.48,12.45,12.45,180999.0
12.4745,12.48,12.47,12.48,68744.0
12.485,12.49,12.47,12.48,75146.0
12.485,12.49,12.48,12.485,123007.0
12.4902,12.5,12.48,12.49,79982.0
12.495,12.5,12.49,12.5,109081.0
12.49,12.51,12.475,12.495,506939.0
12.48,12.49,12.47,12.49,632449.0
12.48,12.48,12.47,12.475,66426.0
12.475,12.5,12.47,12.475,409377.0
12.48,12.5,12.47,12.475,715231.0
12.485,12.5,12.47,12.48,467659.0
12.49,12.506,12.49,12.5,30869.0
12.505,12.505,12.49,12.5,46604.0
12.515,12.52,12.5,12.5,87664.0
12.52,12.52,12.51,12.515,22786.0
12.505,12.53,12.5,12.515,224685.0
12.52,12.525,12.5,12.505,141846.0
12.525,12.528,12.52,12.52,42528.0
12.53,12.53,12.52,12.524,88247.0
12.535,12.54,12.52,12.525,119859.0
12.535,12.54,12.53,12.535,36634.0
12.535,12.54,12.53,12.53,127800.0
12.535,12.54,12.53,12.535,36175.0
12.53,12.54,12.52,12.5343,96490.0
12.5399,12.54,12.53,12.535,9418.0
12.53,12.54,12.53,12.53,11849.0
12.5334,12.54,12.52,12.535,160381.0
12.535,12.54,12.53,12.535,14017.0
12.535,12.54,12.53,12.53,15817.0
12.5361,12.54,12.52,12.53,168806.0
12.54,12.54,12.53,12.5301,27256.0
12.52,12.54,12.52,12.54,113651.0
12.5231,12.54,12.52,12.52,124187.0
12.5325,12.54,12.5236,12.53,51059.0
12.533,12.54,12.53,12.535,89385.0
12.5322,12.54,12.53,12.53,95570.0
12.525,12.54,12.52,12.53,67928.0
12.54,12.55,12.52,12.52,285205.0
12.55,12.55,12.54,12.544,61176.0
12.545,12.56,12.54,12.55,209644.0
12.54,12.55,12.54,12.544,11413.0
12.545,12.55,12.54,12.54,16887.0
12.545,12.5485,12.54,12.545,10437.0
12.545,12.56,12.54,12.545,205663.0
12.5451,12.55,12.54,12.549,22024.0
12.545,12.55,12.535,12.54,88425.0
12.535,12.55,12.535,12.545,58228.0
12.52,12.54,12.52,12.535,92487.0
12.53,12.54,12.52,12.525,55266.0
12.526,12.54,12.52,12.53,56030.0
12.535,12.54,12.52,12.5221,374912.0
12.53,12.54,12.52,12.5356,109305.0
12.537,12.54,12.53,12.535,31643.0
12.53,12.54,12.53,12.5368,30352.0
12.53,12.54,12.53,12.535,24657.0
12.535,12.54,12.53,12.5357,18226.0
12.5266,12.54,12.52,12.53,86140.0
12.535,12.54,12.52,12.53,128544.0
12.54,12.545,12.53,12.54,107719.0
12.545,12.55,12.54,12.545,64701.0
12.54,12.55,12.54,12.55,25247.0
12.54,12.55,12.54,12.545,56909.0
12.555,12.56,12.54,12.5401,116348.0
