Open,High,Low,Close,Volume
49.54,49.64,49.5,49.64,35528.0
49.51,49.5201,49.51,49.5201,1800.0
49.75,49.75,49.65,49.65,2889.0
49.72,49.74,49.67,49.73,1100.0
49.53,49.65,49.53,49.65,1750.0
49.48,49.54,49.3998,49.54,5202.0
49.41,49.56,49.4084,49.4084,1900.0
49.52,49.52,49.44,49.45,2600.0
49.59,49.62,49.54,49.54,3628.0
49.56,49.64,49.52,49.6202,2801.0
49.59,49.59,49.46,49.54,1630.0
49.61,49.61,49.55,49.58,4110.0
49.68,49.68,49.5444,49.57,4169.0
49.64,49.69,49.61,49.69,1400.0
49.63,49.67,49.63,49.67,600.0
49.7,49.7,49.63,49.63,3700.0
49.67,49.73,49.67,49.705,4600.0
49.64,49.64,49.64,49.64,300.0
49.595,49.63,49.595,49.63,1760.0
49.55,49.59,49.55,49.58,6200.0
49.49,49.53,49.49,49.53,3230.0
49.5,49.52,49.49,49.51,4146.0
49.51,49.55,49.51,49.51,2700.0
49.53,49.53,49.51,49.51,968.0
49.4603,49.48,49.4603,49.48,300.0
49.51,49.51,49.45,49.47,2400.0
49.48,49.48,49.4501,49.4501,300.0
49.47,49.475,49.45,49.45,900.0
49.57,49.57,49.49,49.49,4010.0
49.59,49.6,49.58,49.6,2134.0
49.62,49.63,49.58,49.58,900.0
49.6278,49.66,49.61,49.66,1522.0
49.64,49.7,49.63,49.64,3187.0
49.6,49.67,49.59,49.67,1500.0
49.6,49.67,49.57,49.57,600.0
49.58,49.6,49.57,49.58,900.0
49.57,49.58,49.56,49.58,600.0
49.53,49.57,49.53,49.56,1444.0
49.49,49.54,49.49,49.54,1981.0
49.55,49.56,49.5,49.5,18415.0
49.52,49.54,49.51,49.54,400.0
49.51,49.52,49.48,49.52,1294.0
49.47,49.47,49.47,49.47,300.0
49.49,49.5,49.48,49.48,1164.0
49.52,49.52,49.5,49.51,1800.0
49.46,49.51,49.46,49.51,2212.0
49.49,49.49,49.45,49.46,1800.0
49.49,49.49,49.49,49.49,200.0
49.48,49.5,49.48,49.49,1088.0
49.45,49.5,49.45,49.5,5129.0
49.51,49.51,49.45,49.45,2200.0
49.49,49.52,49.48,49.4999,2225.0
49.53,49.56,49.51,49.51,1813.0
49.54,49.55,49.52,49.53,2090.0
49.56,49.58,49.56,49.56,500.0
49.58,49.58,49.57,49.57,200.0
49.6,49.6,49.57,49.57,1290.0
49.61,49.61,49.6,49.6,1300.0
49.59,49.63,49.59,49.61,1727.0
49.61,49.6171,49.58,49.58,1768.0
49.62,49.62,49.62,49.62,400.0
49.63,49.64,49.62,49.63,4000.0
49.63,49.63,49.61,49.62,2000.0
49.66,49.66,49.62,49.62,2600.0
49.68,49.68,49.66,49.66,500.0
49.73,49.74,49.6937,49.6937,2400.0
49.71,49.74,49.71,49.73,1300.0
49.73,49.73,49.7,49.71,2000.0
49.73,49.74,49.72,49.74,1800.0
49.73,49.76,49.73,49.73,1900.0
49.76,49.76,49.72,49.72,1100.0
49.8,49.81,49.76,49.76,2839.0
49.79,49.79,49.79,49.79,100.0
49.77,49.8,49.77,49.8,1784.0
49.7501,49.76,49.7501,49.76,404.0
49.74,49.76,49.74,49.75,965.0
49.73,49.75,49.72,49.75,1700.0
49.71,49.73,49.71,49.73,300.0
49.71,49.74,49.71,49.71,2700.0
49.72,49.75,49.71,49.72,4991.0
49.75,49.79,49.73,49.73,1900.0
49.75,49.75,49.75,49.75,600.0
49.77,49.78,49.75,49.76,3396.0
49.78,49.78,49.7799,49.7799,220.0
49.8,49.8,49.775,49.775,980.0
49.78,49.795,49.78,49.79,1400.0
49.78,49.78,49.76,49.78,1000.0
49.78,49.79,49.7693,49.79,1420.0
49.78,49.78,49.78,49.78,100.0
49.79,49.79,49.78,49.78,700.0
49.81,49.82,49.79,49.79,4052.0
49.83,49.83,49.83,49.83,200.0
49.8223,49.83,49.82,49.8299,5235.0
49.83,49.86,49.82,49.82,4604.0
49.83,49.83,49.83,49.83,100.0
49.8,49.82,49.8,49.82,1100.0
49.8009,49.81,49.8,49.8,1980.0
49.82,49.82,49.78,49.78,2379.0
49.85,49.85,49.825,49.83,2031.0
49.83,49.85,49.8166,49.84,1726.0
49.82,49.82,49.82,49.82,869.0
49.79,49.8,49.79,49.8,409.0
49.79,49.81,49.79,49.8,600.0
49.7873,49.8,49.7873,49.8,1331.0
49.77,49.8,49.76,49.79,5357.0
49.74,49.77,49.7367,49.77,1277.0
49.75,49.75,49.74,49.74,1297.0
49.7623,49.77,49.75,49.75,982.0
49.76,49.77,49.75,49.76,1901.0
49.7452,49.77,49.745,49.76,4570.0
49.72,49.745,49.72,49.745,4684.0
49.69,49.72,49.68,49.72,2372.0
49.7132,49.72,49.68,49.69,4428.0
49.7401,49.75,49.701,49.701,3400.0
49.75,49.7638,49.75,49.75,4106.0
49.72,49.74,49.7001,49.7201,3567.0
49.7001,49.7152,49.7,49.71,4121.0
49.7,49.72,49.7,49.71,4073.0
49.67,49.7,49.67,49.6946,1539.0
49.6699,49.68,49.6699,49.68,250.0
49.64,49.6799,49.64,49.6799,4324.0
49.64,49.66,49.62,49.65,5481.0
49.64,49.64,49.64,49.64,800.0
49.69,49.69,49.65,49.65,4713.0
49.671,49.6889,49.6702,49.6802,2778.0
49.71,49.71,49.67,49.671,3600.0
49.7007,49.73,49.6948,49.71,4300.0
49.6503,49.6952,49.6503,49.6848,3200.0
49.65,49.6769,49.65,49.6769,3599.0
49.6503,49.68,49.64,49.68,2300.0
