Open,High,Low,Close,Volume
12.73,12.74,12.655,12.73,70512.0
12.7701,12.79,12.7,12.74,84833.0
12.79,12.835,12.77,12.78,127330.0
12.9,12.9,12.79,12.8,145541.0
12.95,12.97,12.89,12.9,217219.0
12.96,12.97,12.9,12.955,150683.0
12.98,12.99,12.96,12.965,187772.0
12.95,12.99,12.92,12.98,143103.0
12.92,12.96,12.92,12.945,53718.0
12.89,12.925,12.89,12.9219,138085.0
12.915,12.92,12.89,12.895,104423.0
12.94,12.97,12.91,12.92,89255.0
12.95,12.95,12.92,12.945,35750.0
12.921,12.96,12.91,12.95,73307.0
12.965,12.97,12.92,12.925,67554.0
13.01,13.01,12.965,12.965,139313.0
13.0399,13.06,13.0063,13.01,249117.0
13.015,13.04,12.99,13.035,67137.0
12.98,13.02,12.98,13.01,51199.0
12.95,12.98,12.95,12.975,82828.0
12.93,12.96,12.911,12.95,170913.0
12.92,12.94,12.92,12.925,87288.0
12.91,12.93,12.88,12.93,79186.0
12.9,12.91,12.88,12.905,51119.0
12.835,12.8988,12.83,12.89,168361.0
12.84,12.84,12.8,12.835,106474.0
12.87,12.87,12.83,12.84,71074.0
12.895,12.9,12.86,12.87,37672.0
12.875,12.895,12.86,12.89,50878.0
12.83,12.88,12.83,12.87,73405.0
12.835,12.845,12.78,12.83,158913.0
12.865,12.87,12.825,12.84,60213.0
12.86,12.88,12.84,12.87,40416.0
12.82,12.8664,12.82,12.865,46823.0
12.82,12.83,12.8,12.82,51736.0
12.83,12.83,12.79,12.815,113743.0
12.855,12.865,12.825,12.83,48419.0
12.83,12.84,12.82,12.84,50503.0
12.86,12.86,12.83,12.83,38614.0
12.84,12.87,12.84,12.86,49832.0
12.81,12.84,12.805,12.84,38379.0
12.822,12.822,12.8,12.81,24383.0
12.79,12.84,12.79,12.83,52211.0
12.765,12.79,12.76,12.79,63198.0
12.79,12.79,12.76,12.7651,37892.0
12.76,12.79,12.75,12.79,46553.0
12.75,12.77,12.72,12.77,74692.0
12.715,12.755,12.71,12.745,44420.0
12.7063,12.73,12.7063,12.7163,45775.0
12.73,12.73,12.68,12.705,95509.0
12.735,12.74,12.71,12.72,73952.0
12.735,12.76,12.725,12.74,56197.0
12.71,12.735,12.71,12.73,33850.0
12.695,12.71,12.695,12.71,41260.0
12.7,12.7161,12.695,12.7,50736.0
12.72,12.73,12.7,12.705,37987.0
12.715,12.7361,12.71,12.73,43162.0
12.69,12.715,12.69,12.71,41462.0
12.685,12.6963,12.68,12.695,47549.0
12.6685,12.69,12.665,12.685,47424.0
12.635,12.675,12.625,12.66,94653.0
12.635,12.66,12.63,12.64,34351.0
12.655,12.665,12.6311,12.64,28102.0
12.645,12.65,12.62,12.64,39843.0
12.69,12.71,12.63,12.645,80331.0
12.66,12.7,12.66,12.69,38323.0
12.715,12.72,12.66,12.665,90131.0
12.725,12.75,12.715,12.715,76535.0
12.72,12.75,12.705,12.735,33885.0
12.765,12.78,12.73,12.73,62436.0
12.735,12.77,12.735,12.77,74906.0
