Open,High,Low,Close,Volume
146.4,146.4,146.4,146.4,4665.0
146.02,146.3899,145.96,145.96,1500.0
146.65,146.71,146.56,146.68,800.0
147.09,147.09,146.95,146.95,1139.0
146.89,147.045,146.8,147.045,3168.0
147.145,147.33,147.01,147.03,1600.0
147.11,147.115,147.11,147.115,200.0
147.443,147.443,147.35,147.39,300.0
147.404,147.404,147.2,147.33,300.0
147.4,147.4,147.4,147.4,100.0
147.59,147.59,147.42,147.42,900.0
147.6,147.6,147.569,147.569,800.0
147.65,147.65,147.5,147.625,800.0
147.25,147.525,147.19,147.4625,4056.0
147.51,147.51,147.32,147.32,900.0
147.68,147.68,147.644,147.644,641.0
147.6603,147.77,147.6603,147.77,492.0
147.89,147.89,147.71,147.74,1039.0
147.81,147.88,147.81,147.88,200.0
147.83,147.863,147.79,147.8103,1100.0
147.56,147.79,147.56,147.72,2850.0
147.53,147.62,147.39,147.56,1900.0
147.64,147.64,147.64,147.64,100.0
147.77,147.77,147.68,147.68,500.0
147.88,147.88,147.81,147.81,300.0
147.86,147.88,147.85,147.88,400.0
147.815,147.815,147.815,147.815,100.0
147.76,147.85,147.71,147.79,1908.0
147.8099,147.8099,147.74,147.76,800.0
147.79,147.795,147.79,147.795,200.0
147.81,147.81,147.75,147.795,600.0
147.69,147.75,147.68,147.75,700.0
147.59,147.65,147.59,147.65,300.0
147.64,147.64,147.59,147.59,911.0
147.7,147.7,147.7,147.7,300.0
147.55,147.66,147.55,147.66,700.0
147.43,147.58,147.43,147.52,3514.0
147.36,147.36,147.25,147.3,800.0
147.28,147.37,147.28,147.37,700.0
147.155,147.33,147.14,147.32,3316.0
147.1,147.1999,147.1,147.1999,1295.0
147.12,147.12,147.0701,147.12,543.0
146.85,147.11,146.85,147.11,12117.0
146.82,146.895,146.8,146.895,18900.0
146.96,147.035,146.72,146.78,7737.0
146.74,147.0,146.74,147.0,2000.0
146.78,146.82,146.7,146.74,4505.0
146.92,146.98,146.83,146.83,1800.0
147.13,147.13,146.89,146.89,2200.0
147.275,147.275,147.16,147.16,700.0
147.31,147.45,147.31,147.34,3150.0
147.37,147.42,147.34,147.34,1000.0
147.365,147.365,147.365,147.365,379.0
147.49,147.49,147.28,147.31,2501.0
147.44,147.53,147.42,147.53,2900.0
147.58,147.58,147.45,147.45,1600.0
147.5,147.62,147.5,147.6,3600.0
147.55,147.55,147.48,147.48,300.0
147.56,147.61,147.56,147.58,1800.0
147.58,147.59,147.58,147.59,400.0
147.51,147.55,147.51,147.55,1100.0
147.43,147.51,147.43,147.51,500.0
147.63,147.63,147.47,147.47,2300.0
147.84,147.84,147.65,147.65,2100.0
147.69,147.84,147.67,147.81,4087.0
147.69,147.765,147.69,147.71,2111.0
147.75,147.75,147.67,147.67,300.0
147.72,147.72,147.68,147.71,900.0
147.6175,147.64,147.6001,147.64,1000.0
147.56,147.56,147.5,147.54,400.0
147.49,147.54,147.49,147.54,300.0
147.48,147.48,147.48,147.48,100.0
147.47,147.48,147.47,147.48,700.0
147.34,147.44,147.34,147.44,400.0
147.25,147.34,147.25,147.28,2052.0
147.39,147.39,147.39,147.39,100.0
147.33,147.3545,147.33,147.3545,588.0
147.38,147.38,147.34,147.36,600.0
147.398,147.398,147.31,147.325,1921.0
147.24,147.43,147.24,147.43,2578.0
146.975,147.225,146.9318,147.225,6000.0
147.055,147.1,147.03,147.1,4150.0
146.95,147.03,146.89,147.03,2100.0
147.03,147.06,146.99,146.99,500.0
146.95,146.95,146.92,146.93,311.0
146.71,146.81,146.62,146.81,9900.0
146.67,146.81,146.615,146.71,4700.0
146.7,146.76,146.7,146.76,500.0
146.61,146.7,146.6,146.67,1500.0
146.72,146.72,146.63,146.65,1600.0
146.82,146.82,146.71,146.71,421.0
146.85,146.85,146.85,146.85,100.0
146.82,146.825,146.78,146.825,1600.0
146.9,146.91,146.87,146.87,500.0
146.9,146.9,146.86,146.86,200.0
146.84,146.91,146.84,146.91,1000.0
146.8,146.82,146.76,146.82,1600.0
146.7555,146.78,146.7555,146.78,561.0
146.85,146.85,146.84,146.84,300.0
146.62,146.79,146.62,146.79,600.0
146.68,146.69,146.68,146.69,200.0
146.7,146.7,146.7,146.7,100.0
146.73,146.73,146.73,146.73,195.0
146.705,146.705,146.705,146.705,100.0
146.7799,146.7799,146.75,146.75,900.0
146.76,146.78,146.76,146.77,900.0
146.85,146.85,146.8,146.8,1000.0
146.79,146.865,146.77,146.865,1600.0
146.79,146.79,146.74,146.74,700.0
146.76,146.76,146.75,146.75,200.0
146.7803,146.7803,146.7803,146.7803,100.0
146.86,146.86,146.765,146.765,1700.0
146.85,146.94,146.85,146.85,1900.0
146.825,146.825,146.825,146.825,100.0
146.73,146.78,146.73,146.78,540.0
146.78,146.83,146.78,146.78,400.0
146.775,146.82,146.74,146.74,700.0
146.8,146.8,146.78,146.78,300.0
146.79,146.81,146.79,146.81,1100.0
146.88,146.88,146.79,146.79,850.0
146.8,146.84,146.8,146.8,800.0
146.81,146.81,146.8,146.8,300.0
146.67,146.8,146.67,146.8,1000.0
146.61,146.67,146.59,146.67,700.0
146.61,146.6194,146.61,146.61,700.0
146.57,146.6,146.53,146.6,700.0
146.64,146.65,146.52,146.55,2250.0
146.61,146.61,146.61,146.61,100.0
146.51,146.55,146.46,146.55,800.0
146.565,146.61,146.52,146.61,300.0
146.58,146.63,146.58,146.61,2000.0
146.56,146.57,146.56,146.57,400.0
146.66,146.66,146.62,146.62,1100.0
146.67,146.67,146.67,146.67,125.0
146.71,146.74,146.68,146.68,600.0
146.845,146.845,146.785,146.785,800.0
146.875,146.875,146.875,146.875,100.0
146.86,146.86,146.8431,146.8431,445.0
146.86,146.88,146.86,146.86,600.0
146.865,146.865,146.865,146.865,400.0
146.9,146.9,146.9,146.9,100.0
146.91,146.91,146.88,146.89,721.0
146.89,146.89,146.89,146.89,100.0
146.895,146.94,146.895,146.9099,1000.0
146.88,146.94,146.88,146.92,400.0
146.97,146.97,146.915,146.92,1300.0
147.0,147.0,147.0,147.0,100.0
146.9579,146.9579,146.9579,146.9579,100.0
146.93,147.02,146.91,147.01,1100.0
146.96,146.96,146.96,146.96,100.0
146.91,146.93,146.9,146.9,1000.0
146.83,146.83,146.83,146.83,100.0
146.84,146.84,146.84,146.84,100.0
146.91,146.91,146.88,146.88,800.0
146.89,146.89,146.89,146.89,100.0
146.8856,146.8856,146.8856,146.8856,150.0
146.98,146.98,146.93,146.93,700.0
147.0,147.0,147.0,147.0,100.0
147.0,147.0,147.0,147.0,100.0
