Open,High,Low,Close,Volume
35.56,35.59,35.56,35.56,1600.0
35.56,35.6,35.56,35.59,400.0
35.64,35.64,35.59,35.59,500.0
35.57,35.62,35.56,35.62,900.0
35.7,35.7225,35.64,35.655,5900.0
35.78,35.79,35.74,35.75,1600.0
35.8,35.8,35.8,35.8,100.0
35.72,35.73,35.67,35.73,2700.0
35.63,35.69,35.63,35.67,400.0
35.68,35.7,35.68,35.69,300.0
35.66,35.72,35.66,35.72,600.0
35.67,35.735,35.67,35.735,200.0
35.69,35.71,35.68,35.71,500.0
35.7116,35.7116,35.7116,35.7116,1850.0
35.68,35.68,35.68,35.68,200.0
35.68,35.68,35.68,35.68,200.0
35.7,35.71,35.7,35.71,500.0
35.62,35.68,35.62,35.68,1000.0
35.64,35.64,35.59,35.6,800.0
35.61,35.64,35.61,35.64,700.0
35.61,35.61,35.6,35.6,300.0
35.64,35.64,35.6152,35.63,407.0
35.58,35.61,35.57,35.61,1370.0
35.52,35.55,35.52,35.55,700.0
35.52,35.52,35.52,35.52,200.0
35.56,35.56,35.55,35.55,1700.0
35.62,35.62,35.59,35.59,600.0
35.65,35.65,35.62,35.63,500.0
35.66,35.66,35.65,35.66,500.0
35.68,35.68,35.67,35.67,200.0
35.68,35.68,35.68,35.68,100.0
35.73,35.73,35.71,35.71,400.0
35.71,35.74,35.71,35.72,2900.0
35.69,35.7,35.69,35.7,200.0
35.7,35.7,35.7,35.7,600.0
35.71,35.71,35.71,35.71,200.0
35.73,35.73,35.69,35.71,2000.0
35.69,35.73,35.69,35.73,1000.0
35.7,35.7,35.69,35.69,600.0
35.73,35.73,35.73,35.73,1799.0
35.73,35.73,35.71,35.71,400.0
35.73,35.735,35.71,35.71,400.0
35.735,35.74,35.735,35.74,400.0
35.7,35.73,35.7,35.73,1068.0
35.7,35.7,35.7,35.7,300.0
35.735,35.735,35.72,35.72,875.0
35.73,35.735,35.73,35.735,700.0
35.72,35.72,35.72,35.72,500.0
35.71,35.71,35.71,35.71,100.0
35.73,35.73,35.73,35.73,200.0
35.72,35.73,35.71,35.73,1300.0
35.7,35.73,35.7,35.73,200.0
35.71,35.71,35.7,35.7,1300.0
35.705,35.705,35.7,35.705,300.0
35.73,35.73,35.705,35.705,1500.0
35.7138,35.735,35.7,35.735,1708.0
35.72,35.72,35.7,35.7,300.0
35.76,35.76,35.74,35.74,400.0
35.78,35.78,35.78,35.78,200.0
35.8,35.8,35.79,35.79,200.0
35.79,35.79,35.79,35.79,100.0
35.79,35.815,35.79,35.81,1154.0
35.78,35.78,35.78,35.78,100.0
35.78,35.79,35.78,35.78,800.0
35.75,35.77,35.75,35.77,800.0
35.735,35.74,35.735,35.74,700.0
35.73,35.73,35.73,35.73,100.0
35.75,35.75,35.74,35.74,300.0
35.72,35.74,35.72,35.74,1700.0
35.67,35.701,35.67,35.701,850.0
35.65,35.65,35.65,35.65,300.0
35.64,35.64,35.635,35.64,800.0
35.63,35.63,35.63,35.63,100.0
35.63,35.63,35.63,35.63,700.0
35.62,35.62,35.62,35.62,200.0
35.6,35.62,35.59,35.62,1500.0
35.58,35.59,35.58,35.59,300.0
35.6,35.6,35.59,35.59,1200.0
35.58,35.6,35.58,35.6,500.0
35.6,35.6,35.59,35.59,400.0
35.62,35.62,35.62,35.62,400.0
35.615,35.62,35.615,35.62,300.0
35.66,35.66,35.66,35.66,100.0
35.635,35.65,35.63,35.65,1300.0
35.63,35.63,35.63,35.63,600.0
35.62,35.62,35.62,35.62,100.0
35.62,35.625,35.61,35.62,2362.0
35.61,35.61,35.61,35.61,200.0
35.62,35.62,35.5936,35.5936,700.0
35.6,35.6,35.6,35.6,200.0
35.63,35.63,35.6,35.6,1400.0
35.64,35.64,35.63,35.63,300.0
35.62,35.6332,35.62,35.6332,700.0
35.61,35.62,35.61,35.62,600.0
35.63,35.63,35.61,35.61,700.0
35.65,35.65,35.65,35.65,300.0
35.67,35.67,35.66,35.66,200.0
35.68,35.68,35.67,35.67,700.0
35.69,35.69,35.68,35.69,2298.0
35.68,35.7,35.68,35.7,1500.0
35.67,35.68,35.67,35.68,200.0
35.65,35.66,35.65,35.66,300.0
35.67,35.67,35.65,35.65,1300.0
35.65,35.67,35.65,35.67,1400.0
35.64,35.655,35.64,35.655,600.0
35.65,35.655,35.65,35.655,644.0
35.6301,35.64,35.6301,35.64,900.0
35.62,35.66,35.62,35.64,2350.0
35.63,35.63,35.63,35.63,100.0
35.61,35.61,35.61,35.61,100.0
35.57,35.6089,35.57,35.6089,800.0
35.58,35.58,35.56,35.57,800.0
35.6,35.6,35.59,35.59,200.0
35.6031,35.6031,35.6031,35.6031,150.0
35.59,35.59,35.59,35.59,100.0
35.61,35.61,35.61,35.61,700.0
35.62,35.62,35.61,35.61,1500.0
35.63,35.63,35.63,35.63,200.0
35.63,35.63,35.63,35.63,500.0
35.64,35.64,35.64,35.64,600.0
35.64,35.64,35.64,35.64,400.0
35.64,35.645,35.63,35.64,1456.0
35.64,35.64,35.64,35.64,100.0
35.665,35.6731,35.64,35.64,5712.0
