Open,High,Low,Close,Volume
46.98,46.99,46.96,46.96,500.0
47.08,47.08,46.99,46.99,3600.0
47.03,47.12,47.03,47.12,2150.0
47.03,47.03,47.03,47.03,100.0
47.1,47.1,47.1,47.1,100.0
47.08,47.095,47.0,47.05,6784.0
47.08,47.08,47.08,47.08,200.0
47.08,47.08,47.07,47.07,500.0
47.08,47.08,47.08,47.08,100.0
47.15,47.15,47.09,47.09,2050.0
47.07,47.16,47.07,47.13,1600.0
47.03,47.05,47.03,47.05,1300.0
47.06,47.06,47.06,47.06,100.0
47.04,47.04,47.04,47.04,300.0
47.01,47.06,47.01,47.02,1000.0
47.0,47.02,47.0,47.0,5460.0
47.0,47.0,46.95,46.99,1600.0
46.98,46.98,46.95,46.9551,1241.0
46.94,46.965,46.93,46.965,800.0
46.875,46.93,46.86,46.93,2500.0
46.865,46.8779,46.85,46.87,1698.0
46.89,46.89,46.87,46.87,500.0
46.85,46.87,46.85,46.87,800.0
46.83,46.84,46.83,46.84,600.0
46.86,46.86,46.83,46.85,400.0
46.83,46.83,46.81,46.83,1075.0
46.765,46.81,46.765,46.81,537.0
46.71,46.76,46.71,46.76,900.0
46.66,46.74,46.66,46.71,2505.0
46.74,46.74,46.62,46.62,1995.0
46.7,46.78,46.7,46.75,4889.0
46.73,46.73,46.73,46.73,300.0
46.69,46.71,46.69,46.71,1100.0
46.74,46.74,46.7,46.7,1440.0
46.72,46.75,46.71,46.75,2434.0
46.7479,46.7479,46.7,46.7,1800.0
46.78,46.78,46.72,46.73,1400.0
46.79,46.81,46.78,46.78,3598.0
46.72,46.78,46.72,46.78,4503.0
46.7,46.75,46.7,46.74,3100.0
46.675,46.68,46.655,46.67,4900.0
46.65,46.675,46.65,46.675,3400.0
46.65,46.66,46.64,46.645,7581.0
46.63,46.67,46.625,46.66,7100.0
46.61,46.62,46.61,46.62,1800.0
46.63,46.63,46.605,46.61,2951.0
46.62,46.62,46.62,46.62,100.0
46.59,46.65,46.59,46.64,8761.0
46.55,46.59,46.55,46.58,2700.0
46.58,46.58,46.56,46.56,1100.0
46.57,46.57,46.55,46.56,1200.0
46.55,46.55,46.4901,46.55,8378.0
46.51,46.55,46.49,46.54,1400.0
46.4701,46.4701,46.4701,46.4701,300.0
46.45,46.47,46.43,46.47,1600.0
46.47,46.47,46.47,46.47,100.0
46.455,46.46,46.45,46.46,500.0
46.49,46.49,46.45,46.46,4101.0
46.57,46.57,46.5,46.51,1200.0
46.55,46.59,46.55,46.57,2686.0
46.54,46.55,46.52,46.52,1300.0
46.54,46.55,46.51,46.52,2188.0
46.56,46.58,46.55,46.55,1734.0
46.58,46.58,46.56,46.56,500.0
46.58,46.62,46.58,46.58,2640.0
46.53,46.54,46.53,46.54,300.0
46.51,46.53,46.51,46.52,2685.0
46.49,46.53,46.49,46.52,1600.0
46.5009,46.5009,46.49,46.49,342.0
46.47,46.47,46.47,46.47,600.0
46.47,46.47,46.45,46.47,300.0
46.44,46.47,46.41,46.47,3203.0
46.42,46.42,46.42,46.42,100.0
46.4,46.4,46.4,46.4,400.0
46.35,46.39,46.35,46.39,3406.0
46.36,46.36,46.34,46.36,2319.0
46.28,46.335,46.28,46.32,4218.0
46.26,46.3,46.25,46.28,1900.0
46.19,46.22,46.18,46.21,1650.0
46.2,46.21,46.15,46.15,1800.0
46.16,46.17,46.16,46.17,600.0
46.19,46.19,46.16,46.16,1612.0
46.15,46.1979,46.11,46.1979,5690.0
46.1,46.11,46.1,46.11,1188.0
46.07,46.09,46.03,46.09,2394.0
46.08,46.12,46.07,46.07,2300.0
46.05,46.09,46.03,46.09,2900.0
45.9901,46.04,45.9901,46.04,1861.0
46.07,46.07,46.02,46.02,3200.0
46.12,46.12,46.08,46.08,1500.0
46.1,46.14,46.1,46.14,2500.0
46.08,46.11,46.08,46.11,2500.0
46.08,46.14,46.07,46.08,11178.0
46.05,46.08,46.05,46.08,300.0
46.02,46.04,45.99,46.04,3901.0
45.94,46.0,45.94,46.0,900.0
45.9,45.9486,45.87,45.9486,2295.0
45.82,45.87,45.81,45.86,3661.0
45.78,45.82,45.76,45.81,1200.0
45.76,45.8,45.74,45.76,5302.0
