Open,High,Low,Close,Volume
59.74,59.76,59.73,59.73,287744.0
59.74,59.74,59.73,59.73,500.0
59.79,59.81,59.77,59.81,1160.0
59.72,59.81,59.72,59.81,1312.0
59.61,59.71,59.61,59.71,300.0
59.51,59.7,59.51,59.6,700.0
59.5575,59.61,59.53,59.53,2300.0
59.54,59.55,59.54,59.55,354.0
59.46,59.545,59.46,59.52,2075.0
59.58,59.58,59.47,59.47,601.0
59.55,59.6,59.55,59.6,900.0
59.54,59.54,59.54,59.54,200.0
59.58,59.59,59.55,59.5665,425.0
59.55,59.59,59.55,59.55,700.0
59.62,59.63,59.59,59.59,1200.0
59.68,59.695,59.635,59.64,2675.0
59.64,59.68,59.64,59.67,975.0
59.63,59.63,59.63,59.63,200.0
59.63,59.67,59.63,59.63,700.0
59.67,59.7,59.65,59.65,800.0
59.71,59.71,59.71,59.71,200.0
59.72,59.72,59.69,59.71,1300.0
59.665,59.695,59.65,59.68,1800.0
59.6672,59.6672,59.6656,59.6656,600.0
59.71,59.71,59.69,59.69,400.0
59.68,59.71,59.67,59.71,3200.0
59.68,59.68,59.68,59.68,200.0
59.68,59.68,59.68,59.68,200.0
59.61,59.685,59.61,59.68,4068.0
59.61,59.63,59.61,59.61,700.0
59.6,59.62,59.59,59.61,2300.0
59.61,59.65,59.6,59.63,3914.0
59.58,59.61,59.58,59.6,1950.0
59.6,59.6,59.575,59.575,1200.0
59.64,59.645,59.63,59.63,2100.0
59.7,59.7,59.648,59.649,2201.0
59.72,59.72,59.7,59.7,1490.0
59.78,59.78,59.72,59.72,2659.0
59.74,59.78,59.74,59.76,1916.0
59.7,59.73,59.7,59.72,1300.0
59.685,59.7,59.68,59.7,1100.0
59.67,59.7,59.67,59.67,997.0
59.7,59.7,59.67,59.685,500.0
59.67,59.69,59.67,59.67,1300.0
59.77,59.77,59.7,59.7,4001.0
59.74,59.77,59.74,59.76,2664.0
59.8,59.8,59.73,59.73,4053.0
59.81,59.81,59.78,59.8,1566.0
59.79,59.815,59.79,59.81,2100.0
59.74,59.77,59.74,59.77,1100.0
59.7,59.71,59.7,59.71,800.0
59.715,59.715,59.715,59.715,200.0
59.67,59.705,59.67,59.7,3027.0
59.72,59.72,59.68,59.69,3701.0
59.7,59.71,59.7,59.71,600.0
59.675,59.7,59.67,59.7,5182.0
59.65,59.69,59.64,59.68,2502.0
59.64,59.655,59.64,59.65,3200.0
59.62,59.645,59.62,59.64,1000.0
59.63,59.63,59.62,59.625,900.0
59.58,59.62,59.58,59.62,1550.0
59.57,59.585,59.56,59.585,5695.0
59.55,59.57,59.55,59.56,4301.0
59.53,59.555,59.53,59.555,1459.0
59.55,59.555,59.54,59.55,6576.0
59.51,59.55,59.51,59.54,5300.0
59.49,59.49,59.49,59.49,300.0
59.5,59.51,59.47,59.5,7308.0
59.485,59.5,59.485,59.5,1200.0
59.55,59.55,59.48,59.49,3300.0
59.56,59.56,59.54,59.55,300.0
59.51,59.54,59.51,59.54,700.0
59.52,59.52,59.5,59.5,1674.0
59.56,59.56,59.52,59.52,2600.0
59.6,59.6,59.56,59.56,2330.0
59.57,59.6,59.56,59.58,5900.0
59.56,59.56,59.56,59.56,400.0
59.535,59.55,59.53,59.55,600.0
59.52,59.54,59.52,59.53,2591.0
59.545,59.55,59.53,59.53,1000.0
59.57,59.57,59.56,59.56,461.0
59.57,59.57,59.54,59.57,1900.0
59.55,59.565,59.55,59.56,1100.0
59.56,59.57,59.55,59.55,1200.0
59.54,59.57,59.54,59.57,1876.0
59.52,59.52,59.52,59.52,600.0
59.54,59.54,59.5,59.52,2000.0
59.5,59.51,59.5,59.51,500.0
59.5,59.51,59.5,59.51,600.0
59.51,59.52,59.5,59.5,1700.0
59.52,59.52,59.52,59.52,300.0
59.525,59.525,59.5248,59.525,327.0
59.5,59.525,59.5,59.525,1700.0
59.5,59.5,59.49,59.49,1302.0
59.5,59.51,59.49,59.49,2524.0
59.505,59.51,59.5,59.5,700.0
59.47,59.5,59.47,59.495,1400.0
59.52,59.52,59.47,59.49,3614.0
59.52,59.52,59.51,59.52,700.0
59.515,59.515,59.515,59.515,100.0
59.5,59.52,59.5,59.515,1500.0
59.495,59.5,59.49,59.4937,2102.0
59.5301,59.5301,59.5,59.5,2050.0
