Open,High,Low,Close,Volume
68.8,68.9,68.75,68.8,12595.0
68.9,68.93,68.8,68.82,29391.0
68.86,68.92,68.86,68.88,5027.0
68.88,68.98,68.86,68.86,17290.0
68.87,68.883,68.8682,68.883,5543.0
68.79,68.87,68.755,68.87,17952.0
68.78,68.8015,68.76,68.78,14900.0
68.82,68.82,68.7599,68.78,15388.0
68.93,68.95,68.8,68.8,9714.0
69.06,69.07,68.93,68.93,16461.0
69.02,69.075,69.01,69.05,23779.0
69.0,69.02,68.93,69.01,19700.0
68.9801,69.0,68.93,69.0,17308.0
69.03,69.03,68.9721,68.98,11558.0
68.9903,69.03,68.9903,69.03,7153.0
68.97,69.035,68.96,69.0,18648.0
68.932,69.02,68.932,68.98,15650.0
68.96,68.96,68.93,68.94,3100.0
68.98,68.98,68.95,68.98,12400.0
68.9235,68.99,68.91,68.985,7830.0
68.915,68.93,68.9,68.9199,14450.0
68.85,68.915,68.85,68.91,22468.0
68.8,68.87,68.8,68.85,9587.0
68.79,68.83,68.78,68.81,20392.0
68.78,68.825,68.78,68.8,10844.0
68.78,68.8,68.76,68.79,10173.0
68.77,68.8,68.77,68.78,8202.0
68.74,68.78,68.72,68.7757,29294.0
68.74,68.75,68.72,68.73,22748.0
68.66,68.74,68.66,68.73,35342.0
68.65,68.67,68.6,68.65,21468.0
68.57,68.65,68.57,68.64,15182.0
68.65,68.65,68.55,68.56,13105.0
68.69,68.7,68.63,68.65,11500.0
68.7034,68.73,68.68,68.695,22438.0
68.71,68.72,68.675,68.7,7175.0
68.7001,68.7199,68.6901,68.71,6026.0
68.69,68.7293,68.685,68.7058,16728.0
68.682,68.6945,68.66,68.69,5400.0
68.705,68.735,68.6889,68.6924,15900.0
68.7,68.735,68.6975,68.71,15560.0
68.73,68.745,68.68,68.7,15285.0
68.7668,68.77,68.712,68.72,12900.0
68.775,68.78,68.7533,68.77,25361.0
68.7,68.775,68.69,68.77,23917.0
68.7,68.715,68.67,68.69,11464.0
68.72,68.75,68.69,68.7,11944.0
68.755,68.78,68.71,68.72,13300.0
68.745,68.75,68.705,68.75,11619.0
68.77,68.77,68.725,68.735,8804.0
68.775,68.795,68.7541,68.76,19410.0
68.79,68.805,68.77,68.795,10057.0
68.795,68.7954,68.77,68.79,13155.0
68.795,68.81,68.78,68.799,11099.0
68.76,68.815,68.74,68.8,13537.0
68.68,68.79,68.66,68.765,15604.0
68.63,68.69,68.63,68.68,14471.0
68.56,68.63,68.55,68.63,23373.0
68.4601,68.55,68.4601,68.55,20557.0
68.458,68.49,68.45,68.48,5500.0
68.53,68.53,68.45,68.4552,23891.0
68.56,68.57,68.53,68.53,9548.0
68.59,68.6,68.56,68.56,11578.0
68.57,68.64,68.56,68.595,21713.0
68.52,68.58,68.52,68.5725,16083.0
68.45,68.535,68.45,68.53,14325.0
68.43,68.47,68.41,68.46,29733.0
68.435,68.45,68.42,68.4301,17664.0
68.4,68.44,68.39,68.43,10997.0
68.34,68.41,68.31,68.4,23244.0
68.29,68.355,68.2789,68.33,22252.0
68.29,68.29,68.24,68.29,16452.0
68.22,68.3,68.22,68.29,22261.0
68.17,68.24,68.17,68.22,19502.0
68.15,68.2,68.14,68.17,13402.0
68.08,68.16,68.07,68.155,44930.0
68.07,68.13,68.06,68.08,33530.0
68.1,68.1,68.07,68.07,14705.0
68.1046,68.115,68.09,68.1,41591.0
68.055,68.11,68.05,68.11,29394.0
68.1,68.115,68.05,68.05,32410.0
68.0924,68.13,68.09,68.1,31581.0
68.11,68.13,68.0943,68.0943,20232.0
68.06,68.13,68.05,68.12,25035.0
68.07,68.085,68.055,68.06,13560.0
68.035,68.07,68.03,68.07,16962.0
68.03,68.05,68.03,68.04,20040.0
67.93,68.04,67.89,68.03,107945.0
67.94,67.99,67.935,67.94,38048.0
67.925,67.94,67.88,67.94,22489.0
68.04,68.05,67.92,67.92,42178.0
68.01,68.05,67.9846,68.04,19132.0
68.005,68.025,67.97,68.02,47443.0
67.93,68.0,67.88,68.0,38962.0
67.92,67.95,67.875,67.94,19806.0
67.92,67.94,67.875,67.92,24514.0
67.97,67.98,67.91,67.91,16929.0
67.89,67.97,67.845,67.97,47836.0
67.92,67.925,67.88,67.9,16046.0
67.94,67.949,67.91,67.9141,16077.0
67.9953,68.0,67.93,67.94,15886.0
68.01,68.04,67.99,68.0,15542.0
68.1,68.12,68.0254,68.0254,22955.0
68.12,68.19,68.1,68.1,23788.0
68.12,68.14,68.08,68.11,10814.0
68.1295,68.1295,68.08,68.11,23074.0
68.1,68.12,68.08,68.12,12943.0
68.08,68.13,68.06,68.11,37056.0
68.06,68.0768,68.015,68.0747,11631.0
68.06,68.07,67.99,68.06,25364.0
68.0601,68.08,68.03,68.04,24097.0
68.05,68.08,68.03,68.07,18348.0
68.03,68.055,68.02,68.04,14566.0
68.06,68.07,68.03,68.04,23843.0
68.02,68.07,68.01,68.05,9859.0
67.93,68.02,67.93,68.02,13262.0
67.971,67.98,67.92,67.93,7000.0
67.96,67.99,67.96,67.98,17813.0
67.95,67.97,67.94,67.96,11841.0
67.93,67.94,67.9,67.94,25473.0
67.92,67.94,67.9,67.93,18072.0
67.91,67.95,67.9,67.92,14433.0
67.84,67.93,67.83,67.91,24203.0
67.75,67.86,67.73,67.8493,44932.0
67.78,67.82,67.7,67.75,31182.0
67.7088,67.83,67.7088,67.78,35581.0
67.63,67.7556,67.48,67.72,80250.0
67.73,67.77,67.61,67.63,18911.0
67.83,67.83,67.73,67.76,20912.0
67.85,67.899,67.83,67.86,22175.0
67.8476,67.88,67.84,67.86,15405.0
67.83,67.88,67.83,67.84,13090.0
67.84,67.86,67.79,67.82,19999.0
67.85,67.87,67.821,67.83,7761.0
67.89,67.9144,67.84,67.86,14986.0
67.84,67.89,67.835,67.89,13505.0
67.8541,67.87,67.84,67.85,10258.0
67.839,67.875,67.81,67.86,26767.0
67.8,67.84,67.78,67.84,11608.0
67.86,67.87,67.7901,67.7937,27397.0
67.794,67.88,67.78,67.86,31749.0
67.82,67.82,67.78,67.79,6534.0
67.85,67.85,67.81,67.825,11106.0
67.83,67.85,67.814,67.85,15002.0
67.84,67.86,67.8,67.82,6400.0
67.86,67.8754,67.8314,67.8314,5623.0
67.91,67.9258,67.85,67.86,8713.0
67.86,67.9,67.85,67.9,7040.0
67.91,67.93,67.85,67.86,10228.0
67.95,67.975,67.91,67.91,11395.0
67.92,67.96,67.92,67.94,13021.0
67.96,67.97,67.92,67.92,9185.0
67.99,67.99,67.95,67.9601,7249.0
67.955,67.98,67.93,67.98,9161.0
67.99,68.0,67.96,67.96,24284.0
68.0,68.01,67.96,67.99,15490.0
68.0,68.03,67.995,68.01,9454.0
68.05,68.075,68.01,68.01,10317.0
68.04,68.0663,68.04,68.05,10825.0
68.01,68.05,68.005,68.05,4956.0
68.02,68.02,67.97,68.0099,10536.0
68.0,68.03,67.975,68.02,11722.0
68.01,68.01,67.9801,68.0,5359.0
67.999,68.04,67.995,68.01,5301.0
68.0035,68.015,67.9926,67.9926,7215.0
68.01,68.02,67.99,68.0,8702.0
68.05,68.06,68.02,68.02,9403.0
68.08,68.09,68.04,68.06,24519.0
68.06,68.1,68.06,68.09,9890.0
68.0901,68.1,68.06,68.07,23427.0
68.14,68.14,68.07,68.09,12721.0
68.13,68.16,68.12,68.13,9822.0
68.08,68.13,68.08,68.12,14035.0
68.03,68.09,68.02,68.09,7914.0
68.04,68.04,68.01,68.02,14614.0
67.99,68.04,67.98,68.04,8647.0
